the deer hunter , directed by michael cimino , is truly one of the greatest movies ever made . 	Translation	Positive	Negative	EmotionRationale
a captivating drama about the lives of a group of friends from a small russian-american pennsylvania community , the deer hunter promises to be one of those movies that you will never forget . 	a captivating drama about the lives of a group of friends from a small russian-american pennsylvania community , the deer hunter promises to be one of those movies that you will never forget .	2	-2	 a[0] captivating[0] drama[0] about[0] the[0] lives[0] of[0] a[0] group[0] of[0] friends[1] from[0] a[0] small[0] russian[0] american[0] pennsylvania[0] community[0] the[0] deer[0] hunter[-1] promises[1] to[0] be[0] one[0] of[0] those[0] movies[0] that[0] you[0] will[0] never[0] forget[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
in this academy award winner for best picture of 1978 , outstanding performances are turned in by all actors , and cimino's brilliant directing provides the perfect vision into the character's lives . 	in this academy award winner for best picture of 1978 , outstanding performances are turned in by all actors , and cimino's brilliant directing provides the perfect vision into the character's lives .	3	-1	 in[0] this[0] academy[0] award[0] winner[1] for[0] best[1] picture[0] of[0] 1978[0] outstanding[2] performances[0] are[0] turned[0] in[0] by[0] all[0] actors[0] and[0] cimino's[0] brilliant[1] directing[0] provides[0] the[0] perfect[1] vision[0] into[0] the[0] character's[0] lives[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the first act of the film provides us with an inside look into the lives of a group of men from a small community who work and hang out together . 	the first act of the film provides us with an inside look into the lives of a group of men from a small community who work and hang out together .	1	-2	 the[0] first[0] act[0] of[0] the[0] film[0] provides[0] us[0] with[0] an[0] inside[0] look[0] into[0] the[0] lives[0] of[0] a[0] group[0] of[0] men[0] from[0] a[0] small[0] community[0] who[0] work[0] and[0] hang[-1] out[0] together[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
michael , portrayed perfectly by robert de niro , is shown early on as the natural leader of the group . 	michael , portrayed perfectly by robert de niro , is shown early on as the natural leader of the group .	2	-1	 michael[0] portrayed[0] perfectly[1] by[0] robert[0] de[0] niro[0] is[0] shown[0] early[0] on[0] as[0] the[0] natural[0] leader[0] of[0] the[0] group[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
after a days work , the men leave their jobs at a factory to head down to the local bar , where john ( george dzundza ) works . 	after a days work , the men leave their jobs at a factory to head down to the local bar , where john ( george dzundza ) works .	1	-1	 after[0] a[0] days[0] work[0] the[0] men[0] leave[0] their[0] jobs[0] at[0] a[0] factory[0] to[0] head[0] down[0] to[0] the[0] local[0] bar[0] where[0] john[0] george[0] dzundza[0] works[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
three of the men , michael , steven ( john savage ) , and nick ( christopher walken ) will be leaving shortly for vietnam , but not before steven gets married . 	three of the men , michael , steven ( john savage ) , and nick ( christopher walken ) will be leaving shortly for vietnam , but not before steven gets married .	1	-3	 three[0] of[0] the[0] men[0] michael[0] steven[0] john[0] savage[-2] and[0] nick[0] christopher[0] walken[0] will[0] be[0] leaving[0] shortly[0] for[0] vietnam[0] but[0] not[0] before[0] steven[0] gets[0] married[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
after the marriage , the group , including axel ( chuck aspegren ) , spend one last day on a hunting trip , one of their favorite past-times . 	after the marriage , the group , including axel ( chuck aspegren ) , spend one last day on a hunting trip , one of their favorite past-times .	2	-1	 after[0] the[0] marriage[0] the[0] group[0] including[0] axel[0] chuck[0] aspegren[0] spend[0] one[0] last[0] day[0] on[0] a[0] hunting[0] trip[0] one[0] of[0] their[0] favorite[1] past[0] times[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
this sequence of events enables us to view the lifestyle of a normal group of men , who will be suddenly and permanently affected by the ravages and separations of war . 	this sequence of events enables us to view the lifestyle of a normal group of men , who will be suddenly and permanently affected by the ravages and separations of war .	1	-3	 this[0] sequence[0] of[0] events[0] enables[0] us[0] to[0] view[0] the[0] lifestyle[0] of[0] a[0] normal[0] group[0] of[0] men[0] who[0] will[0] be[0] suddenly[0] and[0] permanently[0] affected[0] by[0] the[0] ravages[-1] and[0] separations[0] of[0] war[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the wedding scenes , although criticized by many as being quite long , actually enhance even more the purpose of the first act . 	the wedding scenes , although criticized by many as being quite long , actually enhance even more the purpose of the first act .	1	-2	 the[0] wedding[0] scenes[0] although[0] criticized[-1] by[0] many[0] as[0] being[0] quite[0] long[0] actually[0] enhance[0] even[0] more[0] the[0] purpose[0] of[0] the[0] first[0] act[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the outstanding performances by de niro , walken , streep , savage , and cazale , who died very shortly after the filming of the movie was completed , really begin to shine through and promise not to halt in the near future . 	the outstanding performances by de niro , walken , streep , savage , and cazale , who died very shortly after the filming of the movie was completed , really begin to shine through and promise not to halt in the near future .	3	-3	 the[0] outstanding[2] performances[0] by[0] de[0] niro[0] walken[0] streep[0] savage[-2] and[0] cazale[0] who[0] died[0] very[0] shortly[0] after[0] the[0] filming[0] of[0] the[0] movie[0] was[0] completed[0] really[0] begin[0] to[0] shine[0] through[0] and[0] promise[1] not[0] to[0] halt[0] in[0] the[0] near[0] future[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
