meteor threat set to blow away all volcanoes & twisters ! 	Translation	Positive	Negative	EmotionRationale
summer is here again ! 	summer is here again !	1	-1	 summer[0] is[0] here[0] again[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this season could probably be the most ambitious   season this decade with hollywood churning out films like deep impact ,   godzilla , the x-files , armageddon , the truman show , all of which has but   one main aim , to rock the box office . 	this season could probably be the most ambitious   season this decade with hollywood churning out films like deep impact ,   godzilla , the x-files , armageddon , the truman show , all of which has but   one main aim , to rock the box office .	2	-1	 this[0] season[0] could[0] probably[0] be[0] the[0] most[0] ambitious[0] season[0] this[0] decade[0] with[0] hollywood[0] churning[0] out[0] films[0] like[1] deep[0] impact[0] godzilla[0] the[0] x[1] files[0] armageddon[0] the[0] truman[0] show[0] all[0] of[0] which[0] has[0] but[0] one[0] main[0] aim[0] to[0] rock[1] the[0] box[0] office[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
leading the pack this summer is   deep impact , one of the first few film releases from the   spielberg-katzenberg-geffen's dreamworks production company . 	leading the pack this summer is   deep impact , one of the first few film releases from the   spielberg-katzenberg-geffen's dreamworks production company .	1	-1	 leading[0] the[0] pack[0] this[0] summer[0] is[0] deep[0] impact[0] one[0] of[0] the[0] first[0] few[0] film[0] releases[0] from[0] the[0] spielberg[0] katzenberg[0] geffen's[0] dreamworks[0] production[0] company[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
following   the rather dismal showing of their previous two releases ; mousehunt and   amistad , deep impact shines with elements which could just make it one   of the biggest movies of the year . 	following   the rather dismal showing of their previous two releases ; mousehunt and   amistad , deep impact shines with elements which could just make it one   of the biggest movies of the year .	1	-2	 following[0] the[0] rather[0] dismal[-1] showing[0] of[0] their[0] previous[0] two[0] releases[0] mousehunt[0] and[0] amistad[0] deep[0] impact[0] shines[0] with[0] elements[0] which[0] could[0] just[0] make[0] it[0] one[0] of[0] the[0] biggest[0] movies[0] of[0] the[0] year[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
deep impact begins with the discovery of an earth bound comet during a   school astronomy outing by leo beiderman ( elijah wood ) which   subsequently stirred up the political community of the world . 	deep impact begins with the discovery of an earth bound comet during a   school astronomy outing by leo beiderman ( elijah wood ) which   subsequently stirred up the political community of the world .	1	-1	 deep[0] impact[0] begins[0] with[0] the[0] discovery[0] of[0] an[0] earth[0] bound[0] comet[0] during[0] a[0] school[0] astronomy[0] outing[0] by[0] leo[0] beiderman[0] elijah[0] wood[0] which[0] subsequently[0] stirred[0] up[0] the[0] political[0] community[0] of[0] the[0] world[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
keeping   the information under wraps to prevent widespread panic , president beck   ( morgan freeman ) took it upon himself and his subordinates to execute a   highly secretive space project to destroy the comet before it hits   earth . 	keeping   the information under wraps to prevent widespread panic , president beck   ( morgan freeman ) took it upon himself and his subordinates to execute a   highly secretive space project to destroy the comet before it hits   earth .	1	-3	 keeping[0] the[0] information[0] under[0] wraps[0] to[0] prevent[0] widespread[0] panic[-2] president[0] beck[0] morgan[0] freeman[0] took[0] it[0] upon[0] himself[0] and[0] his[0] subordinates[0] to[0] execute[-1] a[0] highly[0] secretive[0] space[0] project[0] to[0] destroy[-2] the[0] comet[0] before[0] it[0] hits[0] earth[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
while pursuing a sex-scandal story amongst the presidential   ranks , ambitious up and coming reporter , jenny lerner ( tea leoni )   unfolds the wool that president beck has pulled over the citizens of the   world . 	while pursuing a sex-scandal story amongst the presidential   ranks , ambitious up and coming reporter , jenny lerner ( tea leoni )   unfolds the wool that president beck has pulled over the citizens of the   world .	1	-3	 while[0] pursuing[0] a[0] sex[0] scandal[-2] story[0] amongst[0] the[0] presidential[0] ranks[0] ambitious[0] up[0] and[0] coming[0] reporter[0] jenny[0] lerner[0] tea[0] leoni[0] unfolds[0] the[0] wool[0] that[0] president[0] beck[0] has[0] pulled[0] over[0] the[0] citizens[0] of[0] the[0] world[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
as if the knowledge of the imminent annihilation of mankind is   not enough , jenny has to come to terms with her father ( maximillian   schell ) leaving the mother for a younger woman .  20 	as if the knowledge of the imminent annihilation of mankind is   not enough , jenny has to come to terms with her father ( maximillian   schell ) leaving the mother for a younger woman .<br>  20	1	-4	 as[0] if[0] the[0] knowledge[0] of[0] the[0] imminent[0] annihilation[-3] of[0] mankind[0] is[0] not[0] enough[0] jenny[0] has[0] to[0] come[0] to[0] terms[0] with[0] her[0] father[0] maximillian[0] schell[0] leaving[0] the[0] mother[0] for[0] a[0] younger[0] woman[0] [[Sentence=-4,1=word max, 1-5]] 20[0] [[Sentence=-1,1=word max, 1-5]][[[1,-4 max of sentences]]]
president beck announces the discovery and preparations to destroy the   comet exactly one-year later , with so much confidence that it left no   trace of panic within the american community . 	president beck announces the discovery and preparations to destroy the   comet exactly one-year later , with so much confidence that it left no   trace of panic within the american community .	2	-3	 president[0] beck[0] announces[0] the[0] discovery[0] and[0] preparations[0] to[0] destroy[-2] the[0] comet[0] exactly[0] one[0] year[0] later[0] with[0] so[0] much[0] confidence[1] that[0] it[0] left[0] no[0] trace[0] of[0] panic[-2] within[0] the[0] american[0] community[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
achieving fame from   announcement of the comet wolf-beiderman en-route to earth ( the name of   its discoverers ) , leo beiderman continues life in his small town as a   young celebrity . 	achieving fame from   announcement of the comet wolf-beiderman en-route to earth ( the name of   its discoverers ) , leo beiderman continues life in his small town as a   young celebrity .	1	-1	 achieving[0] fame[0] from[0] announcement[0] of[0] the[0] comet[0] wolf[0] beiderman[0] en[0] route[0] to[0] earth[0] the[0] name[0] of[0] its[0] discoverers[0] leo[0] beiderman[0] continues[0] life[0] in[0] his[0] small[0] town[0] as[0] a[0] young[0] celebrity[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
