what is a scary movie anyhow ? 	Translation	Positive	Negative	EmotionRationale
is it a movie where a person gets ripped to shreds ? 	is it a movie where a person gets ripped to shreds ?	1	-2	 is[0] it[0] a[0] movie[0] where[0] a[0] person[0] gets[0] ripped[0] to[0] shreds[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
is it where a person is being chased by some damned teenager who wants revenge ? 	is it where a person is being chased by some damned teenager who wants revenge ?	1	-2	 is[0] it[0] where[0] a[0] person[0] is[0] being[0] chased[-1] by[0] some[0] damned[-1][--1 LastWordBoosterStrength] teenager[0] who[0] wants[0] revenge[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
possibly its some guy with a hook who wants to know what you did last summer . 	possibly its some guy with a hook who wants to know what you did last summer .	1	-1	 possibly[0] its[0] some[0] guy[0] with[0] a[0] hook[0] who[0] wants[0] to[0] know[0] what[0] you[0] did[0] last[0] summer[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
what ever happened to horror movies , where the horror was in the atmosphere , and in the characters . 	what ever happened to horror movies , where the horror was in the atmosphere , and in the characters .	1	-4	 what[0] ever[0] happened[0] to[0] horror[-3] movies[0] where[0] the[0] horror[-3] was[0] in[0] the[0] atmosphere[0] and[0] in[0] the[0] characters[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
movies like " halloween " and " psycho " which revolutionized horror genre forever , but wait in 1973 came a movie based on the bestselling book by william peter blatty , entitled " the exorcist " , the movie opened to rave reviews , and scared audiences to death , now in the year 2000 " the exorcist " comes back to the big screen in a version you've never seen complete with six channel digital surround sound , and fifteen minutes of new footage never before seen as long as a new ending . 	movies like " halloween " and " psycho " which revolutionized horror genre forever , but wait in 1973 came a movie based on the bestselling book by william peter blatty , entitled " the exorcist " , the movie opened to rave reviews , and scared audiences to death , now in the year 200 " the exorcist " comes back to the big screen in a version you've never seen complete with six channel digital surround sound , and fifteen minutes of new footage never before seen as long as a new ending .	2	-4	 movies[0] like[1] halloween[0] and[0] psycho[0] which[0] revolutionized[-1] horror[-3] genre[0] forever[0] but[0] wait[0] in[0] 1973[0] came[0] a[0] movie[0] based[0] on[0] the[0] bestselling[0] book[0] by[0] william[0] peter[0] blatty[0] entitled[0] the[0] exorcist[0] the[0] movie[0] opened[0] to[0] rave[0] reviews[0] and[0] scared[-3] audiences[0] to[0] death[-2] now[0] in[0] the[0] year[0] 2000/200[0] the[0] exorcist[0] comes[0] back[0] to[0] the[0] big[0] screen[0] in[0] a[0] version[0] you've[0] never[0] seen[0] complete[0] with[0] six[0] channel[0] digital[0] surround[0] sound[0] and[0] fifteen[0] minutes[0] of[0] new[0] footage[0] never[0] before[0] seen[0] as[0] long[0] as[0] a[0] new[0] ending[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
chris mcniell is an actress living in georgetown washington with her twelve year old daughter regan . 	chris mcniell is an actress living in georgetown washington with her twelve year old daughter regan .	1	-1	 chris[0] mcniell[0] is[0] an[0] actress[0] living[0] in[0] georgetown[0] washington[0] with[0] her[0] twelve[0] year[0] old[0] daughter[0] regan[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
while working on a new film , chris still stays close to regan , but starts to wonder why her bed shakes at night , and why regan starts to have convulsions all of a sudden . 	while working on a new film , chris still stays close to regan , but starts to wonder why her bed shakes at night , and why regan starts to have convulsions all of a sudden .	1	-2	 while[0] working[0] on[0] a[0] new[0] film[0] chris[0] still[0] stays[0] close[0] to[0] regan[0] but[0] starts[0] to[0] wonder[0] why[0] her[0] bed[0] shakes[-1] at[0] night[0] and[0] why[0] regan[0] starts[0] to[0] have[0] convulsions[0] all[0] of[0] a[0] sudden[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
when chris finds out that regan is possessed by a demon , she shuns at the fact of it , but considers getting a priest to help her daughter . 	when chris finds out that regan is possessed by a demon , she shuns at the fact of it , but considers getting a priest to help her daughter .	1	-2	 when[0] chris[0] finds[0] out[0] that[0] regan[0] is[0] possessed[0] by[0] a[0] demon[-1] she[0] shuns[-1] at[0] the[0] fact[0] of[0] it[0] but[0] considers[0] getting[0] a[0] priest[0] to[0] help[0] her[0] daughter[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
father karras ( jason miller ) is the man they bring in , his mother has just died , and still in mourning he decides to help this little girl . 	father karras ( jason miller ) is the man they bring in , his mother has just died , and still in mourning he decides to help this little girl .	1	-3	 father[0] karras[0] jason[0] miller[0] is[0] the[0] man[0] they[0] bring[0] in[0] his[0] mother[0] has[0] just[0] died[0] and[0] still[0] in[0] mourning[-2] he[0] decides[0] to[0] help[0] this[0] little[0] girl[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
christ , father karras , and their nanny sharon ( kitty winn ) have to sit and wait until a man shows up , that man is the exorcist , and that man will help this little girl . 	christ , father karras , and their nanny sharon ( kitty win ) have to sit and wait until a man shows up , that man is the exorcist , and that man will help this little girl .	1	-1	 christ[0] father[0] karras[0] and[0] their[0] nanny[0] sharon[0] kitty[0] winn/win[0] have[0] to[0] sit[0] and[0] wait[0] until[0] a[0] man[0] shows[0] up[0] that[0] man[0] is[0] the[0] exorcist[0] and[0] that[0] man[0] will[0] help[0] this[0] little[0] girl[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
