 " when you get out of jail , you can kill him . " 	Translation	Positive	Negative	EmotionRationale
starring ashley judd , tommy lee jones , bruce greenwood . 	starring ashley judd , tommy lee jones , bruce greenwood .	1	-1	 starring[0] ashley[0] judd[0] tommy[0] lee[0] jones[0] bruce[0] greenwood[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
rated r . 	rated are .	1	-1	 rated[0] r[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
double jeopardy is a lurid , prepostrous thriller that's also one of the year's most enjoyable . 	double jeopardy is a lurid , prepostrous thriller that's also one of the year's most enjoyable .	3	-2	 double[0] jeopardy[-1] is[0] a[0] lurid[0] prepostrous[0] thriller[1] that's[0] also[0] one[0] of[0] the[0] year's[0] most[0] enjoyable[2] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
it's an uncompromisingly brutal , cheerfully anarchic , hyperactive actioner that has a mission and never diverts from it . 	it's an uncompromisingly brutal , cheerfully anarchic , hyperactive actioner that has a mission and never diverts from it .	3	-3	 it's[0] an[0] uncompromisingly[0] brutal[-2] cheerfully[2] anarchic[0] hyperactive[0] actioner[0] that[0] has[0] a[0] mission[0] and[0] never[0] diverts[0] from[0] it[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
there is not a moment here when the events on screen don't have a direct bearing on the plot ; once the film gets going it never stops . 	there is not a moment here when the events on screen don't have a direct bearing on the plot ; once the film gets going it never stops .	1	-1	 there[0] is[0] not[0] a[0] moment[0] here[0] when[0] the[0] events[0] on[0] screen[0] don't[0] have[0] a[0] direct[0] bearing[0] on[0] the[0] plot[0] once[0] the[0] film[0] gets[0] going[0] it[0] never[0] stops[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it has been branded as the female version of the fugitive and that's probably a correct assessment of the plot , but the film itself has little in common with the 1993 andrew davis/harrison ford collaboration besides the presence of star tommy lee jones . 	it has been branded as the female version of the fugitive and that's probably a correct assessment of the plot , but the film itself has little in common with the 1993 andrew davis/harrison ford collaboration besides the presence of star tommy lee jones .	1	-2	 it[0] has[0] been[0] branded[0] as[0] the[0] female[0] version[0] of[0] the[0] fugitive[-1] and[0] that's[0] probably[0] a[0] correct[0] assessment[0] of[0] the[0] plot[0] but[0] the[0] film[0] itself[0] has[0] little[0] in[0] common[0] with[0] the[0] 1993[0] andrew[0] davis/harrison[0] ford[0] collaboration[0] besides[0] the[0] presence[0] of[0] star[0] tommy[0] lee[0] jones[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
not even bothering with character introduction , director bruce beresford floors the gas pedal from the get-go and never finds the brake . 	not even bothering with character introduction , director bruce beresford floors the gas pedal from the get-go and never finds the brake .	2	-1	 not[0] even[0] bothering[-1][NegatedDueToPreviousWord] with[0] character[0] introduction[0] director[0] bruce[0] beresford[0] floors[0] the[0] gas[0] pedal[0] from[0] the[0] get[0] go[0] and[0] never[0] finds[0] the[0] brake[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
we meet , rather hastily , libby and nick parsons ( ashley judd and bruce greenwood , respectively ) a seemingly happy married couple , with a son matty , age 4 . they go out on a sailboat one night , and after a period of some rockin' sex , they go to sleep . 	we meet , rather hastily , libby and nick parsons ( ashley judd and bruce greenwood , respectively ) a seemingly happy married couple , with a son matty , age 4 .<br> they go out on a sailboat one night , and after a period of some rockin' sex , they go to sleep .	3	-1	 we[0] meet[0] rather[0] hastily[0] libby[0] and[0] nick[0] parsons[0] ashley[0] judd[0] and[0] bruce[0] greenwood[0] respectively[2] a[0] seemingly[0] happy[1] married[0] couple[0] with[0] a[0] son[0] matty[0] age[0] 4[0] [[Sentence=-1,3=word max, 1-5]] they[0] go[0] out[0] on[0] a[0] sailboat[0] one[0] night[0] and[0] after[0] a[0] period[0] of[0] some[0] rockin'[0] sex[0] they[0] go[0] to[0] sleep[0] [[Sentence=-1,1=word max, 1-5]][[[3,-1 max of sentences]]]
libby hears a strange noise , wakes up and discovers that she is covered with blood . 	libby hears a strange noise , wakes up and discovers that she is covered with blood .	1	-1	 libby[0] hears[0] a[0] strange[0] noise[0] wakes[0] up[0] and[0] discovers[0] that[0] she[0] is[0] covered[0] with[0] blood[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
she follows a red trail to the upper deck , where she finds a knife and , out of astonishment , picks it up . 	she follows a red trail to the upper deck , where she finds a knife and , out of astonishment , picks it up .	1	-2	 she[0] follows[0] a[0] red[0] trail[0] to[0] the[0] upper[0] deck[0] where[0] she[0] finds[0] a[0] knife[-1] and[0] out[0] of[0] astonishment[0] picks[0] it[0] up[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
