there is a striking scene early in " city of angels , " where all the angels who live unseen in our midst , gather at the beach to watch the sun rise . 	Translation	Positive	Negative	EmotionRationale
the camera moves above them , showing the endless rows of ethereal men and women , all garbed in black . 	the camera moves above them , showing the endless rows of ethereal men and women , all garbed in black .	1	-1	 the[0] camera[0] moves[0] above[0] them[0] showing[0] the[0] endless[0] rows[0] of[0] ethereal[0] men[0] and[0] women[0] all[0] garbed[0] in[0] black[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
then the camera moves in on the face of seth , an angel played by nicolas cage , and as the sun rises , he smiles and his entire face lights up . 	then the camera moves in on the face of seth , an angel played by nicolas cage , and as the sun rises , he smiles and his entire face lights up .	3	-1	 then[0] the[0] camera[0] moves[0] in[0] on[0] the[0] face[0] of[0] seth[0] an[0] angel[0] played[0] by[0] nicolas[0] cage[0] and[0] as[0] the[0] sun[0] rises[0] he[0] smiles[2] and[0] his[0] entire[0] face[0] lights[0] up[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
you see , the angels can hear music in sunrises and sunsets , but they cannot feel a human touch . 	you see , the angels can hear music in sunrises and sunsets , but they cannot feel a human touch .	1	-1	 you[0] see[0] the[0] angels[0] can[0] hear[0] music[0] in[0] sunrises[0] and[0] sunsets[0] but[0] they[0] cannot[0] feel[0] a[0] human[0] touch[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it is an important scene for several reasons . 	it is an important scene for several reasons .	1	-1	 it[0] is[0] an[0] important[0] scene[0] for[0] several[0] reasons[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
first of all , it is one of many instances in the film that make angels seem thoroughly plausible . 	first of all , it is one of many instances in the film that make angels seem thoroughly plausible .	1	-1	 first[0] of[0] all[0] it[0] is[0] one[0] of[0] many[0] instances[0] in[0] the[0] film[0] that[0] make[0] angels[0] seem[0] thoroughly[0] plausible[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the film presents these fantastic beings as normal-looking people who drift amongst the inhabitants of earth , watching what goes on with little interference . 	the film presents these fantastic beings as normal-looking people who drift amongst the inhabitants of earth , watching what goes on with little interference .	3	-2	 the[0] film[0] presents[0] these[0] fantastic[2] beings[0] as[0] normal[0] looking[0] people[0] who[0] drift[0] amongst[0] the[0] inhabitants[0] of[0] earth[0] watching[0] what[0] goes[0] on[0] with[0] little[0] interference[-1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
there are none of the standard , hokey angel references used in recent films like " angels in the outfield " ( 1994 ) or " michael " ( 1996 ) . 	there are none of the standard , hokey angel references used in recent films like " angels in the outfield " ( 1994 ) or " michael " ( 1996 ) .	2	-1	 there[0] are[0] none[0] of[0] the[0] standard[0] hokey[0] angel[0] references[0] used[0] in[0] recent[0] films[0] like[1] angels[0] in[0] the[0] outfield[0] 1994[0] or[0] michael[0] 1996[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the angels here are stark and believable . 	the angels here are stark and believable .	1	-2	 the[0] angels[0] here[0] are[0] stark[-1] and[0] believable[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
this early scene on the beach is also an important scene of juxtaposition , for its shows how god's angels can enjoy aspects of the earth that human cannot , and yet they are denied so many simple human pleasures , like feeling the sand on their feet or the waves lapping at their legs , or the smell of the salt in the air . 	this early scene on the beach is also an important scene of juxtaposition , for its shows how god's angels can enjoy aspects of the earth that human cannot , and yet they are denied so many simple human pleasures , like feeling the sand on their feet or the waves lapping at their legs , or the smell of the salt in the air .	3	-2	 this[0] early[0] scene[0] on[0] the[0] beach[0] is[0] also[0] an[0] important[0] scene[0] of[0] juxtaposition[0] for[0] its[0] shows[0] how[0] god's[0] angels[0] can[0] enjoy[2] aspects[0] of[0] the[0] earth[0] that[0] human[0] cannot[0] and[0] yet[0] they[0] are[0] denied[-1] so[0] many[0] simple[0] human[0] pleasures[2] like[1] feeling[0] the[0] sand[0] on[0] their[0] feet[0] or[0] the[0] waves[0] lapping[0] at[0] their[0] legs[0] or[0] the[0] smell[0] of[0] the[0] salt[0] in[0] the[0] air[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
there is an inherent tragedy in being an angel , although there is much beauty in it as well . 	there is an inherent tragedy in being an angel , although there is much beauty in it as well .	3	-3	 there[0] is[0] an[0] inherent[0] tragedy[-2] in[0] being[0] an[0] angel[0] although[0] there[0] is[0] much[0] beauty[2] in[0] it[0] as[0] well[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
