the event of events is upon us . 	Translation	Positive	Negative	EmotionRationale
people have waited twenty-two years for the prequel to star wars and die-hard fans have been camping out at theaters for months to get tickets to see it . 	people have waited twenty-two years for the prequel to star wars and die-hard fans have been camping out at theaters for months to get tickets to see it .	1	-3	 people[0] have[0] waited[0] twenty[0] two[0] years[0] for[0] the[0] prequel[0] to[0] star[0] wars[-2] and[0] die[0] hard[0] fans[0] have[0] been[0] camping[0] out[0] at[0] theaters[0] for[0] months[0] to[0] get[0] tickets[0] to[0] see[0] it[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
i don't think that america will ever actually recover from what this hurricane of a film has caused . 	i don't think that america will ever actually recover from what this hurricane of a film has caused .	1	-1	 i[0] don't[0] think[0] that[0] america[0] will[0] ever[0] actually[0] recover[0] from[0] what[0] this[0] hurricane[0] of[0] a[0] film[0] has[0] caused[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it is not a bit of an exaggeration to say that this is the most highly anticipated movie in history . 	it is not a bit of an exaggeration to say that this is the most highly anticipated movie in history .	1	-2	 it[0] is[0] not[0] a[0] bit[0] of[0] an[0] exaggeration[-1] to[0] say[0] that[0] this[0] is[0] the[0] most[0] highly[0] anticipated[0] movie[0] in[0] history[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
anyone who tells you " it's just a movie " is either lying or clueless . 	anyone who tells you " it's just a movie " is either lying or clueless .	1	-4	 anyone[0] who[0] tells[0] you[0] it's[0] just[0] a[0] movie[0] is[0] either[0] lying[-3] or[0] clueless[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
it is clearly obvious that after the waiting and the hype actually seeing the movie will be anticlimactic . 	it is clearly obvious that after the waiting and the hype actually seeing the movie will be anticlimactic .	1	-1	 it[0] is[0] clearly[0] obvious[0] that[0] after[0] the[0] waiting[0] and[0] the[0] hype[0] actually[0] seeing[0] the[0] movie[0] will[0] be[0] anticlimactic[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the second coming of the lord could not live up to the kind of buzz ( which is far too weak a word ) that star wars epsode i : the phantom menace so effortlessly generated . 	the second coming of the lord could not live up to the kind of buz ( which is far too weak a word ) that star wars epsode i : the phantom menace so effortlessly generated .	2	-3	 the[0] second[0] coming[0] of[0] the[0] lord[0] could[0] not[0] live[0] up[0] to[0] the[0] kind[1] of[0] buzz/buz[0] which[0] is[0] far[0] too[0] weak[-1] a[0] word[0] that[0] star[0] wars[-2] epsode[0] i[0] the[0] phantom[0] menace[-2] so[0] effortlessly[0] generated[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
but that does not mean that the film itself is bad . 	but that does not mean that the film itself is bad .	1	-2	 but[0] that[0] does[0] not[0] mean[0] that[0] the[0] film[0] itself[0] is[0] bad[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
in fact , it is terrific . 	in fact , it is terrific .	4	-1	 in[0] fact[0] it[0] is[0] terrific[3] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
i strongly suspect that many of the people who were dissappointed by it have simply surrendered to the media machine and the inevitable backlash . 	i strongly suspect that many of the people who were disappointed by it have simply surrendered to the media machine and the inevitable backlash .	1	-2	 i[0] strongly[0] suspect[-1] that[0] many[0] of[0] the[0] people[0] who[0] were[0] dissappointed/disappointed[-1] by[0] it[0] have[0] simply[0] surrendered[0] to[0] the[0] media[0] machine[0] and[0] the[0] inevitable[0] backlash[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it is set some decades before the events of the original 1977 star wars took place . 	it is set some decades before the events of the original 1977 star wars took place .	1	-3	 it[0] is[0] set[0] some[0] decades[0] before[0] the[0] events[0] of[0] the[0] original[0] 1977[0] star[0] wars[-2] took[0] place[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
