i was originally going to give the spanish prisoner two and half stars . 	Translation	Positive	Negative	EmotionRationale
from my first viewing , i noticed that david mamet's film was intense and clever at times but boring and cliched at other times especially at the beginning . 	from my first viewing , i noticed that david mamet's film was intense and clever at times but boring and cliched at other times especially at the beginning .	1	-2	 from[0] my[0] first[0] viewing[0] i[0] noticed[0] that[0] david[0] mamet's[0] film[0] was[0] intense[0] and[0] clever[0] at[0] times[0] but[0] boring[-1] and[0] cliched[0] at[0] other[0] times[0] especially[0] at[0] the[0] beginning[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
from my second viewing however , i noticed that mamet's script was actually a masterpiece . 	from my second viewing however , i noticed that mamet's script was actually a masterpiece .	1	-1	 from[0] my[0] second[0] viewing[0] however[0] i[0] noticed[0] that[0] mamet's[0] script[0] was[0] actually[0] a[0] masterpiece[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the spanish prisoner , like the usual suspects or chinatown , begs for the viewer's complete attention . 	the spanish prisoner , like the usual suspects or chinatown , begs for the viewer's complete attention .	2	-2	 the[0] spanish[0] prisoner[-1] like[1] the[0] usual[0] suspects[0] or[0] chinatown[0] begs[0] for[0] the[0] viewer's[0] complete[0] attention[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
miss a scene or even a small detail , and you could miss the meaning of the entire film . 	miss a scene or even a small detail , and you could miss the meaning of the entire film .	2	-2	 miss[-1] a[0] scene[0] or[0] even[0] a[0] small[0] detail[0] and[0] you[0] could[0] miss[-1][--1 LastWordBoosterStrength] the[0] meaning[0] of[0] the[0] entire[0] film[0] [[Sentence=-2,1=word max, 1-5]] [[changed to +2 due to 'miss']][[[2,-2 max of sentences]]]
also like the aforementioned films , it rewards its viewer for paying attention by delivering a surprising and memorable ending . 	also like the aforementioned films , it rewards its viewer for paying attention by delivering a surprising and memorable ending .	2	-1	 also[0] like[1] the[0] aforementioned[0] films[0] it[0] rewards[1] its[0] viewer[0] for[0] paying[0] attention[0] by[0] delivering[0] a[0] surprising[0] and[0] memorable[0] ending[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
mamet is success doing again what he once tackled in 1987 when he wrote and directed house of games . 	mamet is success doing again what he once tackled in 1987 when he wrote and directed house of games .	3	-1	 mamet[0] is[0] success[2] doing[0] again[0] what[0] he[0] once[0] tackled[0] in[0] 1987[0] when[0] he[0] wrote[0] and[0] directed[0] house[0] of[0] games[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
like his past gem , the spanish prisoner fools the audience as much ( or even more ) than the victim . 	like his past gem , the spanish prisoner fools the audience as much ( or even more ) than the victim .	2	-3	 like[1] his[0] past[0] gem[0] the[0] spanish[0] prisoner[-1] fools[-1] the[0] audience[0] as[0] much[0] or[0] even[0] more[0] than[0] the[0] victim[-2] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
because we were deceived just like the victim , we feel a strong attachment to the main character and consequently are more interested in the film . 	because we were deceived just like the victim , we feel a strong attachment to the main character and consequently are more interested in the film .	2	-3	 because[0] we[0] were[0] deceived[0] just[0] like[1][-1 LastWordBoosterStrength] the[0] victim[-2] we[0] feel[0] a[0] strong[0] attachment[0] to[0] the[0] main[0] character[0] and[0] consequently[0] are[0] more[0] interested[1] in[0] the[0] film[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
mamet has the talent of not completely ending a film gift wrapped , but rather leaving some ambiguity towards the end . 	mamet has the talent of not completely ending a film gift wrapped , but rather leaving some ambiguity towards the end .	2	-1	 mamet[0] has[0] the[0] talent[1] of[0] not[0] completely[0] ending[0] a[0] film[0] gift[0] wrapped[0] but[0] rather[0] leaving[0] some[0] ambiguity[-1][--1 LastWordBoosterStrength] towards[0] the[0] end[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the power that he has in forcing the viewer to determine who the good guys and bad guys are once the film is over , without giving a right answer , is unique and ingenious . 	the power that he has in forcing the viewer to determine who the good guys and bad guys are once the film is over , without giving a right answer , is unique and ingenious .	2	-2	 the[0] power[0] that[0] he[0] has[0] in[0] forcing[0] the[0] viewer[0] to[0] determine[0] who[0] the[0] good[1] guys[0] and[0] bad[-1] guys[0] are[0] once[0] the[0] film[0] is[0] over[0] without[0] giving[0] a[0] right[0] answer[0] is[0] unique[0] and[0] ingenious[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
