jerry springer has got nothing on " wild things . " 	Translation	Positive	Negative	EmotionRationale
john mcnaughton's new thriller tackles more tawdry themes in less than two hours than springer's notoriously sleazy talk show broadcasts in two weeks -- bisexuality , threesomes , poolside catfights , slutty rich bimbos , even redneck gator-wrestling , they're all part of the movie's raucous , complex storyline . 	john mcnaughton's new thriller tackles more tawdry themes in less than two hours than springer's notoriously sleazy talk show broadcasts in two weeks - bisexuality , threesomes , poolside catfights , slutty rich bimbos , even redneck gator-wrestling , they're all part of the movie's raucous , complex storyline .	2	-3	 john[0] mcnaughton's[0] new[0] thriller[1] tackles[0] more[0] tawdry[0] themes[0] in[0] less[0] than[0] two[0] hours[0] than[0] springer's[0] notoriously[-1] sleazy[-2] talk[0] show[0] broadcasts[0] in[0] two[0] weeks[0] bisexuality[0] threesomes[0] poolside[0] catfights[0] slutty[-2] rich[0] bimbos[0] even[0] redneck[0] gator[0] wrestling[0] they're[0] all[0] part[0] of[0] the[0] movie's[0] raucous[0] complex[0] storyline[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
but even trash tv topicality can't drag " wild things " down -- this crazy campfest plays like something you'd find late-night on the usa network , only infinitely more palatable and with a solid ensemble cast . 	but even trash tv topicality can't drag " wild things " down - this crazy campfest plays like something you'd find late-night on the usa network , only infinitely more palatable and with a solid ensemble cast .	2	-2	 but[0] even[0] trash[-1] tv[0] topicality[0] can't[0] drag[-1][NegatedDueToPreviousWord] wild[0] things[0] down[0] this[0] crazy[-1] campfest[0] plays[1] like[1] something[0] you'd[0] find[0] late[0] night[0] on[0] the[0] usa[0] network[0] only[0] infinitely[0] more[0] palatable[1] and[0] with[0] a[0] solid[0] ensemble[0] cast[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
despite a smattering of needless scenes ( most of them sexual in nature ) , there's wicked fun to be had here . 	despite a smattering of needless scenes ( most of them sexual in nature ) , there's wicked fun to be had here .	3	-1	 despite[0] a[0] smattering[0] of[0] needless[0] scenes[0] most[0] of[0] them[0] sexual[0] in[0] nature[0] there's[0] wicked[2] fun[1] to[0] be[0] had[0] here[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
 " wild things " would be a guilty pleasure , only there's no guilty feeling involved in having a good time with it . 	 " wild things " would be a guilty pleasure , only there's no guilty feeling involved in having a good time with it .	3	-4	 wild[0] things[0] would[0] be[0] a[0] guilty[-3] pleasure[2] only[0] there's[0] no[0] guilty[-3] feeling[0] involved[0] in[0] having[0] a[0] good[1] time[0] with[0] it[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
high school guidance counselor sam lombardo ( matt dillon ) is well-liked in the town of blue bay , especially by pretty , popular kelly van ryan ( denise richards ) , whose family name is among the florida yachting enclave's most financially prominent . 	high school guidance counselor sam lombardo ( matt dillon ) is well-liked in the town of blue bay , especially by pretty , popular kelly van ryan ( denise richards ) , whose family name is among the florida yachting enclave's most financially prominent .	3	-1	 high[0] school[0] guidance[0] counselor[0] sam[0] lombardo[0] matt[0] dillon[0] is[0] well[0] liked[2] in[0] the[0] town[0] of[0] blue[0] bay[0] especially[0] by[0] pretty[2] popular[0] kelly[0] van[0] ryan[0] denise[0] richards[0] whose[0] family[0] name[0] is[0] among[0] the[0] florida[0] yachting[0] enclave's[0] most[0] financially[0] prominent[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
hoping to take her crush to a physical level , kelly seductively slinks into lombardo's house after washing his jeep for a fundraiser , but , the very next day , tearfully admits to her trollop mother ( theresa russell ) that she was raped . 	hoping to take her crush to a physical level , kelly seductively slinks into lombardo's house after washing his jeep for a fundraiser , but , the very next day , tearfully admits to her trollop mother ( theresa russell ) that she was raped .	2	-4	 hoping[1] to[0] take[0] her[0] crush[-1] to[0] a[0] physical[0] level[0] kelly[0] seductively[0] slinks[0] into[0] lombardo's[0] house[0] after[0] washing[0] his[0] jeep[0] for[0] a[0] fundraiser[0] but[0] the[0] very[0] next[0] day[0] tearfully[0] admits[0] to[0] her[0] trollop[0] mother[0] theresa[0] russell[0] that[0] she[0] was[0] raped[-3] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
before long , blue bay detectives ray duquette ( kevin bacon ) and gloria perez ( daphne rubin-vega ) are listening to similar allegations from kelly's rebel classmate suzie toller ( neve campbell ) . 	before long , blue bay detectives ray duquette ( kevin bacon ) and gloria perez ( daphne rubin-vega ) are listening to similar allegations from kelly's rebel classmate suzie toller ( neve campbell ) .	2	-2	 before[0] long[0] blue[0] bay[0] detectives[0] ray[0] duquette[0] kevin[0] bacon[0] and[0] gloria[1] perez[0] daphne[0] rubin[0] vega[0] are[0] listening[0] to[0] similar[0] allegations[-1] from[0] kelly's[0] rebel[-1] classmate[0] suzie[0] toller[0] neve[0] campbell[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
lombardo , who maintains his innocence , hires neck brace-sporting , opportunistic lawyer ken bowden ( bill murray ) to defend him in court . 	lombardo , who maintains his innocence , hires neck brace-sporting , opportunistic lawyer ken bowden ( bill murray ) to defend him in court .	2	-1	 lombardo[0] who[0] maintains[0] his[0] innocence[1] hires[0] neck[0] brace[0] sporting[0] opportunistic[0] lawyer[0] ken[0] bowden[0] bill[0] murray[0] to[0] defend[0] him[0] in[0] court[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the previews give away the following revelations , so if you haven't seen any of the movie's spots on the television or in the theater , you might want to skip to the next paragraph . 	the previews give away the following revelations , so if you haven't seen any of the movie's spots on the television or in the theater , you might want to skip to the next paragraph .	1	-1	 the[0] previews[0] give[0] away[0] the[0] following[0] revelations[0] so[0] if[0] you[0] haven't[0] seen[0] any[0] of[0] the[0] movie's[0] spots[0] on[0] the[0] television[0] or[0] in[0] the[0] theater[0] you[0] might[0] want[0] to[0] skip[0] to[0] the[0] next[0] paragraph[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
while cross-examining suzie on the witness stand , bowden gets her to break down and admit that the alleged rapes never took place -- that kelly had concocted this entire scheme because she was angry that lombardo was sleeping with her mother and not with her . 	while cross-examining suzie on the witness stand , bowden gets her to break down and admit that the alleged rapes never took place - that kelly had concocted this entire scheme because she was angry that lombardo was sleeping with her mother and not with her .	1	-4	 while[0] cross[-1] examining[0] suzie[0] on[0] the[0] witness[0] stand[0] bowden[0] gets[0] her[0] to[0] break[0] down[0] and[0] admit[0] that[0] the[0] alleged[-1] rapes[-3] never[0] took[0] place[0] that[0] kelly[0] had[0] concocted[0] this[0] entire[0] scheme[0] because[0] she[0] was[0] angry[-3] that[0] lombardo[0] was[0] sleeping[0] with[0] her[0] mother[0] and[0] not[0] with[0] her[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
to pay lombardo for the damages , kelly's mother breaks her daughter's trust fund and gives him  8 . 5 million . 	to pay lombardo for the damages , kelly's mother breaks her daughter's trust fund and gives him  8 .<br> 5 million .	2	-1	 to[0] pay[0] lombardo[0] for[0] the[0] damages[0] kelly's[0] mother[0] breaks[0] her[0] daughter's[0] trust[1] fund[0] and[0] gives[0] him[0] 8[0] [[Sentence=-1,2=word max, 1-5]] 5[0] million[0] [[Sentence=-1,1=word max, 1-5]][[[2,-1 max of sentences]]]
but lombardo , kelly and suzie are actually all working together , and plan to take the money and run as fast as they can . 	but lombardo , kelly and suzie are actually all working together , and plan to take the money and run as fast as they can .	1	-1	 but[0] lombardo[0] kelly[0] and[0] suzie[0] are[0] actually[0] all[0] working[0] together[0] and[0] plan[0] to[0] take[0] the[0] money[0] and[0] run[0] as[0] fast[0] as[0] they[0] can[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
