according to hollywood movies made in last few decades , life in small town is one of the worst things that could happen to a human being . 	Translation	Positive	Negative	EmotionRationale
even worse fate awaits those who were unfortunate to grow up in those dark , god-forsaken places and later forced to live forever traumatised by the experience . 	even worse fate awaits those who were unfortunate to grow up in those dark , god-forsaken places and later forced to live forever traumatised by the experience .	1	-4	 even[0] worse[-2] fate[0] awaits[0] those[0] who[0] were[0] unfortunate[-1] to[0] grow[0] up[0] in[0] those[0] dark[0] god[0] forsaken[0] places[0] and[0] later[0] forced[0] to[0] live[0] forever[0] traumatised[-3] by[0] the[0] experience[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
on the other hand , it seems that something more than atlantic ocean divides europe from america , because one of the most popular and beloved european films takes exactly the opposite view . 	on the other hand , it seems that something more than atlantic ocean divides europe from america , because one of the most popular and beloved european films takes exactly the opposite view .	3	-1	 on[0] the[0] other[0] hand[0] it[0] seems[0] that[0] something[0] more[0] than[0] atlantic[0] ocean[0] divides[0] europe[0] from[0] america[0] because[0] one[0] of[0] the[0] most[0] popular[0] and[0] beloved[2] european[0] films[0] takes[0] exactly[0] the[0] opposite[0] view[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
this film is amarcord , 1974 comedy by famous italian director federico fellini , which later gave inspiration to numerous imitations and homages , and even led few american screen artists to adopt its heretical views about benefits of small town life . 	this film is amarcord , 1974 comedy by famous italian director federico fellini , which later gave inspiration to numerous imitations and homages , and even led few american screen artists to adopt its heretical views about benefits of small town life .	3	-1	 this[0] film[0] is[0] amarcord[0] 1974[0] comedy[0] by[0] famous[0] italian[0] director[0] federico[0] fellini[0] which[0] later[0] gave[0] inspiration[2] to[0] numerous[0] imitations[0] and[0] homages[0] and[0] even[0] led[0] few[0] american[0] screen[0] artists[0] to[0] adopt[0] its[0] heretical[0] views[0] about[0] benefits[0] of[0] small[0] town[0] life[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the film is based on the screenplay by fellini and tonino guerra and it lacks the plot in usual sense . 	the film is based on the screenplay by fellini and tonino guerra and it lacks the plot in usual sense .	1	-1	 the[0] film[0] is[0] based[0] on[0] the[0] screenplay[0] by[0] fellini[0] and[0] tonino[0] guerra[0] and[0] it[0] lacks[0] the[0] plot[0] in[0] usual[0] sense[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
instead we follow one year in 1930s italian summer resort town of rimini through the series of short vignettes that depict various local events and customs , as well as series of local , often very colourful characters . 	instead we follow one year in 1930s italian summer resort town of rimini through the series of short vignettes that depict various local events and customs , as well as series of local , often very colourful characters .	1	-1	 instead[0] we[0] follow[0] one[0] year[0] in[0] 1930s[0] italian[0] summer[0] resort[0] town[0] of[0] rimini[0] through[0] the[0] series[0] of[0] short[0] vignettes[0] that[0] depict[0] various[0] local[0] events[0] and[0] customs[0] as[0] well[0] as[0] series[0] of[0] local[0] often[0] very[0] colourful[0] characters[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
although many of those characters occasionally take the role of narrator , movie concentrates on its nominal protagonist , 14-year old boy titta ( played by bruno zanin ) and chronicles his sexual frustrations , obsession with local beauty queen named gradisca ( played by magali noel ) , problems in his lovingly dysfunctional family , as well as troubles his father ( played by armando brancia ) have with mussolini's fascist regime . 	although many of those characters occasionally take the role of narrator , movie concentrates on its nominal protagonist , 14-year old boy titta ( played by bruno zanin ) and chronicles his sexual frustrations , obsession with local beauty queen named gradisca ( played by magali noel ) , problems in his lovingly dysfunctional family , as well as troubles his father ( played by armando brancia ) have with mussolini's fascist regime .	4	-4	 although[0] many[0] of[0] those[0] characters[0] occasionally[0] take[0] the[0] role[0] of[0] narrator[0] movie[0] concentrates[0] on[0] its[0] nominal[0] protagonist[0] 14[0] year[0] old[0] boy[0] titta[0] played[0] by[0] bruno[0] zanin[0] and[0] chronicles[0] his[0] sexual[0] frustrations[-2] obsession[-2][-1 MultiplePositiveWords] with[0] local[0] beauty[2] queen[0] named[0] gradisca[0] played[0] by[0] magali[0] noel[0] problems[-1] in[0] his[0] lovingly[3] dysfunctional[0] family[0] as[0] well[0] as[0] troubles[-1] his[0] father[0] played[0] by[0] armando[0] brancia[0] have[0] with[0] mussolini's[0] fascist[-1] regime[0] [[Sentence=-4,4=word max, 1-5]][[[4,-4 max of sentences]]]
amarcord was often noted as the ultimate nostalgia film , and it probably explains why it is very popular , even among those people who actually don't like federico fellini's work very much . 	amarcord was often noted as the ultimate nostalgia film , and it probably explains why it is very popular , even among those people who actually don't like federico fellini's work very much .	1	-2	 amarcord[0] was[0] often[0] noted[0] as[0] the[0] ultimate[0] nostalgia[0] film[0] and[0] it[0] probably[0] explains[0] why[0] it[0] is[0] very[0] popular[0] even[0] among[0] those[0] people[0] who[0] actually[0] don't[0] like[1][NegatedDueToPreviousWord] federico[0] fellini's[0] work[0] very[0] much[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
every member of its potential audience would find part of himself or herself in this film , because fellini in this film clearly illustrates natural human desire to paint past in the best way possible . 	every member of its potential audience would find part of himself or herself in this film , because fellini in this film clearly illustrates natural human desire to paint past in the best way possible .	2	-1	 every[0] member[0] of[0] its[0] potential[0] audience[0] would[0] find[0] part[0] of[0] himself[0] or[0] herself[0] in[0] this[0] film[0] because[0] fellini[0] in[0] this[0] film[0] clearly[0] illustrates[0] natural[0] human[0] desire[0] to[0] paint[0] past[0] in[0] the[0] best[1] way[0] possible[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
distortion between actual past and its subjective interpretation could be found even in the title of the film - word " amarcord " is nothing more than badly pronounced phrase " i remember " in local italian dialect . 	distortion between actual past and its subjective interpretation could be found even in the title of the film - word " amarcord " is nothing more than badly pronounced phrase " i remember " in local italian dialect .	1	-2	 distortion[-1] between[0] actual[0] past[0] and[0] its[0] subjective[0] interpretation[0] could[0] be[0] found[0] even[0] in[0] the[0] title[0] of[0] the[0] film[0] word[0] amarcord[0] is[0] nothing[0] more[0] than[0] badly[-1] pronounced[0] phrase[0] i[0] remember[0] in[0] local[0] italian[0] dialect[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
in the same way the word is distorted , so is the past in memories of those who remember it . 	in the same way the word is distorted , so is the past in memories of those who remember it .	1	-2	 in[0] the[0] same[0] way[0] the[0] word[0] is[0] distorted[-1] so[0] is[0] the[0] past[0] in[0] memories[0] of[0] those[0] who[0] remember[0] it[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
