note : some may consider portions of the following text to be spoilers . 	Translation	Positive	Negative	EmotionRationale
be forewarned . 	be forewarned .	1	-1	 be[0] forewarned[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 " all the world's a stage and all the men and women merely players they have their exits and their entrances and one man in his time plays many parts " - excerpt from as you like it , act ii , scene 7 	 " all the world's a stage and all the men and women merely players they have their exits and their entrances and one man in his time plays many parts " - excerpt from as you like it , act i , scene 7	2	-1	 all[0] the[0] world's[0] a[0] stage[0] and[0] all[0] the[0] men[0] and[0] women[0] merely[0] players[0] they[0] have[0] their[0] exits[0] and[0] their[0] entrances[0] and[0] one[0] man[0] in[0] his[0] time[0] plays[1] many[0] parts[0] excerpt[0] from[0] as[0] you[0] like[1] it[0] act[0] ii/i[0] scene[0] 7[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
when william shakespeare penned this passage , he could not have possibly envisioned a world in which the domestic activites in an abode would be broadcast across the continent , or where women would install webcams in their apartments in order to convert voyeurism into cash . 	when william shakespeare penned this passage , he could not have possibly envisioned a world in which the domestic activites in an abode would be broadcast across the continent , or where women would install webcams in their apartments in order to convert voyeurism into cash .	1	-1	 when[0] william[0] shakespeare[0] penned[0] this[0] passage[0] he[0] could[0] not[0] have[0] possibly[0] envisioned[0] a[0] world[0] in[0] which[0] the[0] domestic[0] activites[0] in[0] an[0] abode[0] would[0] be[0] broadcast[0] across[0] the[0] continent[0] or[0] where[0] women[0] would[0] install[0] webcams[0] in[0] their[0] apartments[0] in[0] order[0] to[0] convert[0] voyeurism[0] into[0] cash[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this is the world of today , and it is the perfect climate to unveil a prototypical high-concept project like the truman show . 	this is the world of today , and it is the perfect climate to unveil a prototypical high-concept project like the truman show .	2	-1	 this[0] is[0] the[0] world[0] of[0] today[0] and[0] it[0] is[0] the[0] perfect[1] climate[0] to[0] unveil[0] a[0] prototypical[0] high[0] concept[0] project[0] like[1] the[0] truman[0] show[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
truman burbank ( jim carrey ) seems to have the perfect life . 	truman burbank ( jim carrey ) seems to have the perfect life .	2	-1	 truman[0] burbank[0] jim[0] carrey[0] seems[0] to[0] have[0] the[0] perfect[1] life[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
he has a pretty , doting wife meryl ( laura linney ) , a comfortable insurance sales position , an immaculate suburban home in the idyllic island community of seahaven , a reliable childhood buddy marlon ( noah emmerich ) -- except for the dog that paws a greeting to him every morning and his hydrophobia , this is paradise . 	he has a pretty , doting wife meryl ( laura linney ) , a comfortable insurance sales position , an immaculate suburban home in the idyllic island community of seahaven , a reliable childhood buddy marlon ( noah emmerich ) - except for the dog that paws a greeting to him every morning and his hydrophobia , this is paradise .	4	-1	 he[0] has[0] a[0] pretty[2] doting[0] wife[0] meryl[0] laura[0] linney[0] a[0] comfortable[1] insurance[0] sales[0] position[0] an[0] immaculate[1] suburban[0] home[0] in[0] the[0] idyllic[0] island[0] community[0] of[0] seahaven[0] a[0] reliable[0] childhood[0] buddy[0] marlon[0] noah[0] emmerich[0] except[0] for[0] the[0] dog[0] that[0] paws[0] a[0] greeting[0] to[0] him[0] every[0] morning[0] and[0] his[0] hydrophobia[0] this[0] is[0] paradise[3] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
or so it would seem . 	or so it would seem .	1	-1	 or[0] so[0] it[0] would[0] seem[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
bizarre , inexplicable incidents begin to crop up in truman's life . 	bizarre , inexplicable incidents begin to crop up in truman's life .	1	-2	 bizarre[-1] inexplicable[-1] incidents[0] begin[0] to[0] crop[0] up[0] in[0] truman's[0] life[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
a lighting fixture unexpectedly plummets from the sky . 	a lighting fixture unexpectedly plummets from the sky .	1	-2	 a[0] lighting[0] fixture[0] unexpectedly[-1] plummets[0] from[0] the[0] sky[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
a rainstorm which gives new meaning to the term 'isolated' follows him around . 	a rainstorm which gives new meaning to the term 'isolated' follows him around .	1	-1	 a[0] rainstorm[0] which[0] gives[0] new[0] meaning[0] to[0] the[0] term[0] 'isolated'[0] follows[0] him[0] around[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
