when i first heard that disney's next animated feature was going to be tarzan , i was almost horrified . 	Translation	Positive	Negative	EmotionRationale
i was worried that disney was going to make another hercules ( sorry , jerk-ules ) . 	i was worried that disney was going to make another hercules ( sorry , jerk-ules ) .	1	-4	 i[0] was[0] worried[-3] that[0] disney[0] was[0] going[0] to[0] make[0] another[0] hercules[0] sorry[-1] jerk[-2] ules[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
that effort was too overloaded with comedy ( and the hero was too boastful and pompous to be considered a sympathetic hero ) , and , after viewing it to this day , i find it a disgrace for disney animation . 	that effort was too overloaded with comedy ( and the hero was too boastful and pompous to be considered a sympathetic hero ) , and , after viewing it to this day , i find it a disgrace for disney animation .	3	-4	 that[0] effort[0] was[0] too[0] overloaded[0] with[0] comedy[0] and[0] the[0] hero[2] was[0] too[0] boastful[-1] and[0] pompous[-1] to[0] be[0] considered[0] a[0] sympathetic[0] hero[2] and[0] after[0] viewing[0] it[0] to[0] this[0] day[0] i[0] find[0] it[0] a[0] disgrace[-3] for[0] disney[0] animation[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
when i saw the trailers , i was thinking " hmm . . . 	when i saw the trailers , i was thinking " hm .<br> .<br> .	1	-1	 when[0] i[0] saw[0] the[0] trailers[0] i[0] was[0] thinking[0] hmm/hm[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this isn't bad at all . 	this isn't bad at all .	2	-1	 this[0] isn't[0] bad[-1][NegatedDueToPreviousWord] at[0] all[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
this just might have potential . " 	this just might have potential .<br> "	1	-1	 this[0] just[0] might[0] have[0] potential[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
when i bought the soundtrack , i was really quite surprised at how different it sounded from most disney features . 	when i bought the soundtrack , i was really quite surprised at how different it sounded from most disney features .	1	-1	 when[0] i[0] bought[0] the[0] soundtrack[0] i[0] was[0] really[0] quite[0] surprised[0] at[0] how[0] different[0] it[0] sounded[0] from[0] most[0] disney[0] features[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i have never really heard of phil collins , nor have i heard of mark mancina , so i was wondering , how would these two make this disney flick spin ? 	i have never really heard of phil collins , nor have i heard of mark mancina , so i was wondering , how would these two make this disney flick spin ?	1	-1	 i[0] have[0] never[0] really[0] heard[0] of[0] phil[0] collins[0] nor[0] have[0] i[0] heard[0] of[0] mark[0] mancina[0] so[0] i[0] was[0] wondering[0] how[0] would[0] these[0] two[0] make[0] this[0] disney[0] flick[0] spin[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i was pleasantly surprised : the music is top-notch . 	i was pleasantly surprised : the music is top-notch .	3	-1	 i[0] was[0] pleasantly[2] surprised[0] the[0] music[0] is[0] top[0] notch[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
phil collins' songs are terrific , percussion-heavy pieces of work that seem to break the formula for typical disney songs . 	phil collins' songs are terrific , percussion-heavy pieces of work that seem to break the formula for typical disney songs .	4	-1	 phil[0] collins'[0] songs[0] are[0] terrific[3] percussion[0] heavy[0] pieces[0] of[0] work[0] that[0] seem[0] to[0] break[0] the[0] formula[0] for[0] typical[0] disney[0] songs[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
the score from mark mancina was also neat ; it reminded me a bit of the lion king , but it was more original . 	the score from mark mancina was also neat ; it reminded me a bit of the lion king , but it was more original .	1	-1	 the[0] score[0] from[0] mark[0] mancina[0] was[0] also[0] neat[0] it[0] reminded[0] me[0] a[0] bit[0] of[0] the[0] lion[0] king[0] but[0] it[0] was[0] more[0] original[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
so , the soundtrack wasn't bad at all , considering it was by two people i am not familiar with . 	so , the soundtrack wasn't bad at all , considering it was by two people i am not familiar with .	1	-2	 so[0] the[0] soundtrack[0] wasn't[0] bad[-1] at[0] all[0] considering[0] it[0] was[0] by[0] two[0] people[0] i[0] am[0] not[0] familiar[0] with[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
this film could be good . . . 	this film could be good .<br> .<br> .	2	-1	 this[0] film[0] could[0] be[0] good[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
but will it be ? 	but will it be ?	1	-1	 but[0] will[0] it[0] be[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
when i finally went to see it ( on opening day , as i tend to do with most disney animated features ) , my question was answered , in a complete turnabout of expectations for me : disney's tarzan is surprisingly decent . 	when i finally went to see it ( on opening day , as i tend to do with most disney animated features ) , my question was answered , in a complete turnabout of expectations for me : disney's tarzan is surprisingly decent .	1	-1	 when[0] i[0] finally[0] went[0] to[0] see[0] it[0] on[0] opening[0] day[0] as[0] i[0] tend[0] to[0] do[0] with[0] most[0] disney[0] animated[0] features[0] my[0] question[0] was[0] answered[0] in[0] a[0] complete[0] turnabout[0] of[0] expectations[0] for[0] me[0] disney's[0] tarzan[0] is[0] surprisingly[0] decent[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the story starts out with tarzan's parents surviving a shipwreck and finding a home on an island where apes live in peace . 	the story starts out with tarzan's parents surviving a shipwreck and finding a home on an island where apes live in peace .	1	-2	 the[0] story[0] starts[0] out[0] with[0] tarzan's[0] parents[0] surviving[0] a[0] shipwreck[-1] and[0] finding[0] a[0] home[0] on[0] an[0] island[0] where[0] apes[0] live[0] in[0] peace[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
however , one day , a vicious leopard , sabor , attacks and kills tarzan's parents , leaving him ( at this time , a baby ) alone-until kala of the apes rescues him . 	however , one day , a vicious leopard , sabor , attacks and kills tarzan's parents , leaving him ( at this time , a baby ) alone-until kala of the apes rescues him .	2	-4	 however[0] one[0] day[0] a[0] vicious[-3] leopard[0] sabor[0] attacks[-2] and[0] kills[0] tarzan's[0] parents[0] leaving[0] him[0] at[0] this[0] time[0] a[0] baby[1] alone[0] until[0] kala[0] of[0] the[0] apes[0] rescues[0] him[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
kala wants to raise the child as her own ( she lost hers previously to sabor ) , but her mate , kerchak is not too sure . 	kala wants to raise the child as her own ( she lost hers previously to sabor ) , but her mate , kerchak is not too sure .	2	-1	 kala[0] wants[0] to[0] raise[0] the[0] child[0] as[0] her[0] own[0] she[0] lost[0] hers[0] previously[0] to[0] sabor[0] but[0] her[0] mate[1] kerchak[0] is[0] not[0] too[0] sure[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
 " it's not our kind , " he says . 	 " it's not our kind , " he says .	1	-2	 it's[0] not[0] our[0] kind[1][NegatedDueToPreviousWord] he[0] says[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
he agrees , though , to let her take care of little tarzan , but " that doesn't make him my son . " 	he agrees , though , to let her take care of little tarzan , but " that doesn't make him my son .<br> "	2	-1	 he[0] agrees[0] though[0] to[0] let[0] her[0] take[0] care[1] of[0] little[0] tarzan[0] but[0] that[0] doesn't[0] make[0] him[0] my[0] son[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
tarzan grows up , vowing to be " the best ape ever " , but no matter how hard he tries or what he does ( at the guidance of his hilarious ape friend , terk ) , he just can't convince kerchak that he is one of the apes , even when he defeats sabor in a battle . 	tarzan grows up , vowing to be " the best ape ever " , but no matter how hard he tries or what he does ( at the guidance of his hilarious ape friend , terk ) , he just can't convince kerchak that he is one of the apes , even when he defeats sabor in a battle .	3	-2	 tarzan[0] grows[0] up[0] vowing[0] to[0] be[0] the[0] best[1] ape[0] ever[0] but[0] no[0] matter[0] how[0] hard[0] he[0] tries[0] or[0] what[0] he[0] does[0] at[0] the[0] guidance[0] of[0] his[0] hilarious[2] ape[0] friend[1] terk[0] he[0] just[0] can't[0] convince[0] kerchak[0] that[0] he[0] is[0] one[0] of[0] the[0] apes[0] even[0] when[0] he[0] defeats[0] sabor[0] in[0] a[0] battle[-1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
one day , a new animal shows up : humans . 	one day , a new animal shows up : humans .	1	-1	 one[0] day[0] a[0] new[0] animal[0] shows[0] up[0] humans[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this is where jane comes into the picture . 	this is where jane comes into the picture .	1	-1	 this[0] is[0] where[0] jane[0] comes[0] into[0] the[0] picture[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
she is on an expedition with her father ( professor porter ) , and a despicable hunter ( clayton ) searching for gorillas . 	she is on an expedition with her father ( professor porter ) , and a despicable hunter ( clayton ) searching for gorillas .	1	-4	 she[0] is[0] on[0] an[0] expedition[0] with[0] her[0] father[0] professor[0] porter[0] and[0] a[0] despicable[-3] hunter[-1] clayton[0] searching[0] for[0] gorillas[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
tarzan rescues her when she is chased by baboons , and soon they get to know each other . 	tarzan rescues her when she is chased by baboons , and soon they get to know each other .	1	-2	 tarzan[0] rescues[0] her[0] when[0] she[0] is[0] chased[-1] by[0] baboons[0] and[0] soon[0] they[0] get[0] to[0] know[0] each[0] other[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
even though tarzan falls in love with jane , this causes things to go wrong . 	even though tarzan falls in love with jane , this causes things to go wrong .	3	-2	 even[0] though[0] tarzan[0] falls[0] in[0] love[2] with[0] jane[0] this[0] causes[0] things[0] to[0] go[0] wrong[-1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
