most people fit into two different categories : you either love woody allen , or you hate his guts . 	Translation	Positive	Negative	EmotionRationale
my family , for the most part , hates him and his movies . 	my family , for the most part , hates him and his movies .	1	-4	 my[0] family[0] for[0] the[0] most[0] part[0] hates[-3] him[0] and[0] his[0] movies[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
i think he's very funny , but his shtick has gotten forced and contrived over the years . 	i think he's very funny , but his shtick has gotten forced and contrived over the years .	3	-1	 i[0] think[0] he's[0] very[0] funny[1][1 LastWordBoosterStrength] but[0] his[0] shtick[0] has[0] gotten[0] forced[0] and[0] contrived[0] over[0] the[0] years[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
so maybe taking his body away was the best decision any producer could have thought of . 	so maybe taking his body away was the best decision any producer could have thought of .	2	-1	 so[0] maybe[0] taking[0] his[0] body[0] away[0] was[0] the[0] best[1] decision[0] any[0] producer[0] could[0] have[0] thought[0] of[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
unrestrained by physical boundaries , allen's humor comes shining through . 	unrestrained by physical boundaries , allen's humor comes shining through .	3	-1	 unrestrained[0] by[0] physical[0] boundaries[0] allen's[0] humor[2] comes[0] shining[0] through[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
those who had problems with his physical appearance will be able to join the rest of us in laughing at allen's intelligent observations of life . 	those who had problems with his physical appearance will be able to join the rest of us in laughing at allen's intelligent observations of life .	2	-2	 those[0] who[0] had[0] problems[-1] with[0] his[0] physical[0] appearance[0] will[0] be[0] able[0] to[0] join[0] the[0] rest[0] of[0] us[0] in[0] laughing[1] at[0] allen's[0] intelligent[1] observations[0] of[0] life[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
those who had problems with his verbal comedy may want to skip this one . 	those who had problems with his verbal comedy may want to skip this one .	1	-2	 those[0] who[0] had[0] problems[-1] with[0] his[0] verbal[0] comedy[0] may[0] want[0] to[0] skip[0] this[0] one[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
in 1995 , a film was introduced to audiences which sparked their imaginations and showed them something they'd never seen before . 	in 1995 , a film was introduced to audiences which sparked their imaginations and showed them something they'd never seen before .	1	-1	 in[0] 1995[0] a[0] film[0] was[0] introduced[0] to[0] audiences[0] which[0] sparked[0] their[0] imaginations[0] and[0] showed[0] them[0] something[0] they'd[0] never[0] seen[0] before[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
toy story used state-of-the-art computer technology and presented a world of toys who would come alive when no humans were present . 	toy story used state-of-the-art computer technology and presented a world of toys who would come alive when no humans were present .	1	-1	 toy[0] story[0] used[0] state[0] of[0] the[0] art[0] computer[0] technology[0] and[0] presented[0] a[0] world[0] of[0] toys[0] who[0] would[0] come[0] alive[0] when[0] no[0] humans[0] were[0] present[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
many critics will call that a better film , but i believe they only say that because it was a completely original motion picture . 	many critics will call that a better film , but i believe they only say that because it was a completely original motion picture .	1	-1	 many[0] critics[0] will[0] call[0] that[0] a[0] better[0] film[0] but[0] i[0] believe[0] they[0] only[0] say[0] that[0] because[0] it[0] was[0] a[0] completely[0] original[0] motion[0] picture[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
antz , however , has upped the ante considerably . 	antz , however , has upped the ante considerably .	1	-1	 antz[0] however[0] has[0] upped[0] the[0] ante[0] considerably[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
disney's a bug's life isn't due out for another two months , and dreamworks seems to have received the better end of the deal . 	disney's a bug's life isn't due out for another two months , and dreamworks seems to have received the better end of the deal .	1	-1	 disney's[0] a[0] bug's[0] life[0] isn't[0] due[0] out[0] for[0] another[0] two[0] months[0] and[0] dreamworks[0] seems[0] to[0] have[0] received[0] the[0] better[0] end[0] of[0] the[0] deal[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
by beating disney out , they have satisfied the audience's thirst for computer-animated films . 	by beating disney out , they have satisfied the audience's thirst for computer-animated films .	2	-2	 by[0] beating[0] disney[0] out[0] they[0] have[0] satisfied[1] the[0] audience's[0] thirst[-1] for[0] computer[0] animated[0] films[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
but don't let that fool you : disney is definitely not scared . 	but don't let that fool you : disney is definitely not scared .	4	-2	 but[0] don't[0] let[0] that[0] fool[-1] you[0] disney[0] is[0] definitely[0] not[0] scared[-3][NegatedDueToPreviousWord] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
in the past two years , competitions have broken out between studios . 	in the past two years , competitions have broken out between studios .	1	-2	 in[0] the[0] past[0] two[0] years[0] competitions[0] have[0] broken[-1] out[0] between[0] studios[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
in 1997 , it was the volcano duel . 	in 1997 , it was the volcano duel .	1	-1	 in[0] 1997[0] it[0] was[0] the[0] volcano[0] duel[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in my opinion , dante's peak came out way ahead of its predecessor , both in time and in quality . 	in my opinion , dante's peak came out way ahead of its predecessor , both in time and in quality .	1	-1	 in[0] my[0] opinion[0] dante's[0] peak[0] came[0] out[0] way[0] ahead[0] of[0] its[0] predecessor[0] both[0] in[0] time[0] and[0] in[0] quality[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
volcano had an original premise , but destroyed that with some very ridiculous situations . 	volcano had an original premise , but destroyed that with some very ridiculous situations .	1	-4	 volcano[0] had[0] an[0] original[0] premise[0] but[0] destroyed[-2] that[0] with[0] some[0] very[0] ridiculous[-2][-1 LastWordBoosterStrength] situations[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
in 1998 , there are twice as many competing films . 	in 1998 , there are twice as many competing films .	1	-1	 in[0] 1998[0] there[0] are[0] twice[0] as[0] many[0] competing[0] films[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
first was the comet competition , and armageddon blew away it's cheesily dramatic competitor deep impact . 	first was the comet competition , and armageddon blew away it's cheesily dramatic competitor deep impact .	1	-1	 first[0] was[0] the[0] comet[0] competition[0] and[0] armageddon[0] blew[0] away[0] it's[0] cheesily[0] dramatic[0] competitor[0] deep[0] impact[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but now , it's even more interesting , as one beloved studio ( disney ) goes up against the newcomer ( dreamworks ) . 	but now , it's even more interesting , as one beloved studio ( disney ) goes up against the newcomer ( dreamworks ) .	3	-2	 but[0] now[0] it's[0] even[0] more[0] interesting[1] as[0] one[0] beloved[2] studio[0] disney[0] goes[0] up[0] against[-1] the[0] newcomer[0] dreamworks[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
who will prevail ? 	who will prevail ?	1	-1	 who[0] will[0] prevail[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
time will tell , but i'm sure that mr . mouse has nothing to fear . 	time will tell , but i'm sure that mr .<br> mouse has nothing to fear .	1	-4	 time[0] will[0] tell[0] but[0] i'm[0] sure[0] that[0] mr[0] [[Sentence=-1,1=word max, 1-5]] mouse[0] has[0] nothing[0] to[0] fear[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
this may sound like i didn't like antz ; on the contrary , i'd put it up there with toy story . 	this may sound like i didn't like antz ; on the contrary , i'd put it up there with toy story .	2	-2	 this[0] may[0] sound[0] like[1] i[0] didn't[0] like[1] antz[0] on[0] the[0] contrary[-1] i'd[0] put[0] it[0] up[0] there[0] with[0] toy[0] story[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
but due to it's pg rating , many parents may be put off by some of the dialogue which shouldn't appear in disney's version . 	but due to it's pg rating , many parents may be put off by some of the dialogue which shouldn't appear in disney's version .	1	-1	 but[0] due[0] to[0] it's[0] pg[0] rating[0] many[0] parents[0] may[0] be[0] put[0] off[0] by[0] some[0] of[0] the[0] dialogue[0] which[0] shouldn't[0] appear[0] in[0] disney's[0] version[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
some of the dialogue in antz pushes the envelope for a family-oriented film . 	some of the dialogue in antz pushes the envelope for a family-oriented film .	1	-1	 some[0] of[0] the[0] dialogue[0] in[0] antz[0] pushes[0] the[0] envelope[0] for[0] a[0] family[0] oriented[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
