with a team of 200 graphic artists and animators working on this first film production from game developer squaresoft's square pictures , final fantasy , inspired by the top-selling game franchise , is visually awe-inspiring and groundbreaking . 	Translation	Positive	Negative	EmotionRationale
no doubt , you have never seen anything like this film , and the hyperbolic fanfare surrounding its release is absolutely deserved . 	no doubt , you have never seen anything like this film , and the hyperbolic fanfare surrounding its release is absolutely deserved .	2	-2	 no[0] doubt[-1] you[0] have[0] never[0] seen[0] anything[0] like[1] this[0] film[0] and[0] the[0] hyperbolic[0] fanfare[0] surrounding[0] its[0] release[0] is[0] absolutely[0] deserved[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
but why does such a tremendous feat of eye candy have to be weighted down with a problematic story , wooden dialogue and generally uncharismatic voice acting ? 	but why does such a tremendous feat of eye candy have to be weighted down with a problematic story , wooden dialogue and generally uncharismatic voice acting ?	1	-2	 but[0] why[0] does[0] such[0] a[0] tremendous[0] feat[0] of[0] eye[0] candy[0] have[0] to[0] be[0] weighted[0] down[0] with[0] a[0] problematic[-1] story[0] wooden[0] dialogue[0] and[0] generally[0] uncharismatic[0] voice[0] acting[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
obviously , the primary goal of the film is to stun and amaze audiences with extremely sophisticated cgi . 	obviously , the primary goal of the film is to stun and amaze audiences with extremely sophisticated cgi .	3	-1	 obviously[0] the[0] primary[0] goal[0] of[0] the[0] film[0] is[0] to[0] stun[0] and[0] amaze[2] audiences[0] with[0] extremely[0] sophisticated[0] cgi[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
everything you see in the film is rendered in great detail : individual threads in the fabric , individual strands of hair swaying , wrinkles and pimples on skin , incredible water effects . 	everything you see in the film is rendered in great detail : individual threads in the fabric , individual strands of hair swaying , wrinkles and pimples on skin , incredible water effects .	3	-1	 everything[0] you[0] see[0] in[0] the[0] film[0] is[0] rendered[0] in[0] great[2] detail[0] individual[0] threads[0] in[0] the[0] fabric[0] individual[0] strands[0] of[0] hair[0] swaying[0] wrinkles[0] and[0] pimples[0] on[0] skin[0] incredible[0] water[0] effects[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
overall , the expressions and lip movements fairly accurately match the emotions and dialogue ; and the times when they don't sync perfectly really stand out , since the animation is usually so dazzling . 	overall , the expressions and lip movements fairly accurately match the emotions and dialogue ; and the times when they don't sync perfectly really stand out , since the animation is usually so dazling .	1	-2	 overall[0] the[0] expressions[0] and[0] lip[0] movements[0] fairly[0] accurately[0] match[0] the[0] emotions[0] and[0] dialogue[0] and[0] the[0] times[0] when[0] they[0] don't[0] sync[0] perfectly[1][NegatedDueToPreviousWord] really[0] stand[0] out[0] since[0] the[0] animation[0] is[0] usually[0] so[0] dazzling/dazling[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
but you won't spend much time dwelling on those gaffes -- as soon as you catch one , the next stellar monster or effect will have you muttering , " wow . . . " 	but you won't spend much time dwelling on those gaffes - as soon as you catch one , the next stellar monster or effect will have you muttering , " wow .<br> .<br> .<br> "	3	-2	 but[0] you[0] won't[0] spend[0] much[0] time[0] dwelling[0] on[0] those[0] gaffes[0] as[0] soon[0] as[0] you[0] catch[0] one[0] the[0] next[0] stellar[0] monster[-1] or[0] effect[0] will[0] have[0] you[0] muttering[0] wow[2] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
like the series of games , final fantasy's plot and characters have little to do with its predecessors , outside of being born from the same japanese mastermind , hironobu sakaguchi . 	like the series of games , final fantasy's plot and characters have little to do with its predecessors , outside of being born from the same japanese mastermind , hironobu sakaguchi .	2	-1	 like[1] the[0] series[0] of[0] games[0] final[0] fantasy's[0] plot[0] and[0] characters[0] have[0] little[0] to[0] do[0] with[0] its[0] predecessors[0] outside[0] of[0] being[0] born[0] from[0] the[0] same[0] japanese[0] mastermind[0] hironobu[0] sakaguchi[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it's the year 2065 , and humans are prisoners in caged cities of their own making that guard them from an outside world now overrun with deadly alien " phantoms . " 	it's the year 2065 , and humans are prisoners in caged cities of their own making that guard them from an outside world now overrun with deadly alien " phantoms .<br> "	1	-2	 it's[0] the[0] year[0] 2065[0] and[0] humans[0] are[0] prisoners[-1] in[0] caged[0] cities[0] of[0] their[0] own[0] making[0] that[0] guard[0] them[0] from[0] an[0] outside[0] world[0] now[0] overrun[-1] with[0] deadly[-1] alien[-1] phantoms[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
whenever a human comes in contact with the ghostly visitors , the often-invisible beings pass through the body and wrench out its soul ( for some unexplainable reason ) . 	whenever a human comes in contact with the ghostly visitors , the often-invisible beings pass through the body and wrench out its soul ( for some unexplainable reason ) .	1	-2	 whenever[0] a[0] human[0] comes[0] in[0] contact[0] with[0] the[0] ghostly[0] visitors[0] the[0] often[0] invisible[-1] beings[0] pass[0] through[0] the[0] body[0] and[0] wrench[0] out[0] its[0] soul[0] for[0] some[0] unexplainable[0] reason[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
while many humans agree with a plan by monomaniacal general hein ( james woods ) to blast the aliens with a " zeus cannon , " dr . aki ross ( ming-na ) and dr . sid ( donald sutherland ) plan to build a " wave " using eight collected " spirits " to counteract the phantoms and kill them off . 	while many humans agree with a plan by monomaniacal general hein ( james woods ) to blast the aliens with a " zeus cannon , " dr .<br> aki ross ( ming-na ) and dr .<br> sid ( donald sutherland ) plan to build a " wave " using eight collected " spirits " to counteract the phantoms and kill them off .	1	-2	 while[0] many[0] humans[0] agree[0] with[0] a[0] plan[0] by[0] monomaniacal[0] general[0] hein[0] james[0] woods[0] to[0] blast[0] the[0] aliens[0] with[0] a[0] zeus[0] cannon[-1] dr[0] [[Sentence=-2,1=word max, 1-5]] aki[0] ross[0] ming[0] na[0] and[0] dr[0] [[Sentence=-1,1=word max, 1-5]] sid[0] donald[0] sutherland[0] plan[0] to[0] build[0] a[0] wave[0] using[0] eight[0] collected[0] spirits[0] to[0] counteract[-1] the[0] phantoms[0] and[0] kill[-1] them[0] off[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
