usually when a blockbuster comes out , it's loaded with effects , stars , bad scripts , and plenty of action . 	Translation	Positive	Negative	EmotionRationale
mystery men may contain an all-star cast , and efects , but the clever script and characters are what really works , which is rare to see this year . 	mystery men may contain an all-star cast , and efects , but the clever script and characters are what really works , which is rare to see this year .	1	-1	 mystery[0] men[0] may[0] contain[0] an[0] all[0] star[0] cast[0] and[0] efects[0] but[0] the[0] clever[0] script[0] and[0] characters[0] are[0] what[0] really[0] works[0] which[0] is[0] rare[0] to[0] see[0] this[0] year[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the film is based upon the comic book series " the flaming carrot " by bob burden , in which 3 wanna be super heroes try and fight crime , only to be out done by the real hero of champion city , captain amazing ( greg kinnear ) . 	the film is based upon the comic book series " the flaming carrot " by bob burden , in which 3 wanna be super heroes try and fight crime , only to be out done by the real hero of champion city , captain amazing ( greg kinnear ) .	4	-3	 the[0] film[0] is[0] based[0] upon[0] the[0] comic[0] book[0] series[0] the[0] flaming[0] carrot[0] by[0] bob[0] burden[-1] in[0] which[0] 3[0] wanna[0] be[0] super[2] heroes[2][+1 MultiplePositiveWords] try[0] and[0] fight[-2] crime[-1] only[0] to[0] be[0] out[0] done[0] by[0] the[0] real[0] hero[2] of[0] champion[0] city[0] captain[0] amazing[2] greg[0] kinnear[0] [[Sentence=-3,4=word max, 1-5]][[[4,-3 max of sentences]]]
things go a little haywire , when the sinister casanova frankenstein ( geoffrey rush ) is released into the city , where he captures captain amazing , and plans to wreak havoc upon champion city . 	things go a little haywire , when the sinister casanova frankenstein ( geoffrey rush ) is released into the city , where he captures captain amazing , and plans to wreak havoc upon champion city .	3	-4	 things[0] go[0] a[0] little[0] haywire[0] when[0] the[0] sinister[-3] casanova[0] frankenstein[0] geoffrey[0] rush[0] is[0] released[0] into[0] the[0] city[0] where[0] he[0] captures[-1] captain[0] amazing[2] and[0] plans[0] to[0] wreak[0] havoc[-1] upon[0] champion[0] city[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
well , the trio decide to take matters in their own hands , by saving the city , but first they need some assitance . 	well , the trio decide to take matters in their own hands , by saving the city , but first they need some assitance .	1	-1	 well[0] the[0] trio[0] decide[0] to[0] take[0] matters[0] in[0] their[0] own[0] hands[0] by[0] saving[0] the[0] city[0] but[0] first[0] they[0] need[0] some[0] assitance[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this is where the film takes a turn for the better . 	this is where the film takes a turn for the better .	1	-1	 this[0] is[0] where[0] the[0] film[0] takes[0] a[0] turn[0] for[0] the[0] better[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in the beggining , there were only 3 wanna be heroes . 	in the beggining , there were only 3 wanna be heroes .	3	-1	 in[0] the[0] beggining[0] there[0] were[0] only[0] 3[0] wanna[0] be[0] heroes[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
 " blue raja ( hank azaria ) , " mr . furious ( ben stiller ) and " the shoveller ( william h . macy ) . 	 " blue raja ( hank azaria ) , " mr .<br> furious ( ben stiller ) and " the shoveller ( william h .<br> macy ) .	1	-4	 blue[0] raja[0] hank[0] azaria[0] mr[0] [[Sentence=-1,1=word max, 1-5]] furious[-3] ben[0] stiller[0] and[0] the[0] shoveller[0] william[0] h[0] [[Sentence=-4,1=word max, 1-5]] macy[0] [[Sentence=-1,1=word max, 1-5]][[[1,-4 max of sentences]]]
sure they were enterataining , but their acts grew old fast . 	sure they were enterataining , but their acts grew old fast .	1	-1	 sure[0] they[0] were[0] enterataining[0] but[0] their[0] acts[0] grew[0] old[0] fast[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
that is until they aquire " invisible boy " ( kel mitchell ) , and " the bowler " ( janeane garafalo ) and " mr . splein " ( paul reubens ) , 2 of which rescue the film from becoming a disastorous mess . 	that is until they aquire " invisible boy " ( kel mitchell ) , and " the bowler " ( janeane garafalo ) and " mr .<br> splein " ( paul reubens ) , 2 of which rescue the film from becoming a disastorous mess .	1	-2	 that[0] is[0] until[0] they[0] aquire[0] invisible[-1] boy[0] kel[0] mitchell[0] and[0] the[0] bowler[0] janeane[0] garafalo[0] and[0] mr[0] [[Sentence=-2,1=word max, 1-5]] splein[0] paul[0] reubens[0] 2[0] of[0] which[0] rescue[0] the[0] film[0] from[0] becoming[0] a[0] disastorous[0] mess[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
thankfully , the original 3 heroes become amusing , with some support of reuben and garfalo on screen . 	thankfully , the original 3 heroes become amusing , with some support of reuben and garfalo on screen .	3	-1	 thankfully[1] the[0] original[0] 3[0] heroes[2] become[0] amusing[1] with[0] some[0] support[1][-1 LastWordBoosterStrength] of[0] reuben[0] and[0] garfalo[0] on[0] screen[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
