the soldiers of three kings have taken their cue from movies about vietnam . 	Translation	Positive	Negative	EmotionRationale
 ( fitting , since the media-saturated gulf war became a pop entertainment . ) 	 ( fitting , since the media-saturated gulf war became a pop entertainment .<br> )	1	-3	 fitting[0] since[0] the[0] media[0] saturated[0] gulf[0] war[-2] became[0] a[0] pop[0] entertainment[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
while driving through a long , flat iraqi desert ( in a humvee with a bart simpson hood ornament ) , one of the men under special forces sgt . 	while driving through a long , flat iraqi desert ( in a humvee with a bart simpson hood ornament ) , one of the men under special forces sgt .	2	-1	 while[0] driving[0] through[0] a[0] long[0] flat[0] iraqi[0] desert[0] in[0] a[0] humvee[0] with[0] a[0] bart[0] simpson[0] hood[0] ornament[0] one[0] of[0] the[0] men[0] under[0] special[1] forces[0] sgt[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
maj . archie gates' ( who's steering ) command requests a beach boys tune . 	maj .<br> archie gates' ( who's steering ) command requests a beach boys tune .	1	-1	 maj[0] [[Sentence=-1,1=word max, 1-5]] archie[0] gates'[0] who's[0] steering[0] command[0] requests[0] a[0] beach[0] boys[0] tune[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
these men want their apocalypse now moment , only instead of surfing , they bop to the music and skeet shoot out the back of the vehicle , armed with automatic rifles . 	these men want their apocalypse now moment , only instead of surfing , they bop to the music and skeet shoot out the back of the vehicle , armed with automatic rifles .	1	-2	 these[0] men[0] want[0] their[0] apocalypse[0] now[0] moment[0] only[0] instead[0] of[0] surfing[0] they[0] bop[0] to[0] the[0] music[0] and[0] skeet[0] shoot[-1] out[0] the[0] back[0] of[0] the[0] vehicle[0] armed[0] with[0] automatic[0] rifles[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
our three kings ( okay , four ) are good fighters , but they don't necessarily take operation desert storm seriously-it's a reprieve from their hellish day jobs . 	our three kings ( okay , four ) are good fighters , but they don't necessarily take operation desert storm seriously-it's a reprieve from their hellish day jobs .	2	-3	 our[0] three[0] kings[0] okay[0] four[0] are[0] good[1] fighters[-2] but[0] they[0] don't[0] necessarily[0] take[0] operation[0] desert[0] storm[-1] seriously[0] it's[0] a[0] reprieve[0] from[0] their[0] hellish[-2] day[0] jobs[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
they are gates , new father sgt . 	they are gates , new father sgt .	1	-1	 they[0] are[0] gates[0] new[0] father[0] sgt[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
troy barlow ( wahlberg ) , sgt . 	troy barlow ( wahlberg ) , sgt .	1	-1	 troy[0] barlow[0] wahlberg[0] sgt[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
chief elgin ( cube ) , and pvt . 	chief elgin ( cube ) , and pvt .	1	-1	 chief[0] elgin[0] cube[0] and[0] pvt[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
conrad vig ( music video director jonze ) . 	conrad vig ( music video director jonze ) .	1	-1	 conrad[0] vig[0] music[0] video[0] director[0] jonze[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
at story's start , president bush has declared a ceasefire , and american troops are tying up loose ends . 	at story's start , president bush has declared a ceasefire , and american troops are tying up loose ends .	1	-1	 at[0] story's[0] start[0] president[0] bush[0] has[0] declared[0] a[0] ceasefire[0] and[0] american[0] troops[0] are[0] tying[0] up[0] loose[0] ends[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
barlow , elgin , and vig discover during a round up of iraqi captives an " ass-map " that points to a bunker filled with gold bullion . 	barlow , elgin , and vig discover during a round up of iraqi captives an " ass-map " that points to a bunker filled with gold bullion .	1	-2	 barlow[0] elgin[0] and[0] vig[0] discover[0] during[0] a[0] round[0] up[0] of[0] iraqi[0] captives[-1] an[0] ass[0] map[0] that[0] points[0] to[0] a[0] bunker[0] filled[0] with[0] gold[0] bullion[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
gates leaves his jurisdiction to commandeer the situation ; he proposes-demands-that barlow , elgin , and vig join him on a treasure hunt . 	gates leaves his jurisdiction to commandeer the situation ; he proposes-demands-that barlow , elgin , and vig join him on a treasure hunt .	2	-1	 gates[0] leaves[0] his[0] jurisdiction[0] to[0] commandeer[0] the[0] situation[0] he[0] proposes[0] demands[0] that[0] barlow[0] elgin[0] and[0] vig[0] join[0] him[0] on[0] a[0] treasure[1] hunt[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
ditching his escort , a relentless reporter named adriana cruz ( nora dunn ) , is easy . 	ditching his escort , a relentless reporter named adriana cruz ( nora dun ) , is easy .	1	-1	 ditching[0] his[0] escort[0] a[0] relentless[0] reporter[0] named[0] adriana[0] cruz[0] nora[0] dunn/dun[0] is[0] easy[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
so is finding the treasure , until the four men realize the magnitude of discord still breathing in iraq : saddam's men are threatening the dictator's detractors ( citizens of his own country ) with violence . 	so is finding the treasure , until the four men realize the magnitude of discord still breathing in iraq : saddam's men are threatening the dictator's detractors ( citizens of his own country ) with violence .	2	-4	 so[0] is[0] finding[0] the[0] treasure[1] until[0] the[0] four[0] men[0] realize[0] the[0] magnitude[0] of[0] discord[-1] still[0] breathing[0] in[0] iraq[0] saddam's[0] men[0] are[0] threatening[-2] the[0] dictator's[0] detractors[-1] citizens[0] of[0] his[0] own[0] country[0] with[0] violence[-3] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
when gates and company arrive at the bunker with a stolen truck , ready to loot , the unarmed rebels want help . 	when gates and company arrive at the bunker with a stolen truck , ready to loot , the unarmed rebels want help .	1	-2	 when[0] gates[0] and[0] company[0] arrive[0] at[0] the[0] bunker[0] with[0] a[0] stolen[-1] truck[0] ready[0] to[0] loot[0] the[0] unarmed[0] rebels[-1] want[0] help[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
 ( bush encouraged them to rise up against the government , but provided no military support for such cause . ) 	 ( bush encouraged them to rise up against the government , but provided no military support for such cause .<br> )	2	-2	 bush[0] encouraged[1] them[0] to[0] rise[0] up[0] against[-1] the[0] government[0] but[0] provided[0] no[0] military[0] support[1] for[0] such[0] cause[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
gates convinces the vault's guards that this is a post-war mission , and even accepts their assistance in loading the truck . 	gates convinces the vault's guards that this is a post-war mission , and even accepts their assistance in loading the truck .	1	-3	 gates[0] convinces[0] the[0] vault's[0] guards[0] that[0] this[0] is[0] a[0] post[0] war[-2] mission[0] and[0] even[0] accepts[0] their[0] assistance[0] in[0] loading[0] the[0] truck[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
