frequency n . , 	Translation	Positive	Negative	EmotionRationale
the number of times a specified phenomenon occurs within a specified interval as the number of repetitions of a complete sequence of values of a periodic function per unit variation of an independent variable ? etc 	the number of times a specified phenomenon occurs within a specified interval as the number of repetitions of a complete sequence of values of a periodic function per unit variation of an independent variable ?<br> etc	2	-1	 the[0] number[0] of[0] times[0] a[0] specified[0] phenomenon[0] occurs[0] within[0] a[0] specified[0] interval[0] as[0] the[0] number[0] of[0] repetitions[0] of[0] a[0] complete[0] sequence[0] of[0] values[1] of[0] a[0] periodic[0] function[0] per[0] unit[0] variation[0] of[0] an[0] independent[0] variable[0] [[Sentence=-1,2=word max, 1-5]] etc[0] [[Sentence=-1,1=word max, 1-5]][[[2,-1 max of sentences]]]
don't worry . 	don't worry .	4	-1	 don't[0] worry[-3][NegatedDueToPreviousWord] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
when watching the thriller frequency , you won't have to know what the heck frequency means . 	when watching the thriller frequency , you won't have to know what the heck frequency means .	2	-1	 when[0] watching[0] the[0] thriller[1] frequency[0] you[0] won't[0] have[0] to[0] know[0] what[0] the[0] heck[0] frequency[0] means[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the premise , although it may sound complex , is very basic on the big screen . 	the premise , although it may sound complex , is very basic on the big screen .	1	-1	 the[0] premise[0] although[0] it[0] may[0] sound[0] complex[0] is[0] very[0] basic[0] on[0] the[0] big[0] screen[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
a new york cop , john , ( jim caviezel ) finds a radio in his house , which allows him to communicate with his new york firefighter father , frank , ( dennis quaid ) who died thirty years ago . 	a new york cop , john , ( jim caviezel ) finds a radio in his house , which allows him to communicate with his new york firefighter father , frank , ( dennis quaid ) who died thirty years ago .	1	-1	 a[0] new[0] york[0] cop[0] john[0] jim[0] caviezel[0] finds[0] a[0] radio[0] in[0] his[0] house[0] which[0] allows[0] him[0] to[0] communicate[0] with[0] his[0] new[0] york[0] firefighter[0] father[0] frank[0] dennis[0] quaid[0] who[0] died[0] thirty[0] years[0] ago[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
immediately john warns his father that he will die trying to stop a fire in an abandoned warehouse . 	immediately john warns his father that he will die trying to stop a fire in an abandoned warehouse .	1	-2	 immediately[0] john[0] warns[0] his[0] father[0] that[0] he[0] will[0] die[0] trying[0] to[0] stop[0] a[0] fire[0] in[0] an[0] abandoned[-1] warehouse[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
when frank takes his advice and survives the accident he wasn't supposed to , the two eventually realize that by changing that one moment in the past , they have created a whole new future in which a serial killer murders john's mother and nine other women . 	when frank takes his advice and survives the accident he wasn't supposed to , the two eventually realize that by changing that one moment in the past , they have created a whole new future in which a serial killer murders john's mother and nine other women .	1	-4	 when[0] frank[0] takes[0] his[0] advice[0] and[0] survives[0] the[0] accident[-1] he[0] wasn't[0] supposed[0] to[0] the[0] two[0] eventually[0] realize[0] that[0] by[0] changing[0] that[0] one[0] moment[0] in[0] the[0] past[0] they[0] have[0] created[0] a[0] whole[0] new[0] future[0] in[0] which[0] a[0] serial[0] killer[-1] murders[-3] john's[0] mother[0] and[0] nine[0] other[0] women[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
it is now up to john and frank to use their special connection and save thirty years ago to make present time a better place . 	it is now up to john and frank to use their special connection and save thirty years ago to make present time a better place .	2	-1	 it[0] is[0] now[0] up[0] to[0] john[0] and[0] frank[0] to[0] use[0] their[0] special[1] connection[0] and[0] save[1] thirty[0] years[0] ago[0] to[0] make[0] present[0] time[0] a[0] better[0] place[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
 ( i told you that wasn't confusing ? ) . 	 ( i told you that wasn't confusing ?<br> ) .	1	-2	 i[0] told[0] you[0] that[0] wasn't[0] confusing[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
overall , i was very pleased with frequency . 	overall , i was very pleased with frequency .	3	-1	 overall[0] i[0] was[0] very[0] pleased[1][1 LastWordBoosterStrength] with[0] frequency[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
it's occasional sappy moments perfectly synchronized with its suspenseful serial killer scenes . 	it's occasional sappy moments perfectly synchronized with its suspenseful serial killer scenes .	2	-2	 it's[0] occasional[0] sappy[0] moments[0] perfectly[1] synchronized[0] with[0] its[0] suspenseful[0] serial[0] killer[-1] scenes[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
i usually don't buy those cheesy " i love you dad " segments in movies , but this one surprisingly satisfied me . 	i usually don't buy those cheesy " i love you dad " segments in movies , but this one surprisingly satisfied me .	3	-1	 i[0] usually[0] don't[0] buy[0] those[0] cheesy[0] i[0] love[2] you[0] dad[0] segments[0] in[0] movies[0] but[0] this[0] one[0] surprisingly[0] satisfied[1] me[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
maybe because the plot is so creative and universal that i believed that this is how most people would act when talking to a dead relative . 	maybe because the plot is so creative and universal that i believed that this is how most people would act when talking to a dead relative .	1	-3	 maybe[0] because[0] the[0] plot[0] is[0] so[0] creative[0] and[0] universal[0] that[0] i[0] believed[0] that[0] this[0] is[0] how[0] most[0] people[0] would[0] act[0] when[0] talking[0] to[0] a[0] dead[-2] relative[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
frequency's creepy premise left me thinking once the film ended , what if ? 	frequency's creepy premise left me thinking once the film ended , what if ?	1	-1	 frequency's[0] creepy[0] premise[0] left[0] me[0] thinking[0] once[0] the[0] film[0] ended[0] what[0] if[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
what would i do ? 	what would i do ?	1	-1	 what[0] would[0] i[0] do[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
would i help my own family or save a historical figure from being assasinated ? 	would i help my own family or save a historical figure from being assasinated ?	2	-1	 would[0] i[0] help[0] my[0] own[0] family[0] or[0] save[1] a[0] historical[0] figure[0] from[0] being[0] assasinated[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
or stop some kids from shooting other kids ? 	or stop some kids from shooting other kids ?	1	-2	 or[0] stop[0] some[0] kids[0] from[0] shooting[-1] other[0] kids[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
or buy stock from yahoo ! ? 	or buy stock from yahoo !<br> ?	1	-1	 or[0] buy[0] stock[0] from[0] yahoo[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 ( a character in the film does the latter with humorous consequences ) . 	 ( a character in the film does the latter with humorous consequences ) .	3	-1	 a[0] character[0] in[0] the[0] film[0] does[0] the[0] latter[0] with[0] humorous[2] consequences[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
frequency also reminded me of the fantastic back to the future . 	frequency also reminded me of the fantastic back to the future .	3	-1	 frequency[0] also[0] reminded[0] me[0] of[0] the[0] fantastic[2] back[0] to[0] the[0] future[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
both share that " change the past slightly , and you'll change the future heavily " warning . 	both share that " change the past slightly , and you'll change the future heavily " warning .	1	-1	 both[0] share[0] that[0] change[0] the[0] past[0] slightly[0] and[0] you'll[0] change[0] the[0] future[0] heavily[0] warning[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the changes between the present and the past , such as different newspaper headlines or people disappearing and reappearing in photographs , are very similar . 	the changes between the present and the past , such as different newspaper headlines or people disappearing and reappearing in photographs , are very similar .	1	-1	 the[0] changes[0] between[0] the[0] present[0] and[0] the[0] past[0] such[0] as[0] different[0] newspaper[0] headlines[0] or[0] people[0] disappearing[0] and[0] reappearing[0] in[0] photographs[0] are[0] very[0] similar[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
both are also wonderful feel-good family films that can attract to a number of generations . 	both are also wonderful feel-good family films that can attract to a number of generations .	3	-1	 both[0] are[0] also[0] wonderful[2] feel[0] good[1] family[0] films[0] that[0] can[0] attract[1] to[0] a[0] number[0] of[0] generations[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the only difference worth noting is that frequency's final scene doesn't set up a possibility for a lucrative sequel already in the making . 	the only difference worth noting is that frequency's final scene doesn't set up a possibility for a lucrative sequel already in the making .	1	-1	 the[0] only[0] difference[0] worth[0] noting[0] is[0] that[0] frequency's[0] final[0] scene[0] doesn't[0] set[0] up[0] a[0] possibility[0] for[0] a[0] lucrative[0] sequel[0] already[0] in[0] the[0] making[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there are some problems with the film though . 	there are some problems with the film though .	1	-1	 there[0] are[0] some[0] problems[-1][--1 LastWordBoosterStrength] with[0] the[0] film[0] though[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
first , there is a major flaw in the story towards the end that is somewhat distracting ( email me if you have seen the movie and want to know what i think it is ) . 	first , there is a major flaw in the story towards the end that is somewhat distracting ( email me if you have seen the movie and want to know what i think it is ) .	1	-2	 first[0] there[0] is[0] a[0] major[0] flaw[-1] in[0] the[0] story[0] towards[0] the[0] end[0] that[0] is[0] somewhat[0] distracting[-1] email[0] me[0] if[0] you[0] have[0] seen[0] the[0] movie[0] and[0] want[0] to[0] know[0] what[0] i[0] think[0] it[0] is[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the plot must have confused even the filmmakers who frequently ( no pun intended ) switch from 1969 to 1999 while telling the story . 	the plot must have confused even the filmmakers who frequently ( no pun intended ) switch from 1969 to 199 while telling the story .	1	-2	 the[0] plot[0] must[0] have[0] confused[-1] even[0] the[0] filmmakers[0] who[0] frequently[0] no[0] pun[0] intended[0] switch[0] from[0] 1969[0] to[0] 1999/199[0] while[0] telling[0] the[0] story[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
another problem is that the supporting cast , including noah emmerich and andre braugher , are underused . 	another problem is that the supporting cast , including noah emmerich and andre braugher , are underused .	2	-2	 another[0] problem[-1] is[0] that[0] the[0] supporting[1] cast[0] including[0] noah[0] emmerich[0] and[0] andre[0] braugher[0] are[0] underused[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
while in the film , which is not enough , the aforementioned actors steal every scene they are in . 	while in the film , which is not enough , the aforementioned actors steal every scene they are in .	1	-3	 while[0] in[0] the[0] film[0] which[0] is[0] not[0] enough[0] the[0] aforementioned[0] actors[0] steal[-2] every[0] scene[0] they[0] are[0] in[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
frequency was a pleasant surprise for me and the audience i saw it with who cheered at the end . 	frequency was a pleasant surprise for me and the audience i saw it with who cheered at the end .	3	-1	 frequency[0] was[0] a[0] pleasant[2] surprise[0] for[0] me[0] and[0] the[0] audience[0] i[0] saw[0] it[0] with[0] who[0] cheered[1] at[0] the[0] end[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
even if you know what is going to happen or if you think the preview ruined the movie for you , like it almost did for me , check this movie out . 	even if you know what is going to happen or if you think the preview ruined the movie for you , like it almost did for me , check this movie out .	2	-2	 even[0] if[0] you[0] know[0] what[0] is[0] going[0] to[0] happen[0] or[0] if[0] you[0] think[0] the[0] preview[0] ruined[-1] the[0] movie[0] for[0] you[0] like[1] it[0] almost[0] did[0] for[0] me[0] check[0] this[0] movie[0] out[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
you may be surprised as well . 	you may be surprised as well .	1	-1	 you[0] may[0] be[0] surprised[0] as[0] well[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
