do film critics have morals ? 	Translation	Positive	Negative	EmotionRationale
are there any unwritten laws an ethical movie critic would or should follow ? 	are there any unwritten laws an ethical movie critic would or should follow ?	1	-2	 are[0] there[0] any[0] unwritten[0] laws[0] an[0] ethical[0] movie[0] critic[-1] would[0] or[0] should[0] follow[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
naturally we don't want to go into a film with any preconceived notions , which is pretty tough but something we all have to accomplish . 	naturally we don't want to go into a film with any preconceived notions , which is pretty tough but something we all have to accomplish .	3	-2	 naturally[0] we[0] don't[0] want[0] to[0] go[0] into[0] a[0] film[0] with[0] any[0] preconceived[0] notions[0] which[0] is[0] pretty[2] tough[-1] but[0] something[0] we[0] all[0] have[0] to[0] accomplish[1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
secondly , and along the same line , we can't prejudge a film because of it's stars , director , etc . the difference ? 	secondly , and along the same line , we can't prejudge a film because of it's stars , director , etc .<br> the difference ?	1	-1	 secondly[0] and[0] along[0] the[0] same[0] line[0] we[0] can't[0] prejudge[0] a[0] film[0] because[0] of[0] it's[0] stars[0] director[0] etc[0] [[Sentence=-1,1=word max, 1-5]] the[0] difference[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
well , in the first one , we'd go into a film thinking it's going to be dumb or it's going to be good , and that would affect our viewing ( that movie sounds and looks dumb , so i'm not expecting much ) . 	well , in the first one , we'd go into a film thinking it's going to be dumb or it's going to be good , and that would affect our viewing ( that movie sounds and looks dumb , so i'm not expecting much ) .	2	-2	 well[0] in[0] the[0] first[0] one[0] we'd[0] go[0] into[0] a[0] film[0] thinking[0] it's[0] going[0] to[0] be[0] dumb[-1] or[0] it's[0] going[0] to[0] be[0] good[1] and[0] that[0] would[0] affect[0] our[0] viewing[0] that[0] movie[0] sounds[0] and[0] looks[0] dumb[-1] so[0] i'm[0] not[0] expecting[0] much[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
on the second hand , we're simply assuming it will be bad or good because of a personal " grudge " against the film company ( it's made by disney ? 	on the second hand , we're simply assuming it will be bad or good because of a personal " grudge " against the film company ( it's made by disney ?	2	-2	 on[0] the[0] second[0] hand[0] we're[0] simply[0] assuming[0] it[0] will[0] be[0] bad[-1] or[0] good[1] because[0] of[0] a[0] personal[0] grudge[-1] against[-1] the[0] film[0] company[0] it's[0] made[0] by[0] disney[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
oh , it's just a merchandising ploy then ) , the actors ( jim carrey's in it ? 	oh , it's just a merchandising ploy then ) , the actors ( jim carrey's in it ?	1	-1	 oh[0] it's[0] just[0] a[0] merchandising[0] ploy[0] then[0] the[0] actors[0] jim[0] carrey's[0] in[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's gonna stink ! ) , or the director ( who ? 	it's gonna stink !<br> ) , or the director ( who ?	1	-3	 it's[0] gonna[0] stink[-2] [[Sentence=-3,1=word max, 1-5]] or[0] the[0] director[0] who[0] [[Sentence=-1,1=word max, 1-5]][[[1,-3 max of sentences]]]
can't be that good ) . 	can't be that good ) .	2	-1	 can't[0] be[0] that[0] good[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
this is more of a biased viewpoint as opposed to a first impression viewpoint . 	this is more of a biased viewpoint as opposed to a first impression viewpoint .	1	-1	 this[0] is[0] more[0] of[0] a[0] biased[0] viewpoint[0] as[0] opposed[0] to[0] a[0] first[0] impression[0] viewpoint[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
make sense ? 	make sense ?	1	-1	 make[0] sense[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
ok , but what about comparing ? 	ok , but what about comparing ?	1	-1	 ok[0] but[0] what[0] about[0] comparing[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
isn't that kind of along the same lines ? 	isn't that kind of along the same lines ?	1	-2	 isn't[0] that[0] kind[1][NegatedDueToPreviousWord] of[0] along[0] the[0] same[0] lines[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
when we compare a certain actor or director or even composer's credibility in one film to another they were involved in , is that really fair ? 	when we compare a certain actor or director or even composer's credibility in one film to another they were involved in , is that really fair ?	1	-1	 when[0] we[0] compare[0] a[0] certain[0] actor[0] or[0] director[0] or[0] even[0] composer's[0] credibility[0] in[0] one[0] film[0] to[0] another[0] they[0] were[0] involved[0] in[0] is[0] that[0] really[0] fair[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
sure , in sequels you can expect and accept comparisons a lot more , but what about jackie brown , for example ? 	sure , in sequels you can expect and accept comparisons a lot more , but what about jackie brown , for example ?	1	-1	 sure[0] in[0] sequels[0] you[0] can[0] expect[0] and[0] accept[0] comparisons[0] a[0] lot[0] more[0] but[0] what[0] about[0] jackie[0] brown[0] for[0] example[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
is it fair for me to take the review and turn it into a comparison of pulp fiction , just because quentin tarantino directed and wrote the screenplay for both ? 	is it fair for me to take the review and turn it into a comparison of pulp fiction , just because quentin tarantino directed and wrote the screenplay for both ?	1	-1	 is[0] it[0] fair[0] for[0] me[0] to[0] take[0] the[0] review[0] and[0] turn[0] it[0] into[0] a[0] comparison[0] of[0] pulp[0] fiction[0] just[0] because[0] quentin[0] tarantino[0] directed[0] and[0] wrote[0] the[0] screenplay[0] for[0] both[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i think it is , and i'll tell you why . 	i think it is , and i'll tell you why .	1	-1	 i[0] think[0] it[0] is[0] and[0] i'll[0] tell[0] you[0] why[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
a good critic should be able to view the film from the " average joe ( or jane ) " viewpoint , while still taking into account the artistic integrity behind the film . 	a good critic should be able to view the film from the " average joe ( or jane ) " viewpoint , while still taking into account the artistic integrity behind the film .	2	-2	 a[0] good[1] critic[-1] should[0] be[0] able[0] to[0] view[0] the[0] film[0] from[0] the[0] average[0] joe[0] or[0] jane[0] viewpoint[0] while[0] still[0] taking[0] into[0] account[0] the[0] artistic[0] integrity[0] behind[0] the[0] film[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
sometimes that can be tough . 	sometimes that can be tough .	1	-2	 sometimes[0] that[0] can[0] be[0] tough[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
 " the acting was superb , but i was bored " or " i loved it ! ! 	 " the acting was superb , but i was bored " or " i loved it !<br> !	4	-2	 the[0] acting[0] was[0] superb[0] but[0] i[0] was[0] bored[-1] or[0] i[0] loved[3] it[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
it was sooooo cheezy ! " 	it was so cheezy !<br> "	2	-1	 it[0] was[0] sooooo/so[0][+0.6 MultipleLetters] cheezy[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
