seen december 28 , 1997 at 8 : 45 p . m . at the crossgates mall cinema 18 ( guilderland , ny ) , theater #8 , with matt perreault and my sister jena for free ( matt paid using pre-paid passes ) . 	Translation	Positive	Negative	EmotionRationale
if there's ever been an exception to the perils of excessive cliches and non- stop action , the james bond films are it . 	if there's ever been an exception to the perils of excessive cliches and non- stop action , the james bond films are it .	1	-2	 if[0] there's[0] ever[0] been[0] an[0] exception[0] to[0] the[0] perils[-1] of[0] excessive[-1] cliches[0] and[0] non[0] stop[0] action[0] the[0] james[0] bond[0] films[0] are[0] it[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
and if there's ever been a james bond film that not only proves this , but does so by pushing it to the extreme , " tomorrow never dies " is it . 	and if there's ever been a james bond film that not only proves this , but does so by pushing it to the extreme , " tomorrow never dies " is it .	1	-1	 and[0] if[0] there's[0] ever[0] been[0] a[0] james[0] bond[0] film[0] that[0] not[0] only[0] proves[0] this[0] but[0] does[0] so[0] by[0] pushing[0] it[0] to[0] the[0] extreme[0] tomorrow[0] never[0] dies[0] is[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
opening sequences almost always make or break action films . 	opening sequences almost always make or break action films .	1	-1	 opening[0] sequences[0] almost[0] always[0] make[0] or[0] break[0] action[0] films[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
when done properly , not only are they actually exciting , but they foreshadow things to come . 	when done properly , not only are they actually exciting , but they foreshadow things to come .	3	-1	 when[0] done[0] properly[0] not[0] only[0] are[0] they[0] actually[0] exciting[2] but[0] they[0] foreshadow[0] things[0] to[0] come[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
this film starts off on the right foot by establishing the kind of atmosphere that could only be found in an action movie , but with a sense of the self-aware , enclosed universe where james bond movies take place in . 	this film starts off on the right foot by establishing the kind of atmosphere that could only be found in an action movie , but with a sense of the self-aware , enclosed universe where james bond movies take place in .	2	-1	 this[0] film[0] starts[0] off[0] on[0] the[0] right[0] foot[0] by[0] establishing[0] the[0] kind[1] of[0] atmosphere[0] that[0] could[0] only[0] be[0] found[0] in[0] an[0] action[0] movie[0] but[0] with[0] a[0] sense[0] of[0] the[0] self[0] aware[0] enclosed[0] universe[0] where[0] james[0] bond[0] movies[0] take[0] place[0] in[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
first there's a high-tech , slightly complicated scene involving a british warship crossing into unfriendly , chinese waters . 	first there's a high-tech , slightly complicated scene involving a british warship crossing into unfriendly , chinese waters .	1	-3	 first[0] there's[0] a[0] high[0] tech[0] slightly[0] complicated[-1][--1 LastWordBoosterStrength] scene[0] involving[0] a[0] british[0] warship[0] crossing[0] into[0] unfriendly[-2] chinese[0] waters[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
there's definite tension as there seems to be an unknown , but certainly hostile , third party involved who is manipulating both sides . 	there's definite tension as there seems to be an unknown , but certainly hostile , third party involved who is manipulating both sides .	1	-3	 there's[0] definite[0] tension[-2] as[0] there[0] seems[0] to[0] be[0] an[0] unknown[0] but[0] certainly[0] hostile[-2] third[0] party[0] involved[0] who[0] is[0] manipulating[-1] both[0] sides[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
when the scene ends in tragedy , it's clear there's some kind of powerful conspiracy going on , and who else to call on for such a case but james bond ? 	when the scene ends in tragedy , it's clear there's some kind of powerful conspiracy going on , and who else to call on for such a case but james bond ?	1	-3	 when[0] the[0] scene[0] ends[0] in[0] tragedy[-2] it's[0] clear[0] there's[0] some[0] kind[1][-1 LastWordBoosterStrength] of[0] powerful[0] conspiracy[-1] going[0] on[0] and[0] who[0] else[0] to[0] call[0] on[0] for[0] such[0] a[0] case[0] but[0] james[0] bond[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the film uses good judgment in the way it introduces us to bond ( brosnon ) . 	the film uses good judgment in the way it introduces us to bond ( brosnon ) .	2	-1	 the[0] film[0] uses[0] good[1] judgment[0] in[0] the[0] way[0] it[0] introduces[0] us[0] to[0] bond[0] brosnon[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
as the enemy was portrayed as evil and mysterious , bond is clearly ( and obviously ) depicted as an out-and-out hero . 	as the enemy was portrayed as evil and mysterious , bond is clearly ( and obviously ) depicted as an out-and-out hero .	3	-3	 as[0] the[0] enemy[-1] was[0] portrayed[0] as[0] evil[-2] and[0] mysterious[0] bond[0] is[0] clearly[0] and[0] obviously[0] depicted[0] as[0] an[0] out[0] and[0] out[0] hero[2] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
