trekkies , roger nygard's energetic and hilarious documentary , brings viewers into the world of the star trek conventions . 	Translation	Positive	Negative	EmotionRationale
the beauty of the film is that it is good old fashion fun for trekkies and non-fans alike . 	the beauty of the film is that it is good old fashion fun for trekies and non-fans alike .	3	-1	 the[0] beauty[2] of[0] the[0] film[0] is[0] that[0] it[0] is[0] good[1] old[0] fashion[0] fun[1] for[0] trekkies/trekies[0] and[0] non[0] fans[0] alike[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
 ( the film generally writes off the trekkies vs . trekker polemic as not worth arguing about . ) 	 ( the film generally writes off the trekies vs .<br> treker polemic as not worth arguing about .<br> )	2	-1	 the[0] film[0] generally[0] writes[0] off[0] the[0] trekkies/trekies[0] vs[0] [[Sentence=-1,1=word max, 1-5]] trekker/treker[0] polemic[0] as[0] not[0] worth[0] arguing[-1][NegatedDueToPreviousWord] about[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the good-spirited movie trekkies easily forces even the most cynical viewer into fits of uncontrollable , loud giggles , yet the picture treats its subject matter with respect and a certain awe . 	the good-spirited movie trekies easily forces even the most cynical viewer into fits of uncontrollable , loud giggles , yet the picture treats its subject matter with respect and a certain awe .	3	-2	 the[0] good[1] spirited[0] movie[0] trekkies/trekies[0] easily[0] forces[0] even[0] the[0] most[0] cynical[-1] viewer[0] into[0] fits[0] of[0] uncontrollable[-1] loud[0] giggles[2] yet[0] the[0] picture[0] treats[0] its[0] subject[0] matter[0] with[0] respect[2] and[0] a[0] certain[0] awe[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
denise crosby , who played tasha yar on " star trek : the next generation , " serves as the host . 	denise crosby , who played tasha yar on " star trek : the next generation , " serves as the host .	1	-1	 denise[0] crosby[0] who[0] played[0] tasha[0] yar[0] on[0] star[0] trek[0] the[0] next[0] generation[0] serves[0] as[0] the[0] host[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in the opening credits the movie reminds us that trekkies are the only fan group listed in the oxford english dictionary ( oed ) . 	in the opening credits the movie reminds us that trekies are the only fan group listed in the oxford english dictionary ( oed ) .	1	-1	 in[0] the[0] opening[0] credits[0] the[0] movie[0] reminds[0] us[0] that[0] trekkies/trekies[0] are[0] the[0] only[0] fan[0] group[0] listed[0] in[0] the[0] oxford[0] english[0] dictionary[0] oed[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 ( the oed cites a february , 1976 caption in the " new yorker " as the first recorded usage of the word . ) 	 ( the oed cites a february , 1976 caption in the " new yorker " as the first recorded usage of the word .<br> )	1	-1	 the[0] oed[0] cites[0] a[0] february[0] 1976[0] caption[0] in[0] the[0] new[0] yorker[0] as[0] the[0] first[0] recorded[0] usage[0] of[0] the[0] word[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
unless you've been to the conventions , i posit that you have no idea of the dedication of some of the fans . 	unless you've been to the conventions , i posit that you have no idea of the dedication of some of the fans .	1	-1	 unless[0] you've[0] been[0] to[0] the[0] conventions[0] i[0] posit[0] that[0] you[0] have[0] no[0] idea[0] of[0] the[0] dedication[0] of[0] some[0] of[0] the[0] fans[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
one pointed out , apologetically , that the stripe on his new uniform was slightly inaccurate . 	one pointed out , apologetically , that the stripe on his new uniform was slightly inaccurate .	1	-1	 one[0] pointed[0] out[0] apologetically[0] that[0] the[0] stripe[0] on[0] his[0] new[0] uniform[0] was[0] slightly[0] inaccurate[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
others talked about how many star trek conventions they had attended , several dozen being typical and hundreds not unheard of . 	others talked about how many star trek conventions they had attended , several dozen being typical and hundreds not unheard of .	1	-1	 others[0] talked[0] about[0] how[0] many[0] star[0] trek[0] conventions[0] they[0] had[0] attended[0] several[0] dozen[0] being[0] typical[0] and[0] hundreds[0] not[0] unheard[0] of[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
my personal favorite fan is sir speedy photocopying worker barbara adams . 	my personal favorite fan is sir speedy photocopying worker barbara adams .	2	-1	 my[0] personal[0] favorite[1] fan[0] is[0] sir[0] speedy[0] photocopying[0] worker[0] barbara[0] adams[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
