david mamet has long been my favorite screenwriter and director . 	Translation	Positive	Negative	EmotionRationale
with his distinctive , more often than not ingenious dialogue , and his laid back style of direction nearly all of his movies are absolutely irresistible . 	with his distinctive , more often than not ingenious dialogue , and his laid back style of direction nearly all of his movies are absolutely irresistible .	1	-1	 with[0] his[0] distinctive[0] more[0] often[0] than[0] not[0] ingenious[0] dialogue[0] and[0] his[0] laid[0] back[0] style[0] of[0] direction[0] nearly[0] all[0] of[0] his[0] movies[0] are[0] absolutely[0] irresistible[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
some of them tend to be thickly layered , deceptive productions that require the audience to look at the film in a less superficial manner than the plot seems to require in order to discern its concealed message , or sometimes even a concealed storyline . 	some of them tend to be thickly layered , deceptive productions that require the audience to look at the film in a less superficial manner than the plot seems to require in order to discern its concealed message , or sometimes even a concealed storyline .	1	-2	 some[0] of[0] them[0] tend[0] to[0] be[0] thickly[0] layered[0] deceptive[-1] productions[0] that[0] require[0] the[0] audience[0] to[0] look[0] at[0] the[0] film[0] in[0] a[0] less[0] superficial[-1] manner[0] than[0] the[0] plot[0] seems[0] to[0] require[0] in[0] order[0] to[0] discern[0] its[0] concealed[-1] message[0] or[0] sometimes[0] even[0] a[0] concealed[-1] storyline[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
and although the real plot in his new project the winslow boy is slightly more conspicuous than in some of his other endeavors , it is still a brilliantly complex , consistently riveting motion picture about honor , about sacrifice , and about the difference between what is commonly known as justice and what is right . 	and although the real plot in his new project the winslow boy is slightly more conspicuous than in some of his other endeavors , it is still a brilliantly complex , consistently riveting motion picture about honor , about sacrifice , and about the difference between what is commonly known as justice and what is right .	2	-1	 and[0] although[0] the[0] real[0] plot[0] in[0] his[0] new[0] project[0] the[0] winslow[0] boy[0] is[0] slightly[0] more[0] conspicuous[0] than[0] in[0] some[0] of[0] his[0] other[0] endeavors[0] it[0] is[0] still[0] a[0] brilliantly[1] complex[0] consistently[0] riveting[0] motion[0] picture[0] about[0] honor[0] about[0] sacrifice[0] and[0] about[0] the[0] difference[0] between[0] what[0] is[0] commonly[0] known[0] as[0] justice[0] and[0] what[0] is[0] right[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
oh , and it's rated g . 	oh , and it's rated grin� .	1	-1	 oh[0] and[0] it's[0] rated[0] g[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
incidentally , this is the first time that mamet has decided to adapt someone else's work ; namely a play by terrence rattigan , set in the 19th century . 	incidentally , this is the first time that mamet has decided to adapt someone else's work ; namely a play by terrence rattigan , set in the 19th century .	1	-1	 incidentally[0] this[0] is[0] the[0] first[0] time[0] that[0] mamet[0] has[0] decided[0] to[0] adapt[0] someone[0] else's[0] work[0] namely[0] a[0] play[0] by[0] terrence[0] rattigan[0] set[0] in[0] the[0] 19th[0] century[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he casts nigel hawthorne in the lead role as arthur winslow , a rich , aging man who finds out that his 14 year old son ronnie has been kicked out of the naval academy for allegedly stealing a 5 shilling postal note . 	he casts nigel hawthorne in the lead role as arthur winslow , a rich , aging man who finds out that his 14 year old son ronnie has been kicked out of the naval academy for allegedly stealing a 5 shilling postal note .	1	-3	 he[0] casts[0] nigel[0] hawthorne[0] in[0] the[0] lead[0] role[0] as[0] arthur[0] winslow[0] a[0] rich[0] aging[0] man[0] who[0] finds[0] out[0] that[0] his[0] 14[0] year[0] old[0] son[0] ronnie[0] has[0] been[0] kicked[-1] out[0] of[0] the[0] naval[0] academy[0] for[0] allegedly[-1] stealing[-2] a[0] 5[0] shilling[0] postal[0] note[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
 " did you do it ? " he asks his boy . 	 " did you do it ?<br> " he asks his boy .	1	-1	 did[0] you[0] do[0] it[0] [[Sentence=-1,1=word max, 1-5]] he[0] asks[0] his[0] boy[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 " no father , i didn't , " ronnie answers . 	 " no father , i didn't , " ronnie answers .	1	-1	 no[0] father[0] i[0] didn't[0] ronnie[0] answers[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
that's enough for arthur , who , with his oldest daughter ( rebecca pidgeon ) , immediately starts a crusade to bring his son's case to court . 	that's enough for arthur , who , with his oldest daughter ( rebecca pidgeon ) , immediately starts a crusade to bring his son's case to court .	1	-1	 that's[0] enough[0] for[0] arthur[0] who[0] with[0] his[0] oldest[0] daughter[0] rebecca[0] pidgeon[0] immediately[0] starts[0] a[0] crusade[0] to[0] bring[0] his[0] son's[0] case[0] to[0] court[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
they enlist the help of sir robert morton , a notorious attorney to help them achieve that formidably daunting task . 	they enlist the help of sir robert morton , a notorious attorney to help them achieve that formidably daunting task .	1	-2	 they[0] enlist[0] the[0] help[0] of[0] sir[0] robert[0] morton[0] a[0] notorious[-1] attorney[0] to[0] help[0] them[0] achieve[0] that[0] formidably[0] daunting[-1] task[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
