there's some movies i enjoy even though i know i probably shouldn't and have a difficult time trying to explain why i did . 	Translation	Positive	Negative	EmotionRationale
 " lucky numbers " is a perfect example of this because it's such a blatant rip-off of " fargo " and every movie based on an elmore leonard novel and yet it somehow still works for me . 	 " lucky numbers " is a perfect example of this because it's such a blatant rip-off of " fargo " and every movie based on an elmore leonard novel and yet it somehow still works for me .	2	-2	 lucky[1] numbers[0] is[0] a[0] perfect[1] example[0] of[0] this[0] because[0] it's[0] such[0] a[0] blatant[-1] rip[-1] off[0] of[0] fargo[0] and[0] every[0] movie[0] based[0] on[0] an[0] elmore[0] leonard[0] novel[0] and[0] yet[0] it[0] somehow[0] still[0] works[0] for[0] me[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
i know i'm in the minority here but let me explain . 	i know i'm in the minority here but let me explain .	1	-1	 i[0] know[0] i'm[0] in[0] the[0] minority[0] here[0] but[0] let[0] me[0] explain[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the film takes place in harrisburg , pa in 1988 during an unseasonably warm winter . 	the film takes place in harrisburg , pa in 1988 during an unseasonably warm winter .	1	-1	 the[0] film[0] takes[0] place[0] in[0] harrisburg[0] pa[0] in[0] 1988[0] during[0] an[0] unseasonably[0] warm[0] winter[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
john travolta plays the local big-shot tv weatherman who is idolized by the townsfolk as if he were john travolta himself and not the bumbling russ richards . 	john travolta plays the local big-shot tv weatherman who is idolized by the townsfolk as if he were john travolta himself and not the bumbling russ richards .	2	-2	 john[0] travolta[0] plays[1] the[0] local[0] big[0] shot[-1] tv[0] weatherman[0] who[0] is[0] idolized[0] by[0] the[0] townsfolk[0] as[0] if[0] he[0] were[0] john[0] travolta[0] himself[0] and[0] not[0] the[0] bumbling[0] russ[0] richards[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
russ is married to crystal ( lisa kudrow ) , a blonde bimbo if ever there was one in the history of cinema . 	russ is married to crystal ( lisa kudrow ) , a blonde bimbo if ever there was one in the history of cinema .	1	-1	 russ[0] is[0] married[0] to[0] crystal[0] lisa[0] kudrow[0] a[0] blonde[0] bimbo[0] if[0] ever[0] there[0] was[0] one[0] in[0] the[0] history[0] of[0] cinema[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
she's a selfish , nasty bitch full of lust and desire but somehow she got the job of the lottery ball girl - not exactly the most intellectually taxing job on the market . 	she's a selfish , nasty bitch full of lust and desire but somehow she got the job of the lottery ball girl - not exactly the most intellectually taxing job on the market .	1	-4	 she's[0] a[0] selfish[-3] nasty[-2][-1 MultiplePositiveWords] bitch[-1] full[0] of[0] lust[0] and[0] desire[0] but[0] somehow[0] she[0] got[0] the[0] job[0] of[0] the[0] lottery[0] ball[0] girl[0] not[0] exactly[0] the[0] most[0] intellectually[0] taxing[-1] job[0] on[0] the[0] market[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
crystal's cheating on russ with their collective boss dick ( ed o'neil ) , the tv station manager . 	crystal's cheating on russ with their collective boss dick ( ed o'neil ) , the tv station manager .	1	-3	 crystal's[0] cheating[-2] on[0] russ[0] with[0] their[0] collective[0] boss[0] dick[0] ed[0] o'neil[0] the[0] tv[0] station[0] manager[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
she doesn't seem to genuinely like either of them , but it's all she can do in this one-horse town . 	she doesn't seem to genuinely like either of them , but it's all she can do in this one-horse town .	2	-1	 she[0] doesn't[0] seem[0] to[0] genuinely[0] like[1] either[0] of[0] them[0] but[0] it's[0] all[0] she[0] can[0] do[0] in[0] this[0] one[0] horse[0] town[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
much like " fargo , " this movie tells the story of a man who's going broke and has to pull off a huge scam to get rich quick . 	much like " fargo , " this movie tells the story of a man who's going broke and has to pull off a huge scam to get rich quick .	2	-2	 much[0] like[1] fargo[0] this[0] movie[0] tells[0] the[0] story[0] of[0] a[0] man[0] who's[0] going[0] broke[-1] and[0] has[0] to[0] pull[0] off[0] a[0] huge[0] scam[0] to[0] get[0] rich[0] quick[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
he enlists the help of his english friend gig ( tim roth ) , the local stripclub owner who tells him how to fix the lottery . 	he enlists the help of his english friend gig ( tim roth ) , the local stripclub owner who tells him how to fix the lottery .	2	-1	 he[0] enlists[0] the[0] help[0] of[0] his[0] english[0] friend[1] gig[0] tim[0] roth[0] the[0] local[0] stripclub[0] owner[0] who[0] tells[0] him[0] how[0] to[0] fix[0] the[0] lottery[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
along the way a subplot involving a two-bit thug named , accurately , " dale the thug " ( michael rappaport ) gets mixed up in the process . 	along the way a subplot involving a two-bit thug named , accurately , " dale the thug " ( michael rappaport ) gets mixed up in the process .	1	-1	 along[0] the[0] way[0] a[0] subplot[0] involving[0] a[0] two[0] bit[0] thug[0] named[0] accurately[0] dale[0] the[0] thug[0] michael[0] rappaport[0] gets[0] mixed[0] up[0] in[0] the[0] process[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there's also a bookie that somehow gets thrown in the mix once the deal goes down . 	there's also a bookie that somehow gets thrown in the mix once the deal goes down .	1	-1	 there's[0] also[0] a[0] bookie[0] that[0] somehow[0] gets[0] thrown[0] in[0] the[0] mix[0] once[0] the[0] deal[0] goes[0] down[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i'm not going to elaborate much further on the plot and story because it continues to unwind and take twists and turns you're not expecting . 	i'm not going to elaborate much further on the plot and story because it continues to unwind and take twists and turns you're not expecting .	1	-1	 i'm[0] not[0] going[0] to[0] elaborate[0] much[0] further[0] on[0] the[0] plot[0] and[0] story[0] because[0] it[0] continues[0] to[0] unwind[0] and[0] take[0] twists[0] and[0] turns[0] you're[0] not[0] expecting[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this is a farce , which is basically a straightforward , adult-oriented comedy but doesn't go as far as a classic black comedy should . 	this is a farce , which is basically a straightforward , adult-oriented comedy but doesn't go as far as a classic black comedy should .	1	-2	 this[0] is[0] a[0] farce[-1] which[0] is[0] basically[0] a[0] straightforward[0] adult[0] oriented[0] comedy[0] but[0] doesn't[0] go[0] as[0] far[0] as[0] a[0] classic[0] black[0] comedy[0] should[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
where as " fargo " was sometimes shocking and disturbing while being funny , " lucky numbers " is just funny because you can't take these characters in these outrageous situations seriously . 	where as " fargo " was sometimes shocking and disturbing while being funny , " lucky numbers " is just funny because you can't take these characters in these outrageous situations seriously .	2	-3	 where[0] as[0] fargo[0] was[0] sometimes[0] shocking[-2][--1 LastWordBoosterStrength] and[0] disturbing[-1] while[0] being[0] funny[1] lucky[1] numbers[0] is[0] just[0] funny[1][-1 LastWordBoosterStrength] because[0] you[0] can't[0] take[0] these[0] characters[0] in[0] these[0] outrageous[-2] situations[0] seriously[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
it's all a big cartoon basically , but it's funny and i can respect that . 	it's all a big cartoon basically , but it's funny and i can respect that .	3	-1	 it's[0] all[0] a[0] big[0] cartoon[0] basically[0] but[0] it's[0] funny[1] and[0] i[0] can[0] respect[2] that[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
travolta is great in his role and even though he's not a really likable character , he's trying to be a nice guy despite the fact he's a creep . 	travolta is great in his role and even though he's not a really likable character , he's trying to be a nice guy despite the fact he's a creep .	3	-1	 travolta[0] is[0] great[2] in[0] his[0] role[0] and[0] even[0] though[0] he's[0] not[0] a[0] really[0] likable[0] character[0] he's[0] trying[0] to[0] be[0] a[0] nice[1] guy[0] despite[0] the[0] fact[0] he's[0] a[0] creep[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
he's like a gangster with morals who genuinely feels sorry for the guys he has to kill . 	he's like a gangster with morals who genuinely feels sorry for the guys he has to kill .	2	-2	 he's[0] like[1] a[0] gangster[0] with[0] morals[0] who[0] genuinely[0] feels[0] sorry[-1] for[0] the[0] guys[0] he[0] has[0] to[0] kill[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
crystal is just the opposite , she's constantly arguing and using whatever brain cells she has left to look out for herself . 	crystal is just the opposite , she's constantly arguing and using whatever brain cells she has left to look out for herself .	1	-2	 crystal[0] is[0] just[0] the[0] opposite[0] she's[0] constantly[0] arguing[-1] and[0] using[0] whatever[0] brain[0] cells[0] she[0] has[0] left[0] to[0] look[0] out[0] for[0] herself[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
kudrow is perfect in this role since she's spent 8 years on tv as the dim-witted phoebe on " friends . " 	kudrow is perfect in this role since she's spent 8 years on tv as the dim-witted phoebe on " friends .<br> "	2	-2	 kudrow[0] is[0] perfect[1] in[0] this[0] role[0] since[0] she's[0] spent[0] 8[0] years[0] on[0] tv[0] as[0] the[0] dim[-1] witted[0] phoebe[0] on[0] friends[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
here is character is basically a very evil incarnation of phoebe . 	here is character is basically a very evil incarnation of phoebe .	1	-4	 here[0] is[0] character[0] is[0] basically[0] a[0] very[0] evil[-2][-1 LastWordBoosterStrength] incarnation[0] of[0] phoebe[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
i have to admit i was honestly surprised and pleased by how the plot unraveled and the methods each of the main characters use to try to get their share of the money . 	i have to admit i was honestly surprised and pleased by how the plot unraveled and the methods each of the main characters use to try to get their share of the money .	2	-1	 i[0] have[0] to[0] admit[0] i[0] was[0] honestly[0] surprised[0] and[0] pleased[1] by[0] how[0] the[0] plot[0] unraveled[0] and[0] the[0] methods[0] each[0] of[0] the[0] main[0] characters[0] use[0] to[0] try[0] to[0] get[0] their[0] share[0] of[0] the[0] money[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
like " jackie brown , " ( an elmore leonard adaption ) , the story is about a circle of 10 characters all after the lottery money that has been won illegally . 	like " jackie brown , " ( an elmore leonard adaption ) , the story is about a circle of 10 characters all after the lottery money that has been won illegally .	2	-1	 like[1] jackie[0] brown[0] an[0] elmore[0] leonard[0] adaption[0] the[0] story[0] is[0] about[0] a[0] circle[0] of[0] 10[0] characters[0] all[0] after[0] the[0] lottery[0] money[0] that[0] has[0] been[0] won[0] illegally[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the screenplay does a fine job in balancing the characters and slowly revealing their motivations and hidden agendas while at the same time keep russ richards the main focus . 	the screenplay does a fine job in balancing the characters and slowly revealing their motivations and hidden agendas while at the same time keep russ richards the main focus .	3	-1	 the[0] screenplay[0] does[0] a[0] fine[2] job[0] in[0] balancing[0] the[0] characters[0] and[0] slowly[0] revealing[0] their[0] motivations[0] and[0] hidden[0] agendas[0] while[0] at[0] the[0] same[0] time[0] keep[0] russ[0] richards[0] the[0] main[0] focus[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
more and more characters are introduced and since the film has such an iconic , cartoony atmosphere you can take on faith just what makes the minor characters do what they do . 	more and more characters are introduced and since the film has such an iconic , cartoony atmosphere you can take on faith just what makes the minor characters do what they do .	2	-1	 more[0] and[0] more[0] characters[0] are[0] introduced[0] and[0] since[0] the[0] film[0] has[0] such[0] an[0] iconic[0] cartoony[0] atmosphere[0] you[0] can[0] take[0] on[0] faith[1] just[0] what[0] makes[0] the[0] minor[0] characters[0] do[0] what[0] they[0] do[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the ending itself is great . 	the ending itself is great .	3	-1	 the[0] ending[0] itself[0] is[0] great[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
it's surprising and funny and makes you feel good . 	it's surprising and funny and makes you feel good .	2	-1	 it's[0] surprising[0] and[0] funny[1] and[0] makes[0] you[0] feel[0] good[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
you realize this film has packed in about 10 different movies' worth of stories into two hours' time and didn't fall apart ( although many other critics might beg to differ ) . 	you realize this film has packed in about 10 different movies' worth of stories into two hours' time and didn't fall apart ( although many other critics might beg to differ ) .	1	-2	 you[0] realize[0] this[0] film[0] has[0] packed[0] in[0] about[0] 10[0] different[0] movies'[0] worth[0] of[0] stories[0] into[0] two[0] hours'[0] time[0] and[0] didn't[0] fall[0] apart[0] although[0] many[0] other[0] critics[0] might[0] beg[-1][--1 LastWordBoosterStrength] to[0] differ[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i liked it , and i could see it again - isn't that what makes a movie good ? 	i liked it , and i could see it again - isn't that what makes a movie good ?	3	-1	 i[0] liked[2] it[0] and[0] i[0] could[0] see[0] it[0] again[0] isn't[0] that[0] what[0] makes[0] a[0] movie[0] good[1] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
