let me first say that the conditions that i was forced to watch the matrix under were less than ideal . 	Translation	Positive	Negative	EmotionRationale
so i have tried to be as fair as possible considering that my viewing experience was significantly less than ideal . 	so i have tried to be as fair as possible considering that my viewing experience was significantly less than ideal .	1	-1	 so[0] i[0] have[0] tried[0] to[0] be[0] as[0] fair[0] as[0] possible[0] considering[0] that[0] my[0] viewing[0] experience[0] was[0] significantly[0] less[0] than[0] ideal[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i watched the matrix in a theater that is in serious need of upgrades at the best of times . 	i watched the matrix in a theater that is in serious need of upgrades at the best of times .	2	-2	 i[0] watched[0] the[0] matrix[0] in[0] a[0] theater[0] that[0] is[0] in[0] serious[-1] need[0] of[0] upgrades[0] at[0] the[0] best[1] of[0] times[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
under no circumstances , should it have ever been allowed to show a big budget special effects laden film like the matrix . 	under no circumstances , should it have ever been allowed to show a big budget special effects laden film like the matrix .	2	-1	 under[0] no[0] circumstances[0] should[0] it[0] have[0] ever[0] been[0] allowed[0] to[0] show[0] a[0] big[0] budget[0] special[1] effects[0] laden[0] film[0] like[1] the[0] matrix[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
this theater , owned by the parent company of one of hollywood's biggest studios , hasn't even graduated into stereo sound yet . 	this theater , owned by the parent company of one of hollywood's biggest studios , hasn't even graduated into stereo sound yet .	1	-1	 this[0] theater[0] owned[0] by[0] the[0] parent[0] company[0] of[0] one[0] of[0] hollywood's[0] biggest[0] studios[0] hasn't[0] even[0] graduated[0] into[0] stereo[0] sound[0] yet[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the mono sound that the audience was subjected to sounded as if it was coming out of a speaker that was many years past mandatory retirement age . 	the mono sound that the audience was subjected to sounded as if it was coming out of a speaker that was many years past mandatory retirement age .	1	-2	 the[0] mono[0] sound[0] that[0] the[0] audience[0] was[0] subjected[0] to[0] sounded[0] as[0] if[0] it[0] was[0] coming[0] out[0] of[0] a[0] speaker[0] that[0] was[0] many[0] years[0] past[0] mandatory[0] retirement[-1] age[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
in other words , the sound sucked . 	in other words , the sound sucked .	1	-2	 in[0] other[0] words[0] the[0] sound[0] sucked[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
as someone used to digital sound in a movie theater , bad sound doesn't do anything to add to a film . 	as someone used to digital sound in a movie theater , bad sound doesn't do anything to add to a film .	1	-2	 as[0] someone[0] used[0] to[0] digital[0] sound[0] in[0] a[0] movie[0] theater[0] bad[-1] sound[0] doesn't[0] do[0] anything[0] to[0] add[0] to[0] a[0] film[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i'm not even going to go into the horrible splicing job that the projectionist did putting this film together . 	i'm not even going to go into the horrible splicing job that the projectionist did putting this film together .	1	-4	 i'm[0] not[0] even[0] going[0] to[0] go[0] into[0] the[0] horrible[-3] splicing[0] job[0] that[0] the[0] projectionist[0] did[0] putting[0] this[0] film[0] together[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
there , i've had my rant , now on with the regularly scheduled review . 	there , i've had my rant , now on with the regularly scheduled review .	1	-1	 there[0] i've[0] had[0] my[0] rant[0] now[0] on[0] with[0] the[0] regularly[0] scheduled[0] review[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
which sadly won't include commentary on the film's sound which i'm assuming was spectacular , but i'm just guessing . 	which sadly won't include commentary on the film's sound which i'm assuming was spectacular , but i'm just guessing .	1	-2	 which[0] sadly[-1] won't[0] include[0] commentary[0] on[0] the[0] film's[0] sound[0] which[0] i'm[0] assuming[0] was[0] spectacular[0] but[0] i'm[0] just[0] guessing[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
