when i left the theater after seeing david lynch's " lost highway , " i remarked to a fellow movie-goer , " i feel like someone just sucked my brains out through my nose and put them back in through my ears . " 	Translation	Positive	Negative	EmotionRationale
in his first feature film in five years , lynch delivers a film second only to his debut picture " eraserhead " on the weirdness scale . 	in his first feature film in five years , lynch delivers a film second only to his debut picture " eraserhead " on the weirdness scale .	1	-2	 in[0] his[0] first[0] feature[0] film[0] in[0] five[0] years[0] lynch[0] delivers[0] a[0] film[0] second[0] only[0] to[0] his[0] debut[0] picture[0] eraserhead[-1] on[0] the[0] weirdness[-1] scale[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
you won't " know " what happened when it's over , though there are certainly enough clues with which to make some reasonable guesses . 	you won't " know " what happened when it's over , though there are certainly enough clues with which to make some reasonable guesses .	1	-1	 you[0] won't[0] know[0] what[0] happened[0] when[0] it's[0] over[0] though[0] there[0] are[0] certainly[0] enough[0] clues[0] with[0] which[0] to[0] make[0] some[0] reasonable[0] guesses[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it is difficult to describe the plot of this film , because it depends partly on how you interpret it . 	it is difficult to describe the plot of this film , because it depends partly on how you interpret it .	1	-2	 it[0] is[0] difficult[-1] to[0] describe[0] the[0] plot[0] of[0] this[0] film[0] because[0] it[0] depends[0] partly[0] on[0] how[0] you[0] interpret[0] it[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i can , however , describe what we see on the screen : l . a . jazz saxophonist fred madison ( bill pullman ) and his wife renee ( patricia arquette ) , whom he clearly suspects of infidelity , receive a series of videotapes apparently filmed inside their house while they were asleep . 	i can , however , describe what we see on the screen : l .<br> a .<br> jaz saxophonist fred madison ( bill pullman ) and his wife renee ( patricia arquette ) , whom he clearly suspects of infidelity , receive a series of videotapes apparently filmed inside their house while they were asleep .	1	-1	 i[0] can[0] however[0] describe[0] what[0] we[0] see[0] on[0] the[0] screen[0] l[0] [[Sentence=-1,1=word max, 1-5]] a[0] [[Sentence=-1,1=word max, 1-5]] jazz/jaz[0] saxophonist[0] fred[0] madison[0] bill[0] pullman[0] and[0] his[0] wife[0] renee[0] patricia[0] arquette[0] whom[0] he[0] clearly[0] suspects[0] of[0] infidelity[0] receive[0] a[0] series[0] of[0] videotapes[0] apparently[0] filmed[0] inside[0] their[0] house[0] while[0] they[0] were[0] asleep[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
they are , naturally enough , more than a little frightened and confused , and it doesn't help matters any when " mystery man " ( robert blake ) approaches fred at a party and proceeds to call himself on the telephone at the madisons' house in a scene that is at once hilarious and unnerving . 	they are , naturally enough , more than a little frightened and confused , and it doesn't help matters any when " mystery man " ( robert blake ) approaches fred at a party and proceeds to call himself on the telephone at the madisons' house in a scene that is at once hilarious and unnerving .	3	-4	 they[0] are[0] naturally[0] enough[0] more[0] than[0] a[0] little[0] frightened[-3] and[0] confused[-1] and[0] it[0] doesn't[0] help[0] matters[0] any[0] when[0] mystery[0] man[0] robert[0] blake[0] approaches[0] fred[0] at[0] a[0] party[0] and[0] proceeds[0] to[0] call[0] himself[0] on[0] the[0] telephone[0] at[0] the[0] madisons'[0] house[0] in[0] a[0] scene[0] that[0] is[0] at[0] once[0] hilarious[2] and[0] unnerving[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
the next morning , fred finds another videotape which , to his ( and our ) surprise , shows him brutally murdering renee in their bedroom . 	the next morning , fred finds another videotape which , to his ( and our ) surprise , shows him brutally murdering renee in their bedroom .	1	-5	 the[0] next[0] morning[0] fred[0] finds[0] another[0] videotape[0] which[0] to[0] his[0] and[0] our[0] surprise[0] shows[0] him[0] brutally[-2] murdering[-3][-1 MultiplePositiveWords] renee[0] in[0] their[0] bedroom[0] [[Sentence=-5,1=word max, 1-5]][[[1,-5 max of sentences]]]
he is convicted of her murder and sent to death row , where he inexplicably disappears one night and is replaced by a young mechanic named pete dayton ( balthazar getty ) . 	he is convicted of her murder and sent to death row , where he inexplicably disappears one night and is replaced by a young mechanic named pete dayton ( balthazar getty ) .	1	-4	 he[0] is[0] convicted[-1] of[0] her[0] murder[-3] and[0] sent[0] to[0] death[-2] row[0] where[0] he[0] inexplicably[0] disappears[0] one[0] night[0] and[0] is[0] replaced[0] by[0] a[0] young[0] mechanic[0] named[0] pete[0] dayton[0] balthazar[0] getty[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the perplexed prison officials release dayton , whose life begins to intersect with fred in a number of ways - most notably his affair with alice wakefield ( arquette again ) , a blonde who is otherwise renee's spitting image , and another encounter with the mystery man . 	the perplexed prison officials release dayton , whose life begins to intersect with fred in a number of ways - most notably his affair with alice wakefield ( arquette again ) , a blonde who is otherwise renee's spitting image , and another encounter with the mystery man .	1	-2	 the[0] perplexed[-1] prison[-1] officials[0] release[0] dayton[0] whose[0] life[0] begins[0] to[0] intersect[0] with[0] fred[0] in[0] a[0] number[0] of[0] ways[0] most[0] notably[0] his[0] affair[0] with[0] alice[0] wakefield[0] arquette[0] again[0] a[0] blonde[0] who[0] is[0] otherwise[0] renee's[0] spitting[0] image[0] and[0] another[0] encounter[0] with[0] the[0] mystery[0] man[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i would be giving away a little too much to reveal any more , but suffice it to say that lynch doesn't offer any neat wrap ? ups , nor does he put a lid on the metaphysical confusion : the cinematic demons of " lost highway " are out in full force from beginning to end . 	i would be giving away a little too much to reveal any more , but suffice it to say that lynch doesn't offer any neat wrap ?<br> ups , nor does he put a lid on the metaphysical confusion : the cinematic demons of " lost highway " are out in full force from beginning to end .	1	-2	 i[0] would[0] be[0] giving[0] away[0] a[0] little[0] too[0] much[0] to[0] reveal[0] any[0] more[0] but[0] suffice[0] it[0] to[0] say[0] that[0] lynch[0] doesn't[0] offer[0] any[0] neat[0] wrap[0] [[Sentence=-1,1=word max, 1-5]] ups[0] nor[0] does[0] he[0] put[0] a[0] lid[0] on[0] the[0] metaphysical[0] confusion[-1] the[0] cinematic[0] demons[0] of[0] lost[0] highway[0] are[0] out[0] in[0] full[0] force[-1] from[0] beginning[0] to[0] end[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
this description might make " lost highway " sound like a giddy exercise in haywire surrealism , but in fact , while there are traces of lynch's weird sense of humor , this film is anything but giddy most of the time . 	this description might make " lost highway " sound like a giddy exercise in haywire surrealism , but in fact , while there are traces of lynch's weird sense of humor , this film is anything but giddy most of the time .	3	-2	 this[0] description[0] might[0] make[0] lost[0] highway[0] sound[0] like[1] a[0] giddy[0] exercise[0] in[0] haywire[0] surrealism[0] but[0] in[0] fact[0] while[0] there[0] are[0] traces[0] of[0] lynch's[0] weird[-1] sense[0] of[0] humor[2] this[0] film[0] is[0] anything[0] but[0] giddy[0] most[0] of[0] the[0] time[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
