in october of 1962 the united states found itself on the brink of nuclear holocaust when u2 spy plane fly-overs of cuba revealed that the soviet union was actively deploying and installing medium range ballistic missiles 90 miles from the us . 	Translation	Positive	Negative	EmotionRationale
president john kennedy ( bruce greenwood ) and his staff must face this major threat to world peace and stop soviet expansionism in director roger donaldson's dramatic recreation of the most dangerous crisis in american history in " thirteen days . " 	president john kennedy ( bruce greenwood ) and his staff must face this major threat to world peace and stop soviet expansionism in director roger donaldson's dramatic recreation of the most dangerous crisis in american history in " thirteen days .<br> "	1	-3	 president[0] john[0] kennedy[0] bruce[0] greenwood[0] and[0] his[0] staff[0] must[0] face[0] this[0] major[0] threat[-2] to[0] world[0] peace[0] and[0] stop[0] soviet[0] expansionism[0] in[0] director[0] roger[0] donaldson's[0] dramatic[0] recreation[0] of[0] the[0] most[0] dangerous[-1] crisis[-2] in[0] american[0] history[0] in[0] thirteen[0] days[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
one of the highlights to come out of made-for-tv movies was a 1974 entry called " missiles of october " that also recreated the historic event that almost embroiled the us , ussr and the world in an all out nuclear showdown . 	one of the highlights to come out of made-for-tv movies was a 1974 entry called " missiles of october " that also recreated the historic event that almost embroiled the us , ussr and the world in an all out nuclear showdown .	1	-1	 one[0] of[0] the[0] highlights[0] to[0] come[0] out[0] of[0] made[0] for[0] tv[0] movies[0] was[0] a[0] 1974[0] entry[0] called[0] missiles[0] of[0] october[0] that[0] also[0] recreated[0] the[0] historic[0] event[0] that[0] almost[0] embroiled[0] the[0] us[0] ussr[0] and[0] the[0] world[0] in[0] an[0] all[0] out[0] nuclear[0] showdown[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
that teleplay , starring william devane and martin sheen as john and bobby , showed the political tensions of the period that brought to the fore the danger the world faced in those two weeks in 1962 . 	that teleplay , starring william devane and martin sheen as john and bobby , showed the political tensions of the period that brought to the fore the danger the world faced in those two weeks in 1962 .	1	-3	 that[0] teleplay[0] starring[0] william[0] devane[0] and[0] martin[0] sheen[0] as[0] john[0] and[0] bobby[0] showed[0] the[0] political[0] tensions[-2] of[0] the[0] period[0] that[0] brought[0] to[0] the[0] fore[0] the[0] danger[-1] the[0] world[0] faced[0] in[0] those[0] two[0] weeks[0] in[0] 1962[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
now , a quarter of a century after the landmark tv movie , director roger donaldson and producer kevin costner team together again ( the last time was for the taught spy thriller " no way out " ) to re-enact the events of that most dangerous time in america's and the world's history . 	now , a quarter of a century after the landmark tv movie , director roger donaldson and producer kevin costner team together again ( the last time was for the taught spy thriller " no way out " ) to re-enact the events of that most dangerous time in america's and the world's history .	2	-2	 now[0] a[0] quarter[0] of[0] a[0] century[0] after[0] the[0] landmark[0] tv[0] movie[0] director[0] roger[0] donaldson[0] and[0] producer[0] kevin[0] costner[0] team[0] together[0] again[0] the[0] last[0] time[0] was[0] for[0] the[0] taught[0] spy[0] thriller[1] no[0] way[0] out[0] to[0] re[0] enact[0] the[0] events[0] of[0] that[0] most[0] dangerous[-1] time[0] in[0] america's[0] and[0] the[0] world's[0] history[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
taken from the viewpoint of special assistant to the president kenneth p . o'donnell ( costner ) , donaldson and crew recreate that volatile event , once again , as the country is plunged into what could have been total nuclear war . 	taken from the viewpoint of special assistant to the president kenneth p .<br> o'donnell ( costner ) , donaldson and crew recreate that volatile event , once again , as the country is plunged into what could have been total nuclear war .	2	-3	 taken[0] from[0] the[0] viewpoint[0] of[0] special[1] assistant[0] to[0] the[0] president[0] kenneth[0] p[0] [[Sentence=-1,2=word max, 1-5]] o'donnell[0] costner[0] donaldson[0] and[0] crew[0] recreate[0] that[0] volatile[-1] event[0] once[0] again[0] as[0] the[0] country[0] is[0] plunged[0] into[0] what[0] could[0] have[0] been[0] total[0] nuclear[0] war[-2] [[Sentence=-3,1=word max, 1-5]][[[2,-3 max of sentences]]]
as o'donnell gets ready to head to work one october morning , he deals with the usual family crises and problems . 	as o'donnell gets ready to head to work one october morning , he deals with the usual family crises and problems .	1	-2	 as[0] o'donnell[0] gets[0] ready[0] to[0] head[0] to[0] work[0] one[0] october[0] morning[0] he[0] deals[0] with[0] the[0] usual[0] family[0] crises[0] and[0] problems[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
meanwhile , a u2 spy plane photo mission over cuba has produced some startling images - medium range nuclear missiles in the first stage of deployment . 	meanwhile , a u2 spy plane photo mission over cuba has produced some startling images - medium range nuclear missiles in the first stage of deployment .	1	-1	 meanwhile[0] a[0] u2[0] spy[0] plane[0] photo[0] mission[0] over[0] cuba[0] has[0] produced[0] some[0] startling[-1][--1 LastWordBoosterStrength] images[0] medium[0] range[0] nuclear[0] missiles[0] in[0] the[0] first[0] stage[0] of[0] deployment[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
suddenly , ken's routine day switches into crisis mode as the president and his key advisor bobby begin to muster the considerable forces of the us military to face the soviet threat . 	suddenly , ken's routine day switches into crisis mode as the president and his key advisor bobby begin to muster the considerable forces of the us military to face the soviet threat .	1	-3	 suddenly[0] ken's[0] routine[0] day[0] switches[0] into[0] crisis[-2] mode[0] as[0] the[0] president[0] and[0] his[0] key[0] advisor[0] bobby[0] begin[0] to[0] muster[0] the[0] considerable[0] forces[0] of[0] the[0] us[0] military[0] to[0] face[0] the[0] soviet[0] threat[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
where " thirteen days " differs most from " missiles of october " is , as expected , in the scope of the project . 	where " thirteen days " differs most from " missiles of october " is , as expected , in the scope of the project .	1	-1	 where[0] thirteen[0] days[0] differs[0] most[0] from[0] missiles[0] of[0] october[0] is[0] as[0] expected[0] in[0] the[0] scope[0] of[0] the[0] project[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there is a big difference , budget-wise , between making a television docudrama and one that goes to the big screen . 	there is a big difference , budget-wise , between making a television docudrama and one that goes to the big screen .	1	-1	 there[0] is[0] a[0] big[0] difference[0] budget[0] wise[0] between[0] making[0] a[0] television[0] docudrama[0] and[0] one[0] that[0] goes[0] to[0] the[0] big[0] screen[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
