being that it is a foreign language film with no known names with a select number theaters showing it , " shall we dance " won't be seen by that many people . 	Translation	Positive	Negative	EmotionRationale
and that's a shame - this is a funny , enchanting , and goofy movie full of laughs , surprises , and wonderful dance sequences . 	and that's a shame - this is a funny , enchanting , and goofy movie full of laughs , surprises , and wonderful dance sequences .	3	-3	 and[0] that's[0] a[0] shame[-2] this[0] is[0] a[0] funny[1] enchanting[0] and[0] goofy[0] movie[0] full[0] of[0] laughs[1] surprises[0] and[0] wonderful[2] dance[0] sequences[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
the surprising thing about " shall we dance " is the universal appeal of the story . 	the surprising thing about " shall we dance " is the universal appeal of the story .	1	-1	 the[0] surprising[0] thing[0] about[0] shall[0] we[0] dance[0] is[0] the[0] universal[0] appeal[0] of[0] the[0] story[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
a us version is in the works , and it's no wonder - it's not really all that culture specific . 	a us version is in the works , and it's no wonder - it's not really all that culture specific .	1	-1	 a[0] us[0] version[0] is[0] in[0] the[0] works[0] and[0] it's[0] no[0] wonder[0] it's[0] not[0] really[0] all[0] that[0] culture[0] specific[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
although there is a narrated set-up that adds some extra resonance to the proceedings ( about the view the japanese culture has about ballroom dancing ) , the movie is so rich in character and appeal that this added layer isn't at all necessary to understand or enjoy the film . 	although there is a narrated set-up that adds some extra resonance to the proceedings ( about the view the japanese culture has about ballroom dancing ) , the movie is so rich in character and appeal that this added layer isn't at all necessary to understand or enjoy the film .	3	-1	 although[0] there[0] is[0] a[0] narrated[0] set[0] up[0] that[0] adds[0] some[0] extra[0] resonance[0] to[0] the[0] proceedings[0] about[0] the[0] view[0] the[0] japanese[0] culture[0] has[0] about[0] ballroom[0] dancing[0] the[0] movie[0] is[0] so[0] rich[0] in[0] character[0] and[0] appeal[0] that[0] this[0] added[0] layer[0] isn't[0] at[0] all[0] necessary[0] to[0] understand[0] or[0] enjoy[2] the[0] film[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the only important unexplained japanese-specific reference that may leave some a bit puzzled is that 1000 yen is roughly  10 ( when you see the film - and you should see this film - you'll know why ) . 	the only important unexplained japanese-specific reference that may leave some a bit puzled is that 100 yen is roughly  10 ( when you see the film - and you should see this film - you'll know why ) .	1	-2	 the[0] only[0] important[0] unexplained[0] japanese[0] specific[0] reference[0] that[0] may[0] leave[0] some[0] a[0] bit[0] puzzled/puzled[0] is[0] that[0] 1000/100[0] yen[0] is[0] roughly[-1] 10[0] when[0] you[0] see[0] the[0] film[0] and[0] you[0] should[0] see[0] this[0] film[0] you'll[0] know[0] why[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
a middle aged company man realizes that achieving all the goals he set for himself in life ( a house , a child , and good marriage ) still doesn't translate into a fulfilled life . 	a middle aged company man realizes that achieving all the goals he set for himself in life ( a house , a child , and good marriage ) still doesn't translate into a fulfilled life .	2	-1	 a[0] middle[0] aged[0] company[0] man[0] realizes[0] that[0] achieving[0] all[0] the[0] goals[0] he[0] set[0] for[0] himself[0] in[0] life[0] a[0] house[0] a[0] child[0] and[0] good[1] marriage[0] still[0] doesn't[0] translate[0] into[0] a[0] fulfilled[0] life[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
after glimpsing a melancholy beauty looking out from a dance studio window while on the train home from work , sugiyana ( koji yakusho ) decides after some trepidation to take up ballroom dance lessons in order to meet the woman who has stirred something in himself . 	after glimpsing a melancholy beauty looking out from a dance studio window while on the train home from work , sugiyana ( koji yakusho ) decides after some trepidation to take up ballroom dance lessons in order to meet the woman who has stirred something in himself .	3	-4	 after[0] glimpsing[0] a[0] melancholy[-3] beauty[2] looking[0] out[0] from[0] a[0] dance[0] studio[0] window[0] while[0] on[0] the[0] train[0] home[0] from[0] work[0] sugiyana[0] koji[0] yakusho[0] decides[0] after[0] some[0] trepidation[0] to[0] take[0] up[0] ballroom[0] dance[0] lessons[0] in[0] order[0] to[0] meet[0] the[0] woman[0] who[0] has[0] stirred[0] something[0] in[0] himself[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
after finding the weekly fees for private lessons from the elegant and beautiful mai ( tamiyo kusakari ) too rich for his blood , sugiyama opts for groups lessons simply to be near her . 	after finding the weekly fees for private lessons from the elegant and beautiful mai ( tamiyo kusakari ) too rich for his blood , sugiyama opts for groups lessons simply to be near her .	3	-1	 after[0] finding[0] the[0] weekly[0] fees[0] for[0] private[0] lessons[0] from[0] the[0] elegant[1] and[0] beautiful[2] mai[0] tamiyo[0] kusakari[0] too[0] rich[0] for[0] his[0] blood[0] sugiyama[0] opts[0] for[0] groups[0] lessons[0] simply[0] to[0] be[0] near[0] her[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
we then meet the players in this gem of a movie , who all have their own reasons for joining the class . 	we then meet the players in this gem of a movie , who all have their own reasons for joining the class .	1	-1	 we[0] then[0] meet[0] the[0] players[0] in[0] this[0] gem[0] of[0] a[0] movie[0] who[0] all[0] have[0] their[0] own[0] reasons[0] for[0] joining[0] the[0] class[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
later on , we meet aoki at the dance studio ( naoto takenaka ) , a co-worker and all out weirdo and one of the laugh riot highlights of the film . 	later on , we meet aoki at the dance studio ( naoto takenaka ) , a co-worker and all out weirdo and one of the laugh riot highlights of the film .	2	-2	 later[0] on[0] we[0] meet[0] aoki[0] at[0] the[0] dance[0] studio[0] naoto[0] takenaka[0] a[0] co[0] worker[0] and[0] all[0] out[0] weirdo[-1] and[0] one[0] of[0] the[0] laugh[1] riot[0] highlights[0] of[0] the[0] film[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
