there are times when the success of a particular film depends entirely on one actor's effort . 	Translation	Positive	Negative	EmotionRationale
often a single performance can turn what might have been a rather mediocre movie into something worthwhile . 	often a single performance can turn what might have been a rather mediocre movie into something worthwhile .	2	-2	 often[0] a[0] single[0] performance[0] can[0] turn[0] what[0] might[0] have[0] been[0] a[0] rather[0] mediocre[-1] movie[0] into[0] something[0] worthwhile[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
when one of these comes along , i usually try to think about how many other people put work into the movie , that there is no way one person could possible carry the entire project on his shoulders . 	when one of these comes along , i usually try to think about how many other people put work into the movie , that there is no way one person could possible carry the entire project on his shoulders .	1	-1	 when[0] one[0] of[0] these[0] comes[0] along[0] i[0] usually[0] try[0] to[0] think[0] about[0] how[0] many[0] other[0] people[0] put[0] work[0] into[0] the[0] movie[0] that[0] there[0] is[0] no[0] way[0] one[0] person[0] could[0] possible[0] carry[0] the[0] entire[0] project[0] on[0] his[0] shoulders[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but sometimes there is simply no other explanation , and such is the case with " the hurricane . " 	but sometimes there is simply no other explanation , and such is the case with " the hurricane .<br> "	1	-1	 but[0] sometimes[0] there[0] is[0] simply[0] no[0] other[0] explanation[0] and[0] such[0] is[0] the[0] case[0] with[0] the[0] hurricane[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this biopic about falsely convicted boxer rubin " hurricane " carter would normally be called " norman jewison's 'the hurricane , ' " as per the tradition of referring to a film " belonging " to a director . 	this biopic about falsely convicted boxer rubin " hurricane " carter would normally be called " norman jewison's 'the hurricane , ' " as per the tradition of referring to a film " belonging " to a director .	1	-2	 this[0] biopic[0] about[0] falsely[0] convicted[-1] boxer[0] rubin[0] hurricane[0] carter[0] would[0] normally[0] be[0] called[0] norman[0] jewison's[0] 'the[0] hurricane[0] '[0] as[0] per[0] the[0] tradition[0] of[0] referring[0] to[0] a[0] film[0] belonging[0] to[0] a[0] director[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
but though he does decent work , jewison cannot claim ownership of " the hurricane , " because there is one reason this film works at all , and his name is denzel washington . 	but though he does decent work , jewison cannot claim ownership of " the hurricane , " because there is one reason this film works at all , and his name is denzel washington .	1	-1	 but[0] though[0] he[0] does[0] decent[0] work[0] jewison[0] cannot[0] claim[0] ownership[0] of[0] the[0] hurricane[0] because[0] there[0] is[0] one[0] reason[0] this[0] film[0] works[0] at[0] all[0] and[0] his[0] name[0] is[0] denzel[0] washington[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
washington plays carter , a boxer who in 1967 was convicted of a late-night shooting in a bar . 	washington plays carter , a boxer who in 1967 was convicted of a late-night shooting in a bar .	2	-2	 washington[0] plays[1] carter[0] a[0] boxer[0] who[0] in[0] 1967[0] was[0] convicted[-1] of[0] a[0] late[0] night[0] shooting[-1] in[0] a[0] bar[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
jailed for 20 years , he maintained that he had never committed the crimes , but remained in jail after a second trial and countless appeals . 	jailed for 20 years , he maintained that he had never committed the crimes , but remained in jail after a second trial and countless appeals .	1	-2	 jailed[-1] for[0] 20[0] years[0] he[0] maintained[0] that[0] he[0] had[0] never[0] committed[0] the[0] crimes[-1] but[0] remained[0] in[0] jail[-1] after[0] a[0] second[0] trial[0] and[0] countless[0] appeals[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the situation changed when a group of canadians moved to washington and worked on freeing carter . 	the situation changed when a group of canadians moved to washington and worked on freeing carter .	1	-1	 the[0] situation[0] changed[0] when[0] a[0] group[0] of[0] canadians[0] moved[0] to[0] washington[0] and[0] worked[0] on[0] freeing[0] carter[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
through the efforts of that group and carter's lawyers , he was eventually freed when their case was heard in federal court and the judge ruled that rubin carter had been unfairly convicted . 	through the efforts of that group and carter's lawyers , he was eventually freed when their case was heard in federal court and the judge ruled that rubin carter had been unfairly convicted .	1	-2	 through[0] the[0] efforts[0] of[0] that[0] group[0] and[0] carter's[0] lawyers[0] he[0] was[0] eventually[0] freed[0] when[0] their[0] case[0] was[0] heard[0] in[0] federal[0] court[0] and[0] the[0] judge[0] ruled[0] that[0] rubin[0] carter[0] had[0] been[0] unfairly[-1] convicted[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the film details carter's childhood , which had him in and out of jail because of the efforts of a racist cop ( dan hedaya ) . 	the film details carter's childhood , which had him in and out of jail because of the efforts of a racist cop ( dan hedaya ) .	1	-2	 the[0] film[0] details[0] carter's[0] childhood[0] which[0] had[0] him[0] in[0] and[0] out[0] of[0] jail[-1] because[0] of[0] the[0] efforts[0] of[0] a[0] racist[-1] cop[0] dan[0] hedaya[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
