 " say , any of you know how to madison ? " 	Translation	Positive	Negative	EmotionRationale
--- brad " asshole " majors ( barry bostwick ) shows just how unhip he is after watching the kooky transylvanians wrap up their ode to the time warp in the cult classic the rocky horror picture show . 	- brad " asshole " majors ( barry bostwick ) shows just how unhip he is after watching the kooky transylvanians wrap up their ode to the time warp in the cult classic the rocky horror picture show .	1	-4	 brad[0] asshole[-2] majors[0] barry[0] bostwick[0] shows[0] just[0] how[0] unhip[0] he[0] is[0] after[0] watching[0] the[0] kooky[0] transylvanians[0] wrap[0] up[0] their[0] ode[0] to[0] the[0] time[0] warp[-1] in[0] the[0] cult[0] classic[0] the[0] rocky[0] horror[-3] picture[0] show[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the story behind the rocky horror picture show is one of legend . 	the story behind the rocky horror picture show is one of legend .	1	-4	 the[0] story[0] behind[0] the[0] rocky[0] horror[-3] picture[0] show[0] is[0] one[0] of[0] legend[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
in the early 70's , stage actor turned first-time playwright richard o'brien decided he wanted to make a musical homage to the crazy b-movies he had grown up with as a child , set to a bunch of catchy rock tunes of his own design . 	in the early 70's , stage actor turned first-time playwright richard o'brien decided he wanted to make a musical homage to the crazy b-movies he had grown up with as a child , set to a bunch of catchy rock tunes of his own design .	2	-2	 in[0] the[0] early[0] 70's[0] stage[0] actor[0] turned[0] first[0] time[0] playwright[0] richard[0] o'brien[0] decided[0] he[0] wanted[0] to[0] make[0] a[0] musical[0] homage[0] to[0] the[0] crazy[-1] b[0] movies[0] he[0] had[0] grown[0] up[0] with[0] as[0] a[0] child[0] set[0] to[0] a[0] bunch[0] of[0] catchy[0] rock[1] tunes[0] of[0] his[0] own[0] design[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the result was the stage play the rocky horror show , which opened to fairly decent reviews in london in 1973 and was even hailed the best musical of 1973 by prominent drama critics in england . 	the result was the stage play the rocky horror show , which opened to fairly decent reviews in london in 1973 and was even hailed the best musical of 1973 by prominent drama critics in england .	2	-4	 the[0] result[0] was[0] the[0] stage[0] play[0] the[0] rocky[0] horror[-3] show[0] which[0] opened[0] to[0] fairly[0] decent[0] reviews[0] in[0] london[0] in[0] 1973[0] and[0] was[0] even[0] hailed[0] the[0] best[1] musical[0] of[0] 1973[0] by[0] prominent[0] drama[0] critics[0] in[0] england[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
the play was so successful that the film rights were immediately snapped up and production on the film began a mere year later , in october of 1974 . 	the play was so successful that the film rights were immediately snapped up and production on the film began a mere year later , in october of 1974 .	3	-1	 the[0] play[0] was[0] so[0] successful[2] that[0] the[0] film[0] rights[0] were[0] immediately[0] snapped[0] up[0] and[0] production[0] on[0] the[0] film[0] began[0] a[0] mere[0] year[0] later[0] in[0] october[0] of[0] 1974[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the film version ( now titled the rocky horror picture show ) was released in 1975 . . . 	the film version ( now titled the rocky horror picture show ) was released in 1975 .<br> .<br> .	1	-4	 the[0] film[0] version[0] now[0] titled[0] the[0] rocky[0] horror[-3] picture[0] show[0] was[0] released[0] in[0] 1975[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
and immediately tanked at the box office . 	and immediately tanked at the box office .	1	-1	 and[0] immediately[0] tanked[0] at[0] the[0] box[0] office[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
whether it was because fox wasn't quite sure how to market it to audiences or that audiences didn't quite know what to make of it themselves has never really been determined , but the one common bit of knowledge about the film was that it was a huge flop . 	whether it was because fox wasn't quite sure how to market it to audiences or that audiences didn't quite know what to make of it themselves has never really been determined , but the one common bit of knowledge about the film was that it was a huge flop .	1	-1	 whether[0] it[0] was[0] because[0] fox[0] wasn't[0] quite[0] sure[0] how[0] to[0] market[0] it[0] to[0] audiences[0] or[0] that[0] audiences[0] didn't[0] quite[0] know[0] what[0] to[0] make[0] of[0] it[0] themselves[0] has[0] never[0] really[0] been[0] determined[0] but[0] the[0] one[0] common[0] bit[0] of[0] knowledge[0] about[0] the[0] film[0] was[0] that[0] it[0] was[0] a[0] huge[0] flop[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it seemed that the infectious spirit brought about by the stage version had not been infused into the film version and fox quickly had it pulled from theaters . 	it seemed that the infectious spirit brought about by the stage version had not been infused into the film version and fox quickly had it pulled from theaters .	1	-2	 it[0] seemed[0] that[0] the[0] infectious[-1] spirit[0] brought[0] about[0] by[0] the[0] stage[0] version[0] had[0] not[0] been[0] infused[0] into[0] the[0] film[0] version[0] and[0] fox[0] quickly[0] had[0] it[0] pulled[0] from[0] theaters[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
a year later , something entirely strange and magical happened . 	a year later , something entirely strange and magical happened .	1	-1	 a[0] year[0] later[0] something[0] entirely[0] strange[0] and[0] magical[0] happened[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
