maybe the most important thing about this movie is that it's not handled like the hallmark hall of fame movie of the month , because it very well could have been a manipulative tearjerker , broadcasted on abc on a monday night , starring kelly martin and yasmeen bleeth , respectively . 	Translation	Positive	Negative	EmotionRationale
because it's not handled like the greatest story ever told is precisely why it's so great . 	because it's not handled like the greatest story ever told is precisely why it's so great .	3	-2	 because[0] it's[0] not[0] handled[0] like[1][NegatedDueToPreviousWord] the[0] greatest[2] story[0] ever[0] told[0] is[0] precisely[0] why[0] it's[0] so[0] great[2] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
underneath the to-die-for cinematography , the brilliant acting , and incessantly wonderful direction is a film of modesty , not sure whether or not this story is totally great but with the balls to run with it , tell it in a certain original way . 	underneath the to-die-for cinematography , the brilliant acting , and incessantly wonderful direction is a film of modesty , not sure whether or not this story is totally great but with the balls to run with it , tell it in a certain original way .	4	-1	 underneath[0] the[0] to[0] die[0] for[0] cinematography[0] the[0] brilliant[1] acting[0] and[0] incessantly[0] wonderful[2] direction[0] is[0] a[0] film[0] of[0] modesty[0] not[0] sure[0] whether[0] or[0] not[0] this[0] story[0] is[0] totally[0] great[2][1 LastWordBoosterStrength] but[0] with[0] the[0] balls[0] to[0] run[0] with[0] it[0] tell[0] it[0] in[0] a[0] certain[0] original[0] way[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
it doesn't merely go from plot point to plot point . 	it doesn't merely go from plot point to plot point .	1	-1	 it[0] doesn't[0] merely[0] go[0] from[0] plot[0] point[0] to[0] plot[0] point[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it goes from character to character . 	it goes from character to character .	1	-1	 it[0] goes[0] from[0] character[0] to[0] character[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it obsesses itself with the depth and the style of it all , and makes the story of a world-reknowned cellist who contracts ms and dies prematurely into the story of two sisters , both musicians , who have a totally unique relationship . 	it obsesses itself with the depth and the style of it all , and makes the story of a world-reknowned cellist who contracts ms and dies prematurely into the story of two sisters , both musicians , who have a totally unique relationship .	1	-3	 it[0] obsesses[-2] itself[0] with[0] the[0] depth[0] and[0] the[0] style[0] of[0] it[0] all[0] and[0] makes[0] the[0] story[0] of[0] a[0] world[0] reknowned[0] cellist[0] who[0] contracts[0] ms[0] and[0] dies[0] prematurely[0] into[0] the[0] story[0] of[0] two[0] sisters[0] both[0] musicians[0] who[0] have[0] a[0] totally[0] unique[0] relationship[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
it's that their relationship is the center of the story that makes this film transcend any cornball , shamelessly tired tearjerker qualities it could have had and makes this , unlike " patch adams , " effortlessly emotional and real . 	it's that their relationship is the center of the story that makes this film transcend any cornball , shamelessly tired tearjerker qualities it could have had and makes this , unlike " patch adams , " effortlessly emotional and real .	1	-3	 it's[0] that[0] their[0] relationship[0] is[0] the[0] center[0] of[0] the[0] story[0] that[0] makes[0] this[0] film[0] transcend[0] any[0] cornball[0] shamelessly[-2] tired[-1] tearjerker[0] qualities[0] it[0] could[0] have[0] had[0] and[0] makes[0] this[0] unlike[0] patch[0] adams[0] effortlessly[0] emotional[-1] and[0] real[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
in short , this movie is just awesome . 	in short , this movie is just awesome .	2	-1	 in[0] short[0] this[0] movie[0] is[0] just[0] awesome[2][-1 LastWordBoosterStrength] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it merely tells its story really well , and that's something that just has to be commended these days , when most stories are botched because they're not told by great storytellers . 	it merely tells its story really well , and that's something that just has to be commended these days , when most stories are botched because they're not told by great storytellers .	3	-1	 it[0] merely[0] tells[0] its[0] story[0] really[0] well[0] and[0] that's[0] something[0] that[0] just[0] has[0] to[0] be[0] commended[0] these[0] days[0] when[0] most[0] stories[0] are[0] botched[0] because[0] they're[0] not[0] told[0] by[0] great[2] storytellers[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
director anand tucker tells this story well . 	director anand tucker tells this story well .	1	-1	 director[0] anand[0] tucker[0] tells[0] this[0] story[0] well[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he overdramaticizes everything , but still keeps it real . 	he overdramaticizes everything , but still keeps it real .	1	-1	 he[0] overdramaticizes[0] everything[0] but[0] still[0] keeps[0] it[0] real[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
