synopsis : in phantom menace the galaxy is divided into power groups whose interests will inevitably collide in later sequels . 	Translation	Positive	Negative	EmotionRationale
there is an overarching galactic united nations-type organization called the senate presided by a weak chancellor . 	there is an overarching galactic united nations-type organization called the senate presided by a weak chancellor .	1	-2	 there[0] is[0] an[0] overarching[0] galactic[0] united[0] nations[0] type[0] organization[0] called[0] the[0] senate[0] presided[0] by[0] a[0] weak[-1] chancellor[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
within the senate two camps are at odds : a bickering , isolationist alliance called the republic and their aggressive rival the trade federation . 	within the senate two camps are at odds : a bickering , isolationist alliance called the republic and their aggressive rival the trade federation .	1	-3	 within[0] the[0] senate[0] two[0] camps[0] are[0] at[0] odds[0] a[0] bickering[0] isolationist[-1] alliance[0] called[0] the[0] republic[0] and[0] their[0] aggressive[-2] rival[-1] the[0] trade[0] federation[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
preserving law and order are a council of jedi knights who are meanwhile searching for a prophesied chosen one of virgin birth . 	preserving law and order are a council of jedi knights who are meanwhile searching for a prophesied chosen one of virgin birth .	1	-1	 preserving[0] law[0] and[0] order[0] are[0] a[0] council[0] of[0] jedi[0] knights[0] who[0] are[0] meanwhile[0] searching[0] for[0] a[0] prophesied[0] chosen[0] one[0] of[0] virgin[0] birth[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
manipulating events behind the scenes is a dangerous , reemerging clan called the dark lords of sith , so shadowy and secretive that they comprise a " phantom " menace . 	manipulating events behind the scenes is a dangerous , reemerging clan called the dark lords of sith , so shadowy and secretive that they comprise a " phantom " menace .	1	-3	 manipulating[-1] events[0] behind[0] the[0] scenes[0] is[0] a[0] dangerous[-1] reemerging[0] clan[0] called[0] the[0] dark[0] lords[0] of[0] sith[0] so[0] shadowy[0] and[0] secretive[0] that[0] they[0] comprise[0] a[0] phantom[0] menace[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
jedi knight qui-gon jinn ( liam neeson ) and his apprentice obi-wan kenobi ( ewan mcgregor ) witness an invasion of teenage queen amidala's home planet naboo and befriend a gungan named jar jar ( ahmed best ) . 	jedi knight qui-gon jin ( liam neeson ) and his apprentice obi-wan kenobi ( ewan mcgregor ) witness an invasion of teenage queen amidala's home planet naboo and befriend a gungan named jar jar ( ahmed best ) .	2	-2	 jedi[0] knight[0] qui[0] gon[0] jinn/jin[0] liam[0] neeson[0] and[0] his[0] apprentice[0] obi[0] wan[0] kenobi[0] ewan[0] mcgregor[0] witness[0] an[0] invasion[0] of[0] teenage[0] queen[0] amidala's[0] home[0] planet[0] naboo[0] and[0] befriend[0] a[0] gungan[-1] named[0] jar[0] jar[0] ahmed[0] best[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
on the desert planet of tatooine the two jedi , jar jar , and amidala ( natalie portman ) attend a lengthy drag race involving the young boy anakin skywalker ( jake lloyd ) . 	on the desert planet of tatooine the two jedi , jar jar , and amidala ( natalie portman ) attend a lengthy drag race involving the young boy anakin skywalker ( jake lloyd ) .	1	-2	 on[0] the[0] desert[0] planet[0] of[0] tatooine[0] the[0] two[0] jedi[0] jar[0] jar[0] and[0] amidala[0] natalie[0] portman[0] attend[0] a[0] lengthy[0] drag[-1] race[0] involving[0] the[0] young[0] boy[0] anakin[0] skywalker[0] jake[0] lloyd[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the five protagonists try to solicit help for freeing naboo by visiting the city planet of coruscant where a lot of debate and political maneuvering takes place . 	the five protagonists try to solicit help for freeing naboo by visiting the city planet of coruscant where a lot of debate and political maneuvering takes place .	1	-1	 the[0] five[0] protagonists[0] try[0] to[0] solicit[0] help[0] for[0] freeing[0] naboo[0] by[0] visiting[0] the[0] city[0] planet[0] of[0] coruscant[0] where[0] a[0] lot[0] of[0] debate[0] and[0] political[0] maneuvering[0] takes[0] place[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
can they free amidala's helpless planet ? 	can they free amidala's helpless planet ?	1	-2	 can[0] they[0] free[0] amidala's[0] helpless[-1] planet[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
opinion : on tv last night i watched young , wannabe celebs pay  400 a ticket and come running out of theaters to bask in front of news cameras , gushing with testimonials of the phantom menace's greatness in exchange for a few seconds of being on national television . 	opinion : on tv last night i watched young , wannabe celebs pay  400 a ticket and come running out of theaters to bask in front of news cameras , gushing with testimonials of the phantom menace's greatness in exchange for a few seconds of being on national television .	3	-1	 opinion[0] on[0] tv[0] last[0] night[0] i[0] watched[0] young[0] wannabe[0] celebs[0] pay[0] 400[0] a[0] ticket[0] and[0] come[0] running[0] out[0] of[0] theaters[0] to[0] bask[0] in[0] front[0] of[0] news[0] cameras[0] gushing[0] with[0] testimonials[0] of[0] the[0] phantom[0] menace's[0] greatness[2] in[0] exchange[0] for[0] a[0] few[0] seconds[0] of[0] being[0] on[0] national[0] television[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
given this kind of media mania i wondered if phantom menace , the most anticipated movie of 1999 , could possibly live up to the extraordinary hype that preceded it . 	given this kind of media mania i wondered if phantom menace , the most anticipated movie of 199 , could possibly live up to the extraordinary hype that preceded it .	2	-3	 given[0] this[0] kind[1] of[0] media[0] mania[0] i[0] wondered[0] if[0] phantom[0] menace[-2] the[0] most[0] anticipated[0] movie[0] of[0] 1999/199[0] could[0] possibly[0] live[0] up[0] to[0] the[0] extraordinary[0] hype[0] that[0] preceded[0] it[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
