synopsis : leonard shelby ( pearce ) is a former insurance investigator on the trail of the man who killed his wife . 	Translation	Positive	Negative	EmotionRationale
leonard has only a few clues to the murderer's identity ; to make matters worse , he suffers from a condition which inhibits the creation of short-term memories , meaning that leonard is always forgetting what happened just minutes earlier . 	leonard has only a few clues to the murderer's identity ; to make matters worse , he suffers from a condition which inhibits the creation of short-term memories , meaning that leonard is always forgetting what happened just minutes earlier .	1	-4	 leonard[0] has[0] only[0] a[0] few[0] clues[0] to[0] the[0] murderer's[-3] identity[0] to[0] make[0] matters[0] worse[-2] he[0] suffers[-3] from[0] a[0] condition[0] which[0] inhibits[-1] the[0] creation[0] of[0] short[0] term[0] memories[0] meaning[0] that[0] leonard[0] is[0] always[0] forgetting[0] what[0] happened[0] just[0] minutes[0] earlier[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
because of this , leonard is forced to rely on notes he leaves for himself . 	because of this , leonard is forced to rely on notes he leaves for himself .	1	-1	 because[0] of[0] this[0] leonard[0] is[0] forced[0] to[0] rely[0] on[0] notes[0] he[0] leaves[0] for[0] himself[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 " memento " traces the investigation back in time from its apparent culmination . 	 " memento " traces the investigation back in time from its apparent culmination .	1	-1	 memento[0] traces[0] the[0] investigation[0] back[0] in[0] time[0] from[0] its[0] apparent[0] culmination[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
review : " memento " is the sort of movie i wish i'd written ; i can think of no higher praise than that . 	review : " memento " is the sort of movie i wish i'd written ; i can think of no higher praise than that .	3	-1	 review[0] memento[0] is[0] the[0] sort[0] of[0] movie[0] i[0] wish[0] i'd[0] written[0] i[0] can[0] think[0] of[0] no[0] higher[0] praise[2] than[0] that[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
i am envious that nolan has concocted such a brilliant , involved , original movie as this . 	i am envious that nolan has concocted such a brilliant , involved , original movie as this .	2	-3	 i[0] am[0] envious[-2] that[0] nolan[0] has[0] concocted[0] such[0] a[0] brilliant[1] involved[0] original[0] movie[0] as[0] this[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
an instant film noir classic , " memento " is virtually flawless . 	an instant film noir classic , " memento " is virtually flawless .	2	-1	 an[0] instant[0] film[0] noir[0] classic[0] memento[0] is[0] virtually[0] flawless[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the script is unlike any i have ever seen -- a notable achievement in these days of recycled hollywood homogeneity . 	the script is unlike any i have ever seen - a notable achievement in these days of recycled hollywood homogeneity .	1	-1	 the[0] script[0] is[0] unlike[0] any[0] i[0] have[0] ever[0] seen[0] a[0] notable[0] achievement[0] in[0] these[0] days[0] of[0] recycled[0] hollywood[0] homogeneity[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
although the idea of starting at the " conclusion " of the plotline and then moving backward in time to the " start " is not entirely new , never before have i witnessed it executed with such flair and coherence . 	although the idea of starting at the " conclusion " of the plotline and then moving backward in time to the " start " is not entirely new , never before have i witnessed it executed with such flair and coherence .	1	-2	 although[0] the[0] idea[0] of[0] starting[0] at[0] the[0] conclusion[0] of[0] the[0] plotline[0] and[0] then[0] moving[0] backward[0] in[0] time[0] to[0] the[0] start[0] is[0] not[0] entirely[0] new[0] never[0] before[0] have[0] i[0] witnessed[0] it[0] executed[-1] with[0] such[0] flair[0] and[0] coherence[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
 " memento " is endlessly exciting and inventive , a rare story which keeps the viewers guessing during the film itself , and mulling over its connotations long after leaving the theatre . 	 " memento " is endlessly exciting and inventive , a rare story which keeps the viewers guessing during the film itself , and mulling over its connotations long after leaving the theatre .	3	-1	 memento[0] is[0] endlessly[0] exciting[2] and[0] inventive[0] a[0] rare[0] story[0] which[0] keeps[0] the[0] viewers[0] guessing[0] during[0] the[0] film[0] itself[0] and[0] mulling[0] over[0] its[0] connotations[0] long[0] after[0] leaving[0] the[0] theatre[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
and it is not merely an exercise in cerebrality ; there is plenty of action and an unexpected dose of humour to keep the proceedings lively . 	and it is not merely an exercise in cerebrality ; there is plenty of action and an unexpected dose of humour to keep the proceedings lively .	3	-1	 and[0] it[0] is[0] not[0] merely[0] an[0] exercise[0] in[0] cerebrality[0] there[0] is[0] plenty[0] of[0] action[0] and[0] an[0] unexpected[0] dose[0] of[0] humour[2] to[0] keep[0] the[0] proceedings[0] lively[1] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
nolan's direction is equally effective , never losing its crispness and clarity despite " memento " 's challenging gimmick . 	nolan's direction is equally effective , never losing its crispness and clarity despite " memento " 's challenging gimmick .	3	-1	 nolan's[0] direction[0] is[0] equally[0] effective[0] never[0] losing[-2][NegatedDueToPreviousWord] its[0] crispness[0] and[0] clarity[0] despite[0] memento[0] 's[0] challenging[0] gimmick[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
and to top everything off , all the performances rise to the occasion . 	and to top everything off , all the performances rise to the occasion .	1	-1	 and[0] to[0] top[0] everything[0] off[0] all[0] the[0] performances[0] rise[0] to[0] the[0] occasion[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
pierce is terrific as the troubled leonard ; moss shows great range as enigmatic natalie ; and pantoliano's teddy achieves a splendidly affable yet sinister quality . 	pierce is terrific as the troubled leonard ; moss shows great range as enigmatic natalie ; and pantoliano's teddy achieves a splendidly affable yet sinister quality .	4	-4	 pierce[0] is[0] terrific[3] as[0] the[0] troubled[-1] leonard[0] moss[0] shows[0] great[2] range[0] as[0] enigmatic[0] natalie[0] and[0] pantoliano's[0] teddy[0] achieves[0] a[0] splendidly[2] affable[2][+1 MultiplePositiveWords] yet[0] sinister[-3] quality[0] [[Sentence=-4,4=word max, 1-5]][[[4,-4 max of sentences]]]
 " memento " may be the year's best screenplay , and is certainly amongst the top theatrical attractions of 2001 . 	 " memento " may be the year's best screenplay , and is certainly amongst the top theatrical attractions of 2001 .	2	-1	 memento[0] may[0] be[0] the[0] year's[0] best[1] screenplay[0] and[0] is[0] certainly[0] amongst[0] the[0] top[0] theatrical[0] attractions[1] of[0] 2001[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
