in , " the muse " albert brooks plays steven phillips , a hollywood screenwriter who after winning a humanitarian award for his work is dumped by his studio . 	Translation	Positive	Negative	EmotionRationale
they claim that he's lost his edge and his agent is quick to agree with them . 	they claim that he's lost his edge and his agent is quick to agree with them .	1	-1	 they[0] claim[0] that[0] he's[0] lost[0] his[0] edge[0] and[0] his[0] agent[0] is[0] quick[0] to[0] agree[0] with[0] them[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he knows that he needs to write something fresh and original and quick or else his career will be over . 	he knows that he needs to write something fresh and original and quick or else his career will be over .	1	-1	 he[0] knows[0] that[0] he[0] needs[0] to[0] write[0] something[0] fresh[0] and[0] original[0] and[0] quick[0] or[0] else[0] his[0] career[0] will[0] be[0] over[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
so he turns to his " best " friend , jack ( jeff bridges ) another screenwriter who's enjoyed success after success . 	so he turns to his " best " friend , jack ( jeff bridges ) another screenwriter who's enjoyed success after success .	4	-1	 so[0] he[0] turns[0] to[0] his[0] best[1] friend[1] jack[0] jeff[0] bridges[0] another[0] screenwriter[0] who's[0] enjoyed[2] success[2][+1 MultiplePositiveWords] after[0] success[2] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
on the way over to jack's house steven sees jack helping an attractive woman ( sharon stone ) into a cab and begins to think : is he having an affair ? 	on the way over to jack's house steven sees jack helping an attractive woman ( sharon stone ) into a cab and begins to think : is he having an affair ?	2	-1	 on[0] the[0] way[0] over[0] to[0] jack's[0] house[0] steven[0] sees[0] jack[0] helping[0] an[0] attractive[1] woman[0] sharon[0] stone[0] into[0] a[0] cab[0] and[0] begins[0] to[0] think[0] is[0] he[0] having[0] an[0] affair[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
when confronted , jack relunctently tells him that this mystery woman is , in fact , a muse , a mythological figure who is believed to have inspired all creativity , and has helped him garner his success . 	when confronted , jack relunctently tells him that this mystery woman is , in fact , a muse , a mythological figure who is believed to have inspired all creativity , and has helped him garner his success .	3	-3	 when[0] confronted[-2] jack[0] relunctently[0] tells[0] him[0] that[0] this[0] mystery[0] woman[0] is[0] in[0] fact[0] a[0] muse[0] a[0] mythological[0] figure[0] who[0] is[0] believed[0] to[0] have[0] inspired[2] all[0] creativity[0] and[0] has[0] helped[0] him[0] garner[0] his[0] success[2] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
 " she doesn't do any actual writing , " he is told , " but inspires you . " 	 " she doesn't do any actual writing , " he is told , " but inspires you .<br> "	3	-1	 she[0] doesn't[0] do[0] any[0] actual[0] writing[0] he[0] is[0] told[0] but[0] inspires[2] you[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
steven is excited by what he's hearing and asks jack to call her up to see if she'll take steven on as a new client . 	steven is excited by what he's hearing and asks jack to call her up to see if she'll take steven on as a new client .	3	-1	 steven[0] is[0] excited[2] by[0] what[0] he's[0] hearing[0] and[0] asks[0] jack[0] to[0] call[0] her[0] up[0] to[0] see[0] if[0] she'll[0] take[0] steven[0] on[0] as[0] a[0] new[0] client[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
jack arranges a meeting between the two and suggests that steven bring her a present , preferably something from tiffany's . 	jack arranges a meeting between the two and suggests that steven bring her a present , preferably something from tiffany's .	1	-1	 jack[0] arranges[0] a[0] meeting[0] between[0] the[0] two[0] and[0] suggests[0] that[0] steven[0] bring[0] her[0] a[0] present[0] preferably[0] something[0] from[0] tiffany's[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
after the meeting the muse , sarah decides to take on steven , but at a price : she wants a suite at the four seasons and wants steven to perform odd tasks for her ( like bringing her salads in the middle of the night . ) 	after the meeting the muse , sarah decides to take on steven , but at a price : she wants a suite at the four seasons and wants steven to perform odd tasks for her ( like bringing her salads in the middle of the night .<br> )	2	-1	 after[0] the[0] meeting[0] the[0] muse[0] sarah[0] decides[0] to[0] take[0] on[0] steven[0] but[0] at[0] a[0] price[0] she[0] wants[0] a[0] suite[0] at[0] the[0] four[0] seasons[0] and[0] wants[0] steven[0] to[0] perform[0] odd[0] tasks[0] for[0] her[0] like[1] bringing[0] her[0] salads[0] in[0] the[0] middle[0] of[0] the[0] night[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
steven's wife ( andy macdowell ) sees him at a food store and questions him about why he has tampons in his wagon . 	steven's wife ( andy macdowell ) sees him at a food store and questions him about why he has tampons in his wagon .	1	-1	 steven's[0] wife[0] andy[0] macdowell[0] sees[0] him[0] at[0] a[0] food[0] store[0] and[0] questions[0] him[0] about[0] why[0] he[0] has[0] tampons[0] in[0] his[0] wagon[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
steven confesses everything and , although at first suspicious , she later allows sarah to move into their guest room and eventually into their life . 	steven confesses everything and , although at first suspicious , she later allows sarah to move into their guest room and eventually into their life .	1	-2	 steven[0] confesses[-1] everything[0] and[0] although[0] at[0] first[0] suspicious[-1] she[0] later[0] allows[0] sarah[0] to[0] move[0] into[0] their[0] guest[0] room[0] and[0] eventually[0] into[0] their[0] life[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the only question for steven is if the muse is worth all the trouble he's going through for her . 	the only question for steven is if the muse is worth all the trouble he's going through for her .	1	-2	 the[0] only[0] question[0] for[0] steven[0] is[0] if[0] the[0] muse[0] is[0] worth[0] all[0] the[0] trouble[-1] he's[0] going[0] through[0] for[0] her[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
and that's a question only time will tell . 	and that's a question only time will tell .	1	-1	 and[0] that's[0] a[0] question[0] only[0] time[0] will[0] tell[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 " the muse " is albert brooks' sixth film as writer/director/actor ( he co-wrote with monica johnson ) and although it's a good movie it's not up to the level of his best works ( " defending your life " and " mother " ) . 	 " the muse " is albert brooks' sixth film as writer/director/actor ( he co-wrote with monica johnson ) and although it's a good movie it's not up to the level of his best works ( " defending your life " and " mother " ) .	2	-1	 the[0] muse[0] is[0] albert[0] brooks'[0] sixth[0] film[0] as[0] writer/director/actor[0] he[0] co[0] wrote[0] with[0] monica[0] johnson[0] and[0] although[0] it's[0] a[0] good[1] movie[0] it's[0] not[0] up[0] to[0] the[0] level[0] of[0] his[0] best[1] works[0] defending[0] your[0] life[0] and[0] mother[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the problem lies in the script , and for a movie that relies on its dialogue for its humor , there aren't nearly as many laughs as they are chuckles despite a few good one-liners . 	the problem lies in the script , and for a movie that relies on its dialogue for its humor , there aren't nearly as many laughs as they are chuckles despite a few good one-liners .	3	-3	 the[0] problem[-1] lies[-2] in[0] the[0] script[0] and[0] for[0] a[0] movie[0] that[0] relies[0] on[0] its[0] dialogue[0] for[0] its[0] humor[2] there[0] aren't[0] nearly[0] as[0] many[0] laughs[1] as[0] they[0] are[0] chuckles[2] despite[0] a[0] few[0] good[1] one[0] liners[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
it has a great premise but doesn't deliver up to it's full potential . 	it has a great premise but doesn't deliver up to it's full potential .	3	-1	 it[0] has[0] a[0] great[2] premise[0] but[0] doesn't[0] deliver[0] up[0] to[0] it's[0] full[0] potential[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
but , i like albert brooks in this film and i think that we can all identify with steven phillips a little bit . 	but , i like albert brooks in this film and i think that we can all identify with steven phillips a little bit .	2	-1	 but[0] i[0] like[1] albert[0] brooks[0] in[0] this[0] film[0] and[0] i[0] think[0] that[0] we[0] can[0] all[0] identify[0] with[0] steven[0] phillips[0] a[0] little[0] bit[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
he may whine and complain , but he just wants to support his family and be happy . 	he may whine and complain , but he just wants to support his family and be happy .	2	-2	 he[0] may[0] whine[-2][--1 LastWordBoosterStrength] and[0] complain[-1] but[0] he[0] just[0] wants[0] to[0] support[1] his[0] family[0] and[0] be[0] happy[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
and i like sharon stone in this movie too ; it's a nice change of pace for her . 	and i like sharon stone in this movie too ; it's a nice change of pace for her .	2	-1	 and[0] i[0] like[1] sharon[0] stone[0] in[0] this[0] movie[0] too[0] it's[0] a[0] nice[1] change[0] of[0] pace[0] for[0] her[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
and i also enjoyed the cameos featuring the likes of rob reiner , james cameron and martin scorsese . 	and i also enjoyed the cameos featuring the likes of rob reiner , james cameron and martin scorsese .	3	-1	 and[0] i[0] also[0] enjoyed[2] the[0] cameos[0] featuring[0] the[0] likes[2] of[0] rob[0] reiner[0] james[0] cameron[0] and[0] martin[0] scorsese[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
