stendhal's syndrome : a condition where , in the presence of art , a person becomes engulfed in a painting and hallucinates and may afterwards suffer symptoms such as depression , suicidal behaviour and personality disorder . 	Translation	Positive	Negative	EmotionRationale
grim stuff , to be sure , but the subject of a remarkable film from italy's master of the horror thriller dario argento . 	grim stuff , to be sure , but the subject of a remarkable film from italy's master of the horror thriller dario argento .	2	-4	 grim[-2] stuff[0] to[0] be[0] sure[0] but[0] the[0] subject[0] of[0] a[0] remarkable[0] film[0] from[0] italy's[0] master[0] of[0] the[0] horror[-3] thriller[1] dario[0] argento[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
boasting an unforgettable soundtrack from the grandfather of film music ennio morricone , the stendhal syndrome is a quite magnificent return to form for argento . 	boasting an unforgettable soundtrack from the grandfather of film music ennio morricone , the stendhal syndrome is a quite magnificent return to form for argento .	4	-2	 boasting[-1] an[0] unforgettable[0] soundtrack[0] from[0] the[0] grandfather[0] of[0] film[0] music[0] ennio[0] morricone[0] the[0] stendhal[0] syndrome[0] is[0] a[0] quite[0] magnificent[3] return[0] to[0] form[0] for[0] argento[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
it follows his disappointing american debut trauma ( 1992 ) , the patchy opera ( 1987 ) and several mediocre films he produced for young italian director michele soavi in the late 1980's . 	it follows his disappointing american debut trauma ( 1992 ) , the patchy opera ( 1987 ) and several mediocre films he produced for young italian director michele soavi in the late 1980's .	1	-4	 it[0] follows[0] his[0] disappointing[-1] american[0] debut[0] trauma[-3] 1992[0] the[0] patchy[0] opera[0] 1987[0] and[0] several[0] mediocre[-1] films[0] he[0] produced[0] for[0] young[0] italian[0] director[0] michele[0] soavi[0] in[0] the[0] late[0] 1980's[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
based on the novel by graziella magherini , the film stars argento's daughter asia as young roman police inspector anna manni in pursuit of a brutal rapist-killer . 	based on the novel by graziella magherini , the film stars argento's daughter asia as young roman police inspector anna manni in pursuit of a brutal rapist-killer .	1	-5	 based[0] on[0] the[0] novel[0] by[0] graziella[0] magherini[0] the[0] film[0] stars[0] argento's[0] daughter[0] asia[0] as[0] young[0] roman[0] police[0] inspector[0] anna[0] manni[0] in[0] pursuit[0] of[0] a[0] brutal[-2] rapist[-3][-1 MultiplePositiveWords] killer[-1] [[Sentence=-5,1=word max, 1-5]][[[1,-5 max of sentences]]]
visiting florence to follow up several leads , she is lured by the killer alfredo ( thomas kretschmann ) to an art gallery , a favourite haunt where he hopes to identify exactly who is on his tail . 	visiting florence to follow up several leads , she is lured by the killer alfredo ( thomas kretschman ) to an art gallery , a favourite haunt where he hopes to identify exactly who is on his tail .	2	-2	 visiting[0] florence[0] to[0] follow[0] up[0] several[0] leads[0] she[0] is[0] lured[0] by[0] the[0] killer[-1] alfredo[0] thomas[0] kretschmann/kretschman[0] to[0] an[0] art[0] gallery[0] a[0] favourite[1] haunt[-1] where[0] he[0] hopes[1] to[0] identify[0] exactly[0] who[0] is[0] on[0] his[0] tail[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
at the gallery anna is overwhelmed by a painting and faints . 	at the gallery anna is overwhelmed by a painting and faints .	1	-3	 at[0] the[0] gallery[0] anna[0] is[0] overwhelmed[-2] by[0] a[0] painting[0] and[0] faints[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
posing as a bystander , alfredo briefly comes to her aid and having now identified his pursuer , a strange game of cat and mouse begins . 	posing as a bystander , alfredo briefly comes to her aid and having now identified his pursuer , a strange game of cat and mouse begins .	1	-1	 posing[0] as[0] a[0] bystander[0] alfredo[0] briefly[0] comes[0] to[0] her[0] aid[0] and[0] having[0] now[0] identified[0] his[0] pursuer[0] a[0] strange[0] game[0] of[0] cat[0] and[0] mouse[0] begins[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
a gripping story evolves , and a coherent one , too , which may surprise those familiar with argento's often lumpy narratives . 	a gripping story evolves , and a coherent one , too , which may surprise those familiar with argento's often lumpy narratives .	1	-1	 a[0] gripping[0] story[0] evolves[0] and[0] a[0] coherent[0] one[0] too[0] which[0] may[0] surprise[0] those[0] familiar[0] with[0] argento's[0] often[0] lumpy[0] narratives[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the stendhal syndrome is not a simple cop-hunting-killer scenario . 	the stendhal syndrome is not a simple cop-hunting-killer scenario .	1	-2	 the[0] stendhal[0] syndrome[0] is[0] not[0] a[0] simple[0] cop[0] hunting[0] killer[-1] scenario[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it is a disturbing and often compelling study of the central character's psychological disintegration . 	it is a disturbing and often compelling study of the central character's psychological disintegration .	1	-2	 it[0] is[0] a[0] disturbing[-1] and[0] often[0] compelling[0] study[0] of[0] the[0] central[0] character's[0] psychological[0] disintegration[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
