tempe mills cinema , az--this movie had us in non-stop stitches from beginning to end . 	Translation	Positive	Negative	EmotionRationale
all those promotional clips that have been on tv for the past month came from the first five minutes of the movie . 	all those promotional clips that have been on tv for the past month came from the first five minutes of the movie .	1	-1	 all[0] those[0] promotional[0] clips[0] that[0] have[0] been[0] on[0] tv[0] for[0] the[0] past[0] month[0] came[0] from[0] the[0] first[0] five[0] minutes[0] of[0] the[0] movie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
if you thought they were funny , see the rest of the movie . 	if you thought they were funny , see the rest of the movie .	2	-1	 if[0] you[0] thought[0] they[0] were[0] funny[1] see[0] the[0] rest[0] of[0] the[0] movie[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it's hilarious . 	it's hilarious .	3	-1	 it's[0] hilarious[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
how does one go about making a movie about a couple guys whose only claim to fame is synchronized head-bopping on snl to exactly one song ? 	how does one go about making a movie about a couple guys whose only claim to fame is synchronized head-bopping on snl to exactly one song ?	1	-1	 how[0] does[0] one[0] go[0] about[0] making[0] a[0] movie[0] about[0] a[0] couple[0] guys[0] whose[0] only[0] claim[0] to[0] fame[0] is[0] synchronized[0] head[0] bopping[0] on[0] snl[0] to[0] exactly[0] one[0] song[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
easy . 	easy .	1	-1	 easy[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
write an interesting script around tried-and-true ideas , add some good lines and satire , and voil ? , you end up with an excellent , well-done , very entertaining flick . 	write an interesting script around tried-and-true ideas , add some good lines and satire , and voil ?<br> , you end up with an excellent , well-done , very entertaining flick .	4	-1	 write[0] an[0] interesting[1] script[0] around[0] tried[0] and[0] true[1] ideas[0] add[0] some[0] good[1][-1 LastWordBoosterStrength] lines[0] and[0] satire[0] and[0] voil[0] [[Sentence=-1,2=word max, 1-5]] you[0] end[0] up[0] with[0] an[0] excellent[3] well[0] done[0] very[0] entertaining[0] flick[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
will and chris are idiot brothers forced by their father to work begrudgingly in the family flower business during the day . 	will and chris are idiot brothers forced by their father to work begrudgingly in the family flower business during the day .	1	-3	 will[0] and[0] chris[0] are[0] idiot[-2] brothers[0] forced[0] by[0] their[0] father[0] to[0] work[0] begrudgingly[0] in[0] the[0] family[0] flower[0] business[0] during[0] the[0] day[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
at night they pursue their life-long ambition to loose their virginity in failed attempts to get into the roxbury in beverly hills , ca , the only disco act worth going to . 	at night they pursue their life-long ambition to loose their virginity in failed attempts to get into the roxbury in beverly hills , ca , the only disco act worth going to .	1	-3	 at[0] night[0] they[0] pursue[0] their[0] life[0] long[0] ambition[0] to[0] loose[0] their[0] virginity[0] in[0] failed[-2] attempts[0] to[0] get[0] into[0] the[0] roxbury[0] in[0] beverly[0] hills[0] ca[0] the[0] only[0] disco[0] act[0] worth[0] going[0] to[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the only problem , the place is so popular and the waiting line so long that by the time the brothers make it to the front door , the roxbury closes , all the while bearing witness to guys with one-hundred-dollar bills and movie stars like richard grieco who get past the doorman without fuss . 	the only problem , the place is so popular and the waiting line so long that by the time the brothers make it to the front door , the roxbury closes , all the while bearing witness to guys with one-hundred-dollar bills and movie stars like richard grieco who get past the doorman without fuss .	2	-2	 the[0] only[0] problem[-1] the[0] place[0] is[0] so[0] popular[0] and[0] the[0] waiting[0] line[0] so[0] long[0] that[0] by[0] the[0] time[0] the[0] brothers[0] make[0] it[0] to[0] the[0] front[0] door[0] the[0] roxbury[0] closes[0] all[0] the[0] while[0] bearing[0] witness[0] to[0] guys[0] with[0] one[0] hundred[0] dollar[0] bills[0] and[0] movie[0] stars[0] like[1] richard[0] grieco[0] who[0] get[0] past[0] the[0] doorman[0] without[0] fuss[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the script authors ( steve koren , will ferrell and chris kattan ) cleverly devised a way for our boys to get into the roxbury . 	the script authors ( steve koren , will ferrell and chris kattan ) cleverly devised a way for our boys to get into the roxbury .	1	-1	 the[0] script[0] authors[0] steve[0] koren[0] will[0] ferrell[0] and[0] chris[0] kattan[0] cleverly[0] devised[0] a[0] way[0] for[0] our[0] boys[0] to[0] get[0] into[0] the[0] roxbury[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
their flower-shop van is rear-ended by richard grieco , who fears a law-suit and is surprised to see the idiots are too star-struck to think about the car accident they just had , but not about getting into the roxbury . 	their flower-shop van is rear-ended by richard grieco , who fears a law-suit and is surprised to see the idiots are too star-struck to think about the car accident they just had , but not about getting into the roxbury .	1	-3	 their[0] flower[0] shop[0] van[0] is[0] rear[0] ended[0] by[0] richard[0] grieco[0] who[0] fears[-2] a[0] law[0] suit[0] and[0] is[0] surprised[0] to[0] see[0] the[0] idiots[-2] are[0] too[0] star[0] struck[-1] to[0] think[0] about[0] the[0] car[0] accident[-1] they[0] just[0] had[0] but[0] not[0] about[0] getting[0] into[0] the[0] roxbury[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
grieco happily takes them in , even introduces them to the owner , which has the added benefit of enhancing the financial appearance of the idiot brothers in the eyes of a couple of gold diggers ( elisa donovan and gigi rice ) who bet their time and bodies on will and chris . 	grieco happily takes them in , even introduces them to the owner , which has the added benefit of enhancing the financial appearance of the idiot brothers in the eyes of a couple of gold diggers ( elisa donovan and gigi rice ) who bet their time and bodies on will and chris .	3	-3	 grieco[0] happily[2] takes[0] them[0] in[0] even[0] introduces[0] them[0] to[0] the[0] owner[0] which[0] has[0] the[0] added[0] benefit[0] of[0] enhancing[0] the[0] financial[0] appearance[0] of[0] the[0] idiot[-2] brothers[0] in[0] the[0] eyes[0] of[0] a[0] couple[0] of[0] gold[0] diggers[0] elisa[0] donovan[0] and[0] gigi[0] rice[0] who[0] bet[0] their[0] time[0] and[0] bodies[0] on[0] will[0] and[0] chris[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
what follows are some of the best slap-stick dancing routines ever . 	what follows are some of the best slap-stick dancing routines ever .	2	-2	 what[0] follows[0] are[0] some[0] of[0] the[0] best[1] slap[-1] stick[0] dancing[0] routines[0] ever[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the music is superb , and could have only been made better had the producers added patrick hernandez's born to be alive . 	the music is superb , and could have only been made better had the producers added patrick hernandez's born to be alive .	1	-1	 the[0] music[0] is[0] superb[0] and[0] could[0] have[0] only[0] been[0] made[0] better[0] had[0] the[0] producers[0] added[0] patrick[0] hernandez's[0] born[0] to[0] be[0] alive[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the choreography at times was a parody of an era gone by , for example , the bee gees and their stayin' alive . 	the choreography at times was a parody of an era gone by , for example , the bee gees and their stayin' alive .	1	-3	 the[0] choreography[-2] at[0] times[0] was[0] a[0] parody[0] of[0] an[0] era[0] gone[0] by[0] for[0] example[0] the[0] bee[0] gees[0] and[0] their[0] stayin'[0] alive[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
it is nostalgic for those of us who remember that far back , and the technique is a clever adaptation that worked well in forest gump . 	it is nostalgic for those of us who remember that far back , and the technique is a clever adaptation that worked well in forest gump .	1	-1	 it[0] is[0] nostalgic[0] for[0] those[0] of[0] us[0] who[0] remember[0] that[0] far[0] back[0] and[0] the[0] technique[0] is[0] a[0] clever[0] adaptation[0] that[0] worked[0] well[0] in[0] forest[0] gump[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
one of the funniest scenes is when the gold diggers discover that will 	one of the funniest scenes is when the gold diggers discover that will	2	-1	 one[0] of[0] the[0] funniest[1] scenes[0] is[0] when[0] the[0] gold[0] diggers[0] discover[0] that[0] will[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
and chris don't have any mone y , and dump both on the spot , even expressing violence and anger that they gave sex away . 	and chris don't have any mone y , and dump both on the spot , even expressing violence and anger that they gave sex away .	1	-4	 and[0] chris[0] don't[0] have[0] any[0] mone[0] y[0] and[0] dump[-1] both[0] on[0] the[0] spot[0] even[0] expressing[0] violence[-3] and[0] anger[-3] that[0] they[0] gave[0] sex[0] away[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
an art-imitates-life poke at shallow women . 	an art-imitates-life poke at shallow women .	1	-2	 an[0] art[0] imitates[0] life[0] poke[0] at[0] shallow[-1] women[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it's a scene that's an approximate parody of the vinegar's own rolf luedeke's editorial this week national organization for men ( nom ) replaces now . 	it's a scene that's an approximate parody of the vinegar's own rolf luedeke's editorial this week national organization for men ( nom ) replaces now .	1	-1	 it's[0] a[0] scene[0] that's[0] an[0] approximate[0] parody[0] of[0] the[0] vinegar's[0] own[0] rolf[0] luedeke's[0] editorial[0] this[0] week[0] national[0] organization[0] for[0] men[0] nom[0] replaces[0] now[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
ted " unabomber " 	ted " unabomber "	1	-1	 ted[0] unabomber[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
kaczynski , himself rejected for not having money , will identify well with this scene , if he ever watches the movie . 	kaczynski , himself rejected for not having money , will identify well with this scene , if he ever watches the movie .	1	-2	 kaczynski[0] himself[0] rejected[-1] for[0] not[0] having[0] money[0] will[0] identify[0] well[0] with[0] this[0] scene[0] if[0] he[0] ever[0] watches[0] the[0] movie[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
of course , the script wouldn't be complicated enough without adding molly shannon , the girl next door who has had a crush on will since they were kids , and who will has had an aversion to in quest of good-looking disco blondes ( proof that men will turn down perfectly good women when there are bay watch babes always lurking nearby ) . 	of course , the script wouldn't be complicated enough without adding molly shannon , the girl next door who has had a crush on will since they were kids , and who will has had an aversion to in quest of good-looking disco blondes ( proof that men will turn down perfectly good women when there are bay watch babes always lurking nearby ) .	2	-3	 of[0] course[0] the[0] script[0] wouldn't[0] be[0] complicated[-1][NegatedDueToPreviousWord] enough[0] without[0] adding[0] molly[0] shannon[0] the[0] girl[0] next[0] door[0] who[0] has[0] had[0] a[0] crush[-1] on[0] will[0] since[0] they[0] were[0] kids[0] and[0] who[0] will[0] has[0] had[0] an[0] aversion[-2] to[0] in[0] quest[0] of[0] good[1] looking[0] disco[0] blondes[0] proof[0] that[0] men[0] will[0] turn[0] down[0] perfectly[1] good[1] women[0] when[0] there[0] are[0] bay[0] watch[0] babes[0] always[0] lurking[0] nearby[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
nevertheless , will's father wants him to marry molly anyway , but thinks idiot chris is standing in the way and sends him into guest-quarter exile . 	nevertheless , will's father wants him to marry molly anyway , but thinks idiot chris is standing in the way and sends him into guest-quarter exile .	1	-3	 nevertheless[0] will's[0] father[0] wants[0] him[0] to[0] marry[0] molly[0] anyway[0] but[0] thinks[0] idiot[-2] chris[0] is[0] standing[0] in[0] the[0] way[0] and[0] sends[0] him[0] into[0] guest[0] quarter[0] exile[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
during the wedding ceremony , will's heart isn't exactly into getting married , and when his brother appears on the balcony with a ghetto blaster and more head-bopping music , will thinks worse of the knot-tieing idea and runs to chris . 	during the wedding ceremony , will's heart isn't exactly into getting married , and when his brother appears on the balcony with a ghetto blaster and more head-bopping music , will thinks worse of the knot-tieing idea and runs to chris .	1	-3	 during[0] the[0] wedding[0] ceremony[0] will's[0] heart[0] isn't[0] exactly[0] into[0] getting[0] married[0] and[0] when[0] his[0] brother[0] appears[0] on[0] the[0] balcony[0] with[0] a[0] ghetto[-1] blaster[0] and[0] more[0] head[0] bopping[0] music[0] will[0] thinks[0] worse[-2] of[0] the[0] knot[0] tieing[0] idea[0] and[0] runs[0] to[0] chris[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
