you've got to love disney . 	Translation	Positive	Negative	EmotionRationale
no matter what they serve up , it is a guaranteed success as long as it's animated . 	no matter what they serve up , it is a guaranteed success as long as it's animated .	3	-1	 no[0] matter[0] what[0] they[0] serve[0] up[0] it[0] is[0] a[0] guaranteed[0] success[2] as[0] long[0] as[0] it's[0] animated[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
kids have to go see the movie . 	kids have to go see the movie .	1	-1	 kids[0] have[0] to[0] go[0] see[0] the[0] movie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
then they have to get the toys . 	then they have to get the toys .	1	-1	 then[0] they[0] have[0] to[0] get[0] the[0] toys[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
oh , the video came out ? 	oh , the video came out ?	1	-1	 oh[0] the[0] video[0] came[0] out[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
got to buy it , or risk little billy's temper tantrums for the next month . 	got to buy it , or risk little billy's temper tantrums for the next month .	1	-4	 got[0] to[0] buy[0] it[0] or[0] risk[-1] little[0] billy's[0] temper[-2] tantrums[-2][-1 MultiplePositiveWords] for[0] the[0] next[0] month[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
all of this culminates in the childhood equivalent of a pilgrimage to mecca : a visit to the magic kingdom . 	all of this culminates in the childhood equivalent of a pilgrimage to mecca : a visit to the magic kingdom .	1	-1	 all[0] of[0] this[0] culminates[0] in[0] the[0] childhood[0] equivalent[0] of[0] a[0] pilgrimage[0] to[0] mecca[0] a[0] visit[0] to[0] the[0] magic[0] kingdom[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
stay at the disneyland hotel ! 	stay at the disneyland hotel !	1	-1	 stay[0] at[0] the[0] disneyland[0] hotel[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
buy a disney t-shirt ! 	buy a disney t-shirt !	1	-1	 buy[0] a[0] disney[0] t[0] shirt[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
eat an ice cream mickey mouse on a stick ! 	eat an ice cream mickey mouse on a stick !	1	-1	 eat[0] an[0] ice[0] cream[0] mickey[0] mouse[0] on[0] a[0] stick[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's both a vertical and horizontal monopoly when you think about it . 	it's both a vertical and horizontal monopoly when you think about it .	1	-1	 it's[0] both[0] a[0] vertical[0] and[0] horizontal[0] monopoly[0] when[0] you[0] think[0] about[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
