by phil curtolo mel gibson ( braveheart ) gave a gripping performance as the father of a young kidnapped boy in ron howard's ransom . 	Translation	Positive	Negative	EmotionRationale
gibson plays tom mullen , a wealthy business tycoon whose past actions are coming back to haunt him as a deranged psychopath , played by gary sinise ( forrest gump ) , and his band of low-life thugs kidnap his only son for  2 million . 	gibson plays tom mullen , a wealthy business tycoon whose past actions are coming back to haunt him as a deranged psychopath , played by gary sinise ( forest gump ) , and his band of low-life thugs kidnap his only son for  2 million .	2	-2	 gibson[0] plays[1] tom[0] mullen[0] a[0] wealthy[0] business[0] tycoon[0] whose[0] past[0] actions[0] are[0] coming[0] back[0] to[0] haunt[-1] him[0] as[0] a[0] deranged[0] psychopath[0] played[0] by[0] gary[0] sinise[0] forrest/forest[0] gump[0] and[0] his[0] band[0] of[0] low[-1] life[0] thugs[0] kidnap[-1] his[0] only[0] son[0] for[0] 2[0] million[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
tom and his wife , kate , played by rene russo ( tin cup ) were instructed not to inform the police , but they contacted the fbi . 	tom and his wife , kate , played by rene russo ( tin cup ) were instructed not to inform the police , but they contacted the fbi .	1	-1	 tom[0] and[0] his[0] wife[0] kate[0] played[0] by[0] rene[0] russo[0] tin[0] cup[0] were[0] instructed[0] not[0] to[0] inform[0] the[0] police[0] but[0] they[0] contacted[0] the[0] fbi[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
minutes later , an elite team of agents led by delroy lindo ( broken arrow ) are in tom's house and wiring every phone . 	minutes later , an elite team of agents led by delroy lindo ( broken arrow ) are in tom's house and wiring every phone .	1	-2	 minutes[0] later[0] an[0] elite[0] team[0] of[0] agents[0] led[0] by[0] delroy[0] lindo[0] broken[-1] arrow[0] are[0] in[0] tom's[0] house[0] and[0] wiring[0] every[0] phone[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the plot sounds average , just like most other kidnap movies that you've already seen , and it was nothing more than that . 	the plot sounds average , just like most other kidnap movies that you've already seen , and it was nothing more than that .	1	-2	 the[0] plot[0] sounds[0] average[0] just[0] like[1][-1 LastWordBoosterStrength] most[0] other[0] kidnap[-1] movies[0] that[0] you've[0] already[0] seen[0] and[0] it[0] was[0] nothing[0] more[0] than[0] that[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
that is until about half-way through the movie . 	that is until about half-way through the movie .	1	-1	 that[0] is[0] until[0] about[0] half[0] way[0] through[0] the[0] movie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
suddenly , tom goes to the fox 5 news room and makes a live broadcast saying , " this is your ransom . 	suddenly , tom goes to the fox 5 news room and makes a live broadcast saying , " this is your ransom .	1	-1	 suddenly[0] tom[0] goes[0] to[0] the[0] fox[0] 5[0] news[0] room[0] and[0] makes[0] a[0] live[0] broadcast[0] saying[0] this[0] is[0] your[0] ransom[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but this is as close as you will ever get to it . 	but this is as close as you will ever get to it .	1	-1	 but[0] this[0] is[0] as[0] close[0] as[0] you[0] will[0] ever[0] get[0] to[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
instead , i am offering this money as a reward on your head , dead or alive . " 	instead , i am offering this money as a reward on your head , dead or alive .<br> "	2	-3	 instead[0] i[0] am[0] offering[0] this[0] money[0] as[0] a[0] reward[1] on[0] your[0] head[0] dead[-2] or[0] alive[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
at this point , the plot thickened , and the unusually slow start of the film turned into a suspense-filled action film with great stunts . 	at this point , the plot thickened , and the unusually slow start of the film turned into a suspense-filled action film with great stunts .	3	-1	 at[0] this[0] point[0] the[0] plot[0] thickened[0] and[0] the[0] unusually[0] slow[0] start[0] of[0] the[0] film[0] turned[0] into[0] a[0] suspense[0] filled[0] action[0] film[0] with[0] great[2] stunts[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the last half of the film is very well done . 	the last half of the film is very well done .	1	-1	 the[0] last[0] half[0] of[0] the[0] film[0] is[0] very[0] well[0] done[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
another thing that carries this film are the superb performances by gibson and sinise , as they collide in a game of wits over their cellular phones for most of the movie . 	another thing that carries this film are the superb performances by gibson and sinise , as they collide in a game of wits over their cellular phones for most of the movie .	1	-2	 another[0] thing[0] that[0] carries[0] this[0] film[0] are[0] the[0] superb[0] performances[0] by[0] gibson[0] and[0] sinise[0] as[0] they[0] collide[-1] in[0] a[0] game[0] of[0] wits[0] over[0] their[0] cellular[0] phones[0] for[0] most[0] of[0] the[0] movie[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
owen gleiberman of entertainment weekly commented on the subject : " it makes you wonder what kidnappers did before cell phones . " 	owen gleiberman of entertainment weekly commented on the subject : " it makes you wonder what kidnappers did before cell phones .<br> "	1	-1	 owen[0] gleiberman[0] of[0] entertainment[0] weekly[0] commented[0] on[0] the[0] subject[0] it[0] makes[0] you[0] wonder[0] what[0] kidnappers[0] did[0] before[0] cell[0] phones[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
before this movie , sinise played mostly " good guys , " first in of mice & men , then in forrest gump , and most recently , in apollo 13 . 	before this movie , sinise played mostly " good guys , " first in of mice & men , then in forest gump , and most recently , in apollo 13 .	2	-1	 before[0] this[0] movie[0] sinise[0] played[0] mostly[0] good[1] guys[0] first[0] in[0] of[0] mice[0] &[0] men[0] then[0] in[0] forrest/forest[0] gump[0] and[0] most[0] recently[0] in[0] apollo[0] 13[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
but he was surprisingly devilish and cold in his portrayal of a cop-gone-bad . 	but he was surprisingly devilish and cold in his portrayal of a cop-gone-bad .	1	-2	 but[0] he[0] was[0] surprisingly[0] devilish[-1] and[0] cold[-1] in[0] his[0] portrayal[0] of[0] a[0] cop[0] gone[0] bad[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
gibson , of course , was just being gibson , in an oscar-worthy performance . 	gibson , of course , was just being gibson , in an oscar-worthy performance .	1	-1	 gibson[0] of[0] course[0] was[0] just[0] being[0] gibson[0] in[0] an[0] oscar[0] worthy[0] performance[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
although most of the scenes were quite predictable , ransom is a very entertaining and suspenseful film . 	although most of the scenes were quite predictable , ransom is a very entertaining and suspenseful film .	1	-1	 although[0] most[0] of[0] the[0] scenes[0] were[0] quite[0] predictable[0] ransom[0] is[0] a[0] very[0] entertaining[0] and[0] suspenseful[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 , 	 ,	1	-1	[[[0,0 max of sentences]]]
