tbwp is probably the single most profitable film ever . 	Translation	Positive	Negative	EmotionRationale
not surprising , considering its tiny us 100 , 000 budget , to date it has earned in excess of us 130 million . 	not surprising , considering its tiny us 100 , 00 budget , to date it has earned in excess of us 130 million .	1	-2	 not[0] surprising[0] considering[0] its[0] tiny[0] us[0] 100[0] 000/00[0] budget[0] to[0] date[0] it[0] has[0] earned[0] in[0] excess[-1] of[0] us[0] 130[0] million[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
that's a shocking 100 times profit ! 	that's a shocking 100 times profit !	2	-3	 that's[0] a[0] shocking[-2] 100[0] times[0] profit[1] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
rumours have it that a smart internet  marketing' ploy was so successful in gaining cult-like fanatics , by word of mouth coupled with strings of excellent reviews , the film just exploded in the box-office , raking in millions on its opening weekend . 	rumours have it that a smart internet  marketing' ploy was so successful in gaining cult-like fanatics , by word of mouth coupled with strings of excellent reviews , the film just exploded in the box-office , raking in millions on its opening weekend .	4	-2	 rumours[0] have[0] it[0] that[0] a[0] smart[1] internet[0] marketing'[0] ploy[0] was[0] so[0] successful[2] in[0] gaining[0] cult[0] like[1] fanatics[-1] by[0] word[0] of[0] mouth[0] coupled[0] with[0] strings[0] of[0] excellent[3] reviews[0] the[0] film[0] just[0] exploded[-1][--1 LastWordBoosterStrength] in[0] the[0] box[0] office[0] raking[0] in[0] millions[0] on[0] its[0] opening[0] weekend[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
shot in 16mm and video ( i suspect  . ) , the film chronicles the forays of 3 students who go in search for the legendary blair witch . 	shot in 16m and video ( i suspect  .<br> ) , the film chronicles the forays of 3 students who go in search for the legendary blair witch .	1	-2	 shot[-1] in[0] 16mm/16m[0] and[0] video[0] i[0] suspect[-1] [[Sentence=-2,1=word max, 1-5]] the[0] film[0] chronicles[0] the[0] forays[0] of[0] 3[0] students[0] who[0] go[0] in[0] search[0] for[0] the[0] legendary[0] blair[0] witch[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
audiences are put in the first-person perspective in the entire mis-adventure , often wobbly and blurry at times , it takes a bit of getting used to in the beginning . 	audiences are put in the first-person perspective in the entire mis-adventure , often wobbly and blurry at times , it takes a bit of getting used to in the beginning .	1	-2	 audiences[0] are[0] put[0] in[0] the[0] first[0] person[0] perspective[0] in[0] the[0] entire[0] mis[0] adventure[0] often[0] wobbly[0] and[0] blurry[-1] at[0] times[0] it[0] takes[0] a[0] bit[0] of[0] getting[0] used[0] to[0] in[0] the[0] beginning[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
this is supposed to be the material they discovered in the woods where the 3 disappeared ; edited and put onto the screen for the benefit of our audiences . 	this is supposed to be the material they discovered in the woods where the 3 disappeared ; edited and put onto the screen for the benefit of our audiences .	1	-1	 this[0] is[0] supposed[0] to[0] be[0] the[0] material[0] they[0] discovered[0] in[0] the[0] woods[0] where[0] the[0] 3[0] disappeared[0] edited[0] and[0] put[0] onto[0] the[0] screen[0] for[0] the[0] benefit[0] of[0] our[0] audiences[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
tbwp is simply smart . 	tbwp is simply smart .	2	-1	 tbwp[0] is[0] simply[0] smart[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
filmed to look as if it was really a stock-shoot by a bunch of students in search of the blair witch as a school project , one may suspect ( like yours truly ) that its simply a lazy but smart approach to film-making . 	filmed to look as if it was really a stock-shoot by a bunch of students in search of the blair witch as a school project , one may suspect ( like yours truly ) that its simply a lazy but smart approach to film-making .	2	-2	 filmed[0] to[0] look[0] as[0] if[0] it[0] was[0] really[0] a[0] stock[0] shoot[-1] by[0] a[0] bunch[0] of[0] students[0] in[0] search[0] of[0] the[0] blair[0] witch[0] as[0] a[0] school[0] project[0] one[0] may[0] suspect[-1][--1 LastWordBoosterStrength] like[1] yours[0] truly[1] that[0] its[0] simply[0] a[0] lazy[-1] but[0] smart[1] approach[0] to[0] film[0] making[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
simply amazing in that respect , i must say . 	simply amazing in that respect , i must say .	3	-1	 simply[0] amazing[2] in[0] that[0] respect[2] i[0] must[0] say[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
talk about impact , oh yes , tbwp does have quite a bit , in fact most audience will find it deeply disturbing . 	talk about impact , oh yes , tbwp does have quite a bit , in fact most audience will find it deeply disturbing .	1	-2	 talk[0] about[0] impact[0] oh[0] yes[0] tbwp[0] does[0] have[0] quite[0] a[0] bit[0] in[0] fact[0] most[0] audience[0] will[0] find[0] it[0] deeply[0] disturbing[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
