us critic-type people are always shaking our heads and telling everyone that movies aren't thrill rides , but i think that " back to the future ii " is one of the few exceptions . 	Translation	Positive	Negative	EmotionRationale
if the original film had the spirit of the 1950s , then this has the spirit of the 80s : full of fights ; chase scenes ; cliff hangers ; special effects ; some detective work ; and of course the vision of the high-tech future . 	if the original film had the spirit of the 1950s , then this has the spirit of the 80s : full of fights ; chase scenes ; cliff hangers ; special effects ; some detective work ; and of course the vision of the high-tech future .	2	-3	 if[0] the[0] original[0] film[0] had[0] the[0] spirit[0] of[0] the[0] 1950s[0] then[0] this[0] has[0] the[0] spirit[0] of[0] the[0] 80s[0] full[0] of[0] fights[-2] chase[-1] scenes[0] cliff[0] hangers[0] special[1] effects[0] some[0] detective[0] work[0] and[0] of[0] course[0] the[0] vision[0] of[0] the[0] high[0] tech[0] future[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
the film picks up exactly where the first film left off , with doc ( lloyd ) , marty ( fox ) , and jennifer ( elizabeth shue ) travelling 30 years into the future , because something bad is going to happen to marty and jennifer's kids . 	the film picks up exactly where the first film left off , with doc ( lloyd ) , marty ( fox ) , and jennifer ( elizabeth shue ) travelling 30 years into the future , because something bad is going to happen to marty and jennifer's kids .	1	-2	 the[0] film[0] picks[0] up[0] exactly[0] where[0] the[0] first[0] film[0] left[0] off[0] with[0] doc[0] lloyd[0] marty[0] fox[0] and[0] jennifer[0] elizabeth[0] shue[0] travelling[0] 30[0] years[0] into[0] the[0] future[0] because[0] something[0] bad[-1] is[0] going[0] to[0] happen[0] to[0] marty[0] and[0] jennifer's[0] kids[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
doc tells marty he must take his son's place at an incident that will cause a chain reaction if marty mcfly jr . says yes to griff ( wilson - in one of four different roles ) . 	doc tells marty he must take his son's place at an incident that will cause a chain reaction if marty mcfly jr .<br> says yes to griff ( wilson - in one of four different roles ) .	1	-1	 doc[0] tells[0] marty[0] he[0] must[0] take[0] his[0] son's[0] place[0] at[0] an[0] incident[0] that[0] will[0] cause[0] a[0] chain[0] reaction[0] if[0] marty[0] mcfly[0] jr[0] [[Sentence=-1,1=word max, 1-5]] says[0] yes[0] to[0] griff[0] wilson[0] in[0] one[0] of[0] four[0] different[0] roles[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
whoever said history tends to repeat itself wasn't joking , especially when it comes to the movies . 	whoever said history tends to repeat itself wasn't joking , especially when it comes to the movies .	3	-1	 whoever[0] said[0] history[0] tends[0] to[0] repeat[0] itself[0] wasn't[0] joking[2] especially[0] when[0] it[0] comes[0] to[0] the[0] movies[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
essentially the same chase scene that marty endured in the 50s takes place again in the year 2015 , but it's not as authentically exciting this time because it is so obviously a parody of itself . 	essentially the same chase scene that marty endured in the 50s takes place again in the year 2015 , but it's not as authentically exciting this time because it is so obviously a parody of itself .	3	-2	 essentially[0] the[0] same[0] chase[-1] scene[0] that[0] marty[0] endured[0] in[0] the[0] 50s[0] takes[0] place[0] again[0] in[0] the[0] year[0] 2015[0] but[0] it's[0] not[0] as[0] authentically[0] exciting[2] this[0] time[0] because[0] it[0] is[0] so[0] obviously[0] a[0] parody[0] of[0] itself[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
at the end of the situation marty has changed the course of history for the better , and it seems like everything's copasetic right ? 	at the end of the situation marty has changed the course of history for the better , and it seems like everything's copasetic right ?	2	-1	 at[0] the[0] end[0] of[0] the[0] situation[0] marty[0] has[0] changed[0] the[0] course[0] of[0] history[0] for[0] the[0] better[0] and[0] it[0] seems[0] like[1] everything's[0] copasetic[0] right[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
wrong . 	wrong .	1	-2	 wrong[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
since when do things go according to plan in the " back to the future " movies ? 	since when do things go according to plan in the " back to the future " movies ?	1	-1	 since[0] when[0] do[0] things[0] go[0] according[0] to[0] plan[0] in[0] the[0] back[0] to[0] the[0] future[0] movies[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there are so many minor conflicts and details that effect the plot and the direction of the story i won't even bother to list them all . 	there are so many minor conflicts and details that effect the plot and the direction of the story i won't even bother to list them all .	2	-2	 there[0] are[0] so[0] many[0] minor[0] conflicts[-1] and[0] details[0] that[0] effect[0] the[0] plot[0] and[0] the[0] direction[0] of[0] the[0] story[0] i[0] won't[0] even[0] bother[-1][NegatedDueToPreviousWord] to[0] list[0] them[0] all[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
basically we get to see marty as an old man , his house , his family , etc . we also go back to an alternate 1985 , and then back again to 1955 , with everything happening so fast the film never stops to catch a breath . 	basically we get to see marty as an old man , his house , his family , etc .<br> we also go back to an alternate 1985 , and then back again to 1955 , with everything happening so fast the film never stops to catch a breath .	1	-1	 basically[0] we[0] get[0] to[0] see[0] marty[0] as[0] an[0] old[0] man[0] his[0] house[0] his[0] family[0] etc[0] [[Sentence=-1,1=word max, 1-5]] we[0] also[0] go[0] back[0] to[0] an[0] alternate[0] 1985[0] and[0] then[0] back[0] again[0] to[0] 1955[0] with[0] everything[0] happening[0] so[0] fast[0] the[0] film[0] never[0] stops[0] to[0] catch[0] a[0] breath[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the films' best aspect is the fact that it actually goes back to the first movie and shows a lot of the action that occurred from another angle . 	the films' best aspect is the fact that it actually goes back to the first movie and shows a lot of the action that occurred from another angle .	2	-1	 the[0] films'[0] best[1] aspect[0] is[0] the[0] fact[0] that[0] it[0] actually[0] goes[0] back[0] to[0] the[0] first[0] movie[0] and[0] shows[0] a[0] lot[0] of[0] the[0] action[0] that[0] occurred[0] from[0] another[0] angle[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it's difficult to convey the sense of wild and zany fun without describing every little detail . 	it's difficult to convey the sense of wild and zany fun without describing every little detail .	2	-2	 it's[0] difficult[-1] to[0] convey[0] the[0] sense[0] of[0] wild[0] and[0] zany[0] fun[1] without[0] describing[0] every[0] little[0] detail[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the only thing sacrificed in this film is the suspense . 	the only thing sacrificed in this film is the suspense .	1	-1	 the[0] only[0] thing[0] sacrificed[0] in[0] this[0] film[0] is[0] the[0] suspense[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
instead of a grand finale , we get lots of little victories . 	instead of a grand finale , we get lots of little victories .	2	-1	 instead[0] of[0] a[0] grand[1] finale[0] we[0] get[0] lots[0] of[0] little[0] victories[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
by the end everything is back to normal , but something happens that leads to yet another sequel , but it doesn't seem gratuitous . 	by the end everything is back to normal , but something happens that leads to yet another sequel , but it doesn't seem gratuitous .	1	-2	 by[0] the[0] end[0] everything[0] is[0] back[0] to[0] normal[0] but[0] something[0] happens[0] that[0] leads[0] to[0] yet[0] another[0] sequel[0] but[0] it[0] doesn't[0] seem[0] gratuitous[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
 " back to the future part ii " is a really great adventure movie . 	 " back to the future part i " is a really great adventure movie .	4	-1	 back[0] to[0] the[0] future[0] part[0] ii/i[0] is[0] a[0] really[0] great[2][1 LastWordBoosterStrength] adventure[0] movie[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
it certainly has more originality than other films but it lacks a certain charm that was dominate throughout its predecessor . 	it certainly has more originality than other films but it lacks a certain charm that was dominate throughout its predecessor .	2	-2	 it[0] certainly[0] has[0] more[0] originality[0] than[0] other[0] films[0] but[0] it[0] lacks[0] a[0] certain[0] charm[1] that[0] was[0] dominate[-1] throughout[0] its[0] predecessor[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
