probably the most popular and praised film of all time , turned out to be a primitive and predictable costume drama with a dose of social criticism . 	Translation	Positive	Negative	EmotionRationale
everyone knows about the greatest and most famous shipping disaster of all time . 	everyone knows about the greatest and most famous shipping disaster of all time .	3	-2	 everyone[0] knows[0] about[0] the[0] greatest[2] and[0] most[0] famous[0] shipping[0] disaster[-1] of[0] all[0] time[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
and the actual catastrophe is masterfully crafted by director james cameron , combining visual -and sound effects , he re-creates the frightening atmosphere of the sinking ship in the middle of nowhere . 	and the actual catastrophe is masterfully crafted by director james cameron , combining visual -and sound effects , he re-creates the frightening atmosphere of the sinking ship in the middle of nowhere .	1	-4	 and[0] the[0] actual[0] catastrophe[-3] is[0] masterfully[0] crafted[0] by[0] director[0] james[0] cameron[0] combining[0] visual[0] and[0] sound[0] effects[0] he[0] re[0] creates[0] the[0] frightening[-3] atmosphere[0] of[0] the[0] sinking[0] ship[0] in[0] the[0] middle[0] of[0] nowhere[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
i liked very much the emotional and brutal contrast between the first and the third classes . 	i liked very much the emotional and brutal contrast between the first and the third classes .	3	-3	 i[0] liked[2] very[0] much[0] the[0] emotional[-1] and[0] brutal[-2] contrast[0] between[0] the[0] first[0] and[0] the[0] third[0] classes[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
while their cabin is slowly filling up with water , a mother is telling her children a fairytail -- " . . and 	while their cabin is slowly filling up with water , a mother is telling her children a fairytail - " .<br> .<br> and	1	-1	 while[0] their[0] cabin[0] is[0] slowly[0] filling[0] up[0] with[0] water[0] a[0] mother[0] is[0] telling[0] her[0] children[0] a[0] fairytail[0] [[Sentence=-1,1=word max, 1-5]] and[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
they lived happily ever after . . " . 	they lived happily ever after .<br> .<br> " .	3	-1	 they[0] lived[0] happily[2] ever[0] after[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
and then the ship goes down and the few survivors are left alone under the stars and the chilling air . 	and then the ship goes down and the few survivors are left alone under the stars and the chilling air .	1	-1	 and[0] then[0] the[0] ship[0] goes[0] down[0] and[0] the[0] few[0] survivors[0] are[0] left[0] alone[0] under[0] the[0] stars[0] and[0] the[0] chilling[0] air[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
however , the actual disaster is happening almost at the end of the movie , while the first two hours are just beautiful sets and bad dialogues . 	however , the actual disaster is happening almost at the end of the movie , while the first two hours are just beautiful sets and bad dialogues .	2	-2	 however[0] the[0] actual[0] disaster[-1] is[0] happening[0] almost[0] at[0] the[0] end[0] of[0] the[0] movie[0] while[0] the[0] first[0] two[0] hours[0] are[0] just[0] beautiful[2][-1 LastWordBoosterStrength] sets[0] and[0] bad[-1] dialogues[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
in the present day , the rms titanic is explored by brock lovett ( bill paxton ) , a treasure seeker looking for the coeur de la mer diamond , lost during the sinking . 	in the present day , the rms titanic is explored by brock lovett ( bill paxton ) , a treasure seeker looking for the coeur de la mer diamond , lost during the sinking .	2	-1	 in[0] the[0] present[0] day[0] the[0] rms[0] titanic[0] is[0] explored[0] by[0] brock[0] lovett[0] bill[0] paxton[0] a[0] treasure[1] seeker[0] looking[0] for[0] the[0] coeur[0] de[0] la[0] mer[0] diamond[0] lost[0] during[0] the[0] sinking[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
somewhere inside the ship , lovett's crew discover a sketchbook of an artist long dead . 	somewhere inside the ship , lovett's crew discover a sketchbook of an artist long dead .	1	-3	 somewhere[0] inside[0] the[0] ship[0] lovett's[0] crew[0] discover[0] a[0] sketchbook[0] of[0] an[0] artist[0] long[0] dead[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
here , in the shape of a nude young lady , is a window into the distant age of 1912 . 	here , in the shape of a nude young lady , is a window into the distant age of 1912 .	1	-1	 here[0] in[0] the[0] shape[0] of[0] a[0] nude[0] young[0] lady[0] is[0] a[0] window[0] into[0] the[0] distant[0] age[0] of[0] 1912[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
