no , i did not read the novel by thomas hardy , " jude the obscure , " his final novel ( final because this film created such an outrage that he never wrote again - see : i did do some research on it ) about a man who is plagued with bad luck throughout his entire life . 	Translation	Positive	Negative	EmotionRationale
but , after watching the movie , i can imagine how incredibly depressing it is . 	but , after watching the movie , i can imagine how incredibly depressing it is .	1	-5	 but[0] after[0] watching[0] the[0] movie[0] i[0] can[0] imagine[0] how[0] incredibly[0] depressing[-3][-2 LastWordBoosterStrength] it[0] is[0] [[Sentence=-6,1=word max, 1-5]][[[1,-5 max of sentences]]]
 " jude " is a satirical film from start to finish about society's way of spitting out and chewing up those unwanted in its system , but what's remarkable is how timeless this film is . 	 " jude " is a satirical film from start to finish about society's way of spitting out and chewing up those unwanted in its system , but what's remarkable is how timeless this film is .	1	-1	 jude[0] is[0] a[0] satirical[0] film[0] from[0] start[0] to[0] finish[0] about[0] society's[0] way[0] of[0] spitting[0] out[0] and[0] chewing[0] up[0] those[0] unwanted[0] in[0] its[0] system[0] but[0] what's[0] remarkable[0] is[0] how[0] timeless[0] this[0] film[0] is[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the film takes place in the late 19th century ( or early 20th - wasn't really sure ) , but its story could even be retold today in modern form , although it'd be kinda different ( a given ) . 	the film takes place in the late 19th century ( or early 20th - wasn't really sure ) , but its story could even be retold today in modern form , although it'd be kinda different ( a given ) .	1	-1	 the[0] film[0] takes[0] place[0] in[0] the[0] late[0] 19th[0] century[0] or[0] early[0] 20th[0] wasn't[0] really[0] sure[0] but[0] its[0] story[0] could[0] even[0] be[0] retold[0] today[0] in[0] modern[0] form[0] although[0] it'd[0] be[0] kinda[0] different[0] a[0] given[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it tells the story of jude ( christopher eccleston - the psychotic accountant from " shallow grave " ) - a simple , dim-witted young man with big dreams . 	it tells the story of jude ( christopher eccleston - the psychotic accountant from " shallow grave " ) - a simple , dim-witted young man with big dreams .	1	-3	 it[0] tells[0] the[0] story[0] of[0] jude[0] christopher[0] eccleston[0] the[0] psychotic[0] accountant[0] from[0] shallow[-1] grave[-2] a[0] simple[0] dim[-1] witted[0] young[0] man[0] with[0] big[0] dreams[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
in its bleak , foreboding opening , shot in grainy black and white , he gets a lesson from phillotson ( liam cunningham ) , his teacher : as they stand upon a mountain , looking upon a city in the distance , he says all you have to do is work hard and you can have anything in the world . 	in its bleak , foreboding opening , shot in grainy black and white , he gets a lesson from phillotson ( liam cunningham ) , his teacher : as they stand upon a mountain , looking upon a city in the distance , he says all you have to do is work hard and you can have anything in the world .	1	-2	 in[0] its[0] bleak[-1] foreboding[-1] opening[0] shot[-1] in[0] grainy[0] black[0] and[0] white[0] he[0] gets[0] a[0] lesson[0] from[0] phillotson[0] liam[0] cunningham[0] his[0] teacher[0] as[0] they[0] stand[0] upon[0] a[0] mountain[0] looking[0] upon[0] a[0] city[0] in[0] the[0] distance[0] he[0] says[0] all[0] you[0] have[0] to[0] do[0] is[0] work[0] hard[0] and[0] you[0] can[0] have[0] anything[0] in[0] the[0] world[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
after marrying and divorcing an immature woman named arabella ( rachel griffiths ) because they frolicked in the hay ( literally ) but did not ultimately share anything in common , he moves away to a town with a giant university , with a chance to learn more , and get ahead in life . 	after marrying and divorcing an immature woman named arabella ( rachel griffiths ) because they frolicked in the hay ( literally ) but did not ultimately share anything in common , he moves away to a town with a giant university , with a chance to learn more , and get ahead in life .	4	-2	 after[0] marrying[0] and[0] divorcing[0] an[0] immature[-1] woman[0] named[0] arabella[0] rachel[0] griffiths[0] because[0] they[0] frolicked[3] in[0] the[0] hay[0] literally[0] but[0] did[0] not[0] ultimately[0] share[0] anything[0] in[0] common[0] he[0] moves[0] away[0] to[0] a[0] town[0] with[0] a[0] giant[0] university[0] with[0] a[0] chance[0] to[0] learn[0] more[0] and[0] get[0] ahead[0] in[0] life[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
taking a welding job , he works hard while studying constantly for his college bars , reciting latin over and over again , and training himself . 	taking a welding job , he works hard while studying constantly for his college bars , reciting latin over and over again , and training himself .	1	-1	 taking[0] a[0] welding[0] job[0] he[0] works[0] hard[0] while[0] studying[0] constantly[0] for[0] his[0] college[0] bars[0] reciting[0] latin[0] over[0] and[0] over[0] again[0] and[0] training[0] himself[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but when he sends his application for the school in , he is bluntly told to just remain a worker . 	but when he sends his application for the school in , he is bluntly told to just remain a worker .	1	-2	 but[0] when[0] he[0] sends[0] his[0] application[0] for[0] the[0] school[0] in[0] he[0] is[0] bluntly[-1] told[0] to[0] just[0] remain[0] a[0] worker[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
another reason for going to this town was because someone in his family lives there : sue ( kate winslet ) , his cousin and a very intelligent but kinda mischevious young woman who wants to be a school teacher . 	another reason for going to this town was because someone in his family lives there : sue ( kate winslet ) , his cousin and a very intelligent but kinda mischevious young woman who wants to be a school teacher .	3	-1	 another[0] reason[0] for[0] going[0] to[0] this[0] town[0] was[0] because[0] someone[0] in[0] his[0] family[0] lives[0] there[0] sue[0] kate[0] winslet[0] his[0] cousin[0] and[0] a[0] very[0] intelligent[1][1 LastWordBoosterStrength] but[0] kinda[0] mischevious[0] young[0] woman[0] who[0] wants[0] to[0] be[0] a[0] school[0] teacher[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
she and jude click eventually and become very endearing friends , so much that when she spends the night at his flat after running from her apprentice teacher job ( for none other than phillotson at the local school ) , there are rumors that she and jude did some nasty business ( nudge nudge ) . 	she and jude click eventually and become very endearing friends , so much that when she spends the night at his flat after running from her apprentice teacher job ( for none other than phillotson at the local school ) , there are rumors that she and jude did some nasty business ( nudge nudge ) .	2	-2	 she[0] and[0] jude[0] click[0] eventually[0] and[0] become[0] very[0] endearing[0] friends[1] so[0] much[0] that[0] when[0] she[0] spends[0] the[0] night[0] at[0] his[0] flat[0] after[0] running[0] from[0] her[0] apprentice[0] teacher[0] job[0] for[0] none[0] other[0] than[0] phillotson[0] at[0] the[0] local[0] school[0] there[0] are[0] rumors[0] that[0] she[0] and[0] jude[0] did[0] some[0] nasty[-2][--1 LastWordBoosterStrength] business[0] nudge[0] nudge[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
