why do so many children's films treat their target audience with utter contempt ? 	Translation	Positive	Negative	EmotionRationale
too many of those who write or direct for children's movies assume that the kids just can't handle serious , thoughtful discussions on meaningful issues . 	too many of those who write or direct for children's movies assume that the kids just can't handle serious , thoughtful discussions on meaningful issues .	2	-1	 too[0] many[0] of[0] those[0] who[0] write[0] or[0] direct[0] for[0] children's[0] movies[0] assume[0] that[0] the[0] kids[0] just[0] can't[0] handle[0] serious[-1][NegatedDueToPreviousWord] thoughtful[1] discussions[0] on[0] meaningful[0] issues[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
 " the iron giant , " which was directed and co-written by brad bird , late of such animated series as " the simpsons " and " king of the hill , " assumes that not only can children handle such discussions , but that they can do so while being entertained at the same time . 	 " the iron giant , " which was directed and co-written by brad bird , late of such animated series as " the simpsons " and " king of the hill , " assumes that not only can children handle such discussions , but that they can do so while being entertained at the same time .	1	-1	 the[0] iron[0] giant[0] which[0] was[0] directed[0] and[0] co[0] written[0] by[0] brad[0] bird[0] late[0] of[0] such[0] animated[0] series[0] as[0] the[0] simpsons[0] and[0] king[0] of[0] the[0] hill[0] assumes[0] that[0] not[0] only[0] can[0] children[0] handle[0] such[0] discussions[0] but[0] that[0] they[0] can[0] do[0] so[0] while[0] being[0] entertained[0] at[0] the[0] same[0] time[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 " the iron giant " holds absolutely no contempt for the young people in the audience , making it a film that's enjoyable for both children and adults alike . 	 " the iron giant " holds absolutely no contempt for the young people in the audience , making it a film that's enjoyable for both children and adults alike .	3	-4	 the[0] iron[0] giant[0] holds[0] absolutely[0] no[0] contempt[-3] for[0] the[0] young[0] people[0] in[0] the[0] audience[0] making[0] it[0] a[0] film[0] that's[0] enjoyable[2] for[0] both[0] children[0] and[0] adults[0] alike[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
hogarth hughes ( voice of eli marienthal ) is a spirited young lad who lives with his hard-working single mother , annie ( jennifer aniston ) , in a small town in maine . 	hogarth hughes ( voice of eli marienthal ) is a spirited young lad who lives with his hard-working single mother , annie ( jennifer aniston ) , in a small town in maine .	1	-1	 hogarth[0] hughes[0] voice[0] of[0] eli[0] marienthal[0] is[0] a[0] spirited[0] young[0] lad[0] who[0] lives[0] with[0] his[0] hard[0] working[0] single[0] mother[0] annie[0] jennifer[0] aniston[0] in[0] a[0] small[0] town[0] in[0] maine[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
after staying up late and watching scary movies on a night his mother is away , hogarth treks out into the forest to investigate what has stolen his antenna and ruined his tv reception . 	after staying up late and watching scary movies on a night his mother is away , hogarth treks out into the forest to investigate what has stolen his antenna and ruined his tv reception .	1	-4	 after[0] staying[0] up[0] late[0] and[0] watching[0] scary[-3] movies[0] on[0] a[0] night[0] his[0] mother[0] is[0] away[0] hogarth[0] treks[0] out[0] into[0] the[0] forest[0] to[0] investigate[0] what[0] has[0] stolen[-1] his[0] antenna[0] and[0] ruined[-1] his[0] tv[0] reception[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
he comes across a giant robot ( vin diesel ) from space that eats metal for food . 	he comes across a giant robot ( vin diesel ) from space that eats metal for food .	1	-1	 he[0] comes[0] across[0] a[0] giant[0] robot[0] vin[0] diesel[0] from[0] space[0] that[0] eats[0] metal[0] for[0] food[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
after saving the robot , nicknamed the iron giant , from electric shock , hogarth befriends the creature and takes him in as a pet of sorts . 	after saving the robot , nicknamed the iron giant , from electric shock , hogarth befriends the creature and takes him in as a pet of sorts .	1	-3	 after[0] saving[0] the[0] robot[0] nicknamed[0] the[0] iron[0] giant[0] from[0] electric[0] shock[-2] hogarth[0] befriends[0] the[0] creature[0] and[0] takes[0] him[0] in[0] as[0] a[0] pet[0] of[0] sorts[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
because of damage he suffered upon landing , the giant has forgotten what his original mission was , so he just follows hogarth around like a lost puppy . 	because of damage he suffered upon landing , the giant has forgotten what his original mission was , so he just follows hogarth around like a lost puppy .	2	-4	 because[0] of[0] damage[0] he[0] suffered[-3] upon[0] landing[0] the[0] giant[0] has[0] forgotten[0] what[0] his[0] original[0] mission[0] was[0] so[0] he[0] just[0] follows[0] hogarth[0] around[0] like[1] a[0] lost[0] puppy[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
realizing he can't just keep the giant in a barn all the time , and that the giant needs food , he takes him to a junkyard owned by dean ( harry connick jr . ) , an eccentric artist who assembles sculptures out of scrap iron in his spare time . 	realizing he can't just keep the giant in a barn all the time , and that the giant needs food , he takes him to a junkyard owned by dean ( harry connick jr .<br> ) , an eccentric artist who assembles sculptures out of scrap iron in his spare time .	1	-2	 realizing[0] he[0] can't[0] just[0] keep[0] the[0] giant[0] in[0] a[0] barn[0] all[0] the[0] time[0] and[0] that[0] the[0] giant[0] needs[0] food[0] he[0] takes[0] him[0] to[0] a[0] junkyard[0] owned[0] by[0] dean[0] harry[0] connick[0] jr[0] [[Sentence=-1,1=word max, 1-5]] an[0] eccentric[-1] artist[0] who[0] assembles[0] sculptures[0] out[0] of[0] scrap[0] iron[0] in[0] his[0] spare[0] time[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it soon becomes apparent that dean and hogarth can't keep the giant a secret forever , because a government spook named kent mansley ( christopher mcdonald ) has been brought in to investigate mysterious sightings in the surrounding forest area and considers the giant a threat to national security . 	it soon becomes apparent that dean and hogarth can't keep the giant a secret forever , because a government spook named kent mansley ( christopher mcdonald ) has been brought in to investigate mysterious sightings in the surrounding forest area and considers the giant a threat to national security .	2	-3	 it[0] soon[0] becomes[0] apparent[0] that[0] dean[0] and[0] hogarth[0] can't[0] keep[0] the[0] giant[0] a[0] secret[0] forever[0] because[0] a[0] government[0] spook[0] named[0] kent[0] mansley[0] christopher[0] mcdonald[0] has[0] been[0] brought[0] in[0] to[0] investigate[0] mysterious[0] sightings[0] in[0] the[0] surrounding[0] forest[0] area[0] and[0] considers[0] the[0] giant[0] a[0] threat[-2] to[0] national[0] security[1] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
