one of the biggest cliches of any serial killer film is also one of the most believable . 	Translation	Positive	Negative	EmotionRationale
you know , the one where the detective looks at a wall of pictures and other police information , and suddenly spots the clue which reveals who the killer is . 	you know , the one where the detective looks at a wall of pictures and other police information , and suddenly spots the clue which reveals who the killer is .	1	-2	 you[0] know[0] the[0] one[0] where[0] the[0] detective[0] looks[0] at[0] a[0] wall[0] of[0] pictures[0] and[0] other[0] police[0] information[0] and[0] suddenly[0] spots[0] the[0] clue[0] which[0] reveals[0] who[0] the[0] killer[-1] is[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
sure , it's been used over and over , but for some reason , it is always fun to watch . 	sure , it's been used over and over , but for some reason , it is always fun to watch .	2	-1	 sure[0] it's[0] been[0] used[0] over[0] and[0] over[0] but[0] for[0] some[0] reason[0] it[0] is[0] always[0] fun[1] to[0] watch[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
this cliche pretty much describes the level kiss the girls works on : overused , but always fun . 	this cliche pretty much describes the level kiss the girls works on : overused , but always fun .	3	-1	 this[0] cliche[0] pretty[2] much[0] describes[0] the[0] level[0] kiss[2] the[0] girls[0] works[0] on[0] overused[0] but[0] always[0] fun[1] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
one of my personal rules about watching a film is not how original the film is , but how it goes around giving its story . 	one of my personal rules about watching a film is not how original the film is , but how it goes around giving its story .	1	-1	 one[0] of[0] my[0] personal[0] rules[0] about[0] watching[0] a[0] film[0] is[0] not[0] how[0] original[0] the[0] film[0] is[0] but[0] how[0] it[0] goes[0] around[0] giving[0] its[0] story[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this rule applies highly to kiss the girls . 	this rule applies highly to kiss the girls .	3	-1	 this[0] rule[0] applies[0] highly[0] to[0] kiss[2] the[0] girls[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
there is something psychologically stimulating in a well-crafted serial killer movie , and kiss the girls is certainly well made . 	there is something psychologically stimulating in a well-crafted serial killer movie , and kiss the girls is certainly well made .	3	-2	 there[0] is[0] something[0] psychologically[0] stimulating[0] in[0] a[0] well[0] crafted[0] serial[0] killer[-1] movie[0] and[0] kiss[2] the[0] girls[0] is[0] certainly[0] well[0] made[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
however , the whole film screams of unoriginality , and so it relies on the power of its actors and the technical detail to pull it through . 	however , the whole film screams of unoriginality , and so it relies on the power of its actors and the technical detail to pull it through .	1	-4	 however[0] the[0] whole[0] film[0] screams[-3] of[0] unoriginality[0] and[0] so[0] it[0] relies[0] on[0] the[0] power[0] of[0] its[0] actors[0] and[0] the[0] technical[0] detail[0] to[0] pull[0] it[0] through[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
well , not only are the actors capable of pulling it through , but they add so much to the film that nearly every flaw is covered up . 	well , not only are the actors capable of pulling it through , but they add so much to the film that nearly every flaw is covered up .	1	-2	 well[0] not[0] only[0] are[0] the[0] actors[0] capable[0] of[0] pulling[0] it[0] through[0] but[0] they[0] add[0] so[0] much[0] to[0] the[0] film[0] that[0] nearly[0] every[0] flaw[-1] is[0] covered[0] up[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
unfortunately , one of the most revealing and rather insulting choices by the filmmakers ( one that seven , a film a lot like this one , knew not to make ) was to put the name of the killer in the opening credits . 	unfortunately , one of the most revealing and rather insulting choices by the filmmakers ( one that seven , a film a lot like this one , knew not to make ) was to put the name of the killer in the opening credits .	2	-3	 unfortunately[-1] one[0] of[0] the[0] most[0] revealing[0] and[0] rather[0] insulting[-2] choices[0] by[0] the[0] filmmakers[0] one[0] that[0] seven[0] a[0] film[0] a[0] lot[0] like[1] this[0] one[0] knew[0] not[0] to[0] make[0] was[0] to[0] put[0] the[0] name[0] of[0] the[0] killer[-1] in[0] the[0] opening[0] credits[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
that may give the actor credit for the role , but throughout the film , hidden in my mind , i was waiting for him to appear on screen , which spoiled the mystery . 	that may give the actor credit for the role , but throughout the film , hidden in my mind , i was waiting for him to appear on screen , which spoiled the mystery .	1	-2	 that[0] may[0] give[0] the[0] actor[0] credit[0] for[0] the[0] role[0] but[0] throughout[0] the[0] film[0] hidden[0] in[0] my[0] mind[0] i[0] was[0] waiting[0] for[0] him[0] to[0] appear[0] on[0] screen[0] which[0] spoiled[-1] the[0] mystery[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
