meet joe black ( reviewed on nov . 27/98 ) 	Translation	Positive	Negative	EmotionRationale
starring brad pitt , anthony hopkins , claire forlani 	starring brad pit , anthony hopkins , claire forlani	1	-1	 starring[0] brad[0] pitt/pit[0] anthony[0] hopkins[0] claire[0] forlani[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in " meet joe black " , brad pitt plays death . 	in " meet joe black " , brad pit plays death .	2	-3	 in[0] meet[0] joe[0] black[0] brad[0] pitt/pit[0] plays[1] death[-2] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
that's all that really needs to be said , but nevertheless , i will provide the three of you that have seemingly been living in a cave with a plot description . 	that's all that really needs to be said , but nevertheless , i will provide the three of you that have seemingly been living in a cave with a plot description .	1	-1	 that's[0] all[0] that[0] really[0] needs[0] to[0] be[0] said[0] but[0] nevertheless[0] i[0] will[0] provide[0] the[0] three[0] of[0] you[0] that[0] have[0] seemingly[0] been[0] living[0] in[0] a[0] cave[0] with[0] a[0] plot[0] description[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
death decides to take a holiday , what with all the rigors of soul-collecting and all , and forces anthony hopkins into showing him what it's like to be human . 	death decides to take a holiday , what with all the rigors of soul-collecting and all , and forces anthony hopkins into showing him what it's like to be human .	2	-3	 death[-2] decides[0] to[0] take[0] a[0] holiday[0] what[0] with[0] all[0] the[0] rigors[0] of[0] soul[0] collecting[0] and[0] all[0] and[0] forces[0] anthony[0] hopkins[0] into[0] showing[0] him[0] what[0] it's[0] like[1] to[0] be[0] human[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
death assumes the body of brad pitt , and from there , much trouble ensues . 	death assumes the body of brad pit , and from there , much trouble ensues .	1	-3	 death[-2] assumes[0] the[0] body[0] of[0] brad[0] pitt/pit[0] and[0] from[0] there[0] much[0] trouble[-1] ensues[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
for one thing , death-as-pitt falls in love with hopkins daughter , played by claire forlani . 	for one thing , death-as-pit falls in love with hopkins daughter , played by claire forlani .	3	-3	 for[0] one[0] thing[0] death[-2] as[0] pitt/pit[0] falls[0] in[0] love[2] with[0] hopkins[0] daughter[0] played[0] by[0] claire[0] forlani[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
obviously this enrages hopkins , because really , what can death offer ? 	obviously this enrages hopkins , because really , what can death offer ?	1	-4	 obviously[0] this[0] enrages[-3] hopkins[0] because[0] really[0] what[0] can[0] death[-2] offer[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
besides eternal damnation , of course . 	besides eternal damnation , of course .	1	-2	 besides[0] eternal[0] damnation[-1] of[0] course[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
there is also a sub-plot about forlani's ex-boyfriend ( she dumps him for pitt ) trying to take over hopkins company . 	there is also a sub-plot about forlani's ex-boyfriend ( she dumps him for pit ) trying to take over hopkins company .	1	-2	 there[0] is[0] also[0] a[0] sub[0] plot[0] about[0] forlani's[0] ex[0] boyfriend[0] she[0] dumps[-1] him[0] for[0] pitt/pit[0] trying[0] to[0] take[0] over[0] hopkins[0] company[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
 " meet joe black " runs just under three hours . 	 " meet joe black " runs just under three hours .	1	-1	 meet[0] joe[0] black[0] runs[0] just[0] under[0] three[0] hours[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i've always thought that such obscene running times should be limited to historical epics . 	i've always thought that such obscene running times should be limited to historical epics .	1	-1	 i've[0] always[0] thought[0] that[0] such[0] obscene[0] running[0] times[0] should[0] be[0] limited[0] to[0] historical[0] epics[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 " meet joe black " is neither historical nor is it an epic , though i get the feeling martin brest ( the director ) desperately wants it to be . 	 " meet joe black " is neither historical nor is it an epic , though i get the feeling martin brest ( the director ) desperately wants it to be .	1	-3	 meet[0] joe[0] black[0] is[0] neither[0] historical[0] nor[0] is[0] it[0] an[0] epic[0] though[0] i[0] get[0] the[0] feeling[0] martin[0] brest[0] the[0] director[0] desperately[-2] wants[0] it[0] to[0] be[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
every single scene in the movie goes on about 3-4 minutes too long . 	every single scene in the movie goes on about 3-4 minutes too long .	1	-1	 every[0] single[0] scene[0] in[0] the[0] movie[0] goes[0] on[0] about[0] 3[0] -4[0] minutes[0] too[0] long[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and the ending takes about 20 minutes longer than it really should . 	and the ending takes about 20 minutes longer than it really should .	1	-1	 and[0] the[0] ending[0] takes[0] about[0] 20[0] minutes[0] longer[0] than[0] it[0] really[0] should[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
a severe editing job could have made this movie excellent , instead of just good , which is what it is . 	a severe editing job could have made this movie excellent , instead of just good , which is what it is .	4	-2	 a[0] severe[-1] editing[0] job[0] could[0] have[0] made[0] this[0] movie[0] excellent[3] instead[0] of[0] just[0] good[1][-1 LastWordBoosterStrength] which[0] is[0] what[0] it[0] is[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
pitt , an actor i normally loathe , is actually quite engaging as death . 	pit , an actor i normally loathe , is actually quite engaging as death .	1	-3	 pitt/pit[0] an[0] actor[0] i[0] normally[0] loathe[0] is[0] actually[0] quite[0] engaging[0] as[0] death[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
i believed his performance , and i could see why forlani's character would fall in love with him . 	i believed his performance , and i could see why forlani's character would fall in love with him .	3	-1	 i[0] believed[0] his[0] performance[0] and[0] i[0] could[0] see[0] why[0] forlani's[0] character[0] would[0] fall[0] in[0] love[2] with[0] him[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
i have to agree with roger ebert , though , who found it hard to believe that an entity that's been around for all time wouldn't know what peanut butter was . 	i have to agree with roger ebert , though , who found it hard to believe that an entity that's been around for all time wouldn't know what peanut butter was .	1	-1	 i[0] have[0] to[0] agree[0] with[0] roger[0] ebert[0] though[0] who[0] found[0] it[0] hard[0] to[0] believe[0] that[0] an[0] entity[0] that's[0] been[0] around[0] for[0] all[0] time[0] wouldn't[0] know[0] what[0] peanut[0] butter[0] was[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
that has nothing to do with pitt's performance , of course , but it is a little distracting . 	that has nothing to do with pitt's performance , of course , but it is a little distracting .	1	-2	 that[0] has[0] nothing[0] to[0] do[0] with[0] pitt's[0] performance[0] of[0] course[0] but[0] it[0] is[0] a[0] little[0] distracting[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
hopkins gives his usual excellent performance . 	hopkins gives his usual excellent performance .	4	-1	 hopkins[0] gives[0] his[0] usual[0] excellent[3] performance[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
he's able to portray the angst of a man who knows he has very little time left , without making him an obnoxious whiner . 	he's able to portray the angst of a man who knows he has very little time left , without making him an obnoxious whiner .	1	-4	 he's[0] able[0] to[0] portray[0] the[0] angst[0] of[0] a[0] man[0] who[0] knows[0] he[0] has[0] very[0] little[0] time[0] left[0] without[0] making[0] him[0] an[0] obnoxious[-2] whiner[-2][-1 MultiplePositiveWords] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
and in her first major studio role , claire forlani is surprisingly good . 	and in her first major studio role , claire forlani is surprisingly good .	2	-1	 and[0] in[0] her[0] first[0] major[0] studio[0] role[0] claire[0] forlani[0] is[0] surprisingly[0] good[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
she has a sweet tenderness that allows the audience to instantly root for her . 	she has a sweet tenderness that allows the audience to instantly root for her .	2	-1	 she[0] has[0] a[0] sweet[1] tenderness[0] that[0] allows[0] the[0] audience[0] to[0] instantly[0] root[0] for[0] her[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
so , " meet joe black " is a good movie hampered by it's ridiculous running time . 	so , " meet joe black " is a good movie hampered by it's ridiculous running time .	2	-3	 so[0] meet[0] joe[0] black[0] is[0] a[0] good[1] movie[0] hampered[0] by[0] it's[0] ridiculous[-2] running[0] time[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
had the film been cut by an hour or so , i have no doubt that i would be calling it one of the best movies of the year in this review . 	had the film been cut by an hour or so , i have no doubt that i would be calling it one of the best movies of the year in this review .	2	-2	 had[0] the[0] film[0] been[0] cut[0] by[0] an[0] hour[0] or[0] so[0] i[0] have[0] no[0] doubt[-1] that[0] i[0] would[0] be[0] calling[0] it[0] one[0] of[0] the[0] best[1] movies[0] of[0] the[0] year[0] in[0] this[0] review[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
