copyright 1996 graeme huggan carry on henry is all about henry viii and his eight wives ! 	Translation	Positive	Negative	EmotionRationale
sid james plays henry , who no sooner has the film started , is getting rid of his present queen and hopes to find another one soon . 	sid james plays henry , who no sooner has the film started , is getting rid of his present queen and hopes to find another one soon .	2	-2	 sid[0] james[0] plays[1] henry[0] who[0] no[0] sooner[0] has[0] the[0] film[0] started[0] is[0] getting[0] rid[-1] of[0] his[0] present[0] queen[0] and[0] hopes[1] to[0] find[0] another[0] one[0] soon[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
as part of his alliance with france , he requests the hand-in-marriage to the queen of normandy ( joan sims ) . 	as part of his alliance with france , he requests the hand-in-marriage to the queen of normandy ( joan sims ) .	1	-1	 as[0] part[0] of[0] his[0] alliance[0] with[0] france[0] he[0] requests[0] the[0] hand[0] in[0] marriage[0] to[0] the[0] queen[0] of[0] normandy[0] joan[0] sims[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
she comes to england in the hope of marrying henry but when he finds out that she loves garlic and has a reeking garlic breath , he is totally averse to the idea of marriage . 	she comes to england in the hope of marrying henry but when he finds out that she loves garlic and has a reeking garlic breath , he is totally averse to the idea of marriage .	3	-3	 she[0] comes[0] to[0] england[0] in[0] the[0] hope[2] of[0] marrying[0] henry[0] but[0] when[0] he[0] finds[0] out[0] that[0] she[0] loves[2] garlic[0] and[0] has[0] a[0] reeking[-2] garlic[0] breath[0] he[0] is[0] totally[0] averse[0] to[0] the[0] idea[0] of[0] marriage[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
henry's court is very corrupt , with the cardinal ( terry scott ) trying to bribe cromwell ( kenneth williams ) and cromwell trying to bribe the king . 	henry's court is very corrupt , with the cardinal ( terry scot ) trying to bribe cromwell ( kenneth williams ) and cromwell trying to bribe the king .	1	-4	 henry's[0] court[0] is[0] very[0] corrupt[-2][-1 LastWordBoosterStrength] with[0] the[0] cardinal[0] terry[0] scott/scot[0] trying[0] to[0] bribe[-1] cromwell[0] kenneth[0] williams[0] and[0] cromwell[0] trying[0] to[0] bribe[-1] the[0] king[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
there is a state of crisis when the king puts marie the queen ( sims ) in the tower of london ready for execution . 	there is a state of crisis when the king puts marie the queen ( sims ) in the tower of london ready for execution .	1	-3	 there[0] is[0] a[0] state[0] of[0] crisis[-2] when[0] the[0] king[0] puts[0] marie[0] the[0] queen[0] sims[0] in[0] the[0] tower[0] of[0] london[0] ready[0] for[0] execution[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the queen is pregnant but she has not liased with the king before , so fingers are pointed at sir roger de lodgerley played by charles hawtrey , who has a rather lecherous character to play this time . 	the queen is pregnant but she has not liased with the king before , so fingers are pointed at sir roger de lodgerley played by charles hawtrey , who has a rather lecherous character to play this time .	1	-1	 the[0] queen[0] is[0] pregnant[0] but[0] she[0] has[0] not[0] liased[0] with[0] the[0] king[0] before[0] so[0] fingers[0] are[0] pointed[0] at[0] sir[0] roger[0] de[0] lodgerley[0] played[0] by[0] charles[0] hawtrey[0] who[0] has[0] a[0] rather[0] lecherous[0] character[0] to[0] play[0] this[0] time[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the cardinal and cromwell decide to get a signed confession from sir roger by using all kinds of torture devices ! 	the cardinal and cromwell decide to get a signed confession from sir roger by using all kinds of torture devices !	1	-4	 the[0] cardinal[0] and[0] cromwell[0] decide[0] to[0] get[0] a[0] signed[0] confession[-1] from[0] sir[0] roger[0] by[0] using[0] all[0] kinds[0] of[0] torture[-3] devices[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
owing to circumstances , sir roger is sometimes needed to sign that he is the father and sometimes that he isn't . 	owing to circumstances , sir roger is sometimes needed to sign that he is the father and sometimes that he isn't .	1	-1	 owing[0] to[0] circumstances[0] sir[0] roger[0] is[0] sometimes[0] needed[0] to[0] sign[0] that[0] he[0] is[0] the[0] father[0] and[0] sometimes[0] that[0] he[0] isn't[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this is because of renewed threats by the king of france ( peter gilmore ) to come over himself , which in the end he does . 	this is because of renewed threats by the king of france ( peter gilmore ) to come over himself , which in the end he does .	1	-3	 this[0] is[0] because[0] of[0] renewed[0] threats[-2] by[0] the[0] king[0] of[0] france[0] peter[0] gilmore[0] to[0] come[0] over[0] himself[0] which[0] in[0] the[0] end[0] he[0] does[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
by then , henry has found himself a new queen , played by none other than barbara windsor ! 	by then , henry has found himself a new queen , played by none other than barbara windsor !	1	-1	 by[0] then[0] henry[0] has[0] found[0] himself[0] a[0] new[0] queen[0] played[0] by[0] none[0] other[0] than[0] barbara[0] windsor[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it looks like he has some explaining to do ! 	it looks like he has some explaining to do !	2	-1	 it[0] looks[0] like[1] he[0] has[0] some[0] explaining[0] to[0] do[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
there are stand-out performances by sid james as henry , joan sims as marie , and terry scott in an unusual role as the cardinal . 	there are stand-out performances by sid james as henry , joan sims as marie , and terry scot in an unusual role as the cardinal .	1	-1	 there[0] are[0] stand[0] out[0] performances[0] by[0] sid[0] james[0] as[0] henry[0] joan[0] sims[0] as[0] marie[0] and[0] terry[0] scott/scot[0] in[0] an[0] unusual[0] role[0] as[0] the[0] cardinal[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
also there are cameos from kenneth connor and peter butterworth , who plays barbara's father . 	also there are cameos from kenneth connor and peter butterworth , who plays barbara's father .	2	-1	 also[0] there[0] are[0] cameos[0] from[0] kenneth[0] connor[0] and[0] peter[0] butterworth[0] who[0] plays[1] barbara's[0] father[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the set and costume design is first class and the overall production of this film is good . 	the set and costume design is first class and the overall production of this film is good .	2	-1	 the[0] set[0] and[0] costume[0] design[0] is[0] first[0] class[0] and[0] the[0] overall[0] production[0] of[0] this[0] film[0] is[0] good[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
there is even an early appearance from david prowse , who later became the green cross code man and darth vader . 	there is even an early appearance from david prowse , who later became the green cross code man and darth vader .	1	-2	 there[0] is[0] even[0] an[0] early[0] appearance[0] from[0] david[0] prowse[0] who[0] later[0] became[0] the[0] green[0] cross[-1] code[0] man[0] and[0] darth[0] vader[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the film does have it's downsides though , as it is getting pretty routine for the carry-on team to stage historical films and the inventive streak of the script seems to run out pretty quickly . 	the film does have it's downsides though , as it is getting pretty routine for the carry-on team to stage historical films and the inventive streak of the script seems to run out pretty quickly .	3	-1	 the[0] film[0] does[0] have[0] it's[0] downsides[0] though[0] as[0] it[0] is[0] getting[0] pretty[2] routine[0] for[0] the[0] carry[0] on[0] team[0] to[0] stage[0] historical[0] films[0] and[0] the[0] inventive[0] streak[0] of[0] the[0] script[0] seems[0] to[0] run[0] out[0] pretty[2] quickly[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
there is also the absence of hattie jacques and bernard bresslaw , who could have helped the film along . 	there is also the absence of hattie jacques and bernard bresslaw , who could have helped the film along .	1	-2	 there[0] is[0] also[0] the[0] absence[-1] of[0] hattie[0] jacques[0] and[0] bernard[0] bresslaw[0] who[0] could[0] have[0] helped[0] the[0] film[0] along[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
however , overall the film is funny and there are plenty of laughs and saucy jokes , so that is why i mainly recommend it to carry on fans only , but there is enough humour in the film to make it worth anyone's while to sit down and watch it . 	however , overall the film is funny and there are plenty of laughs and saucy jokes , so that is why i mainly recommend it to carry on fans only , but there is enough humour in the film to make it worth anyone's while to sit down and watch it .	3	-1	 however[0] overall[0] the[0] film[0] is[0] funny[1] and[0] there[0] are[0] plenty[0] of[0] laughs[1] and[0] saucy[0] jokes[1] so[0] that[0] is[0] why[0] i[0] mainly[0] recommend[0] it[0] to[0] carry[0] on[0] fans[0] only[0] but[0] there[0] is[0] enough[0] humour[2] in[0] the[0] film[0] to[0] make[0] it[0] worth[0] anyone's[0] while[0] to[0] sit[0] down[0] and[0] watch[0] it[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
