the start of this movie reminded me of parts from the movie stargate . 	Translation	Positive	Negative	EmotionRationale
people are looking around in an egyptian temple reading about some dangerous thing that is going to destroy earth in the future . 	people are looking around in an egyptian temple reading about some dangerous thing that is going to destroy earth in the future .	1	-3	 people[0] are[0] looking[0] around[0] in[0] an[0] egyptian[0] temple[0] reading[0] about[0] some[0] dangerous[-1][--1 LastWordBoosterStrength] thing[0] that[0] is[0] going[0] to[0] destroy[-2] earth[0] in[0] the[0] future[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
after a sort of confusing bit involving fake-looking cyborg things , the movie jumps into the future and the movie improves by leaps and bounds . 	after a sort of confusing bit involving fake-looking cyborg things , the movie jumps into the future and the movie improves by leaps and bounds .	2	-2	 after[0] a[0] sort[0] of[0] confusing[-1] bit[0] involving[0] fake[-1] looking[0] cyborg[0] things[0] the[0] movie[0] jumps[0] into[0] the[0] future[0] and[0] the[0] movie[0] improves[1] by[0] leaps[0] and[0] bounds[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the basic idea behind the movie is that every once in a while ( make that every 1000 years or so ) an evil force comes to destroy earth . 	the basic idea behind the movie is that every once in a while ( make that every 100 years or so ) an evil force comes to destroy earth .	1	-3	 the[0] basic[0] idea[0] behind[0] the[0] movie[0] is[0] that[0] every[0] once[0] in[0] a[0] while[0] make[0] that[0] every[0] 1000/100[0] years[0] or[0] so[0] an[0] evil[-2] force[-1] comes[0] to[0] destroy[-2] earth[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the things needed to defend against this menace are the four elements of nature plus the fifth element . 	the things needed to defend against this menace are the four elements of nature plus the fifth element .	1	-3	 the[0] things[0] needed[0] to[0] defend[0] against[-1] this[0] menace[-2] are[0] the[0] four[0] elements[0] of[0] nature[0] plus[0] the[0] fifth[0] element[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the plot in this movie really isn't that important to the thing though . 	the plot in this movie really isn't that important to the thing though .	1	-1	 the[0] plot[0] in[0] this[0] movie[0] really[0] isn't[0] that[0] important[0] to[0] the[0] thing[0] though[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this movie has very good special effects , for the most part . 	this movie has very good special effects , for the most part .	3	-1	 this[0] movie[0] has[0] very[0] good[1][1 LastWordBoosterStrength] special[1] effects[0] for[0] the[0] most[0] part[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the techno-ish music in the background fits the mood very well . 	the techno-ish music in the background fits the mood very well .	1	-1	 the[0] techno[0] ish[0] music[0] in[0] the[0] background[0] fits[0] the[0] mood[0] very[0] well[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
bruce willis is an illegal taxi-cab driver in a futuristic new york city . 	bruce willis is an illegal taxi-cab driver in a futuristic new york city .	1	-2	 bruce[0] willis[0] is[0] an[0] illegal[-1] taxi[-1] cab[0] driver[0] in[0] a[0] futuristic[0] new[0] york[0] city[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
one day a lady draped with a few bandages drops down into his trunk . 	one day a lady draped with a few bandages drops down into his trunk .	1	-1	 one[0] day[0] a[0] lady[0] draped[0] with[0] a[0] few[0] bandages[0] drops[0] down[0] into[0] his[0] trunk[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this movie is about what happens . 	this movie is about what happens .	1	-1	 this[0] movie[0] is[0] about[0] what[0] happens[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the plot twists are interesting and the movie never fails to present the viewer with a variety of different locations . 	the plot twists are interesting and the movie never fails to present the viewer with a variety of different locations .	3	-1	 the[0] plot[0] twists[0] are[0] interesting[1] and[0] the[0] movie[0] never[0] fails[-2][NegatedDueToPreviousWord] to[0] present[0] the[0] viewer[0] with[0] a[0] variety[0] of[0] different[0] locations[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
also there is a fair bit of action in the film , particularly towards the end . 	also there is a fair bit of action in the film , particularly towards the end .	1	-1	 also[0] there[0] is[0] a[0] fair[0] bit[0] of[0] action[0] in[0] the[0] film[0] particularly[0] towards[0] the[0] end[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
some characters are just plain strange including a highly-energetic deejay in drag . 	some characters are just plain strange including a highly-energetic deejay in drag .	1	-2	 some[0] characters[0] are[0] just[0] plain[0] strange[0] including[0] a[0] highly[0] energetic[0] deejay[0] in[0] drag[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
bruce willis does his normal job of blowing things away like he always does . 	bruce willis does his normal job of blowing things away like he always does .	2	-1	 bruce[0] willis[0] does[0] his[0] normal[0] job[0] of[0] blowing[0] things[0] away[0] like[1] he[0] always[0] does[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the movie is definitely watchable and rarely slows down . 	the movie is definitely watchable and rarely slows down .	1	-1	 the[0] movie[0] is[0] definitely[0] watchable[0] and[0] rarely[0] slows[0] down[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it is one of those sci-fi films where you'll be saying " cool " followed by a " what the hell ? ! ? ! " . 	it is one of those sci-fi films where you'll be saying " cool " followed by a " what the hell ?<br> !<br> ?<br> !<br> " .	2	-2	 it[0] is[0] one[0] of[0] those[0] sci[0] fi[0] films[0] where[0] you'll[0] be[0] saying[0] cool[1] followed[0] by[0] a[0] what[0] the[0] hell[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
i give the fifth element . 	i give the fifth element .	1	-1	 i[0] give[0] the[0] fifth[0] element[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
