mpaa : not rated ( though i feel it would likely be pg , for martial-arts violence . ) 	Translation	Positive	Negative	EmotionRationale
with three movies already ( re ) released theatrically in america , and at least three more on their way , jackie chan is one of the newest " hot properties " in action adventure stardom , and it's just about time . 	with three movies already ( re ) released theatrically in america , and at least three more on their way , jackie chan is one of the newest " hot properties " in action adventure stardom , and it's just about time .	1	-1	 with[0] three[0] movies[0] already[0] re[0] released[0] theatrically[0] in[0] america[0] and[0] at[0] least[0] three[0] more[0] on[0] their[0] way[0] jackie[0] chan[0] is[0] one[0] of[0] the[0] newest[0] hot[0] properties[0] in[0] action[0] adventure[0] stardom[0] and[0] it's[0] just[0] about[0] time[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
for over twenty-five years , jackie's been starring in martial arts and action movies in hong kong , thrilling audiences with both an incredible grasp of acrobatics and martial arts and a wonderful sense of comedy . 	for over twenty-five years , jackie's been starring in martial arts and action movies in hong kong , thrilling audiences with both an incredible grasp of acrobatics and martial arts and a wonderful sense of comedy .	4	-1	 for[0] over[0] twenty[0] five[0] years[0] jackie's[0] been[0] starring[0] in[0] martial[0] arts[0] and[0] action[0] movies[0] in[0] hong[0] kong[0] thrilling[3] audiences[0] with[0] both[0] an[0] incredible[0] grasp[0] of[0] acrobatics[0] and[0] martial[0] arts[0] and[0] a[0] wonderful[2] sense[0] of[0] comedy[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
 " drunken master " has the distinction of being the first jackie chan movie to " make it big " --this is the movie that supposedly set jackie up for big stardom in hong kong . 	 " drunken master " has the distinction of being the first jackie chan movie to " make it big " -this is the movie that supposedly set jackie up for big stardom in hong kong .	1	-2	 drunken[-1] master[0] has[0] the[0] distinction[0] of[0] being[0] the[0] first[0] jackie[0] chan[0] movie[0] to[0] make[0] it[0] big[0] this[0] is[0] the[0] movie[0] that[0] supposedly[0] set[0] jackie[0] up[0] for[0] big[0] stardom[0] in[0] hong[0] kong[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i'm not entirely sure why , exactly . 	i'm not entirely sure why , exactly .	1	-1	 i'm[0] not[0] entirely[0] sure[0] why[0] exactly[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in many ways , " drunken master " is similar to most of jackie's other early films , such as " fearless hyena " i and ii , " master with cracked fingers " , " half a loaf of kung fu " , " spiritual kung fu " , and others . 	in many ways , " drunken master " is similar to most of jackie's other early films , such as " fearless hyena " i and i , " master with cracked fingers " , " half a loaf of kung fu " , " spiritual kung fu " , and others .	2	-2	 in[0] many[0] ways[0] drunken[-1] master[0] is[0] similar[0] to[0] most[0] of[0] jackie's[0] other[0] early[0] films[0] such[0] as[0] fearless[1] hyena[0] i[0] and[0] ii/i[0] master[0] with[0] cracked[0] fingers[0] half[0] a[0] loaf[0] of[0] kung[0] fu[0] spiritual[0] kung[0] fu[0] and[0] others[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
in fact , looking at all these early films together , one gets the impression that they were stamped out , cookie-cutter style , at a rate of four to six per year , all using the same casts and telling very similar stories . 	in fact , looking at all these early films together , one gets the impression that they were stamped out , cookie-cutter style , at a rate of four to six per year , all using the same casts and telling very similar stories .	1	-1	 in[0] fact[0] looking[0] at[0] all[0] these[0] early[0] films[0] together[0] one[0] gets[0] the[0] impression[0] that[0] they[0] were[0] stamped[0] out[0] cookie[0] cutter[0] style[0] at[0] a[0] rate[0] of[0] four[0] to[0] six[0] per[0] year[0] all[0] using[0] the[0] same[0] casts[0] and[0] telling[0] very[0] similar[0] stories[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
to be honest , i think that early jackie chan movies are something of an acquired taste . 	to be honest , i think that early jackie chan movies are something of an acquired taste .	1	-1	 to[0] be[0] honest[0] i[0] think[0] that[0] early[0] jackie[0] chan[0] movies[0] are[0] something[0] of[0] an[0] acquired[0] taste[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
they're quite different from action movies as we know them in america . 	they're quite different from action movies as we know them in america .	1	-1	 they're[0] quite[0] different[0] from[0] action[0] movies[0] as[0] we[0] know[0] them[0] in[0] america[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
these films tend to be set in the chinese countryside in an indeterminate period sometime in the distant past , with fairly slow plots that often meander far afield and sometimes seem to exist only for the intention of stringing comedy and fight scenes together . 	these films tend to be set in the chinese countryside in an indeterminate period sometime in the distant past , with fairly slow plots that often meander far afield and sometimes seem to exist only for the intention of stringing comedy and fight scenes together .	1	-3	 these[0] films[0] tend[0] to[0] be[0] set[0] in[0] the[0] chinese[0] countryside[0] in[0] an[0] indeterminate[-1] period[0] sometime[0] in[0] the[0] distant[0] past[0] with[0] fairly[0] slow[0] plots[0] that[0] often[0] meander[0] far[0] afield[0] and[0] sometimes[0] seem[0] to[0] exist[0] only[0] for[0] the[0] intention[0] of[0] stringing[0] comedy[0] and[0] fight[-2] scenes[0] together[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
 " drunken master " , though its plot is tighter than some , is no exception . 	 " drunken master " , though its plot is tighter than some , is no exception .	1	-2	 drunken[-1] master[0] though[0] its[0] plot[0] is[0] tighter[0] than[0] some[0] is[0] no[0] exception[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
 ( as an aside , " drunken master " was the first jackie chan movie i ever saw , and i saw it the way it was meant to be seen . . . in 	 ( as an aside , " drunken master " was the first jackie chan movie i ever saw , and i saw it the way it was meant to be seen .<br> .<br> .<br> in	1	-2	 as[0] an[0] aside[0] drunken[-1] master[0] was[0] the[0] first[0] jackie[0] chan[0] movie[0] i[0] ever[0] saw[0] and[0] i[0] saw[0] it[0] the[0] way[0] it[0] was[0] meant[0] to[0] be[0] seen[0] [[Sentence=-2,1=word max, 1-5]] in[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
a movie theater in seattle , as part of an asian film festival . 	a movie theater in seattle , as part of an asian film festival .	1	-1	 a[0] movie[0] theater[0] in[0] seattle[0] as[0] part[0] of[0] an[0] asian[0] film[0] festival[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
at the time , i didn't really think it was anything special . . . but 	at the time , i didn't really think it was anything special .<br> .<br> .<br> but	2	-1	 at[0] the[0] time[0] i[0] didn't[0] really[0] think[0] it[0] was[0] anything[0] special[1] [[Sentence=-1,2=word max, 1-5]] but[0] [[Sentence=-1,1=word max, 1-5]][[[2,-1 max of sentences]]]
after having seen more films like it , it's kind of grown on me . ) 	after having seen more films like it , it's kind of grown on me .<br> )	2	-1	 after[0] having[0] seen[0] more[0] films[0] like[1] it[0] it's[0] kind[1] of[0] grown[0] on[0] me[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
