blade is the movie that shows that wesley snipes really can live up to his potential as one of hollywood's premier leading men . 	Translation	Positive	Negative	EmotionRationale
blade is based on the comic book character of the same name and has that comic book kind of feel to it . 	blade is based on the comic book character of the same name and has that comic book kind of feel to it .	2	-1	 blade[0] is[0] based[0] on[0] the[0] comic[0] book[0] character[0] of[0] the[0] same[0] name[0] and[0] has[0] that[0] comic[0] book[0] kind[1] of[0] feel[0] to[0] it[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it is a very stylish movie and for the most part that style works very well . 	it is a very stylish movie and for the most part that style works very well .	1	-1	 it[0] is[0] a[0] very[0] stylish[0] movie[0] and[0] for[0] the[0] most[0] part[0] that[0] style[0] works[0] very[0] well[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
although , at a few points i thought i was watching a music video as opposed to a movie . 	although , at a few points i thought i was watching a music video as opposed to a movie .	1	-1	 although[0] at[0] a[0] few[0] points[0] i[0] thought[0] i[0] was[0] watching[0] a[0] music[0] video[0] as[0] opposed[0] to[0] a[0] movie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the ideas behind blade are good , as is the basic plot of the story . 	the ideas behind blade are good , as is the basic plot of the story .	2	-1	 the[0] ideas[0] behind[0] blade[0] are[0] good[1] as[0] is[0] the[0] basic[0] plot[0] of[0] the[0] story[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
but at times , things seem to get a bit muddled , and the writers appear to want to do too many things at once . 	but at times , things seem to get a bit muddled , and the writers appear to want to do too many things at once .	1	-2	 but[0] at[0] times[0] things[0] seem[0] to[0] get[0] a[0] bit[0] muddled[-1] and[0] the[0] writers[0] appear[0] to[0] want[0] to[0] do[0] too[0] many[0] things[0] at[0] once[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
that really doesn't take away from the story too much , but it does hurt it a little bit . 	that really doesn't take away from the story too much , but it does hurt it a little bit .	1	-3	 that[0] really[0] doesn't[0] take[0] away[0] from[0] the[0] story[0] too[0] much[0] but[0] it[0] does[0] hurt[-2] it[0] a[0] little[0] bit[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
blade ( snipes ) is half man , half vampire . 	blade ( snipes ) is half man , half vampire .	1	-1	 blade[0] snipes[0] is[0] half[0] man[0] half[0] vampire[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
his mother was bitten by a vampire when she was pregnant with him and as a result he has many of the classic traits of a vampire . 	his mother was bitten by a vampire when she was pregnant with him and as a result he has many of the classic traits of a vampire .	1	-1	 his[0] mother[0] was[0] bitten[0] by[0] a[0] vampire[0] when[0] she[0] was[0] pregnant[0] with[0] him[0] and[0] as[0] a[0] result[0] he[0] has[0] many[0] of[0] the[0] classic[0] traits[0] of[0] a[0] vampire[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
including a thirst for human blood that must be kept under control by a special serum which quenches his blood lust . 	including a thirst for human blood that must be kept under control by a special serum which quenches his blood lust .	2	-2	 including[0] a[0] thirst[-1] for[0] human[0] blood[0] that[0] must[0] be[0] kept[0] under[0] control[0] by[0] a[0] special[1] serum[0] which[0] quenches[0] his[0] blood[0] lust[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
blade has spent his life hunting down and killing vampires as a sort of revenge for the fact that one of their kind killed his mother . 	blade has spent his life hunting down and killing vampires as a sort of revenge for the fact that one of their kind killed his mother .	2	-4	 blade[0] has[0] spent[0] his[0] life[0] hunting[0] down[0] and[0] killing[-1] vampires[0] as[0] a[0] sort[0] of[0] revenge[-1] for[0] the[0] fact[0] that[0] one[0] of[0] their[0] kind[1] killed[-3] his[0] mother[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
