only a year after the initial release of " scream , " the horror send-up from veteran horror director wes craven and screenwriter kevin williamson that seemed to breathe new life into the slasher genre , the inevitable sequel " scream 2 " has arrived in our theaters . 	Translation	Positive	Negative	EmotionRationale
while the tongue-in-cheek , parodic element is still noticeable in this film , it's really a sideshow to a broader commentary on violence and the media and a more conventional horror story . 	while the tongue-in-cheek , parodic element is still noticeable in this film , it's really a sideshow to a broader commentary on violence and the media and a more conventional horror story .	1	-4	 while[0] the[0] tongue[0] in[0] cheek[0] parodic[0] element[0] is[0] still[0] noticeable[0] in[0] this[0] film[0] it's[0] really[0] a[0] sideshow[0] to[0] a[0] broader[0] commentary[0] on[0] violence[-3] and[0] the[0] media[0] and[0] a[0] more[0] conventional[0] horror[-3] story[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the first film , while often violent and gruesome , was mostly lacking in genuine scares because almost every scene was played for camp value and the discussion of the quirks and cliches of horror movies was nearly constant . 	the first film , while often violent and gruesome , was mostly lacking in genuine scares because almost every scene was played for camp value and the discussion of the quirks and cliches of horror movies was nearly constant .	2	-4	 the[0] first[0] film[0] while[0] often[0] violent[-2] and[0] gruesome[0] was[0] mostly[0] lacking[0] in[0] genuine[0] scares[-3] because[0] almost[0] every[0] scene[0] was[0] played[0] for[0] camp[0] value[1] and[0] the[0] discussion[0] of[0] the[0] quirks[0] and[0] cliches[0] of[0] horror[-3] movies[0] was[0] nearly[0] constant[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
the premise of " scream 2 " is that a series of copycat killings begin when a movie called " stab , " based on a book written by opportunistic reporter gail weathers ( courtney cox ) about the events in " scream , " is released and two audience members are killed during the opening screening . 	the premise of " scream 2 " is that a series of copycat killings begin when a movie called " stab , " based on a book written by opportunistic reporter gail weathers ( courtney cox ) about the events in " scream , " is released and two audience members are killed during the opening screening .	1	-4	 the[0] premise[0] of[0] scream[-3] 2[0] is[0] that[0] a[0] series[0] of[0] copycat[0] killings[0] begin[0] when[0] a[0] movie[0] called[0] stab[-1] based[0] on[0] a[0] book[0] written[0] by[0] opportunistic[0] reporter[0] gail[0] weathers[0] courtney[0] cox[0] about[0] the[0] events[0] in[0] scream[-3] is[0] released[0] and[0] two[0] audience[0] members[0] are[0] killed[-3] during[0] the[0] opening[0] screening[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
i had heard about this scene before i went to see the film and was surprised to find this sequence largely lacking in camp comedy . 	i had heard about this scene before i went to see the film and was surprised to find this sequence largely lacking in camp comedy .	1	-1	 i[0] had[0] heard[0] about[0] this[0] scene[0] before[0] i[0] went[0] to[0] see[0] the[0] film[0] and[0] was[0] surprised[0] to[0] find[0] this[0] sequence[0] largely[0] lacking[0] in[0] camp[0] comedy[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
its conclusion , in which a bleeding , wounded woman stumbles in front of the screen and dies in front of an audience that cheers on because they think it's a publicity stunt , is more surreal and disturbing than anything else . 	its conclusion , in which a bleeding , wounded woman stumbles in front of the screen and dies in front of an audience that cheers on because they think it's a publicity stunt , is more surreal and disturbing than anything else .	1	-2	 its[0] conclusion[0] in[0] which[0] a[0] bleeding[0] wounded[-1] woman[0] stumbles[0] in[0] front[0] of[0] the[0] screen[0] and[0] dies[0] in[0] front[0] of[0] an[0] audience[0] that[0] cheers[0] on[0] because[0] they[0] think[0] it's[0] a[0] publicity[0] stunt[-1] is[0] more[0] surreal[0] and[0] disturbing[-1] than[0] anything[0] else[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the satire in " scream 2 " thus takes on a broad focus and gradually evolves into an exploration of media perceptions in general . 	the satire in " scream 2 " thus takes on a broad focus and gradually evolves into an exploration of media perceptions in general .	1	-4	 the[0] satire[0] in[0] scream[-3] 2[0] thus[0] takes[0] on[0] a[0] broad[0] focus[0] and[0] gradually[0] evolves[0] into[0] an[0] exploration[0] of[0] media[0] perceptions[0] in[0] general[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
although resident horror film geek randy ( jamie kennedy ) is back with fresh dialogue about sequels ( and , interestingly enough , how they are usually inferior to their predecessors ) , the characters in this movie are drawing from other entries in the pop culture encyclopedia as well . 	although resident horror film geek randy ( jamie kennedy ) is back with fresh dialogue about sequels ( and , interestingly enough , how they are usually inferior to their predecessors ) , the characters in this movie are drawing from other entries in the pop culture encyclopedia as well .	2	-4	 although[0] resident[0] horror[-3] film[0] geek[0] randy[0] jamie[0] kennedy[0] is[0] back[0] with[0] fresh[0] dialogue[0] about[0] sequels[0] and[0] interestingly[1] enough[0] how[0] they[0] are[0] usually[0] inferior[-1] to[0] their[0] predecessors[0] the[0] characters[0] in[0] this[0] movie[0] are[0] drawing[0] from[0] other[0] entries[0] in[0] the[0] pop[0] culture[0] encyclopedia[0] as[0] well[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
everything from " friends " and " saved by the bell " to " showgirls " and " terminator 2 " is referenced here ; horror is only one of many genres available for lampooning , and there aren't any " wes carpenter " jokes this time . 	everything from " friends " and " saved by the bell " to " showgirls " and " terminator 2 " is referenced here ; horror is only one of many genres available for lampooning , and there aren't any " wes carpenter " jokes this time .	2	-4	 everything[0] from[0] friends[1] and[0] saved[1] by[0] the[0] bell[0] to[0] showgirls[0] and[0] terminator[0] 2[0] is[0] referenced[0] here[0] horror[-3] is[0] only[0] one[0] of[0] many[0] genres[0] available[0] for[0] lampooning[0] and[0] there[0] aren't[0] any[0] wes[0] carpenter[0] jokes[1] this[0] time[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
more importantly , this film portrays characters willing to go to disturbing lengths for media attention as well as characters whose perceptions have clearly been warped by what they have seen on tv and film . 	more importantly , this film portrays characters willing to go to disturbing lengths for media attention as well as characters whose perceptions have clearly been warped by what they have seen on tv and film .	1	-2	 more[0] importantly[0] this[0] film[0] portrays[0] characters[0] willing[0] to[0] go[0] to[0] disturbing[-1] lengths[0] for[0] media[0] attention[0] as[0] well[0] as[0] characters[0] whose[0] perceptions[0] have[0] clearly[0] been[0] warped[-1] by[0] what[0] they[0] have[0] seen[0] on[0] tv[0] and[0] film[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the killings are clearly an imitation of the previous murders from " scream " ( in fact , the culprit even plans to use the influence of horror movies as a courtroom defense ) , weathers exploits the situation for her own notoriety , and one man seems willing to save the heroine's life only if it will earn him an interview on the today show . 	the killings are clearly an imitation of the previous murders from " scream " ( in fact , the culprit even plans to use the influence of horror movies as a courtroom defense ) , weathers exploits the situation for her own notoriety , and one man seems willing to save the heroine's life only if it will earn him an interview on the today show .	3	-4	 the[0] killings[0] are[0] clearly[0] an[0] imitation[0] of[0] the[0] previous[0] murders[-3] from[0] scream[-3] in[0] fact[0] the[0] culprit[-1] even[0] plans[0] to[0] use[0] the[0] influence[0] of[0] horror[-3] movies[0] as[0] a[0] courtroom[0] defense[0] weathers[0] exploits[0] the[0] situation[0] for[0] her[0] own[0] notoriety[0] and[0] one[0] man[0] seems[0] willing[0] to[0] save[1] the[0] heroine's[2] life[0] only[0] if[0] it[0] will[0] earn[0] him[0] an[0] interview[0] on[0] the[0] today[0] show[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
