it is easy to see why the late stanley kubrick believed steven spielberg would be the perfect director for his a . i . 	Translation	Positive	Negative	EmotionRationale
artificial intelligence , just as it is understandable why spielberg was attracted to the material . 	artificial intelligence , just as it is understandable why spielberg was attracted to the material .	2	-1	 artificial[0] intelligence[0] just[0] as[0] it[0] is[0] understandable[0] why[0] spielberg[0] was[0] attracted[1] to[0] the[0] material[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
for here we have another lost boy trying to find his way home , an outcast seeking family , themes very familiar from most of spielberg's body of work from sugarland express to close encounters of the third kind to e . t . 	for here we have another lost boy trying to find his way home , an outcast seeking family , themes very familiar from most of spielberg's body of work from sugarland express to close encounters of the third kind to e .<br> t .	2	-2	 for[0] here[0] we[0] have[0] another[0] lost[0] boy[0] trying[0] to[0] find[0] his[0] way[0] home[0] an[0] outcast[-1] seeking[0] family[0] themes[0] very[0] familiar[0] from[0] most[0] of[0] spielberg's[0] body[0] of[0] work[0] from[0] sugarland[0] express[0] to[0] close[0] encounters[0] of[0] the[0] third[0] kind[1] to[0] e[0] [[Sentence=-2,2=word max, 1-5]] t[0] [[Sentence=-1,1=word max, 1-5]][[[2,-2 max of sentences]]]
to empire of the sun to hook to saving private ryan , naming just a few examples . 	to empire of the sun to hook to saving private ryan , naming just a few examples .	1	-1	 to[0] empire[0] of[0] the[0] sun[0] to[0] hook[0] to[0] saving[0] private[0] ryan[0] naming[0] just[0] a[0] few[0] examples[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
a . i . is set in an undefined near future in which giant technological advances have led to the creation of robots who serve every purpose from housekeeping to fulfilling sexual fantasies . 	a .<br> i .<br> is set in an undefined near future in which giant technological advances have led to the creation of robots who serve every purpose from housekeeping to fulfilling sexual fantasies .	1	-1	 a[0] [[Sentence=-1,1=word max, 1-5]] i[0] [[Sentence=-1,1=word max, 1-5]] is[0] set[0] in[0] an[0] undefined[0] near[0] future[0] in[0] which[0] giant[0] technological[0] advances[0] have[0] led[0] to[0] the[0] creation[0] of[0] robots[0] who[0] serve[0] every[0] purpose[0] from[0] housekeeping[0] to[0] fulfilling[0] sexual[0] fantasies[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it is an era when robots are treated merely as sophisticated appliances . 	it is an era when robots are treated merely as sophisticated appliances .	1	-1	 it[0] is[0] an[0] era[0] when[0] robots[0] are[0] treated[0] merely[0] as[0] sophisticated[0] appliances[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the last great leap in robotic evolution is the addition of emotions , and with the number of births limited by the government , many couples are yearning for children . 	the last great leap in robotic evolution is the addition of emotions , and with the number of births limited by the government , many couples are yearning for children .	3	-2	 the[0] last[0] great[2] leap[0] in[0] robotic[0] evolution[0] is[0] the[0] addition[0] of[0] emotions[0] and[0] with[0] the[0] number[0] of[0] births[0] limited[0] by[0] the[0] government[0] many[0] couples[0] are[0] yearning[-1] for[0] children[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
and professor hobby ( william hurt ) has the solution . 	and professor hobby ( william hurt ) has the solution .	1	-3	 and[0] professor[0] hobby[0] william[0] hurt[-2] has[0] the[0] solution[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
a robotic boy named david ( haley joel osment ) , who is programmed to love . 	a robotic boy named david ( haley joel osment ) , who is programmed to love .	3	-1	 a[0] robotic[0] boy[0] named[0] david[0] haley[0] joel[0] osment[0] who[0] is[0] programmed[0] to[0] love[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
as a test , david is placed with henry swinton ( sam robards ) and his wife , monica ( frances o'connor ) . 	as a test , david is placed with henry swinton ( sam robards ) and his wife , monica ( frances o'connor ) .	1	-1	 as[0] a[0] test[0] david[0] is[0] placed[0] with[0] henry[0] swinton[0] sam[0] robards[0] and[0] his[0] wife[0] monica[0] frances[0] o'connor[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
their natural-born son has been cryogenically frozen until a cure can be found for his illness . 	their natural-born son has been cryogenically frozen until a cure can be found for his illness .	1	-2	 their[0] natural[0] born[0] son[0] has[0] been[0] cryogenically[0] frozen[0] until[0] a[0] cure[0] can[0] be[0] found[0] for[0] his[0] illness[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the first third of a . i . 	the first third of a .<br> i .	1	-1	 the[0] first[0] third[0] of[0] a[0] [[Sentence=-1,1=word max, 1-5]] i[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
deals with david's life with the swintons and how that is changed by the recovery and return of their son , martin . 	deals with david's life with the swintons and how that is changed by the recovery and return of their son , martin .	1	-1	 deals[0] with[0] david's[0] life[0] with[0] the[0] swintons[0] and[0] how[0] that[0] is[0] changed[0] by[0] the[0] recovery[0] and[0] return[0] of[0] their[0] son[0] martin[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
circumstances force david to be cut off from the swintons . 	circumstances force david to be cut off from the swintons .	1	-2	 circumstances[0] force[-1] david[0] to[0] be[0] cut[0] off[0] from[0] the[0] swintons[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
he is abandoned and alone . 	he is abandoned and alone .	1	-2	 he[0] is[0] abandoned[-1] and[0] alone[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
