capsule : this is a film that avoids easy answers . 	Translation	Positive	Negative	EmotionRationale
wilhelm furtwangler , then the world's greatest orchestra conductor stayed in germany and cooperated with the nazis . 	wilhelm furtwangler , then the world's greatest orchestra conductor stayed in germany and cooperated with the nazis .	3	-2	 wilhelm[0] furtwangler[0] then[0] the[0] world's[0] greatest[2] orchestra[0] conductor[0] stayed[0] in[0] germany[-1] and[0] cooperated[0] with[0] the[0] nazis[-1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
what were his views , was he a war criminal or a secret resistance fighter ? 	what were his views , was he a war criminal or a secret resistance fighter ?	1	-3	 what[0] were[0] his[0] views[0] was[0] he[0] a[0] war[-2] criminal[-1] or[0] a[0] secret[0] resistance[0] fighter[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
how much did he know about crimes against humanity ? 	how much did he know about crimes against humanity ?	1	-2	 how[0] much[0] did[0] he[0] know[0] about[0] crimes[-1] against[-1] humanity[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the us government investigated him after the war and this film is a dramatization of that investigation . 	the us government investigated him after the war and this film is a dramatization of that investigation .	1	-3	 the[0] us[0] government[0] investigated[0] him[0] after[0] the[0] war[-2] and[0] this[0] film[0] is[0] a[0] dramatization[0] of[0] that[0] investigation[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
 , high  2 ( -4 to  4 ) 	 , high  2 ( -4 to  4 )	1	-1	 high[0] 2[0] -4[0] to[0] 4[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in my opinion one of the best films of the last few years is istvan szabo's sunshine , a film that covers the fortunes of a jewish hungarian family under the reigns of three different regimes , hungarian aristocrats , nazis , and communists . 	in my opinion one of the best films of the last few years is istvan szabo's sunshine , a film that covers the fortunes of a jewish hungarian family under the reigns of three different regimes , hungarian aristocrats , nazis , and communists .	2	-2	 in[0] my[0] opinion[0] one[0] of[0] the[0] best[1] films[0] of[0] the[0] last[0] few[0] years[0] is[0] istvan[0] szabo's[0] sunshine[1] a[0] film[0] that[0] covers[0] the[0] fortunes[0] of[0] a[0] jewish[0] hungarian[0] family[0] under[0] the[0] reigns[0] of[0] three[0] different[0] regimes[0] hungarian[0] aristocrats[0] nazis[-1] and[0] communists[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
szabo's follow-up film , a german production , is much more limited in scope . 	szabo's follow-up film , a german production , is much more limited in scope .	1	-2	 szabo's[0] follow[0] up[0] film[0] a[0] german[-1] production[0] is[0] much[0] more[0] limited[0] in[0] scope[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it is about the post-war investigation of who criminally supported the nazis and who opposed them . 	it is about the post-war investigation of who criminally supported the nazis and who opposed them .	2	-3	 it[0] is[0] about[0] the[0] post[0] war[-2] investigation[0] of[0] who[0] criminally[-1] supported[1] the[0] nazis[-1] and[0] who[0] opposed[0] them[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
ronald harwood's screenplay ambiguously looks at the investigation of a great classical music conductor who stayed on in germany when the nazis took power and became the most popular conductor of the third reich . 	ronald harwood's screenplay ambiguously looks at the investigation of a great classical music conductor who stayed on in germany when the nazis took power and became the most popular conductor of the third reich .	3	-2	 ronald[0] harwood's[0] screenplay[0] ambiguously[-1] looks[0] at[0] the[0] investigation[0] of[0] a[0] great[2] classical[0] music[0] conductor[0] who[0] stayed[0] on[0] in[0] germany[-1] when[0] the[0] nazis[-1] took[0] power[0] and[0] became[0] the[0] most[0] popular[0] conductor[0] of[0] the[0] third[0] reich[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
maj . steve arnold ( played by harvey keitel ) has been assigned by his superiors to investigate wilhelm furtwangler ( stellan skarsgard ) , perhaps europe's greatest classical music conductor . 	maj .<br> steve arnold ( played by harvey keitel ) has been assigned by his superiors to investigate wilhelm furtwangler ( stellan skarsgard ) , perhaps europe's greatest classical music conductor .	3	-1	 maj[0] [[Sentence=-1,1=word max, 1-5]] steve[0] arnold[0] played[0] by[0] harvey[0] keitel[0] has[0] been[0] assigned[0] by[0] his[0] superiors[0] to[0] investigate[0] wilhelm[0] furtwangler[0] stellan[0] skarsgard[0] perhaps[0] europe's[0] greatest[2] classical[0] music[0] conductor[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
