the most common ( and in many cases the only ) complaint against francis ford coppola's 1972 masterpiece the godfather is glamorising of mafia , which is presented as an institution guided by ancient tradition and virtues like honour , loyalty and solidarity more suitable for some gentler , kinder ages . 	Translation	Positive	Negative	EmotionRationale
martin scorsese , another italoamerican moviemaker , confronted that perspective with his own , more down-to-earth vision of mafia in 1973 mean streets , movie that dealt with lower echelons of organised crime . 	martin scorsese , another italoamerican moviemaker , confronted that perspective with his own , more down-to-earth vision of mafia in 1973 mean streets , movie that dealt with lower echelons of organised crime .	1	-3	 martin[0] scorsese[0] another[0] italoamerican[0] moviemaker[0] confronted[-2] that[0] perspective[0] with[0] his[0] own[0] more[0] down[0] to[0] earth[0] vision[0] of[0] mafia[0] in[0] 1973[0] mean[0] streets[0] movie[0] that[0] dealt[0] with[0] lower[0] echelons[0] of[0] organised[0] crime[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
unfortunately for scorsese , his film was unspectacular and too artsy to compete with coppola's influence on mafia portrayals in the movies . 	unfortunately for scorsese , his film was unspectacular and too artsy to compete with coppola's influence on mafia portrayals in the movies .	1	-2	 unfortunately[-1] for[0] scorsese[0] his[0] film[0] was[0] unspectacular[0] and[0] too[0] artsy[0] to[0] compete[0] with[0] coppola's[0] influence[0] on[0] mafia[0] portrayals[0] in[0] the[0] movies[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
seventeen years later scorsese returned to mean streets of new york with another film that dealt with darker side of american organised crime . 	seventeen years later scorsese returned to mean streets of new york with another film that dealt with darker side of american organised crime .	1	-2	 seventeen[0] years[0] later[0] scorsese[0] returned[0] to[0] mean[0] streets[0] of[0] new[0] york[0] with[0] another[0] film[0] that[0] dealt[0] with[0] darker[0] side[0] of[0] american[0] organised[0] crime[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
this film was goodfellas , epic black comedy which is today considered as one of the best and most influential films of 1990s . 	this film was goodfellas , epic black comedy which is today considered as one of the best and most influential films of 1990s .	2	-1	 this[0] film[0] was[0] goodfellas[0] epic[0] black[0] comedy[0] which[0] is[0] today[0] considered[0] as[0] one[0] of[0] the[0] best[1] and[0] most[0] influential[0] films[0] of[0] 1990s[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
goodfellas owes some of its initial success and popularity to the fact that it was based on the true story , told in best-seller book wiseguy by nicholas pileggi ( who would co-write the screenplay for the film ) . 	goodfellas owes some of its initial success and popularity to the fact that it was based on the true story , told in best-seller book wiseguy by nicholas pileggi ( who would co-write the screenplay for the film ) .	3	-1	 goodfellas[0] owes[0] some[0] of[0] its[0] initial[0] success[2] and[0] popularity[1] to[0] the[0] fact[0] that[0] it[0] was[0] based[0] on[0] the[0] true[1] story[0] told[0] in[0] best[1] seller[0] book[0] wiseguy[0] by[0] nicholas[0] pileggi[0] who[0] would[0] co[0] write[0] the[0] screenplay[0] for[0] the[0] film[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the book , as well as the film , chronicled thirty years in the life of henry hill ( played by ray liotta ) , irish-italian criminal from new york . 	the book , as well as the film , chronicled thirty years in the life of henry hill ( played by ray liotta ) , irish-italian criminal from new york .	1	-2	 the[0] book[0] as[0] well[0] as[0] the[0] film[0] chronicled[0] thirty[0] years[0] in[0] the[0] life[0] of[0] henry[0] hill[0] played[0] by[0] ray[0] liotta[0] irish[0] italian[0] criminal[-1] from[0] new[0] york[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
at the age of 13 he gets recruited in the criminal organisation of paulie cicero ( played by paul sorvino ) , local mob boss , and gradually climbs up the ladder starting with small errands . 	at the age of 13 he gets recruited in the criminal organisation of paulie cicero ( played by paul sorvino ) , local mob boss , and gradually climbs up the ladder starting with small errands .	1	-2	 at[0] the[0] age[0] of[0] 13[0] he[0] gets[0] recruited[0] in[0] the[0] criminal[-1] organisation[0] of[0] paulie[0] cicero[0] played[0] by[0] paul[0] sorvino[0] local[0] mob[0] boss[0] and[0] gradually[0] climbs[0] up[0] the[0] ladder[0] starting[0] with[0] small[0] errands[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
after couple of years , together with his best childhood friend tommy de vito ( played by joe pesci ) , he joins the crew of expert thieves led by jimmy conway ( played by robert de niro ) . 	after couple of years , together with his best childhood friend tommy de vito ( played by joe pesci ) , he joins the crew of expert thieves led by jimmy conway ( played by robert de niro ) .	2	-2	 after[0] couple[0] of[0] years[0] together[0] with[0] his[0] best[1] childhood[0] friend[1] tommy[0] de[0] vito[0] played[0] by[0] joe[0] pesci[0] he[0] joins[0] the[0] crew[0] of[0] expert[0] thieves[-1] led[0] by[0] jimmy[0] conway[0] played[0] by[0] robert[0] de[0] niro[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
three of them spend years as best friends and associates , gathering enormous wealth from their criminal enterprises that would culminate with one of the most spectacular robberies in american history . 	three of them spend years as best friends and associates , gathering enormous wealth from their criminal enterprises that would culminate with one of the most spectacular robberies in american history .	2	-2	 three[0] of[0] them[0] spend[0] years[0] as[0] best[1] friends[1] and[0] associates[0] gathering[0] enormous[0] wealth[0] from[0] their[0] criminal[-1] enterprises[0] that[0] would[0] culminate[0] with[0] one[0] of[0] the[0] most[0] spectacular[0] robberies[-1] in[0] american[0] history[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
wealth , influence and privileges of men connected with mafia are enough for henry hill to seduce his future wife karen ( played by lorraine bracco ) , who would afterwards remain loyal to her husband despite infidelities , domestic abuse , arrests and would even be accomplice to his own private drug dealing business . 	wealth , influence and privileges of men connected with mafia are enough for henry hill to seduce his future wife karen ( played by lorraine bracco ) , who would afterwards remain loyal to her husband despite infidelities , domestic abuse , arrests and would even be accomplice to his own private drug dealing business .	2	-4	 wealth[0] influence[0] and[0] privileges[1] of[0] men[0] connected[0] with[0] mafia[0] are[0] enough[0] for[0] henry[0] hill[0] to[0] seduce[0] his[0] future[0] wife[0] karen[0] played[0] by[0] lorraine[0] bracco[0] who[0] would[0] afterwards[0] remain[0] loyal[1] to[0] her[0] husband[0] despite[0] infidelities[0] domestic[0] abuse[-3] arrests[0] and[0] would[0] even[0] be[0] accomplice[0] to[0] his[0] own[0] private[0] drug[0] dealing[0] business[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
