there's a moment in schindler's list when a number of jews are trudging through snow , clean and crisp , dark edges and frost on the ground . 	Translation	Positive	Negative	EmotionRationale
one girl waltzes through , wearing a red dress that stings the eyes . 	one girl waltzes through , wearing a red dress that stings the eyes .	1	-2	 one[0] girl[0] waltzes[0] through[0] wearing[0] a[0] red[0] dress[0] that[0] stings[-1] the[0] eyes[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it is probably the finest moment through out the film . 	it is probably the finest moment through out the film .	1	-1	 it[0] is[0] probably[0] the[0] finest[0] moment[0] through[0] out[0] the[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
when i first saw it i began to cry , though i could not say why . 	when i first saw it i began to cry , though i could not say why .	1	-4	 when[0] i[0] first[0] saw[0] it[0] i[0] began[0] to[0] cry[-3] though[0] i[0] could[0] not[0] say[0] why[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
this landscape is the setting of many small moments that add up to one big whole . 	this landscape is the setting of many small moments that add up to one big whole .	1	-1	 this[0] landscape[0] is[0] the[0] setting[0] of[0] many[0] small[0] moments[0] that[0] add[0] up[0] to[0] one[0] big[0] whole[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
when one man is shot in the head we see blood oozing out onto the ground -- so black and murky , its almost pomegranate red . 	when one man is shot in the head we see blood oozing out onto the ground - so black and murky , its almost pomegranate red .	1	-2	 when[0] one[0] man[0] is[0] shot[-1] in[0] the[0] head[0] we[0] see[0] blood[0] oozing[0] out[0] onto[0] the[0] ground[0] so[0] black[0] and[0] murky[-1] its[0] almost[0] pomegranate[0] red[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
at another time we follow a young boy as he runs , searching for a hiding spot before finally squeezing into a toilet -- which is already occupied . 	at another time we follow a young boy as he runs , searching for a hiding spot before finally squeezing into a toilet - which is already occupied .	1	-1	 at[0] another[0] time[0] we[0] follow[0] a[0] young[0] boy[0] as[0] he[0] runs[0] searching[0] for[0] a[0] hiding[0] spot[0] before[0] finally[0] squeezing[0] into[0] a[0] toilet[0] which[0] is[0] already[0] occupied[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
like so ( citizen kane , fargo , the godfather , the godfather part ii , greed , ) many of the greatest american films , schindler's list plays with the concepts of money , power , and soul . 	like so ( citizen kane , fargo , the godfather , the godfather part i , greed , ) many of the greatest american films , schindler's list plays with the concepts of money , power , and soul .	3	-3	 like[1] so[0] citizen[0] kane[0] fargo[0] the[0] godfather[0] the[0] godfather[0] part[0] ii/i[0] greed[-2] many[0] of[0] the[0] greatest[2] american[0] films[0] schindler's[0] list[0] plays[1] with[0] the[0] concepts[0] of[0] money[0] power[0] and[0] soul[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
but this is a movie about a man who does the right thing . 	but this is a movie about a man who does the right thing .	1	-1	 but[0] this[0] is[0] a[0] movie[0] about[0] a[0] man[0] who[0] does[0] the[0] right[0] thing[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
starkly emotional , and brutally powerful , schindler's list strips away everything on the outset and leaves us ony feelings . 	starkly emotional , and brutally powerful , schindler's list strips away everything on the outset and leaves us ony feelings .	1	-3	 starkly[0] emotional[-1] and[0] brutally[-2] powerful[0] schindler's[0] list[0] strips[0] away[0] everything[0] on[0] the[0] outset[0] and[0] leaves[0] us[0] ony[0] feelings[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the following that it has gained is not suprising -- this is probably , thus far , the best film of the decade . 	the following that it has gained is not suprising - this is probably , thus far , the best film of the decade .	2	-1	 the[0] following[0] that[0] it[0] has[0] gained[0] is[0] not[0] suprising[0] this[0] is[0] probably[0] thus[0] far[0] the[0] best[1] film[0] of[0] the[0] decade[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
steven spielberg has always been a skilfull filmmaker -- his assured hand churned out both jurassic parks , jaws , the indiana jones films , and e . t . 	steven spielberg has always been a skilful filmmaker - his assured hand churned out both jurassic parks , jaws , the indiana jones films , and e .<br> t .	1	-1	 steven[0] spielberg[0] has[0] always[0] been[0] a[0] skilfull/skilful[0] filmmaker[0] his[0] assured[0] hand[0] churned[0] out[0] both[0] jurassic[0] parks[0] jaws[0] the[0] indiana[0] jones[0] films[0] and[0] e[0] [[Sentence=-1,1=word max, 1-5]] t[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
-- but it wasn't until 1993 that we saw what a brilliant man he can be . 	- but it wasn't until 1993 that we saw what a brilliant man he can be .	2	-1	 but[0] it[0] wasn't[0] until[0] 1993[0] that[0] we[0] saw[0] what[0] a[0] brilliant[1] man[0] he[0] can[0] be[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the product of his genuis is really something to see -- it can bring tears to your eyes just as it uplifts you . 	the product of his genuis is really something to see - it can bring tears to your eyes just as it uplifts you .	1	-4	 the[0] product[0] of[0] his[0] genuis[0] is[0] really[0] something[0] to[0] see[0] it[0] can[0] bring[0] tears[-3] to[0] your[0] eyes[0] just[0] as[0] it[0] uplifts[0] you[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
throughout , we sense the deep control which he so masterfully spreads . 	throughout , we sense the deep control which he so masterfully spreads .	1	-1	 throughout[0] we[0] sense[0] the[0] deep[0] control[0] which[0] he[0] so[0] masterfully[0] spreads[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
we watch oskar schindler ( liam neeson ) grow from an arrogant , self important man who hires jews only to save money into a moving figure , with a deep sense of pride and accomplishment . 	we watch oskar schindler ( liam neeson ) grow from an arrogant , self important man who hires jews only to save money into a moving figure , with a deep sense of pride and accomplishment .	2	-3	 we[0] watch[0] oskar[0] schindler[0] liam[0] neeson[0] grow[0] from[0] an[0] arrogant[-2] self[0] important[0] man[0] who[0] hires[0] jews[0] only[0] to[0] save[1] money[0] into[0] a[0] moving[0] figure[0] with[0] a[0] deep[0] sense[0] of[0] pride[1] and[0] accomplishment[1] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
the film requires much work , and can be a harrowing experience -- go expecting a quick entertainment and you'll be bitterly dissapointed . 	the film requires much work , and can be a harrowing experience - go expecting a quick entertainment and you'll be bitterly dissapointed .	1	-2	 the[0] film[0] requires[0] much[0] work[0] and[0] can[0] be[0] a[0] harrowing[0] experience[0] go[0] expecting[0] a[0] quick[0] entertainment[0] and[0] you'll[0] be[0] bitterly[-1] dissapointed[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it does reward the patient viewer . 	it does reward the patient viewer .	2	-1	 it[0] does[0] reward[1] the[0] patient[0] viewer[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
this is a mature spielberg , and his deft hands shape an absoloute masterpiece . 	this is a mature spielberg , and his deft hands shape an absoloute masterpiece .	1	-1	 this[0] is[0] a[0] mature[0] spielberg[0] and[0] his[0] deft[0] hands[0] shape[0] an[0] absoloute[0] masterpiece[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this eqsuisite , beautiful film is a rare gem . 	this eqsuisite , beautiful film is a rare gem .	3	-1	 this[0] eqsuisite[0] beautiful[2] film[0] is[0] a[0] rare[0] gem[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
it does a good job of summarizing why i love movies . 	it does a good job of summarizing why i love movies .	3	-1	 it[0] does[0] a[0] good[1] job[0] of[0] summarizing[0] why[0] i[0] love[2] movies[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
it leaves one breathless , uplifted , and with much to think about . 	it leaves one breathless , uplifted , and with much to think about .	1	-1	 it[0] leaves[0] one[0] breathless[0] uplifted[0] and[0] with[0] much[0] to[0] think[0] about[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
afterwards you can reflect on individual images , visions , and people . 	afterwards you can reflect on individual images , visions , and people .	1	-1	 afterwards[0] you[0] can[0] reflect[0] on[0] individual[0] images[0] visions[0] and[0] people[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
laconic , removed , schindler strides through the film a detached prescence who watches all , does much , and leaves feeling as if he could , should , have done more then he did and was able to . 	laconic , removed , schindler strides through the film a detached prescence who watches all , does much , and leaves feeling as if he could , should , have done more then he did and was able to .	1	-1	 laconic[0] removed[0] schindler[0] strides[0] through[0] the[0] film[0] a[0] detached[0] prescence[0] who[0] watches[0] all[0] does[0] much[0] and[0] leaves[0] feeling[0] as[0] if[0] he[0] could[0] should[0] have[0] done[0] more[0] then[0] he[0] did[0] and[0] was[0] able[0] to[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the change seems natural -- in the hands of a lesser filmmaker , it would be crude and would cheat the audience . 	the change seems natural - in the hands of a lesser filmmaker , it would be crude and would cheat the audience .	1	-2	 the[0] change[0] seems[0] natural[0] in[0] the[0] hands[0] of[0] a[0] lesser[0] filmmaker[0] it[0] would[0] be[0] crude[-1] and[0] would[0] cheat[-2][--1 LastWordBoosterStrength] the[0] audience[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
