on the basis of this film alone , i never would have predicted that , in two years , quentin tarantino would become the country's biggest hotshot director . 	Translation	Positive	Negative	EmotionRationale
reservoir dogs has hints of the tarantino brilliance that emerged in pulp fiction , but is a much less substantive , more conventional crime story than the big pf . 	reservoir dogs has hints of the tarantino brilliance that emerged in pulp fiction , but is a much less substantive , more conventional crime story than the big pf .	2	-2	 reservoir[0] dogs[0] has[0] hints[0] of[0] the[0] tarantino[0] brilliance[1] that[0] emerged[0] in[0] pulp[0] fiction[0] but[0] is[0] a[0] much[0] less[0] substantive[0] more[0] conventional[0] crime[-1] story[0] than[0] the[0] big[0] pf[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
here's what the two movies do have in common . . . 	here's what the two movies do have in common .<br> .<br> .	1	-1	 here's[0] what[0] the[0] two[0] movies[0] do[0] have[0] in[0] common[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
--scenes of intelligent , amusing dialogue with no relevance to the plot --a story that jumps back and forth in time rather than going in a logical , chronological sequence --graphic yet necessary violence --an engaging crime story --dialogue liberally spiced with swear words and racial/gender slurs --three of the same actors ( harvey keitel , tim roth and steve buscemi ) --a mexican standoff ending , although this one is considerably less optimistic than pf 	-scenes of intelligent , amusing dialogue with no relevance to the plot -a story that jumps back and forth in time rather than going in a logical , chronological sequence -graphic yet necessary violence -an engaging crime story -dialogue liberally spiced with swear words and racial/gender slurs -three of the same actors ( harvey keitel , tim roth and steve buscemi ) -a mexican standoff ending , although this one is considerably less optimistic than pf	2	-4	 scenes[0] of[0] intelligent[1] amusing[1] dialogue[0] with[0] no[0] relevance[0] to[0] the[0] plot[0] a[0] story[0] that[0] jumps[0] back[0] and[0] forth[0] in[0] time[0] rather[0] than[0] going[0] in[0] a[0] logical[0] chronological[0] sequence[0] graphic[0] yet[0] necessary[0] violence[-3] an[0] engaging[0] crime[-1] story[0] dialogue[0] liberally[0] spiced[0] with[0] swear[-1] words[0] and[0] racial/gender[0] slurs[0] three[0] of[0] the[0] same[0] actors[0] harvey[0] keitel[0] tim[0] roth[0] and[0] steve[0] buscemi[0] a[0] mexican[0] standoff[0] ending[0] although[0] this[0] one[0] is[0] considerably[0] less[0] optimistic[1] than[0] pf[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
reservoir dogs is an entire hour shorter than pulp fiction because it's only got one story to tell rather than three . 	reservoir dogs is an entire hour shorter than pulp fiction because it's only got one story to tell rather than three .	1	-1	 reservoir[0] dogs[0] is[0] an[0] entire[0] hour[0] shorter[0] than[0] pulp[0] fiction[0] because[0] it's[0] only[0] got[0] one[0] story[0] to[0] tell[0] rather[0] than[0] three[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
crime lord joe cabot ( veteran actor lawrence tierney ) has assembled five criminals who have never even met each other to pull a diamond store heist . 	crime lord joe cabot ( veteran actor lawrence tierney ) has assembled five criminals who have never even met each other to pull a diamond store heist .	1	-2	 crime[-1] lord[0] joe[0] cabot[0] veteran[0] actor[0] lawrence[0] tierney[0] has[0] assembled[0] five[0] criminals[-1] who[0] have[0] never[0] even[0] met[0] each[0] other[0] to[0] pull[0] a[0] diamond[0] store[0] heist[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the five are instructed not to reveal their real names or personal details or anything the cops could use if one of them was captured and interrogated . 	the five are instructed not to reveal their real names or personal details or anything the cops could use if one of them was captured and interrogated .	1	-2	 the[0] five[0] are[0] instructed[0] not[0] to[0] reveal[0] their[0] real[0] names[0] or[0] personal[0] details[0] or[0] anything[0] the[0] cops[0] could[0] use[0] if[0] one[0] of[0] them[0] was[0] captured[-1] and[0] interrogated[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
instead , they are all given code names off the color chart -- mr . white ( keitel ) , mr . pink ( buscemi ) , mr . orange ( roth ) , mr . blonde ( michael madsen ) , mr . brown ( tarantino ) and mr . peach ( tarantino's chin ) . 	instead , they are all given code names off the color chart - mr .<br> white ( keitel ) , mr .<br> pink ( buscemi ) , mr .<br> orange ( roth ) , mr .<br> blonde ( michael madsen ) , mr .<br> brown ( tarantino ) and mr .<br> peach ( tarantino's chin ) .	1	-1	 instead[0] they[0] are[0] all[0] given[0] code[0] names[0] off[0] the[0] color[0] chart[0] mr[0] [[Sentence=-1,1=word max, 1-5]] white[0] keitel[0] mr[0] [[Sentence=-1,1=word max, 1-5]] pink[0] buscemi[0] mr[0] [[Sentence=-1,1=word max, 1-5]] orange[0] roth[0] mr[0] [[Sentence=-1,1=word max, 1-5]] blonde[0] michael[0] madsen[0] mr[0] [[Sentence=-1,1=word max, 1-5]] brown[0] tarantino[0] and[0] mr[0] [[Sentence=-1,1=word max, 1-5]] peach[0] tarantino's[0] chin[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
most of the movie's running time is spent with mr . white and pink waiting at a warehouse for the others to arrive . 	most of the movie's running time is spent with mr .<br> white and pink waiting at a warehouse for the others to arrive .	1	-1	 most[0] of[0] the[0] movie's[0] running[0] time[0] is[0] spent[0] with[0] mr[0] [[Sentence=-1,1=word max, 1-5]] white[0] and[0] pink[0] waiting[0] at[0] a[0] warehouse[0] for[0] the[0] others[0] to[0] arrive[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
mr . orange , meanwhile , is on the floor , dying from a gunshot wound . 	mr .<br> orange , meanwhile , is on the floor , dying from a gunshot wound .	1	-2	 mr[0] [[Sentence=-1,1=word max, 1-5]] orange[0] meanwhile[0] is[0] on[0] the[0] floor[0] dying[-1] from[0] a[0] gunshot[-1] wound[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the police had arrived at the scene of the crime way too soon , leading white to believe one of the five was an informant . 	the police had arrived at the scene of the crime way too soon , leading white to believe one of the five was an informant .	1	-2	 the[0] police[0] had[0] arrived[0] at[0] the[0] scene[0] of[0] the[0] crime[-1] way[0] too[0] soon[0] leading[0] white[0] to[0] believe[0] one[0] of[0] the[0] five[0] was[0] an[0] informant[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
