roman emperor marcus aurelius ( richard harris ) chooses his trusted general maximus ( russell crowe ) as his successor . 	Translation	Positive	Negative	EmotionRationale
however the emperor's evil son commodus ( joaquin phoenix ) murders his father before the announcement can be made , and maximus ( as well as his family ) is sentenced to be executed . 	however the emperor's evil son commodus ( joaquin phoenix ) murders his father before the announcement can be made , and maximus ( as well as his family ) is sentenced to be executed .	1	-4	 however[0] the[0] emperor's[0] evil[-2] son[0] commodus[0] joaquin[0] phoenix[0] murders[-3] his[0] father[0] before[0] the[0] announcement[0] can[0] be[0] made[0] and[0] maximus[0] as[0] well[0] as[0] his[0] family[0] is[0] sentenced[0] to[0] be[0] executed[-1] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
maximus is able to escape his executioners , but is later captured and sold as a slave to proximo ( oliver reed ) . 	maximus is able to escape his executioners , but is later captured and sold as a slave to proximo ( oliver reed ) .	1	-2	 maximus[0] is[0] able[0] to[0] escape[0] his[0] executioners[0] but[0] is[0] later[0] captured[-1] and[0] sold[0] as[0] a[0] slave[0] to[0] proximo[0] oliver[0] reed[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
proximo is looking for gladiators to earn himself money ( he being a former gladiator himself ) , and maximus reluctantly uses his skills to prove himself a powerful gladiator . 	proximo is looking for gladiators to earn himself money ( he being a former gladiator himself ) , and maximus reluctantly uses his skills to prove himself a powerful gladiator .	1	-2	 proximo[0] is[0] looking[0] for[0] gladiators[0] to[0] earn[0] himself[0] money[0] he[0] being[0] a[0] former[0] gladiator[0] himself[0] and[0] maximus[0] reluctantly[-1] uses[0] his[0] skills[0] to[0] prove[0] himself[0] a[0] powerful[0] gladiator[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
when emperor commodus announces that new games will be held in the colisseum , proximo takes his gladiators there to do battle . 	when emperor commodus announces that new games will be held in the colisseum , proximo takes his gladiators there to do battle .	1	-2	 when[0] emperor[0] commodus[0] announces[0] that[0] new[0] games[0] will[0] be[0] held[0] in[0] the[0] colisseum[0] proximo[0] takes[0] his[0] gladiators[0] there[0] to[0] do[0] battle[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
maximus sees this as his chance to exact revenge on commodus . 	maximus sees this as his chance to exact revenge on commodus .	1	-2	 maximus[0] sees[0] this[0] as[0] his[0] chance[0] to[0] exact[0] revenge[-1] on[0] commodus[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
gladiator begins with a great battle sequence between the roman army and germania , and actually is able to maintain interest during the now required " 40 minutes of exposition after a kick ass opening sequence " style of moviemaking . 	gladiator begins with a great battle sequence between the roman army and germania , and actually is able to maintain interest during the now required " 40 minutes of exposition after a kick ass opening sequence " style of moviemaking .	3	-2	 gladiator[0] begins[0] with[0] a[0] great[2] battle[-1] sequence[0] between[0] the[0] roman[0] army[0] and[0] germania[-1] and[0] actually[0] is[0] able[0] to[0] maintain[0] interest[1] during[0] the[0] now[0] required[0] 40[0] minutes[0] of[0] exposition[0] after[0] a[0] kick[-1] ass[0] opening[0] sequence[0] style[0] of[0] moviemaking[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the only downfall of the opening sequence is the editing style used . . . 	the only downfall of the opening sequence is the editing style used .<br> .<br> .	1	-2	 the[0] only[0] downfall[-1] of[0] the[0] opening[0] sequence[0] is[0] the[0] editing[0] style[0] used[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it's choppy slow-motion which is unsettling and distracting . 	it's choppy slow-motion which is unsettling and distracting .	1	-2	 it's[0] choppy[0] slow[0] motion[0] which[0] is[0] unsettling[-1] and[0] distracting[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it's similar to the opening sequence in saving private ryan , but nowhere near as effective . 	it's similar to the opening sequence in saving private ryan , but nowhere near as effective .	1	-1	 it's[0] similar[0] to[0] the[0] opening[0] sequence[0] in[0] saving[0] private[0] ryan[0] but[0] nowhere[0] near[0] as[0] effective[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the actual gladiator battles are thrilling , but also a bit disjointed . 	the actual gladiator battles are thrilling , but also a bit disjointed .	4	-2	 the[0] actual[0] gladiator[0] battles[-1] are[0] thrilling[3] but[0] also[0] a[0] bit[0] disjointed[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
many times it's unclear as to exactly what's going on . . . 	many times it's unclear as to exactly what's going on .<br> .<br> .	1	-2	 many[0] times[0] it's[0] unclear[-1] as[0] to[0] exactly[0] what's[0] going[0] on[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
all the audience can tell is that blood is being spilled . 	all the audience can tell is that blood is being spilled .	1	-2	 all[0] the[0] audience[0] can[0] tell[0] is[0] that[0] blood[0] is[0] being[0] spilled[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
we're not sure who's blood or by who's hand though . 	we're not sure who's blood or by who's hand though .	1	-1	 we're[0] not[0] sure[0] who's[0] blood[0] or[0] by[0] who's[0] hand[0] though[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there's an instance of this earlier in the film too that's disappointing . 	there's an instance of this earlier in the film too that's disappointing .	1	-2	 there's[0] an[0] instance[0] of[0] this[0] earlier[0] in[0] the[0] film[0] too[0] that's[0] disappointing[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it's comes when maximus escapes his executioners . 	it's comes when maximus escapes his executioners .	1	-1	 it's[0] comes[0] when[0] maximus[0] escapes[0] his[0] executioners[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
some flashes and a few quick cuts later and maximus is free . . . 	some flashes and a few quick cuts later and maximus is free .<br> .<br> .	1	-1	 some[0] flashes[0] and[0] a[0] few[0] quick[0] cuts[0] later[0] and[0] maximus[0] is[0] free[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but i still don't know exactly how he did it . 	but i still don't know exactly how he did it .	1	-1	 but[0] i[0] still[0] don't[0] know[0] exactly[0] how[0] he[0] did[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
russell crowe should have become a major star after his gleefully over the top role as a computer generated serial killer in 1995's virtuosity . 	russell crowe should have become a major star after his gleefully over the top role as a computer generated serial killer in 1995's virtuosity .	3	-2	 russell[0] crowe[0] should[0] have[0] become[0] a[0] major[0] star[0] after[0] his[0] gleefully[0] over[0] the[0] top[0] role[0] as[0] a[0] computer[0] generated[0] serial[0] killer[-1] in[0] 1995's[0] virtuosity[2] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
for whatever reason his stardom never arrived . . . 	for whatever reason his stardom never arrived .<br> .<br> .	1	-1	 for[0] whatever[0] reason[0] his[0] stardom[0] never[0] arrived[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but he should have it now . 	but he should have it now .	1	-1	 but[0] he[0] should[0] have[0] it[0] now[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
from here on moviegoers should now be able to say , " let's go see the new russell crowe movie " . 	from here on moviegoers should now be able to say , " let's go see the new russell crowe movie " .	1	-1	 from[0] here[0] on[0] moviegoers[0] should[0] now[0] be[0] able[0] to[0] say[0] let's[0] go[0] see[0] the[0] new[0] russell[0] crowe[0] movie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he gets the best scene in the film ( and one of the best moments of all recent movies ) when he reveals his identity to commodus in the colisseum . 	he gets the best scene in the film ( and one of the best moments of all recent movies ) when he reveals his identity to commodus in the colisseum .	2	-1	 he[0] gets[0] the[0] best[1] scene[0] in[0] the[0] film[0] and[0] one[0] of[0] the[0] best[1] moments[0] of[0] all[0] recent[0] movies[0] when[0] he[0] reveals[0] his[0] identity[0] to[0] commodus[0] in[0] the[0] colisseum[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
