disaster films have a tendency to be very formulated and very cliched . 	Translation	Positive	Negative	EmotionRationale
to see a disaster film with actual originality , or at least a decent plot twist , would definitely be a welcome surprise . 	to see a disaster film with actual originality , or at least a decent plot twist , would definitely be a welcome surprise .	2	-2	 to[0] see[0] a[0] disaster[-1] film[0] with[0] actual[0] originality[0] or[0] at[0] least[0] a[0] decent[0] plot[0] twist[0] would[0] definitely[0] be[0] a[0] welcome[1] surprise[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
unfortunately , folks , it's not likely . 	unfortunately , folks , it's not likely .	1	-2	 unfortunately[-1] folks[0] it's[0] not[0] likely[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
dante's peak is cliched , and at times corny , but also pretty decent . 	dante's peak is cliched , and at times corny , but also pretty decent .	3	-1	 dante's[0] peak[0] is[0] cliched[0] and[0] at[0] times[0] corny[0] but[0] also[0] pretty[2] decent[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
to be honest , i wasn't very interested in seeing this film , and word of mouth , as well as several reviews , didn't make it sound promising . 	to be honest , i wasn't very interested in seeing this film , and word of mouth , as well as several reviews , didn't make it sound promising .	3	-1	 to[0] be[0] honest[0] i[0] wasn't[0] very[0] interested[1][1 LastWordBoosterStrength] in[0] seeing[0] this[0] film[0] and[0] word[0] of[0] mouth[0] as[0] well[0] as[0] several[0] reviews[0] didn't[0] make[0] it[0] sound[0] promising[1] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
so i was pleasantly surprised that to find that this movie wasn't bad at all . 	so i was pleasantly surprised that to find that this movie wasn't bad at all .	3	-2	 so[0] i[0] was[0] pleasantly[2] surprised[0] that[0] to[0] find[0] that[0] this[0] movie[0] wasn't[0] bad[-1] at[0] all[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
it's pretty run of the mill , but it's not something i would say is merely " ok " to watch . 	it's pretty run of the mill , but it's not something i would say is merely " ok " to watch .	3	-1	 it's[0] pretty[2] run[0] of[0] the[0] mill[0] but[0] it's[0] not[0] something[0] i[0] would[0] say[0] is[0] merely[0] ok[0] to[0] watch[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
in case you don't know , dante's peak is about a volcano and the city which lives in it's shadow , dante's peak ( who would've guessed , eh ? ) . 	in case you don't know , dante's peak is about a volcano and the city which lives in it's shadow , dante's peak ( who would've guessed , eh ?<br> ) .	1	-1	 in[0] case[0] you[0] don't[0] know[0] dante's[0] peak[0] is[0] about[0] a[0] volcano[0] and[0] the[0] city[0] which[0] lives[0] in[0] it's[0] shadow[0] dante's[0] peak[0] who[0] would've[0] guessed[0] eh[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
pierce brosnan plays the volcanologist sent to study the volcano and , perhaps more by hunch than actual scientific proof , is determined that the volcano will be arupting in the very near future . 	pierce brosnan plays the volcanologist sent to study the volcano and , perhaps more by hunch than actual scientific proof , is determined that the volcano will be arupting in the very near future .	2	-1	 pierce[0] brosnan[0] plays[1] the[0] volcanologist[0] sent[0] to[0] study[0] the[0] volcano[0] and[0] perhaps[0] more[0] by[0] hunch[0] than[0] actual[0] scientific[0] proof[0] is[0] determined[0] that[0] the[0] volcano[0] will[0] be[0] arupting[0] in[0] the[0] very[0] near[0] future[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
due to the lack of more substantial evidence , nobody warns the small town , and when they finally do , it's in the middle of the town meeting that the volcano finally blows . 	due to the lack of more substantial evidence , nobody warns the small town , and when they finally do , it's in the middle of the town meeting that the volcano finally blows .	1	-2	 due[0] to[0] the[0] lack[-1] of[0] more[0] substantial[0] evidence[0] nobody[0] warns[0] the[0] small[0] town[0] and[0] when[0] they[0] finally[0] do[0] it's[0] in[0] the[0] middle[0] of[0] the[0] town[0] meeting[0] that[0] the[0] volcano[0] finally[0] blows[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
brosnan , all around good guy , will , of course , save the day . 	brosnan , all around good guy , will , of course , save the day .	2	-1	 brosnan[0] all[0] around[0] good[1] guy[0] will[0] of[0] course[0] save[1] the[0] day[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
 . 	 .	1	-1	[[[0,0 max of sentences]]]
 . 	 .	1	-1	[[[0,0 max of sentences]]]
or at least the mayor of dante's peak ( linda hamilton ) . 	or at least the mayor of dante's peak ( linda hamilton ) .	1	-1	 or[0] at[0] least[0] the[0] mayor[0] of[0] dante's[0] peak[0] linda[0] hamilton[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
naturally the two will become infatuated with one another . 	naturally the two will become infatuated with one another .	1	-1	 naturally[0] the[0] two[0] will[0] become[0] infatuated[0] with[0] one[0] another[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 ( if you think i just ruined a plot development , you haven't seen very many movies ! ) 	 ( if you think i just ruined a plot development , you haven't seen very many movies !<br> )	1	-1	 if[0] you[0] think[0] i[0] just[0] ruined[-1][--1 LastWordBoosterStrength] a[0] plot[0] development[0] you[0] haven't[0] seen[0] very[0] many[0] movies[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there's also the virtually neccessary kids and pet dog to tug at your heart strings . 	there's also the virtually necessary kids and pet dog to tug at your heart strings .	1	-1	 there's[0] also[0] the[0] virtually[0] neccessary/necessary[0] kids[0] and[0] pet[0] dog[0] to[0] tug[0] at[0] your[0] heart[0] strings[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and of course , the kids or the dog ( at least one or the other ) will do something heroic . 	and of course , the kids or the dog ( at least one or the other ) will do something heroic .	3	-1	 and[0] of[0] course[0] the[0] kids[0] or[0] the[0] dog[0] at[0] least[0] one[0] or[0] the[0] other[0] will[0] do[0] something[0] heroic[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
 . 	 .	1	-1	[[[0,0 max of sentences]]]
 . 	 .	1	-1	[[[0,0 max of sentences]]]
but hey , i don't want to ruin all the surprises ! 	but hey , i don't want to ruin all the surprises !	2	-2	 but[0] hey[1] i[0] don't[0] want[0] to[0] ruin[-1] all[0] the[0] surprises[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
if there was a part of you that was hesitating seeing dante's peak merely because it was rumored to be a waste of time , i urge you to watch it and decide for yourself . 	if there was a part of you that was hesitating seeing dante's peak merely because it was rumored to be a waste of time , i urge you to watch it and decide for yourself .	1	-2	 if[0] there[0] was[0] a[0] part[0] of[0] you[0] that[0] was[0] hesitating[0] seeing[0] dante's[0] peak[0] merely[0] because[0] it[0] was[0] rumored[0] to[0] be[0] a[0] waste[-1] of[0] time[0] i[0] urge[0] you[0] to[0] watch[0] it[0] and[0] decide[0] for[0] yourself[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
