logical time travel movies are a near-impossibility . 	Translation	Positive	Negative	EmotionRationale
considering that the skeptic's best argument against the possibility of time travel is the idea of altered realities , writing a script that deals with this problem is an imposing task . 	considering that the skeptic's best argument against the possibility of time travel is the idea of altered realities , writing a script that deals with this problem is an imposing task .	2	-2	 considering[0] that[0] the[0] skeptic's[-1] best[1] argument[-1] against[-1] the[0] possibility[0] of[0] time[0] travel[0] is[0] the[0] idea[0] of[0] altered[0] realities[0] writing[0] a[0] script[0] that[0] deals[0] with[0] this[0] problem[-1] is[0] an[0] imposing[0] task[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
occasionally , we get a film that does manage it . 	occasionally , we get a film that does manage it .	1	-1	 occasionally[0] we[0] get[0] a[0] film[0] that[0] does[0] manage[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
terry gilliam's " 12 monkeys " was one such film . 	terry gilliam's " 12 monkeys " was one such film .	1	-1	 terry[0] gilliam's[0] 12[0] monkeys[0] was[0] one[0] such[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but more frequently , we get films that don't much deal with it at all . 	but more frequently , we get films that don't much deal with it at all .	1	-1	 but[0] more[0] frequently[0] we[0] get[0] films[0] that[0] don't[0] much[0] deal[0] with[0] it[0] at[0] all[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there is one question to ask in this case : does the film have other virtues that override the existing logical inconsistencies ? 	there is one question to ask in this case : does the film have other virtues that override the existing logical inconsistencies ?	3	-2	 there[0] is[0] one[0] question[0] to[0] ask[0] in[0] this[0] case[0] does[0] the[0] film[0] have[0] other[0] virtues[2] that[0] override[0] the[0] existing[0] logical[0] inconsistencies[-1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the " terminator " films made up for them with exciting action , " back to the future " did it with an entertaining story , and the new film " frequency " pulls off the trick with a strong package of its own . 	the " terminator " films made up for them with exciting action , " back to the future " did it with an entertaining story , and the new film " frequency " pulls off the trick with a strong package of its own .	3	-2	 the[0] terminator[0] films[0] made[0] up[0] for[0] them[0] with[0] exciting[2] action[0] back[0] to[0] the[0] future[0] did[0] it[0] with[0] an[0] entertaining[0] story[0] and[0] the[0] new[0] film[0] frequency[0] pulls[0] off[0] the[0] trick[-1] with[0] a[0] strong[0] package[0] of[0] its[0] own[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
is " frequency " filled with plot holes ? 	is " frequency " filled with plot holes ?	1	-1	 is[0] frequency[0] filled[0] with[0] plot[0] holes[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
yes . 	yes .	1	-1	 yes[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
does it matter ? 	does it matter ?	1	-1	 does[0] it[0] matter[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
not really . 	not really .	1	-1	 not[0] really[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
