my filmcritic . com 	Translation	Positive	Negative	EmotionRationale
colleague norm schrager nailed session 9 , brad anderson's throwback to spooky horror films from the 70's . 	colleague norm schrager nailed session 9 , brad anderson's throwback to spooky horror films from the 70's .	1	-4	 colleague[0] norm[0] schrager[0] nailed[0] session[0] 9[0] brad[0] anderson's[0] throwback[0] to[0] spooky[0] horror[-3] films[0] from[0] the[0] 70's[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
it worked as an eerie homage without being self-referential or smugly postmodern . 	it worked as an eerie homage without being self-referential or smugly postmodern .	1	-2	 it[0] worked[0] as[0] an[0] eerie[0] homage[0] without[0] being[0] self[0] referential[0] or[0] smugly[-1] postmodern[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
genre aficionados will acknowledge the similarities in tone to stanley kubrick's the shining and george romero's dawn of the dead without being taken out of the engrossing narrative ( i . e . , a psychologically addled waste management team clears out an abandoned lunatic asylum ; unspeakable dread ensues ) . 	genre aficionados will acknowledge the similarities in tone to stanley kubrick's the shining and george romero's dawn of the dead without being taken out of the engrossing narrative ( i .<br> e .<br> , a psychologically addled waste management team clears out an abandoned lunatic asylum ; unspeakable dread ensues ) .	1	-4	 genre[0] aficionados[0] will[0] acknowledge[0] the[0] similarities[0] in[0] tone[0] to[0] stanley[0] kubrick's[0] the[0] shining[0] and[0] george[0] romero's[0] dawn[0] of[0] the[0] dead[-2] without[0] being[0] taken[0] out[0] of[0] the[0] engrossing[0] narrative[0] i[0] [[Sentence=-3,1=word max, 1-5]] e[0] [[Sentence=-1,1=word max, 1-5]] a[0] psychologically[0] addled[0] waste[-1] management[0] team[0] clears[0] out[0] an[0] abandoned[-1] lunatic[-1] asylum[0] unspeakable[-1] dread[-3] ensues[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
in a double-whammy for 2001 , anderson shoots and ( mostly ) scores again with his eclectic riff on time-travel episodes from the twilight zone , appropriately titled happy accidents . 	in a double-whammy for 2001 , anderson shoots and ( mostly ) scores again with his eclectic riff on time-travel episodes from the twilight zone , appropriately titled happy accidents .	2	-2	 in[0] a[0] double[0] whammy[0] for[0] 2001[0] anderson[0] shoots[-1] and[0] mostly[0] scores[0] again[0] with[0] his[0] eclectic[0] riff[0] on[0] time[0] travel[0] episodes[0] from[0] the[0] twilight[0] zone[0] appropriately[0] titled[0] happy[1] accidents[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
much like session 9 , the cards are played very close to the vest here . 	much like session 9 , the cards are played very close to the vest here .	2	-1	 much[0] like[1] session[0] 9[0] the[0] cards[0] are[0] played[0] very[0] close[0] to[0] the[0] vest[0] here[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
is boyish , eccentric " sam deed from dubuque , iowa " a futuristic voyager from the year 2470 or just your run-of-the-mill psychologically disturbed nutcase let loose on the present-day streets of nyc ? 	is boyish , eccentric " sam deed from dubuque , iowa " a futuristic voyager from the year 2470 or just your run-of-the-mill psychologically disturbed nutcase let loose on the present-day streets of nyc ?	1	-2	 is[0] boyish[0] eccentric[-1] sam[0] deed[0] from[0] dubuque[0] iowa[0] a[0] futuristic[0] voyager[0] from[0] the[0] year[0] 2470[0] or[0] just[0] your[0] run[0] of[0] the[0] mill[0] psychologically[0] disturbed[-1] nutcase[-1] let[0] loose[0] on[0] the[0] present[0] day[0] streets[0] of[0] nyc[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
as played by wonderful character actor vincent d'onofrio ( full metal jacket ) , it's up in the air whether or not we should accept his detailed monologues about life after the polar ice caps have melted . 	as played by wonderful character actor vincent d'onofrio ( full metal jacket ) , it's up in the air whether or not we should accept his detailed monologues about life after the polar ice caps have melted .	3	-1	 as[0] played[0] by[0] wonderful[2] character[0] actor[0] vincent[0] d'onofrio[0] full[0] metal[0] jacket[0] it's[0] up[0] in[0] the[0] air[0] whether[0] or[0] not[0] we[0] should[0] accept[0] his[0] detailed[0] monologues[0] about[0] life[0] after[0] the[0] polar[0] ice[0] caps[0] have[0] melted[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the question proves to be moot , at least for a time . 	the question proves to be moot , at least for a time .	1	-1	 the[0] question[0] proves[0] to[0] be[0] moot[0] at[0] least[0] for[0] a[0] time[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
even if the whole thing proves to be a creative delusion , one agrees with the character judgment passed down on him by his new girlfriend , ruby ( marisa tomei ) : " he's a freak , but he sure tells a good story ! " 	even if the whole thing proves to be a creative delusion , one agrees with the character judgment passed down on him by his new girlfriend , ruby ( marisa tomei ) : " he's a freak , but he sure tells a good story !<br> "	2	-2	 even[0] if[0] the[0] whole[0] thing[0] proves[0] to[0] be[0] a[0] creative[0] delusion[-1] one[0] agrees[0] with[0] the[0] character[0] judgment[0] passed[0] down[0] on[0] him[0] by[0] his[0] new[0] girlfriend[0] ruby[0] marisa[0] tomei[0] he's[0] a[0] freak[-1] but[0] he[0] sure[0] tells[0] a[0] good[1] story[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
neurotic ruby thinks she may have found true love after a series of nightmarish dating disasters ( the junkie , the fetishist , the artist , the frenchman , etc . ) , but isn't quite sure how to handle " sam deed " when he starts explaining the barcode on his arm , his elaborately constructed fake identity , his pathological fear of dogs , his ability to speak five different languages , and his mission to change a crucial moment in time that may have ramifications on time's alternate realities . 	neurotic ruby thinks she may have found true love after a series of nightmarish dating disasters ( the junkie , the fetishist , the artist , the frenchman , etc .<br> ) , but isn't quite sure how to handle " sam deed " when he starts explaining the barcode on his arm , his elaborately constructed fake identity , his pathological fear of dogs , his ability to speak five different languages , and his mission to change a crucial moment in time that may have ramifications on time's alternate realities .	3	-4	 neurotic[-2] ruby[0] thinks[0] she[0] may[0] have[0] found[0] true[1] love[2] after[0] a[0] series[0] of[0] nightmarish[0] dating[0] disasters[-1] the[0] junkie[0] the[0] fetishist[0] the[0] artist[0] the[0] frenchman[0] etc[0] [[Sentence=-3,3=word max, 1-5]] but[0] isn't[0] quite[0] sure[0] how[0] to[0] handle[0] sam[0] deed[0] when[0] he[0] starts[0] explaining[0] the[0] barcode[0] on[0] his[0] arm[0] his[0] elaborately[0] constructed[0] fake[-1] identity[0] his[0] pathological[0] fear[-3] of[0] dogs[0] his[0] ability[0] to[0] speak[0] five[0] different[0] languages[0] and[0] his[0] mission[0] to[0] change[0] a[0] crucial[0] moment[0] in[0] time[0] that[0] may[0] have[0] ramifications[0] on[0] time's[0] alternate[0] realities[0] [[Sentence=-4,1=word max, 1-5]][[[3,-4 max of sentences]]]
