you don't have to know poker to like " rounders , " but it might help . 	Translation	Positive	Negative	EmotionRationale
that a great deal of this sharp little drama is set in the back rooms of new york's cardshark underground astoundingly doesn't limit its accessibility , even for those who can't tell royal and straight flushes apart . 	that a great deal of this sharp little drama is set in the back rooms of new york's cardshark underground astoundingly doesn't limit its accessibility , even for those who can't tell royal and straight flushes apart .	3	-1	 that[0] a[0] great[2] deal[0] of[0] this[0] sharp[0] little[0] drama[0] is[0] set[0] in[0] the[0] back[0] rooms[0] of[0] new[0] york's[0] cardshark[0] underground[0] astoundingly[0] doesn't[0] limit[0] its[0] accessibility[0] even[0] for[0] those[0] who[0] can't[0] tell[0] royal[0] and[0] straight[0] flushes[0] apart[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
 " rounders " ' success , then , is owed to its proficient cast and intriguing portrayal of a world not many viewers will be familiar with . 	 " rounders " ' success , then , is owed to its proficient cast and intriguing portrayal of a world not many viewers will be familiar with .	3	-1	 rounders[0] '[0] success[2] then[0] is[0] owed[0] to[0] its[0] proficient[0] cast[0] and[0] intriguing[0] portrayal[0] of[0] a[0] world[0] not[0] many[0] viewers[0] will[0] be[0] familiar[0] with[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the dialogue may be filled with terms that only true players will grasp , but you don't have to speak the language to understand the words - a statement that pretty much sums up the effectiveness of the whole show . 	the dialogue may be filled with terms that only true players will grasp , but you don't have to speak the language to understand the words - a statement that pretty much sums up the effectiveness of the whole show .	3	-1	 the[0] dialogue[0] may[0] be[0] filled[0] with[0] terms[0] that[0] only[0] true[1] players[0] will[0] grasp[0] but[0] you[0] don't[0] have[0] to[0] speak[0] the[0] language[0] to[0] understand[0] the[0] words[0] a[0] statement[0] that[0] pretty[2] much[0] sums[0] up[0] the[0] effectiveness[0] of[0] the[0] whole[0] show[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
matt damon , fresh off his " good will hunting " hot streak , is perfect for the role of mike mcdermott , a young law student with a tremendous gift for gambling . 	matt damon , fresh off his " good will hunting " hot streak , is perfect for the role of mike mcdermott , a young law student with a tremendous gift for gambling .	2	-1	 matt[0] damon[0] fresh[0] off[0] his[0] good[1] will[0] hunting[0] hot[0] streak[0] is[0] perfect[1] for[0] the[0] role[0] of[0] mike[0] mcdermott[0] a[0] young[0] law[0] student[0] with[0] a[0] tremendous[0] gift[0] for[0] gambling[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
but after losing all of his tuition money in a killer high-stakes match with russian poker aficionado teddy kgb ( john malkovich , deliciously hammy ) , he shifts his focus to scholarly matters , leaving his true area of expertise far , far behind . 	but after losing all of his tuition money in a killer high-stakes match with russian poker aficionado teddy kgb ( john malkovich , deliciously hammy ) , he shifts his focus to scholarly matters , leaving his true area of expertise far , far behind .	3	-3	 but[0] after[0] losing[-2] all[0] of[0] his[0] tuition[0] money[0] in[0] a[0] killer[-1] high[0] stakes[0] match[0] with[0] russian[0] poker[0] aficionado[0] teddy[0] kgb[0] john[0] malkovich[0] deliciously[2] hammy[0] he[0] shifts[0] his[0] focus[0] to[0] scholarly[0] matters[0] leaving[0] his[0] true[1] area[0] of[0] expertise[0] far[0] far[0] behind[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
things change , however , when mike's old buddy worm ( edward norton ) re-enters his life - it seems worm , just out of jail , owes a hefty sum to nasty thugs , and is counting on his friend's superlative skills to help him pay off the debt . 	things change , however , when mike's old buddy worm ( edward norton ) re-enters his life - it seems worm , just out of jail , owes a hefty sum to nasty thugs , and is counting on his friend's superlative skills to help him pay off the debt .	4	-3	 things[0] change[0] however[0] when[0] mike's[0] old[0] buddy[0] worm[0] edward[0] norton[0] re[0] enters[0] his[0] life[0] it[0] seems[0] worm[0] just[0] out[0] of[0] jail[-1] owes[0] a[0] hefty[0] sum[0] to[0] nasty[-2] thugs[0] and[0] is[0] counting[0] on[0] his[0] friend's[1] superlative[3] skills[0] to[0] help[0] him[0] pay[0] off[0] the[0] debt[0] [[Sentence=-3,4=word max, 1-5]][[[4,-3 max of sentences]]]
that " rounders " ' story quickly molds itself into a conventional , predictable tale of redemption doesn't hinder its potency . 	that " rounders " ' story quickly molds itself into a conventional , predictable tale of redemption doesn't hinder its potency .	1	-2	 that[0] rounders[0] '[0] story[0] quickly[0] molds[0] itself[0] into[0] a[0] conventional[0] predictable[0] tale[0] of[0] redemption[0] doesn't[0] hinder[-1] its[0] potency[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
director john dahl , infamous for his neo-noirs " red rock west " and " the last seduction , " gets extremely convincing mileage out of the been-there , done-that plot mechanics by trumping up the relationship between mike and worm . 	director john dahl , infamous for his neo-noirs " red rock west " and " the last seduction , " gets extremely convincing mileage out of the been-there , done-that plot mechanics by trumping up the relationship between mike and worm .	2	-2	 director[0] john[0] dahl[0] infamous[-1] for[0] his[0] neo[0] noirs[0] red[0] rock[1] west[0] and[0] the[0] last[0] seduction[0] gets[0] extremely[0] convincing[0] mileage[0] out[0] of[0] the[0] been[0] there[0] done[0] that[0] plot[0] mechanics[0] by[0] trumping[0] up[0] the[0] relationship[0] between[0] mike[0] and[0] worm[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
damon and norton bring so much to their roles that they'd be worth catching even if " rounders " ultimately folded , but the movie ups its fascinating ante by contrasting their wildly different ways of winning . 	damon and norton bring so much to their roles that they'd be worth catching even if " rounders " ultimately folded , but the movie ups its fascinating ante by contrasting their wildly different ways of winning .	2	-1	 damon[0] and[0] norton[0] bring[0] so[0] much[0] to[0] their[0] roles[0] that[0] they'd[0] be[0] worth[0] catching[0] even[0] if[0] rounders[0] ultimately[0] folded[0] but[0] the[0] movie[0] ups[0] its[0] fascinating[0] ante[0] by[0] contrasting[0] their[0] wildly[0] different[0] ways[0] of[0] winning[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
any sequence where the two men sit at the table together is an unarguable highlight . 	any sequence where the two men sit at the table together is an unarguable highlight .	1	-1	 any[0] sequence[0] where[0] the[0] two[0] men[0] sit[0] at[0] the[0] table[0] together[0] is[0] an[0] unarguable[0] highlight[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
