i remember making a pact , right after `patch adams' , to not be easily be suckered by movies dripping with sentimentality . 	Translation	Positive	Negative	EmotionRationale
but darn it ,  music of the heart' is just layered with feel-good material and bright characterizations . 	but darn it ,  music of the heart' is just layered with feel-good material and bright characterizations .	2	-2	 but[0] darn[-1] it[0] music[0] of[0] the[0] heart'[0] is[0] just[0] layered[0] with[0] feel[0] good[1] material[0] and[0] bright[0] characterizations[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
it's hard to dislike a movie that uses such skill with it's manipulation . 	it's hard to dislike a movie that uses such skill with it's manipulation .	1	-3	 it's[0] hard[0] to[0] dislike[-2] a[0] movie[0] that[0] uses[0] such[0] skill[0] with[0] it's[0] manipulation[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
in addition , it's also a terrific family film . 	in addition , it's also a terrific family film .	4	-1	 in[0] addition[0] it's[0] also[0] a[0] terrific[3] family[0] film[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
this is the true story of violin teacher roberta guaspari , who fought the school board to keep the musical program active in a handful of inner city harlem schools . 	this is the true story of violin teacher roberta guaspari , who fought the school board to keep the musical program active in a handful of inner city harlem schools .	2	-3	 this[0] is[0] the[0] true[1] story[0] of[0] violin[0] teacher[0] roberta[0] guaspari[0] who[0] fought[-2] the[0] school[0] board[0] to[0] keep[0] the[0] musical[0] program[0] active[0] in[0] a[0] handful[0] of[0] inner[0] city[0] harlem[0] schools[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
it could also be described as  mrs . 	it could also be described as  mrs .	1	-1	 it[0] could[0] also[0] be[0] described[0] as[0] mrs[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
streep's opus' . 	streep's opus' .	1	-1	 streep's[0] opus'[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
yes , meryl streep brings her dramatic clout to the demanding role of guaspari , and that brings both good news and bad . 	yes , meryl streep brings her dramatic clout to the demanding role of guaspari , and that brings both good news and bad .	2	-2	 yes[0] meryl[0] streep[0] brings[0] her[0] dramatic[0] clout[0] to[0] the[0] demanding[0] role[0] of[0] guaspari[0] and[0] that[0] brings[0] both[0] good[1] news[0] and[0] bad[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
out of the gate , possibly because of her distracting star power and the rushed writing , it is relatively difficult to identify with roberta's character and grasp her academic point-of-view . 	out of the gate , possibly because of her distracting star power and the rushed writing , it is relatively difficult to identify with roberta's character and grasp her academic point-of-view .	1	-2	 out[0] of[0] the[0] gate[0] possibly[0] because[0] of[0] her[0] distracting[-1] star[0] power[0] and[0] the[0] rushed[0] writing[0] it[0] is[0] relatively[0] difficult[-1] to[0] identify[0] with[0] roberta's[0] character[0] and[0] grasp[0] her[0] academic[0] point[0] of[0] view[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
she is very strict with her students , but what insight does that create into the story ? 	she is very strict with her students , but what insight does that create into the story ?	1	-3	 she[0] is[0] very[0] strict[-1][-1 LastWordBoosterStrength] with[0] her[0] students[0] but[0] what[0] insight[0] does[0] that[0] create[0] into[0] the[0] story[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
slowly but surely , we begin to recognize the intentions of the character , and show admiration for the thoughtfulness and human feeling that streep has once again applied . 	slowly but surely , we begin to recognize the intentions of the character , and show admiration for the thoughtfulness and human feeling that streep has once again applied .	3	-1	 slowly[0] but[0] surely[0] we[0] begin[0] to[0] recognize[0] the[0] intentions[0] of[0] the[0] character[0] and[0] show[0] admiration[2] for[0] the[0] thoughtfulness[1] and[0] human[0] feeling[0] that[0] streep[0] has[0] once[0] again[0] applied[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
