the summer movie season is always the biggest and brightest season for movies throughout the year . 	Translation	Positive	Negative	EmotionRationale
we are introduced to blockbuster hits that are usually trashed by critics , loved by the people , and make tons of money at the box office . 	we are introduced to blockbuster hits that are usually trashed by critics , loved by the people , and make tons of money at the box office .	4	-2	 we[0] are[0] introduced[0] to[0] blockbuster[-1] hits[0] that[0] are[0] usually[0] trashed[-1] by[0] critics[0] loved[3] by[0] the[0] people[0] and[0] make[0] tons[0] of[0] money[0] at[0] the[0] box[0] office[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
this year , the tradition continues with an update on the universal 1932 classic , the mummy . 	this year , the tradition continues with an update on the universal 1932 classic , the mummy .	1	-1	 this[0] year[0] the[0] tradition[0] continues[0] with[0] an[0] update[0] on[0] the[0] universal[0] 1932[0] classic[0] the[0] mummy[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i have always been a sucker for this kind of monster movies , and i always seem to be the only critic who really likes them . 	i have always been a sucker for this kind of monster movies , and i always seem to be the only critic who really likes them .	4	-2	 i[0] have[0] always[0] been[0] a[0] sucker[-1] for[0] this[0] kind[1] of[0] monster[-1] movies[0] and[0] i[0] always[0] seem[0] to[0] be[0] the[0] only[0] critic[-1] who[0] really[0] likes[2][1 LastWordBoosterStrength] them[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
that tradition continues as well with this fun special effects extravaganza . 	that tradition continues as well with this fun special effects extravaganza .	2	-1	 that[0] tradition[0] continues[0] as[0] well[0] with[0] this[0] fun[1] special[1] effects[0] extravaganza[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
in the mummy , the up and coming brendan fraser stars as the adventurous explorer rick o'connell . 	in the mummy , the up and coming brendan fraser stars as the adventurous explorer rick o'connell .	1	-1	 in[0] the[0] mummy[0] the[0] up[0] and[0] coming[0] brendan[0] fraser[0] stars[0] as[0] the[0] adventurous[0] explorer[0] rick[0] o'connell[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he teams up with a curious , clumsy librarian named evelyn , played by rachel weisz , to find the mysterious city of the dead , hamunaptra . 	he teams up with a curious , clumsy librarian named evelyn , played by rachel weisz , to find the mysterious city of the dead , hamunaptra .	1	-3	 he[0] teams[0] up[0] with[0] a[0] curious[0] clumsy[-1] librarian[0] named[0] evelyn[0] played[0] by[0] rachel[0] weisz[0] to[0] find[0] the[0] mysterious[0] city[0] of[0] the[0] dead[-2] hamunaptra[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
evelyn loves egypt , and would truly like to visit the city that people call a fable . 	evelyn loves egypt , and would truly like to visit the city that people call a fable .	3	-1	 evelyn[0] loves[2] egypt[0] and[0] would[0] truly[1][-1 LastWordBoosterStrength] like[1] to[0] visit[0] the[0] city[0] that[0] people[0] call[0] a[0] fable[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
rick has claimed he has been to hamunaptra during a battle , and that's why she chose him to lead her there . 	rick has claimed he has been to hamunaptra during a battle , and that's why she chose him to lead her there .	1	-2	 rick[0] has[0] claimed[0] he[0] has[0] been[0] to[0] hamunaptra[0] during[0] a[0] battle[-1] and[0] that's[0] why[0] she[0] chose[0] him[0] to[0] lead[0] her[0] there[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
also tagging along on the journey to the city of the dead is evelyn's brother , jonathan , played by john hannah ( sliding doors ) . 	also tagging along on the journey to the city of the dead is evelyn's brother , jonathan , played by john hannah ( sliding doors ) .	1	-3	 also[0] tagging[0] along[0] on[0] the[0] journey[0] to[0] the[0] city[0] of[0] the[0] dead[-2] is[0] evelyn's[0] brother[0] jonathan[0] played[0] by[0] john[0] hannah[0] sliding[0] doors[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
now in hamunaptra , the three uncover " the book of the dead . " 	now in hamunaptra , the three uncover " the book of the dead .<br> "	1	-3	 now[0] in[0] hamunaptra[0] the[0] three[0] uncover[0] the[0] book[0] of[0] the[0] dead[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
