cinematically speaking , gordon parks' original 1971 _shaft_ is not a great film . 	Translation	Positive	Negative	EmotionRationale
a bit slow at times and more than a little rough around the edges as it builds to its climactic explosion of violent action , this spirited but formulaic yarn that initially brought ernest tidyman's " black private dick that's a sex machine to all the chicks " to the big screen hardly qualifies as groundbreaking filmmaking . 	a bit slow at times and more than a little rough around the edges as it builds to its climactic explosion of violent action , this spirited but formulaic yarn that initially brought ernest tidyman's " black private dick that's a sex machine to all the chicks " to the big screen hardly qualifies as groundbreaking filmmaking .	1	-3	 a[0] bit[0] slow[0] at[0] times[0] and[0] more[0] than[0] a[0] little[0] rough[-1] around[0] the[0] edges[0] as[0] it[0] builds[0] to[0] its[0] climactic[0] explosion[-1] of[0] violent[-2] action[0] this[0] spirited[0] but[0] formulaic[0] yarn[0] that[0] initially[0] brought[0] ernest[0] tidyman's[0] black[0] private[0] dick[0] that's[0] a[0] sex[0] machine[0] to[0] all[0] the[0] chicks[0] to[0] the[0] big[0] screen[0] hardly[0] qualifies[0] as[0] groundbreaking[0] filmmaking[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
yet nearly 30 years after its original release--and long after the genre it spawned , " blaxploitation , " died with that decade--the 1971 _shaft_ remains an extremely entertaining watch , never having completely escaped pop culture consciousness . 	yet nearly 30 years after its original release-and long after the genre it spawned , " blaxploitation , " died with that decade-the 1971 _shaft_ remains an extremely entertaining watch , never having completely escaped pop culture consciousness .	1	-1	 yet[0] nearly[0] 30[0] years[0] after[0] its[0] original[0] release[0] and[0] long[0] after[0] the[0] genre[0] it[0] spawned[0] blaxploitation[0] died[0] with[0] that[0] decade[0] the[0] 1971[0] _shaft_[0] remains[0] an[0] extremely[0] entertaining[0] watch[0] never[0] having[0] completely[0] escaped[0] pop[0] culture[0] consciousness[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the reason for this is the same one that explains the film's connection with moviegoers far beyond the target african-american audience : the title character of john shaft . 	the reason for this is the same one that explains the film's connection with moviegoers far beyond the target african-american audience : the title character of john shaft .	1	-1	 the[0] reason[0] for[0] this[0] is[0] the[0] same[0] one[0] that[0] explains[0] the[0] film's[0] connection[0] with[0] moviegoers[0] far[0] beyond[0] the[0] target[0] african[0] american[0] audience[0] the[0] title[0] character[0] of[0] john[0] shaft[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
while the fact that the strong , smart , virile , and superbly suave shaft is black is the primary factor for his historical and cultural significance , his broad-based appeal stems from an idea that transcends race : he is comfortable , confident , and proud about who he is , and anyone who had a problem with that could simply kiss his ass . 	while the fact that the strong , smart , virile , and superbly suave shaft is black is the primary factor for his historical and cultural significance , his broad-based appeal stems from an idea that transcends race : he is comfortable , confident , and proud about who he is , and anyone who had a problem with that could simply kiss his ass .	3	-2	 while[0] the[0] fact[0] that[0] the[0] strong[0] smart[1] virile[0] and[0] superbly[0] suave[0] shaft[0] is[0] black[0] is[0] the[0] primary[0] factor[0] for[0] his[0] historical[0] and[0] cultural[0] significance[0] his[0] broad[0] based[0] appeal[0] stems[0] from[0] an[0] idea[0] that[0] transcends[0] race[0] he[0] is[0] comfortable[1] confident[1] and[0] proud[1] about[0] who[0] he[0] is[0] and[0] anyone[0] who[0] had[0] a[0] problem[-1] with[0] that[0] could[0] simply[0] kiss[2] his[0] ass[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
this fact also explains why john singleton's y2g revival of john shaft is as enjoyable as it is . 	this fact also explains why john singleton's y2g revival of john shaft is as enjoyable as it is .	3	-1	 this[0] fact[0] also[0] explains[0] why[0] john[0] singleton's[0] y2g[0] revival[0] of[0] john[0] shaft[0] is[0] as[0] enjoyable[2] as[0] it[0] is[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
much like the film that started the franchise , this _shaft_'s plot doesn't score points in the originality department , but the energy level and smooth attitude distinguishes it from standard crime thrillers . 	much like the film that started the franchise , this _shaft_'s plot doesn't score points in the originality department , but the energy level and smooth attitude distinguishes it from standard crime thrillers .	2	-2	 much[0] like[1] the[0] film[0] that[0] started[0] the[0] franchise[0] this[0] _shaft_'s[0] plot[0] doesn't[0] score[0] points[0] in[0] the[0] originality[0] department[0] but[0] the[0] energy[0] level[0] and[0] smooth[0] attitude[0] distinguishes[0] it[0] from[0] standard[0] crime[-1] thrillers[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
contrary to what has been reported over the past few months , this _shaft_ is not a remake of the original film , but more of a sequel/spinoff . 	contrary to what has been reported over the past few months , this _shaft_ is not a remake of the original film , but more of a sequel/spinoff .	1	-2	 contrary[-1] to[0] what[0] has[0] been[0] reported[0] over[0] the[0] past[0] few[0] months[0] this[0] _shaft_[0] is[0] not[0] a[0] remake[0] of[0] the[0] original[0] film[0] but[0] more[0] of[0] a[0] sequel/spinoff[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the star audiences know and love from the original film and its first two sequels ( 1972's _shaft's_big_score ! _ and 1973's _shaft_in_africa_ ) , richard roundtree , once again plays john shaft , who still runs a private investigation firm in new york city . 	the star audiences know and love from the original film and its first two sequels ( 1972's _shaft's_big_score !<br> _ and 1973's _shaft_in_africa_ ) , richard roundtree , once again plays john shaft , who still runs a private investigation firm in new york city .	3	-1	 the[0] star[0] audiences[0] know[0] and[0] love[2] from[0] the[0] original[0] film[0] and[0] its[0] first[0] two[0] sequels[0] 1972's[0] _shaft's_big_score[0] [[Sentence=-1,3=word max, 1-5]] _[0] and[0] 1973's[0] _shaft_in_africa_[0] richard[0] roundtree[0] once[0] again[0] plays[1] john[0] shaft[0] who[0] still[0] runs[0] a[0] private[0] investigation[0] firm[0] in[0] new[0] york[0] city[0] [[Sentence=-1,2=word max, 1-5]][[[3,-1 max of sentences]]]
however , the focus of the film lies on his same-named nephew ( samuel l . jackson ) , who , as the film begins , is a cop whose take-no-crap demeanor constantly leaves him at odds with his superiors . 	however , the focus of the film lies on his same-named nephew ( samuel l .<br> jackson ) , who , as the film begins , is a cop whose take-no-crap demeanor constantly leaves him at odds with his superiors .	1	-3	 however[0] the[0] focus[0] of[0] the[0] film[0] lies[-2] on[0] his[0] same[0] named[0] nephew[0] samuel[0] l[0] [[Sentence=-3,1=word max, 1-5]] jackson[0] who[0] as[0] the[0] film[0] begins[0] is[0] a[0] cop[0] whose[0] take[0] no[0] crap[-2] demeanor[0] constantly[0] leaves[0] him[0] at[0] odds[0] with[0] his[0] superiors[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
when a privileged young man named walter wade jr . ( christian bale ) accused of a brutal , racially-motivated murder is allowed to be released on bail , a disgusted shaft leaves the force and decides to take matters into his own hands as a p . i . 	when a privileged young man named walter wade jr .<br> ( christian bale ) accused of a brutal , racially-motivated murder is allowed to be released on bail , a disgusted shaft leaves the force and decides to take matters into his own hands as a p .<br> i .	2	-4	 when[0] a[0] privileged[1] young[0] man[0] named[0] walter[0] wade[0] jr[0] [[Sentence=-1,2=word max, 1-5]] christian[0] bale[0] accused[-1] of[0] a[0] brutal[-2] racially[0] motivated[0] murder[-3] is[0] allowed[0] to[0] be[0] released[0] on[0] bail[-1] a[0] disgusted[-3] shaft[0] leaves[0] the[0] force[-1] and[0] decides[0] to[0] take[0] matters[0] into[0] his[0] own[0] hands[0] as[0] a[0] p[0] [[Sentence=-4,1=word max, 1-5]] i[0] [[Sentence=-1,1=word max, 1-5]][[[2,-4 max of sentences]]]
but that's easier said than done , for also standing in the way of shaft and his way of justice is peoples hernandez ( jeffrey wright ) , a dominican gangster who is hired by walter to rub out waitress diane palmieri ( toni collette ) , the only eyewitness to his crime . 	but that's easier said than done , for also standing in the way of shaft and his way of justice is peoples hernandez ( jeffrey wright ) , a dominican gangster who is hired by walter to rub out waitress diane palmieri ( toni collette ) , the only eyewitness to his crime .	1	-2	 but[0] that's[0] easier[0] said[0] than[0] done[0] for[0] also[0] standing[0] in[0] the[0] way[0] of[0] shaft[0] and[0] his[0] way[0] of[0] justice[0] is[0] peoples[0] hernandez[0] jeffrey[0] wright[0] a[0] dominican[0] gangster[0] who[0] is[0] hired[0] by[0] walter[0] to[0] rub[0] out[0] waitress[0] diane[0] palmieri[0] toni[0] collette[0] the[0] only[0] eyewitness[0] to[0] his[0] crime[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
peoples--or , rather , wright is also the big obstacle in jackson's way toward commanding this film . 	peoples-or , rather , wright is also the big obstacle in jackson's way toward commanding this film .	1	-2	 peoples[0] or[0] rather[0] wright[0] is[0] also[0] the[0] big[0] obstacle[-1] in[0] jackson's[0] way[0] toward[0] commanding[0] this[0] film[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
peoples is more of an outrageous comic character for most of the running time , and wright is insanely funny during these stages . 	peoples is more of an outrageous comic character for most of the running time , and wright is insanely funny during these stages .	2	-3	 peoples[0] is[0] more[0] of[0] an[0] outrageous[-2] comic[0] character[0] for[0] most[0] of[0] the[0] running[0] time[0] and[0] wright[0] is[0] insanely[0] funny[1] during[0] these[0] stages[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
however , he isn't so funny as to make the character come off as goofy and buffoonish , and peoples' eventual turn to more serious villainy is seamless and believable ( which probably would not have been the case had he been played by original casting choice john leguizamo , who bowed out before filming ) . 	however , he isn't so funny as to make the character come off as goofy and buffoonish , and peoples' eventual turn to more serious villainy is seamless and believable ( which probably would not have been the case had he been played by original casting choice john leguizamo , who bowed out before filming ) .	1	-3	 however[0] he[0] isn't[0] so[0] funny[1][NegatedDueToPreviousWord] as[0] to[0] make[0] the[0] character[0] come[0] off[0] as[0] goofy[0] and[0] buffoonish[-1] and[0] peoples'[0] eventual[0] turn[0] to[0] more[0] serious[-1] villainy[-2] is[0] seamless[0] and[0] believable[0] which[0] probably[0] would[0] not[0] have[0] been[0] the[0] case[0] had[0] he[0] been[0] played[0] by[0] original[0] casting[0] choice[0] john[0] leguizamo[0] who[0] bowed[0] out[0] before[0] filming[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
it's no easy task to steal a film from the jackson ( who is his usual captivating , charismatic self here ) , but that's exactly what wright does--and makes it seem effortless . 	it's no easy task to steal a film from the jackson ( who is his usual captivating , charismatic self here ) , but that's exactly what wright does-and makes it seem effortless .	1	-3	 it's[0] no[0] easy[0] task[0] to[0] steal[-2] a[0] film[0] from[0] the[0] jackson[0] who[0] is[0] his[0] usual[0] captivating[0] charismatic[0] self[0] here[0] but[0] that's[0] exactly[0] what[0] wright[0] does[0] and[0] makes[0] it[0] seem[0] effortless[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
then again , with such a talented ensemble surrounding him , it is not too surprising that jackson's impressive star turn doesn't quite tower over the rest ; he is strongly complemented not only by wright but all his other co-stars . 	then again , with such a talented ensemble surrounding him , it is not too surprising that jackson's impressive star turn doesn't quite tower over the rest ; he is strongly complemented not only by wright but all his other co-stars .	2	-1	 then[0] again[0] with[0] such[0] a[0] talented[1] ensemble[0] surrounding[0] him[0] it[0] is[0] not[0] too[0] surprising[0] that[0] jackson's[0] impressive[1] star[0] turn[0] doesn't[0] quite[0] tower[0] over[0] the[0] rest[0] he[0] is[0] strongly[0] complemented[0] not[0] only[0] by[0] wright[0] but[0] all[0] his[0] other[0] co[0] stars[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
bale has already proven his ability to play an uppity killer in _american_psycho_ , so it only follows that his performance as a similar , less exaggerated character would be spot-on . 	bale has already proven his ability to play an uppity killer in _american_psycho_ , so it only follows that his performance as a similar , less exaggerated character would be spot-on .	1	-2	 bale[0] has[0] already[0] proven[0] his[0] ability[0] to[0] play[0] an[0] uppity[0] killer[-1] in[0] _american_psycho_[0] so[0] it[0] only[0] follows[0] that[0] his[0] performance[0] as[0] a[0] similar[0] less[0] exaggerated[-1] character[0] would[0] be[0] spot[0] on[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
collette lends the film some convincing and welcome dramatic weight as the frightened , conflicted diane . 	collette lends the film some convincing and welcome dramatic weight as the frightened , conflicted diane .	2	-4	 collette[0] lends[0] the[0] film[0] some[0] convincing[0] and[0] welcome[1] dramatic[0] weight[0] as[0] the[0] frightened[-3] conflicted[-1] diane[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
busta rhymes brings some good laughs as shaft's sidekick rasaan . 	busta rhymes brings some good laughs as shaft's sidekick rasan .	2	-1	 busta[0] rhymes[0] brings[0] some[0] good[1][-1 LastWordBoosterStrength] laughs[1] as[0] shaft's[0] sidekick[0] rasaan/rasan[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
registering not as strongly--but through no fault of their own--are vanessa williams ( as tough narcotics cop carmen vasquez ) and a dismayingly underused roundtree ; they simply are given little to do in the script credited to richard price , singleton , and shane salerno . 	registering not as strongly-but through no fault of their own-are vanessa williams ( as tough narcotics cop carmen vasquez ) and a dismayingly underused roundtree ; they simply are given little to do in the script credited to richard price , singleton , and shane salerno .	1	-3	 registering[0] not[0] as[0] strongly[0] but[0] through[0] no[0] fault[-1] of[0] their[0] own[0] are[0] vanessa[0] williams[0] as[0] tough[-1] narcotics[0] cop[0] carmen[0] vasquez[0] and[0] a[0] dismayingly[-2] underused[0] roundtree[0] they[0] simply[0] are[0] given[0] little[0] to[0] do[0] in[0] the[0] script[0] credited[0] to[0] richard[0] price[0] singleton[0] and[0] shane[0] salerno[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
 ( jackson also has little to " do " in a sense ; some throwaway footage during the opening credits aside , his shaft doesn't even have one sex scene . ) 	 ( jackson also has little to " do " in a sense ; some throwaway footage during the opening credits aside , his shaft doesn't even have one sex scene .<br> )	1	-1	 jackson[0] also[0] has[0] little[0] to[0] do[0] in[0] a[0] sense[0] some[0] throwaway[0] footage[0] during[0] the[0] opening[0] credits[0] aside[0] his[0] shaft[0] doesn't[0] even[0] have[0] one[0] sex[0] scene[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
