underrated movies are a common reoccurrence in show business today . 	Translation	Positive	Negative	EmotionRationale
1998's 'hope floats' was extremely underrated and was one of the best movies of the year . 	1998's 'hope floats' was extremely underrated and was one of the best movies of the year .	2	-1	 1998's[0] 'hope[0] floats'[0] was[0] extremely[0] underrated[0] and[0] was[0] one[0] of[0] the[0] best[1] movies[0] of[0] the[0] year[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
we always get films that make big money at the box-office but critics and audiences pan on them . 	we always get films that make big money at the box-office but critics and audiences pan on them .	1	-1	 we[0] always[0] get[0] films[0] that[0] make[0] big[0] money[0] at[0] the[0] box[0] office[0] but[0] critics[0] and[0] audiences[0] pan[0] on[0] them[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this year 'double jeopardy' is one of those films . 	this year 'double jeopardy' is one of those films .	1	-1	 this[0] year[0] 'double[0] jeopardy'[0] is[0] one[0] of[0] those[0] films[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
critics are calling it predictable and worthless , audiences are disappointed with it and think it was a disappointment . 	critics are calling it predictable and worthless , audiences are disappointed with it and think it was a disappointment .	1	-3	 critics[0] are[0] calling[0] it[0] predictable[0] and[0] worthless[-2] audiences[0] are[0] disappointed[-1] with[0] it[0] and[0] think[0] it[0] was[0] a[0] disappointment[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
but as i viewed 'double jeopardy' i found that it was a great movie , it has a surprising sense of humor and a big dose of heart , along with heart-pounding suspense and twists and turns here and there it certainly is a really good movie . 	but as i viewed 'double jeopardy' i found that it was a great movie , it has a surprising sense of humor and a big dose of heart , along with heart-pounding suspense and twists and turns here and there it certainly is a really good movie .	3	-1	 but[0] as[0] i[0] viewed[0] 'double[0] jeopardy'[0] i[0] found[0] that[0] it[0] was[0] a[0] great[2] movie[0] it[0] has[0] a[0] surprising[0] sense[0] of[0] humor[2] and[0] a[0] big[0] dose[0] of[0] heart[0] along[0] with[0] heart[0] pounding[0] suspense[0] and[0] twists[0] and[0] turns[0] here[0] and[0] there[0] it[0] certainly[0] is[0] a[0] really[0] good[1][1 LastWordBoosterStrength] movie[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the always wonderful ashley judd plays libby parsons , a woman with a seemingly normal life : a great loving husband , a beautiful son and a great friend . 	the always wonderful ashley judd plays libby parsons , a woman with a seemingly normal life : a great loving husband , a beautiful son and a great friend .	5	-1	 the[0] always[0] wonderful[2] ashley[0] judd[0] plays[1] libby[0] parsons[0] a[0] woman[0] with[0] a[0] seemingly[0] normal[0] life[0] a[0] great[2] loving[3][+1 MultiplePositiveWords] husband[0] a[0] beautiful[2] son[0] and[0] a[0] great[2] friend[1] [[Sentence=-1,5=word max, 1-5]][[[5,-1 max of sentences]]]
her husband nick parsons has made a surprise for her and is going to buy her the sailboat she has always wanted . 	her husband nick parsons has made a surprise for her and is going to buy her the sailboat she has always wanted .	1	-1	 her[0] husband[0] nick[0] parsons[0] has[0] made[0] a[0] surprise[0] for[0] her[0] and[0] is[0] going[0] to[0] buy[0] her[0] the[0] sailboat[0] she[0] has[0] always[0] wanted[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
after a night of bliss libby wakes up in the middle of the night to find blood all over her and all over the sailboat , her husband is missing and there is a bloody knife on deck . 	after a night of bliss libby wakes up in the middle of the night to find blood all over her and all over the sailboat , her husband is missing and there is a bloody knife on deck .	5	-2	 after[0] a[0] night[0] of[0] bliss[4] libby[0] wakes[0] up[0] in[0] the[0] middle[0] of[0] the[0] night[0] to[0] find[0] blood[0] all[0] over[0] her[0] and[0] all[0] over[0] the[0] sailboat[0] her[0] husband[0] is[0] missing[0] and[0] there[0] is[0] a[0] bloody[-1] knife[-1] on[0] deck[0] [[Sentence=-2,5=word max, 1-5]][[[5,-2 max of sentences]]]
of course being in shock she picks it up and a coast guard comes over and sees her . 	of course being in shock she picks it up and a coast guard comes over and sees her .	1	-3	 of[0] course[0] being[0] in[0] shock[-2] she[0] picks[0] it[0] up[0] and[0] a[0] coast[0] guard[0] comes[0] over[0] and[0] sees[0] her[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
however she isn't immediately ceased until they find out his life insurance was worth two-million dollars and they start to wonder rather she killed him for the money . 	however she isn't immediately ceased until they find out his life insurance was worth two-million dollars and they start to wonder rather she killed him for the money .	1	-4	 however[0] she[0] isn't[0] immediately[0] ceased[0] until[0] they[0] find[0] out[0] his[0] life[0] insurance[0] was[0] worth[0] two[0] million[0] dollars[0] and[0] they[0] start[0] to[0] wonder[0] rather[0] she[0] killed[-3] him[0] for[0] the[0] money[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
