contact is a film that tries to do several different things . 	Translation	Positive	Negative	EmotionRationale
it is intended to present a realistic picture of what alien contact might be like , to restore a sense of wonder and mystery to the issue of extraterrestrial life , to raise questions about science and faith and how they would be relevant in such a situation , and to tell a personal story of a romance between the astronomer dr . ellie arroway ( jodie foster ) and the religious spokesman palmer joss ( matthew mcconaughey ) . 	it is intended to present a realistic picture of what alien contact might be like , to restore a sense of wonder and mystery to the issue of extraterrestrial life , to raise questions about science and faith and how they would be relevant in such a situation , and to tell a personal story of a romance between the astronomer dr .<br> ellie arroway ( jodie foster ) and the religious spokesman palmer joss ( matthew mcconaughey ) .	4	-2	 it[0] is[0] intended[0] to[0] present[0] a[0] realistic[0] picture[0] of[0] what[0] alien[-1] contact[0] might[0] be[0] like[1] to[0] restore[0] a[0] sense[0] of[0] wonder[0] and[0] mystery[0] to[0] the[0] issue[0] of[0] extraterrestrial[0] life[0] to[0] raise[0] questions[0] about[0] science[0] and[0] faith[1] and[0] how[0] they[0] would[0] be[0] relevant[0] in[0] such[0] a[0] situation[0] and[0] to[0] tell[0] a[0] personal[0] story[0] of[0] a[0] romance[3] between[0] the[0] astronomer[0] dr[0] [[Sentence=-2,4=word max, 1-5]] ellie[0] arroway[0] jodie[0] foster[0] and[0] the[0] religious[0] spokesman[0] palmer[0] joss[0] matthew[0] mcconaughey[0] [[Sentence=-1,1=word max, 1-5]][[[4,-2 max of sentences]]]
the film succeeds wonderfully at its first two goals . 	the film succeeds wonderfully at its first two goals .	4	-1	 the[0] film[0] succeeds[2] wonderfully[2][+1 MultiplePositiveWords] at[0] its[0] first[0] two[0] goals[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
the portrayal of the communication from an alien world is much more reasonable ( albeit less immediately engaging ) than , say , the cold-blooded destructiveness of the invaders in independence day or even the complex process of abductions and genetic hybridization that forms the ongoing plot line of tv's the x-files . 	the portrayal of the communication from an alien world is much more reasonable ( albeit less immediately engaging ) than , say , the cold-blooded destructiveness of the invaders in independence day or even the complex process of abductions and genetic hybridization that forms the ongoing plot line of tv's the x-files .	2	-2	 the[0] portrayal[0] of[0] the[0] communication[0] from[0] an[0] alien[-1] world[0] is[0] much[0] more[0] reasonable[0] albeit[0] less[0] immediately[0] engaging[0] than[0] say[0] the[0] cold[-1] blooded[0] destructiveness[0] of[0] the[0] invaders[-1] in[0] independence[0] day[0] or[0] even[0] the[0] complex[0] process[0] of[0] abductions[0] and[0] genetic[0] hybridization[0] that[0] forms[0] the[0] ongoing[0] plot[0] line[0] of[0] tv's[0] the[0] x[1] files[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the aliens in contact seem to be like us-they are more curious than anything else . 	the aliens in contact seem to be like us-they are more curious than anything else .	2	-1	 the[0] aliens[0] in[0] contact[0] seem[0] to[0] be[0] like[1] us[0] they[0] are[0] more[0] curious[0] than[0] anything[0] else[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
they know we exist , they want us to know that they exist , and they would like to make the next step and communicate in person . 	they know we exist , they want us to know that they exist , and they would like to make the next step and communicate in person .	1	-1	 they[0] know[0] we[0] exist[0] they[0] want[0] us[0] to[0] know[0] that[0] they[0] exist[0] and[0] they[0] would[0] like[1][-1 LastWordBoosterStrength] to[0] make[0] the[0] next[0] step[0] and[0] communicate[0] in[0] person[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the film wisely refrains from showing us the aliens directly , and between the characters' ongoing speculation about the extraterrestrials and the outstanding visuals in the climactic yet enigmatic scene when arroway arrives on the alien world , that sense of wonder and mystery comes through with a force rarely seen since stanley kubrick's 2001 : a space odyssey . 	the film wisely refrains from showing us the aliens directly , and between the characters' ongoing speculation about the extraterrestrials and the outstanding visuals in the climactic yet enigmatic scene when arroway arrives on the alien world , that sense of wonder and mystery comes through with a force rarely seen since stanley kubrick's 2001 : a space odyssey .	3	-2	 the[0] film[0] wisely[0] refrains[-1] from[0] showing[0] us[0] the[0] aliens[0] directly[0] and[0] between[0] the[0] characters'[0] ongoing[0] speculation[0] about[0] the[0] extraterrestrials[0] and[0] the[0] outstanding[2] visuals[0] in[0] the[0] climactic[0] yet[0] enigmatic[0] scene[0] when[0] arroway[0] arrives[0] on[0] the[0] alien[-1] world[0] that[0] sense[0] of[0] wonder[0] and[0] mystery[0] comes[0] through[0] with[0] a[0] force[-1] rarely[0] seen[0] since[0] stanley[0] kubrick's[0] 2001[0] a[0] space[0] odyssey[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
most of the film , however , takes place on earth , where there is an extended public debate on how to respond to these aliens . 	most of the film , however , takes place on earth , where there is an extended public debate on how to respond to these aliens .	1	-1	 most[0] of[0] the[0] film[0] however[0] takes[0] place[0] on[0] earth[0] where[0] there[0] is[0] an[0] extended[0] public[0] debate[0] on[0] how[0] to[0] respond[0] to[0] these[0] aliens[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
scientists are enthusiastic , ultraconservative religious leaders are wary , and government officials are caught somewhere in between . 	scientists are enthusiastic , ultraconservative religious leaders are wary , and government officials are caught somewhere in between .	3	-2	 scientists[0] are[0] enthusiastic[2] ultraconservative[0] religious[0] leaders[0] are[0] wary[-1] and[0] government[0] officials[0] are[0] caught[0] somewhere[0] in[0] between[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the debate is fueled largely by dr . arroway's atheism ; she seems the obvious choice to pilot the spacecraft for which the aliens have provided blueprints , but many are wary of sending an atheist as humankind's representative to another species . 	the debate is fueled largely by dr .<br> arroway's atheism ; she seems the obvious choice to pilot the spacecraft for which the aliens have provided blueprints , but many are wary of sending an atheist as humankind's representative to another species .	1	-2	 the[0] debate[0] is[0] fueled[0] largely[0] by[0] dr[0] [[Sentence=-1,1=word max, 1-5]] arroway's[0] atheism[0] she[0] seems[0] the[0] obvious[0] choice[0] to[0] pilot[0] the[0] spacecraft[0] for[0] which[0] the[0] aliens[0] have[0] provided[0] blueprints[0] but[0] many[0] are[0] wary[-1] of[0] sending[0] an[0] atheist[0] as[0] humankind's[0] representative[0] to[0] another[0] species[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the film is partly successful in raising and exploring these questions , especially when it reaches a conclusion that suggests that the two approaches - science and faith - could be viewed as complementary rather than diametrically opposed . 	the film is partly successful in raising and exploring these questions , especially when it reaches a conclusion that suggests that the two approaches - science and faith - could be viewed as complementary rather than diametrically opposed .	3	-1	 the[0] film[0] is[0] partly[0] successful[2] in[0] raising[0] and[0] exploring[0] these[0] questions[0] especially[0] when[0] it[0] reaches[0] a[0] conclusion[0] that[0] suggests[0] that[0] the[0] two[0] approaches[0] science[0] and[0] faith[1] could[0] be[0] viewed[0] as[0] complementary[0] rather[0] than[0] diametrically[0] opposed[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
