in october of 1997 , audiences were dazzled by the horror surprise hit i know what you did last summer . 	Translation	Positive	Negative	EmotionRationale
the film went on to gross over 70 million dollars in the u . s . , and even developed a cult following , much like the previous year's 100 million dollar grossing scream . 	the film went on to gross over 70 million dollars in the you .<br> s .<br> , and even developed a cult following , much like the previous year's 100 million dollar grossing scream .	2	-4	 the[0] film[0] went[0] on[0] to[0] gross[-1] over[0] 70[0] million[0] dollars[0] in[0] the[0] u[0] [[Sentence=-2,1=word max, 1-5]] s[0] [[Sentence=-1,1=word max, 1-5]] and[0] even[0] developed[0] a[0] cult[0] following[0] much[0] like[1] the[0] previous[0] year's[0] 100[0] million[0] dollar[0] grossing[-1] scream[-3] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
when the trailer hit theaters in september attached to urban legend , it looked like a wonderful follow-up . 	when the trailer hit theaters in september attached to urban legend , it looked like a wonderful follow-up .	3	-1	 when[0] the[0] trailer[0] hit[0] theaters[0] in[0] september[0] attached[0] to[0] urban[0] legend[0] it[0] looked[0] like[1] a[0] wonderful[2] follow[0] up[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
did it live up to the first film ? 	did it live up to the first film ?	1	-1	 did[0] it[0] live[0] up[0] to[0] the[0] first[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the answer is no . 	the answer is no .	1	-1	 the[0] answer[0] is[0] no[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
jennifer love hewitt returns as julie james , a survivor of the serial killer that attempted to kill her and her friends a year before . 	jennifer love hewitt returns as julie james , a survivor of the serial killer that attempted to kill her and her friends a year before .	3	-2	 jennifer[0] love[2] hewitt[0] returns[0] as[0] julie[0] james[0] a[0] survivor[0] of[0] the[0] serial[0] killer[-1] that[0] attempted[0] to[0] kill[-1] her[0] and[0] her[0] friends[1] a[0] year[0] before[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
she has been so upset since the incident . 	she has been so upset since the incident .	1	-3	 she[0] has[0] been[0] so[0] upset[-2] since[0] the[0] incident[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
nightmares haunt her all over the place , but she has to move on . 	nightmares haunt her all over the place , but she has to move on .	1	-2	 nightmares[0] haunt[-1] her[0] all[0] over[0] the[0] place[0] but[0] she[0] has[0] to[0] move[0] on[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
she know attends college , and is best friends with a funny , outgoing girl named karla ( brandy ) , who is trying to hook julie up with will benson , played by newcomer matthew settle . 	she know attends college , and is best friends with a funny , outgoing girl named karla ( brandy ) , who is trying to hook julie up with will benson , played by newcomer matthew settle .	2	-1	 she[0] know[0] attends[0] college[0] and[0] is[0] best[1] friends[1] with[0] a[0] funny[1] outgoing[0] girl[0] named[0] karla[0] brandy[0] who[0] is[0] trying[0] to[0] hook[0] julie[0] up[0] with[0] will[0] benson[0] played[0] by[0] newcomer[0] matthew[0] settle[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
karla's boyfriend is tyrell , the funny , outgoing type , who is played by soul food's mekhi phifer . 	karla's boyfriend is tyrell , the funny , outgoing type , who is played by soul food's mekhi phifer .	2	-1	 karla's[0] boyfriend[0] is[0] tyrell[0] the[0] funny[1] outgoing[0] type[0] who[0] is[0] played[0] by[0] soul[0] food's[0] mekhi[0] phifer[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
freddie prinze jr . also returns as ray , julie's boyfriend from a year ago . 	freddie prinze jr .<br> also returns as ray , julie's boyfriend from a year ago .	1	-1	 freddie[0] prinze[0] jr[0] [[Sentence=-1,1=word max, 1-5]] also[0] returns[0] as[0] ray[0] julie's[0] boyfriend[0] from[0] a[0] year[0] ago[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
