bruce barth's mellow piano plays in the background as conflict erupts in a little country town of florida . 	Translation	Positive	Negative	EmotionRationale
ulee's gold feels like another fonda creation- on golden pond : it has a soft , calm surface with a tempest brewing underneath , the cinematography creates a place of gold , yellow , and olive colors , the music is stirring and tranquil . 	ulee's gold feels like another fonda creation- on golden pond : it has a soft , calm surface with a tempest brewing underneath , the cinematography creates a place of gold , yellow , and olive colors , the music is stirring and tranquil .	2	-2	 ulee's[0] gold[0] feels[0] like[1] another[0] fonda[0] creation[0] on[0] golden[0] pond[0] it[0] has[0] a[0] soft[0] calm[1] surface[0] with[0] a[0] tempest[-1] brewing[0] underneath[0] the[0] cinematography[0] creates[0] a[0] place[0] of[0] gold[0] yellow[0] and[0] olive[0] colors[0] the[0] music[0] is[0] stirring[0] and[0] tranquil[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
both deal with the hardships of family life . 	both deal with the hardships of family life .	1	-2	 both[0] deal[0] with[0] the[0] hardships[-1] of[0] family[0] life[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
peter fonda gives his undoubtedly best performance in victor nu ? ez's new film and patricia richardson ( home improvement star ) shows she is worthy of big screen attention . 	peter fonda gives his undoubtedly best performance in victor nu ?<br> ez's new film and patricia richardson ( home improvement star ) shows she is worthy of big screen attention .	2	-1	 peter[0] fonda[0] gives[0] his[0] undoubtedly[0] best[1] performance[0] in[0] victor[0] nu[0] [[Sentence=-1,2=word max, 1-5]] ez's[0] new[0] film[0] and[0] patricia[0] richardson[0] home[0] improvement[1] star[0] shows[0] she[0] is[0] worthy[0] of[0] big[0] screen[0] attention[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
nu ? ez is probably independent film's greatest asset , along with john sayles , and he proves his talent with a slow pace and undulating , heavy tension . 	nu ?<br> ez is probably independent film's greatest asset , along with john sayles , and he proves his talent with a slow pace and undulating , heavy tension .	3	-3	 nu[0] [[Sentence=-1,1=word max, 1-5]] ez[0] is[0] probably[0] independent[0] film's[0] greatest[2] asset[0] along[0] with[0] john[0] sayles[0] and[0] he[0] proves[0] his[0] talent[1] with[0] a[0] slow[0] pace[0] and[0] undulating[0] heavy[0] tension[-2] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
peter fonda's performance borrows from his father henry fonda's in on golden pond- there is a great vulnerability that he gives the character ulee jackson and just like his father , peter fonda is quiet , emotional , and weary in this exceptional role . 	peter fonda's performance borrows from his father henry fonda's in on golden pond- there is a great vulnerability that he gives the character ulee jackson and just like his father , peter fonda is quiet , emotional , and weary in this exceptional role .	3	-3	 peter[0] fonda's[0] performance[0] borrows[0] from[0] his[0] father[0] henry[0] fonda's[0] in[0] on[0] golden[0] pond[0] there[0] is[0] a[0] great[2] vulnerability[-2] that[0] he[0] gives[0] the[0] character[0] ulee[0] jackson[0] and[0] just[0] like[1][-1 LastWordBoosterStrength] his[0] father[0] peter[0] fonda[0] is[0] quiet[0] emotional[-1] and[0] weary[0] in[0] this[0] exceptional[0] role[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
ulee jackson , the film's protagonist , is struggling . 	ulee jackson , the film's protagonist , is struggling .	1	-2	 ulee[0] jackson[0] the[0] film's[0] protagonist[0] is[0] struggling[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
pressure is mounting at the wrong time . 	pressure is mounting at the wrong time .	1	-2	 pressure[-1] is[0] mounting[0] at[0] the[0] wrong[-1] time[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
he is a beekeeper and this is his " busy " season . 	he is a beekeeper and this is his " busy " season .	1	-1	 he[0] is[0] a[0] beekeeper[0] and[0] this[0] is[0] his[0] busy[0] season[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he has to deal with his two granddaughters' needs and erupting hormones , he is forced to pick up his daughter-in-law in orlando who is strung out on drugs and take care of her , and he is faced with a challenging task : unsettled business his son , who is now in prison , has left behind . 	he has to deal with his two granddaughters' needs and erupting hormones , he is forced to pick up his daughter-in-law in orlando who is strung out on drugs and take care of her , and he is faced with a challenging task : unsettled business his son , who is now in prison , has left behind .	2	-2	 he[0] has[0] to[0] deal[0] with[0] his[0] two[0] granddaughters'[0] needs[0] and[0] erupting[0] hormones[0] he[0] is[0] forced[0] to[0] pick[0] up[0] his[0] daughter[0] in[0] law[0] in[0] orlando[0] who[0] is[0] strung[0] out[0] on[0] drugs[0] and[0] take[0] care[1] of[0] her[0] and[0] he[0] is[0] faced[0] with[0] a[0] challenging[0] task[0] unsettled[0] business[0] his[0] son[0] who[0] is[0] now[0] in[0] prison[-1] has[0] left[0] behind[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
he finds his daughter-in-law , helen , with the two men his son robbed a bank with . 	he finds his daughter-in-law , helen , with the two men his son robbed a bank with .	1	-1	 he[0] finds[0] his[0] daughter[0] in[0] law[0] helen[0] with[0] the[0] two[0] men[0] his[0] son[0] robbed[0] a[0] bank[0] with[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
she has apparently told these two men that the money that resulted from the robbery is with her husband . 	she has apparently told these two men that the money that resulted from the robbery is with her husband .	1	-2	 she[0] has[0] apparently[0] told[0] these[0] two[0] men[0] that[0] the[0] money[0] that[0] resulted[0] from[0] the[0] robbery[-1] is[0] with[0] her[0] husband[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
that is why he got caught- the police found him with the money . 	that is why he got caught- the police found him with the money .	1	-1	 that[0] is[0] why[0] he[0] got[0] caught[0] the[0] police[0] found[0] him[0] with[0] the[0] money[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
now the two men are demanding they get the cash , or they will come after ulee's two granddaughters . 	now the two men are demanding they get the cash , or they will come after ulee's two granddaughters .	1	-1	 now[0] the[0] two[0] men[0] are[0] demanding[0] they[0] get[0] the[0] cash[0] or[0] they[0] will[0] come[0] after[0] ulee's[0] two[0] granddaughters[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
ulee promises he will bring it to them and takes a deranged helen back to his serene little home where her two children that she abandoned scrutinize her with contempt . 	ulee promises he will bring it to them and takes a deranged helen back to his serene little home where her two children that she abandoned scrutinize her with contempt .	2	-4	 ulee[0] promises[1] he[0] will[0] bring[0] it[0] to[0] them[0] and[0] takes[0] a[0] deranged[0] helen[0] back[0] to[0] his[0] serene[0] little[0] home[0] where[0] her[0] two[0] children[0] that[0] she[0] abandoned[-1] scrutinize[-1] her[0] with[0] contempt[-3] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
ulee is a man who lost his pals in war- he was the only man in his platoon to survive . 	ulee is a man who lost his pals in war- he was the only man in his platoon to survive .	1	-3	 ulee[0] is[0] a[0] man[0] who[0] lost[0] his[0] pals[0] in[0] war[-2] he[0] was[0] the[0] only[0] man[0] in[0] his[0] platoon[0] to[0] survive[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
he refuses help from anybody and does not respond to affectionate gestures . 	he refuses help from anybody and does not respond to affectionate gestures .	3	-2	 he[0] refuses[-1] help[0] from[0] anybody[0] and[0] does[0] not[0] respond[0] to[0] affectionate[2] gestures[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
he is a bitter , closed-off man whose only passion is his beekeeping , his granddaughters , and his dead wife . 	he is a bitter , closed-off man whose only passion is his beekeeping , his granddaughters , and his dead wife .	3	-3	 he[0] is[0] a[0] bitter[-1] closed[0] off[0] man[0] whose[0] only[0] passion[2] is[0] his[0] beekeeping[0] his[0] granddaughters[0] and[0] his[0] dead[-2] wife[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
connie , his next door neighbor , finally gets through to him with friendly favors . 	connie , his next door neighbor , finally gets through to him with friendly favors .	2	-1	 connie[0] his[0] next[0] door[0] neighbor[0] finally[0] gets[0] through[0] to[0] him[0] with[0] friendly[1] favors[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
